open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-05,sma-07,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,nlpreds,action,predicted_action,reward
0.3697,0.3738,0.3743777036939131,0.3804083158814987,0.2955,1,0.3404,40559603.0,0.3696000000000008,0.3736714285714236,0.3835680000000003,0,0,1,19443020.505844247,21116582.494155753,0,go_long,go_long,go_short,53.56356543
8.495,8.495,8.566783094392694,8.642134788665016,8.409,1,8.421,7683.3,8.499799999999947,8.545285714286104,8.669679999999795,0,0,1,3824.8444845117056,3858.4555154882955,0,go_long,go_long,go_long,11.96658848
451.15,451.65,454.11041985678696,465.5540282679008,397.35,1,397.65,14575.91,446.1900000000016,453.578571428571,466.44999999999976,0,0,1,6828.594028628652,7747.315971371348,0,go_long,go_long,go_short,95.26269542
6.678,6.682,6.595882343045445,6.7354344995874085,4.513,1,5.391,1254914.6,6.478999999999941,6.589999999999982,6.79888000000002,0,0,1,560547.2374347503,694367.3625652499,0,go_long,go_long,go_short,19.35284055
0.395,0.395,0.3937368289597424,0.393071953764834,0.385,1,0.385,7522.4,0.3930000000000312,0.3942857142857146,0.3960000000000034,0,0,1,3712.9794871794866,3809.4205128205126,0,go_long,go_long,go_long,7.93680646
40.9,40.95,42.416989094432175,42.7248543135111,39.1,1,40.3,13489.75,41.78999999999705,42.40000000000088,42.756000000000185,0,0,1,6695.036022167487,6794.713977832514,0,do_nothing,go_long,go_long,9.23870623
1.435,1.44,1.4354101220790525,1.4329637766278782,1.435,0,1.44,7115.4,1.4359999999999888,1.4371428571428824,1.432399999999965,0,0,0,3563.887304347826,3551.512695652174,0,go_long,go_long,do_nothing,22.23758158
30.8,30.85,30.848519661368734,30.84589240820583,30.7,0,30.85,262.73,30.83000000000061,30.85714285714067,30.852000000000675,0,0,0,131.4715409570154,131.25845904298458,1,go_short,go_short,go_long,22.29499788
0.02511,0.02553,0.0245735804237236,0.0243542674885348,0.0249,0,0.02533,22447381.0,0.0247239999999975,0.0246142857142841,0.0242471999999998,0,0,0,11272643.947858842,11174737.052141158,1,go_short,go_short,go_long,11.04789956
0.69115,0.7098,0.668965904686277,0.6526543506090209,0.68735,0,0.69725,911554.0,0.6798099999999951,0.6768142857142854,0.6499079999999994,0,0,0,457779.47745606455,453774.5225439355,1,do_nothing,go_short,do_nothing,54.33177772
0.3193,0.3208,0.3197131518183614,0.3215174893903779,0.3193,0,0.3208,5420.2,0.3197200000000337,0.3189428571428574,0.3218920000000018,0,0,0,2716.450804561787,2703.749195438213,0,go_long,go_long,do_nothing,14.98290249
0.0073339999999999,0.0074449999999999,0.0071994249570852,0.0070383270505858,0.007264,1,0.007274,18869160.0,0.0072698000000002,0.007254,0.00699924,0,0,0,9395828.986856582,9473331.013143418,1,go_short,go_short,go_short,28.70440602
0.3872,0.3889,0.3866433770985988,0.3853132788778238,0.3872,0,0.3888,4750.4,0.3873800000000332,0.3877428571428574,0.3839120000000007,0,0,0,2380.0973195876286,2370.302680412371,0,do_nothing,go_long,go_long,5.64476256
35.15,35.2,35.17778045492533,35.21459245802614,35.15,0,35.2,0.52,35.140000000000484,35.14999999999772,35.23200000000069,0,0,1,0.2601847903340441,0.25981520966595595,1,go_long,go_short,go_long,27.62185259
0.004,0.004,0.0039936691557817,0.0039888721207933,0.004,1,0.004,600.0,0.0040000000000001,0.0039985714285715,0.0039924,0,0,0,300.0,300.0,1,go_short,go_short,go_long,44.00788334
7.97,8.46,7.594145388190799,7.353348118992497,7.965,0,8.335,939335.3,7.836999999999236,7.686428571427429,7.277800000000021,0,0,0,480181.522569764,459153.7774302361,1,go_short,go_short,go_short,17.65209463
0.584,0.595,0.578479419454445,0.5716085229559132,0.583,0,0.595,390574.2,0.5863200000000057,0.5835142857142946,0.5680640000000252,0,0,0,197109.1170483461,193465.08295165398,1,do_nothing,go_short,go_long,32.07946903
8.427,8.797,8.254614018917895,8.22188591534457,8.384,0,8.567,733002.0,8.284799999999127,8.245142857141705,8.186880000000016,0,0,0,369520.3091679417,363481.6908320583,1,do_nothing,go_short,go_long,63.12506736
1.3015,1.3235,1.2765960085298318,1.2555879953473523,1.293,0,1.3225,515119.8,1.2896999999998973,1.2816428571428151,1.2484799999999858,0,0,0,259621.16444359755,255498.63555640247,1,do_nothing,go_short,do_nothing,46.9070456
0.00251,0.00251,0.0025080563478755,0.0024918840115688,0.00251,1,0.00251,105540.0,0.0025100000000001,0.0025028571428572,0.0024972,1,0,0,52769.99999999999,52769.99999999999,1,go_short,go_short,go_long,14.36017624
0.002979,0.002987,0.0029773345573385,0.002977389827802,0.002979,1,0.002979,42420.0,0.0029810000000001,0.0029831428571429,0.00297304,0,0,0,21210.0,21210.0,1,go_short,go_short,go_short,24.64068362
1.669,2.5985,1.8195983947559045,1.7417817923557606,1.6675,0,2.5745,4725375.8,1.857600000000004,1.8105000000000009,1.71048,0,0,0,2866850.476517026,1858525.3234829737,1,do_nothing,go_short,do_nothing,78.13437083
7.157,7.306,7.044270528288075,6.929700262902367,7.157,1,7.247,260653.7,7.170399999999927,7.154999999999974,6.868320000000024,0,0,0,131141.1666134407,129512.5333865593,1,do_nothing,go_short,go_long,58.40008289
0.1315,0.1315,0.130797829858648,0.1301334799132382,0.131,1,0.131,758.0,0.1312000000000023,0.1312142857142856,0.1297599999999996,1,0,0,378.2780952380952,379.7219047619048,0,go_long,go_long,do_nothing,10.29877404
8.427,8.797,8.254614018917895,8.22188591534457,8.384,0,8.567,733002.0,8.284799999999127,8.245142857141705,8.186880000000016,0,0,0,369520.3091679417,363481.6908320583,1,do_nothing,go_short,go_long,63.12506736
6.363,6.375,6.409567438586355,6.458760957631597,5.944,1,6.079,219105.0,6.341199999999938,6.395714285714271,6.483760000000029,0,0,1,107051.86425012055,112053.13574987944,0,do_nothing,go_long,go_long,11.9647332
0.00243,0.00244,0.0024341337158907,0.0024293567565809,0.00243,1,0.00244,110080.0,0.0024360000000001,0.0024400000000001,0.0024236,0,0,0,55153.018480492814,54926.98151950719,1,go_short,go_short,go_long,7.92477528
0.0197,0.0197,0.0197578977677055,0.0199346774262522,0.01965,0,0.0197,542593.0,0.0196999999999978,0.0196714285714273,0.0200139999999998,0,0,0,271296.5,271296.5,1,go_short,go_short,do_nothing,16.11760392
32.294,33.046,31.632970290331016,31.23038421087049,32.049,0,32.597,57975.3,31.71999999999981,31.57257142857134,31.528480000000044,0,0,0,29123.00402367047,28852.29597632954,1,do_nothing,go_short,go_long,0.71905748
1.725,1.725,1.7522498717790318,1.7777121028514065,1.705,1,1.705,26596.8,1.7289999999999883,1.73785714285721,1.7839999999999718,1,0,1,13220.858309037902,13375.9416909621,0,go_long,go_long,go_long,21.54304287
18.965,18.965,18.93359884369889,19.47813590420072,15.25,1,16.025,52678.63,18.510000000000023,18.793571428571514,19.693400000000064,0,0,1,24126.180215775938,28552.449784224067,0,do_nothing,go_long,do_nothing,22.58637636
249.35,249.35,246.54394284704048,248.80207801141435,206.95,1,227.65,74587.95,244.5799999999922,246.22142857142663,250.1620000000026,0,0,1,35597.372783018865,38990.57721698113,0,go_long,go_long,do_nothing,13.08729712
1.817,1.817,1.8262084420560671,1.838917493802014,1.76,1,1.798,1222082.0,1.816800000000029,1.8208571428571425,1.842599999999947,0,0,1,607829.4428769018,614252.5571230982,0,go_long,go_long,go_long,175.94973868
0.4355,0.4355,0.4354544391931185,0.4355373082452785,0.433,1,0.4335,41564.0,0.4351999999999002,0.4353571428571099,0.4357799999999859,0,0,1,20734.170310701957,20829.829689298043,1,go_long,go_short,go_long,8.87028357
0.134,0.1345,0.1340553253243216,0.1354098493302652,0.126,1,0.1285,999799.0,0.133399999999995,0.1338571428571436,0.1355599999999998,0,0,1,489425.4152380952,510373.58476190484,0,go_long,go_long,do_nothing,0.82253059
0.4435,0.4488,0.4275955873309439,0.4227256707951853,0.439,0,0.4421,3573834.0,0.4307399999999998,0.428157142857143,0.4229959999999995,0,0,0,1784092.153794038,1789741.8462059621,1,do_nothing,go_short,go_long,94.73765735
3.91,4.55,3.90273288408226,3.81293253772735,3.91,0,4.38,261638.2,3.9659999999998616,3.925714285714257,3.791599999999992,1,0,0,138235.86441495782,123402.33558504224,1,do_nothing,go_short,do_nothing,62.243868
109.35,109.35,112.22666939852309,112.77494563381156,105.0,1,106.9,34358.49,111.02999999999312,112.38571428571264,112.93400000000248,0,0,1,16984.61309132948,17373.876908670518,0,do_nothing,go_long,go_short,30.72613651
1.9422,1.9838,1.917205181971672,1.885881690287042,1.9417,0,1.9663,2896093.1,1.936959999999991,1.924071428571404,1.8928760000000024,0,0,0,1456975.2750492515,1439117.8249507484,1,do_nothing,go_short,go_long,3.58618398
37.94,37.99,37.87529800115782,38.52733035763511,35.52,1,36.45,64250.48,37.64799999999944,37.74428571428416,38.71200000000016,0,0,1,31481.785132410274,32768.69486758973,0,go_long,go_long,do_nothing,56.82974321
0.00316,0.00316,0.0031638701695234,0.0031676045690135,0.00315,1,0.00315,842230.0,0.0031600000000001,0.0031628571428572,0.0031624,0,0,0,420447.6228209192,421782.37717908085,1,go_short,go_short,do_nothing,7.58244912
0.1331,0.1342,0.1318489844282305,0.1302520221390044,0.1329,1,0.1342,733688.2,0.1330599999999955,0.1328714285714304,0.1296919999999998,0,0,0,368353.74650205765,365334.45349794236,1,go_short,go_short,go_long,49.79555995
0.001144,0.001145,0.0011455414956822,0.0011559938280251,0.0011409999999999,0,0.0011409999999999,1086900.0,0.0011435999999999,0.0011427142857142,0.00116032,0,0,0,542736.4989058842,544163.5010941158,1,go_long,go_short,go_long,1.15701208
1637.0,1637.0,1639.0478610852017,1640.9351337783953,1637.0,0,1637.0,0.14,1637.4,1638.142857142857,1641.4,0,0,1,0.07,0.07,1,go_short,go_short,do_nothing,1.32540544
4.514,4.593,4.316380393531771,4.176692894448197,4.48,0,4.578,620204.4,4.440799999999898,4.383857142857119,4.135120000000071,0,0,0,312285.05754509463,307919.34245490545,1,do_nothing,go_short,go_short,90.41695049
0.9328,0.9475,0.924459034804799,0.9141213402230428,0.9312,0,0.9435,441077.7,0.9316399999999077,0.928771428571399,0.916139999999985,0,0,0,221796.51971966104,219281.18028033897,1,go_short,go_short,do_nothing,27.83837156
1648.0,1648.0,1648.2532114036578,1648.3772959031523,1645.0,1,1645.0,1.03,1647.8,1648.142857142857,1648.84,0,0,1,0.5145308229577893,0.5154691770422107,1,go_short,go_short,go_short,1.19627017
0.8205,0.844,0.8101636256687152,0.804198765500317,0.8180000000000001,0,0.84,2996499.9,0.8144000000000065,0.8103571428571451,0.8021800000000292,0,0,0,1515844.5745257451,1480655.325474255,1,do_nothing,go_short,go_short,59.40942802
1.116,1.116,1.1282927603811648,1.1431896707473457,1.079,1,1.093,129032.3,1.118800000000006,1.121428571428538,1.1469600000000015,0,0,1,63844.41100045269,65187.88899954731,0,go_long,go_long,do_nothing,5.5999545
0.10632,0.10659,0.1064308779740383,0.1063398858321997,0.1062,0,0.10659,30151.0,0.1063720000000027,0.1064514285714287,0.1063211999999996,0,0,0,15094.617866704242,15056.38213329576,0,go_long,go_long,go_short,13.1531661
0.09186,0.09248,0.0955606709792467,0.0964895031938653,0.09096,1,0.09147,114797.0,0.0940980000000026,0.0954014285714287,0.0970111999999996,0,0,1,57276.395516282115,57520.604483717885,0,go_long,go_long,go_short,10.36704704
0.05232,0.05276,0.0525822961998965,0.0537481766381766,0.05226,0,0.05261,886830.0,0.0521019999999999,0.0521585714285714,0.0536451999999999,0,0,1,444640.48699132755,442189.51300867245,1,do_nothing,go_short,go_short,21.85035643
0.20765,0.20885,0.207852201263903,0.2073042735042735,0.20765,0,0.2088,102368.0,0.2077400000000001,0.2074000000000001,0.207316,0,0,0,51325.341337495505,51042.6586625045,0,go_long,go_long,do_nothing,12.03431684
0.0411,0.04114,0.0418219246081351,0.0426468350123244,0.04055,1,0.04078,1716260.0,0.041252,0.0414757142857142,0.0428515999999998,1,0,1,854776.2921348314,861483.7078651685,0,go_long,go_long,go_long,0.58334014
