,Unnamed: 0,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-05,sma-07,sma-compare,is_short,action,imit-action,nlpreds,reward
0,101,84.04,84.25,85.29470508592546,89.40981550210333,72.9,1,80.55,66743.3,89.74280000000134,0,0,83.71200000000293,84.10857142857368,1,0,do_nothing,go_short,do_nothing,-8.70163018
1,80,42.665,43.089,43.35658900245054,44.64004944281817,38.146,1,39.804,59224.4,44.84867999999995,0,0,42.56220000000011,43.101571428571255,1,0,do_nothing,go_short,do_nothing,-23.68734409
2,18,307.61,307.71,306.48730135958147,305.2504519343799,304.5,1,305.53,64460.05,305.0651999999984,0,0,307.2459999999934,307.2657142857116,0,1,do_nothing,go_short,do_nothing,-35.89853424
3,15,0.6291,0.6574,0.5918476469481064,0.5717080651284373,0.6162000000000001,0,0.6413,8901265.9,0.5638439999999987,1,0,0.608940000000001,0.5996285714285712,0,1,do_nothing,go_short,do_nothing,-16.86610742
4,67,62.34,62.76,61.4694251283431,60.69976354292874,61.96,1,62.64,9060.092,60.2164,0,0,62.10400000000017,61.96285714285722,0,1,do_nothing,go_short,do_nothing,-11.90633928
5,26,0.02204,0.0231,0.0237954254183952,0.0250105214619087,0.02178,0,0.02272,29455273.0,0.0253967999999996,0,0,0.0231139999999981,0.0232299999999994,1,0,go_long,go_long,go_long,36.19052716
6,45,0.08212,0.0835,0.080250650077181,0.0789610053943327,0.08212,0,0.08273,17577294.0,0.0789108000000002,1,0,0.0812600000000013,0.0807414285714293,0,1,do_nothing,go_short,do_nothing,-22.73688108
7,76,0.17348,0.17425,0.1732499794110746,0.1732398635100531,0.17323,0,0.17394,2267035.0,0.1735856000000002,0,0,0.1735340000000014,0.1731857142857153,0,1,do_nothing,go_short,do_nothing,11.46703511
8,16,0.06298,0.0634,0.0626831470329277,0.063030698005698,0.06285,0,0.0634,497355.0,0.0628928,0,0,0.0628,0.0624028571428571,0,1,do_nothing,go_short,do_nothing,-21.06151517
9,64,34.272,34.388,34.348340803447705,34.28679991177291,33.883,1,34.261,5944.1,34.27268000000011,0,0,34.382199999999735,34.336714285714166,0,0,do_nothing,go_short,do_nothing,-47.0307397
10,60,0.2813,0.2814,0.2798092596729618,0.2788245486977783,0.277,1,0.2789,2106700.0,0.2789320000000054,1,0,0.2806799999999847,0.2805142857143079,0,1,do_nothing,go_short,do_nothing,-24.25799013
11,41,0.03613,0.03616,0.035705176714466,0.0355107082293786,0.03553,1,0.03572,16184205.0,0.0354563999999997,1,0,0.0359919999999983,0.0358228571428566,0,0,do_nothing,go_long,do_nothing,-24.88834791
12,42,33.424,33.511,33.28997409014561,33.29162051042825,33.35,1,33.401,31937.59,33.13924000000011,0,0,33.36659999999989,33.32914285714287,0,1,do_nothing,go_short,do_nothing,-18.75075214
13,73,2.064,2.066,2.072694277249908,2.086709266801632,2.041,1,2.045,1420581.9,2.0974799999999827,1,0,2.061400000000009,2.0644285714285107,1,0,do_nothing,go_short,do_nothing,-24.23583605
14,55,1.719,1.723,1.7232796211331527,1.726595158838359,1.713,1,1.714,359110.1,1.7256799999999402,0,0,1.7189999999999734,1.722428571428715,1,1,do_nothing,go_short,do_nothing,-24.11746412
15,66,84.65,87.76,84.32086500618972,83.76648097634622,84.5,0,86.58,326710.993,83.60960000000034,1,0,84.85399999999967,84.57999999999949,0,1,do_nothing,go_short,do_nothing,-22.37222597
16,33,0.2138,0.2152,0.2132130791218772,0.2115511396011396,0.2132,0,0.2132,1376893.1,0.2126439999999999,0,0,0.213,0.2136,0,0,do_nothing,go_short,do_nothing,-32.27582991
17,76,3.672,3.71,3.6861731688857953,3.671857780377124,3.64,0,3.706,848976.6,3.666159999999973,0,0,3.680399999999996,3.683000000000029,0,0,do_nothing,go_short,do_nothing,-48.06961548
18,30,0.5902000000000001,0.5919,0.5913244262562972,0.5836857876146757,0.5862,1,0.5875,116861.7,0.5873480000000029,0,0,0.5901999999999975,0.5934999999999929,0,1,do_nothing,go_short,do_nothing,-21.53777453
19,37,0.001976,0.001984,0.0019747048960318,0.0019770498575498,0.001976,0,0.001982,14599251.0,0.0019762399999999,0,0,0.0019736,0.0019728571428571,0,0,do_nothing,go_long,do_nothing,-25.46109628
20,69,0.3208,0.3258,0.3190714945757379,0.3175032809282999,0.3204,0,0.3239,793260.5,0.3165280000000009,0,0,0.3217199999999997,0.320157142857143,0,1,do_nothing,go_short,do_nothing,-16.73708407
21,91,308.1,309.91,312.8777784125376,316.7112306095757,306.56,1,309.84,6197.286,314.5924000000007,0,0,311.52200000000425,312.0614285714205,1,0,do_nothing,go_short,do_nothing,-7.73999348
22,54,66.041,68.132,66.19484949523279,65.65808831908831,65.545,0,67.689,12454.2,65.4622,0,0,66.59960000000001,66.41857142857143,0,0,do_nothing,go_short,do_nothing,-24.5628379
23,19,348.091,348.716,344.8312041954728,343.96838422386804,346.789,1,347.848,34602.87,342.7717999999994,1,0,347.7507999999988,346.02828571428523,0,1,do_nothing,go_short,do_nothing,-22.84723143
24,51,0.54927,0.55,0.5509535175938483,0.5435702587477041,0.53207,1,0.5416300000000001,28821827.0,0.5429756000000008,0,0,0.5483420000000001,0.5560871428571403,0,1,do_nothing,go_short,do_nothing,-19.24874331
25,96,0.3697,0.3769,0.3880628574528136,0.3994009886136292,0.355,1,0.3662,68988921.8,0.4039279999999992,0,0,0.3774599999999959,0.3809428571428662,1,0,go_long,go_short,go_long,2.62208798
