,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-05,sma-07,sma-compare,is_short,action,imit-action,nlpreds,reward
0,4683.0,4711.0,4808.381664227467,4884.154367208772,4539.0,1,4544.0,178.746,4931.559999999935,0,0,4742.000000000046,4800.857142857043,1,0,do_nothing,go_short,go_long,-16.75782354
1,0.00125,0.00125,0.0012379126162945,0.0012770877596234,0.00095,1,0.001045,2045569546.0,0.00129196,0,0,0.0012106,0.0012282857142857,1,0,go_long,go_long,go_long,36.7268646
2,1.041,1.041,1.024812687049427,1.0522148742606685,0.8200000000000001,1,0.881,2247786.8,1.0609999999999986,0,0,1.0088000000000144,1.0201428571428957,1,0,go_long,go_short,go_long,37.19858917
3,751.4,759.4,785.9808824529426,810.4106692140161,727.3,1,751.9,1590.247,811.2760000000148,0,0,769.8800000000119,774.9142857142793,1,0,go_long,go_short,go_long,23.21690033
4,8.88,8.92,9.016319511715338,9.02283495419974,8.81,1,8.89,20971.2,9.033600000000336,0,0,8.975999999999956,9.018571428571304,1,0,go_long,go_short,go_long,644.26957438
5,28.18,28.19,27.85125252528957,28.289593212170203,23.92,1,24.17,114057.9,28.41040000000119,0,0,27.50800000000328,27.84714285714418,1,0,do_nothing,go_short,go_long,-17.44536452
6,0.01523,0.01523,0.0150484340521864,0.0154076553978618,0.01254,1,0.01271,95877022.0,0.0154871999999998,0,0,0.0148079999999991,0.0150271428571423,1,0,go_long,go_long,go_long,103.8837162
7,4.515,4.521,4.530294344133992,4.551562619501309,4.476,1,4.493,62123.0,4.546399999999812,0,0,4.518199999999872,4.524714285714024,1,0,go_long,go_short,go_long,140.71222024
8,0.3762,0.3776,0.3825897998758124,0.3843096057598612,0.3712,1,0.3749,1553771.0,0.3837160000000043,0,0,0.3817800000000115,0.3831285714285621,1,0,go_long,go_short,go_long,11.23596223
9,0.3836,0.3837,0.3841342760670992,0.3846625109378528,0.3788,1,0.3803,18531093.6,0.3847999999999992,0,0,0.383459999999996,0.3839857142857224,1,0,go_long,go_short,go_long,18.06544467
10,0.8563000000000001,0.8617,0.8792351917627189,0.9069281787352664,0.7702,1,0.7702,1054052.0,0.9172400000000206,0,0,0.8466599999999831,0.8626428571429058,1,0,go_long,go_short,go_long,28.51063914
11,5.784,5.817,5.8873958997237485,5.94691867164259,5.6850000000000005,1,5.817,2096702.8,5.961479999999845,0,0,5.866199999999991,5.879428571428908,1,0,do_nothing,go_short,go_long,-25.75903622
12,108.61,108.75,108.55546857298978,109.4418884462058,105.29,1,106.32,57311.601,109.94760000000132,0,0,107.81400000000411,108.28428571427608,1,0,go_long,go_short,go_long,140.15140649
13,0.854,0.855,0.8298026220395435,0.8559566098583227,0.5740000000000001,1,0.646,68648932.4,0.8666399999999882,0,0,0.8130000000000418,0.8268571428571041,1,0,do_nothing,go_short,do_nothing,-28.56375569
14,1092.56,1115.0,1144.102288987258,1175.5047937318232,1073.0,0,1113.19,327022.54,1188.676399999992,0,0,1108.4240000000275,1124.3542857142395,1,0,go_long,go_short,go_long,48.1788411
15,3.3961,3.4038,3.4243336576657675,3.4775292593969573,3.13,1,3.2273,5874196.4,3.5017319999999925,0,0,3.3913199999999626,3.4103142857142674,1,0,go_long,go_short,go_long,51.02218422
16,476.57,476.92,481.1472937958861,484.9303623086325,450.87,1,462.96,2793.984,486.99359999999945,0,0,475.13000000000073,478.2142857142841,1,0,go_long,go_short,go_long,175.72932565
17,3.903,3.99,3.747025772324819,3.6825712250712255,3.803,0,3.97,577713.6,3.706880000000001,0,0,3.7688000000000015,3.7108571428571424,0,0,go_long,go_short,go_long,428.86157154
18,1.884,1.922,2.0410801266402068,2.1154993557736783,1.661,1,1.761,1461056.5,2.140599999999992,0,0,1.9820000000000104,2.035571428571412,1,0,go_long,go_short,go_long,29.2984412
19,186.01,187.12,185.9536360056759,185.67779202279203,185.6,0,186.28,2338.148,185.6716,0,0,185.834,185.9271428571428,0,0,go_long,go_short,go_long,55.04456146
20,95.404,99.261,109.69150337415734,118.13094049971524,70.015,1,85.6,66853.7,120.52540000000027,0,0,103.1902000000004,105.5825714285722,1,0,go_long,go_short,go_long,48.98196295
21,0.1493,0.1524,0.1537803156433749,0.1576145014666337,0.1271,1,0.1407,31183630.7,0.159248,0,0,0.1516800000000006,0.1535571428571433,1,0,go_long,go_short,go_long,80.73096821
22,8.345,8.468,8.435580160085719,8.500640602905916,8.315,0,8.46,3917.9,8.500120000000006,0,0,8.409999999999982,8.412142857142847,1,0,go_long,go_short,go_long,722.02836683
23,95.73,98.44,105.12636889559552,115.0172520502574,85.92,1,86.67,182384.615,117.40639999999996,0,0,100.06600000000024,101.79000000000124,1,0,go_long,go_short,go_long,812.22940186
24,1.4521,1.4589,1.475676573827045,1.5105652805556375,1.412,1,1.4505,730824.0,1.5115399999999886,0,0,1.462519999999974,1.4628714285714393,1,0,go_long,go_short,go_long,24.90578965
25,8392.2,8396.5,8425.89878863649,8484.051256063616,8170.0,1,8183.2,281.001,8520.039999999977,0,0,8358.420000000056,8410.228571428537,1,0,go_long,go_short,go_long,123.34377236
26,0.02204,0.0231,0.0237954254183952,0.0250105214619087,0.02178,0,0.02272,29455273.0,0.0253967999999996,0,0,0.0231139999999981,0.0232299999999994,1,0,go_long,go_long,go_long,36.19052716
27,16884.0,16884.0,16875.818330504313,16947.41245851388,16675.0,1,16736.0,35.655,16962.519999999935,0,0,16847.200000000048,16859.142857142757,1,0,do_nothing,go_short,go_long,-19.74417584
