open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-05,sma-07,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,nlpreds,predicted_action,reward
0.0169339999999999,0.017092,0.0162261422378585,0.0156884913834718,0.016782,1,0.016912,749039086.0,0.0167811999999999,0.0167008571428573,0.01530568,0,0,0,374276104.190511,374762981.80948895,0,go_long,go_long,-24.14304185
0.00537,0.00541,0.0054204791776363,0.0054019723162322,0.00537,1,0.00539,162127111.0,0.0054240000000009,0.0054328571428564,0.0053899999999999,0,0,0,81214231.25371748,80912879.74628253,0,go_long,go_long,17.41179982
45.6,48.01,60.882135494965326,68.98353283420381,32.34,1,34.38,35280.7,54.17600000000014,58.084285714286025,72.05600000000003,0,0,1,15165.672243060764,20115.027756939235,1,go_long,do_nothing,-23.1085607
0.00477,0.0048,0.0047186545781795,0.0046784717425391,0.00476,0,0.00477,43355035.0,0.0047420000000011,0.004744285714285,0.0046676,0,0,0,21677517.5,21677517.5,0,go_long,go_long,6.22051608
5.581,5.627,5.560600073466019,5.540886787854571,5.578,0,5.581,194810.0,5.579599999999892,5.569857142857193,5.538759999999964,0,0,0,97405.0,97405.0,1,go_short,go_short,-4.71803167
0.007814,0.0079259999999999,0.0080092661057864,0.0081599140981621,0.007756,1,0.00783,712610043.0,0.0078875999999998,0.0079574285714288,0.00816036,0,0,1,356669434.71554595,355940608.2844541,0,go_long,do_nothing,22.92751492
0.06712,0.068159,0.0681611049708463,0.0684740479533041,0.0667659999999999,0,0.068,778602301.0,0.0676679999999998,0.067483,0.0693991999999999,0,0,0,391836563.5583185,386765737.44168144,0,go_long,go_long,-25.36376301
20.261,20.32,20.28682305474208,20.25459290787124,20.254,0,20.285,151732.82,20.29420000000028,20.29342857142832,20.24820000000004,0,0,0,75911.31686726188,75821.50313273813,1,go_short,go_short,-0.75741165
0.00708,0.0071,0.007061271999552,0.0070742323157825,0.00706,0,0.00707,10439065.0,0.0070580000000009,0.007054285714285,0.0070883999999999,0,0,0,5215843.784452297,5223221.215547703,0,go_long,do_nothing,7.33287866
1.7758,1.8115,1.7654563943606896,1.760662403581038,1.7745000000000002,0,1.808,141148.0,1.770560000000001,1.7738428571428646,1.7517560000000068,0,0,0,71208.0986662202,69939.90133377978,1,go_short,go_short,7.7945495
0.019693,0.0199489999999999,0.0199918963216746,0.0201463676776912,0.0195879999999999,0,0.019856,360841120.0,0.0198851999999999,0.0199,0.0202125599999999,0,0,1,181164157.84773317,179676962.1522668,0,go_long,go_long,-23.58464674
0.06301,0.06315,0.0617947748321869,0.0611254423427049,0.06228,1,0.06239,3966501.0,0.06249,0.0623242857142853,0.0604231999999999,0,0,0,1973444.9552631578,1993056.044736842,0,go_long,go_long,-24.65553444
0.0202539999999999,0.02068,0.0198441116582176,0.0196988690873519,0.019979,0,0.020474,463679299.0,0.0200477999999999,0.0199354285714288,0.0195892,0,0,0,233091975.24371496,230587323.756285,0,go_long,go_long,24.9229512
0.357,0.357,0.3612376335340577,0.3723699210011356,0.317,1,0.3254,7086055.0,0.3521199999999839,0.3573857142857362,0.3700600000000058,0,0,1,3378959.989742087,3707095.010257913,1,go_short,go_short,14.12189115
0.04946,0.04957,0.0493593980971544,0.0493364965676505,0.0481,1,0.04851,15383084.0,0.049308,0.0494128571428571,0.0496676,1,0,1,7616958.301929162,7766125.698070837,0,go_short,go_long,3.94308279
0.7409,0.7458,0.7440571033804818,0.7445328098448154,0.7401,0,0.7458,1226930.0,0.7416199999999828,0.7430571428571922,0.7476280000000203,0,0,1,615486.9132979081,611443.086702092,1,go_short,go_short,-14.22894591
75.18,75.89,78.47456314414953,80.78882481839806,72.83,1,73.22,48184.1,76.11000000000521,77.01714285714517,81.58240000000025,1,0,1,23773.853113207544,24410.246886792454,1,go_short,go_long,-13.38568685
18.385,18.483,18.49038272412772,18.50820305042934,18.245,1,18.359,330229.0,18.49780000000003,18.512857142857204,18.54531999999996,0,0,1,164997.6652242543,165231.33477574572,1,go_short,go_short,-16.5319701
7.957,7.966,7.890040136791119,7.831817048599232,7.932,1,7.949,115603.0,7.941400000000028,7.933142857143118,7.809719999999942,0,0,0,57772.42845467119,57830.571545328814,1,go_short,do_nothing,-4.27598075
1.1458,1.1501,1.152056572638547,1.156832781330139,1.1403,1,1.1478,140733.0,1.1499799999999745,1.1508285714286317,1.156760000000015,0,0,1,70427.85899895361,70305.1410010464,1,go_short,go_long,-8.9756237
36.49,36.893,36.14878426329429,35.58293658050597,36.487,1,36.8,262569.27,36.65380000000022,36.41128571428551,35.311199999999985,0,0,0,131839.93909128124,130729.33090871882,1,go_short,go_short,29.57294406
20.76,20.8,20.6970347360527,20.53948020204587,20.57,1,20.61,40715.1,20.67400000000017,20.777142857143,20.506400000000163,0,0,0,20283.73727338651,20431.362726613486,1,go_short,go_long,-12.57319193
0.00854,0.00859,0.008560917891355,0.0086070713040571,0.00854,1,0.00858,8046720.0,0.0085560000000006,0.0085642857142849,0.0085687999999999,0,0,1,4032760.373831775,4013959.626168224,0,go_long,go_long,-8.11409158
83.74,84.31,83.40090199387329,83.42450502793818,83.37,0,84.24,14721.3,83.38800000000496,83.21571428571842,83.44560000000001,0,0,0,7382.559304679128,7338.740695320871,1,go_short,go_short,-13.19510037
0.007424,0.0087949999999999,0.0099265181000581,0.0113630502862427,0.00475,1,0.005545,1363943103.0,0.0088291999999999,0.0093392857142857,0.0118930799999999,0,0,1,583164816.5729817,780778286.4270183,0,go_long,go_long,14.96827289
0.06301,0.06315,0.0617947748321869,0.0611254423427049,0.06228,1,0.06239,3966501.0,0.06249,0.0623242857142853,0.0604231999999999,0,0,0,1973444.9552631578,1993056.044736842,0,go_long,go_long,-24.65553444
48.68,49.76,49.53208949980608,49.899570069371975,48.68,0,49.66,12392.7,49.13000000000003,49.4328571428572,49.83239999999997,0,0,1,6258.099267846247,6134.600732153753,1,go_short,do_nothing,-20.44267182
0.00854,0.00859,0.008560917891355,0.0086070713040571,0.00854,1,0.00858,8046720.0,0.0085560000000006,0.0085642857142849,0.0085687999999999,0,0,1,4032760.373831775,4013959.626168224,0,go_long,go_long,-8.11409158
23.119,23.156,23.13459516788873,23.110171259707528,23.04,1,23.06,149640.96,23.17940000000015,23.17485714285704,23.117840000000044,0,0,0,74724.88658481126,74916.07341518872,1,go_short,go_short,-7.76501595
