open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-05,sma-07,sma-25,long_jcrosk,short_kdj,sma-compare,ask,bid,is_short,nlpreds,predicted_action,reward
7.707,7.733,8.84839866596204,9.877985226940732,6.335,1,6.371,240398.49,8.17959999999997,8.497285714285715,10.21872,0,0,1,108792.3554333002,131606.1345666998,1,go_short,go_short,-15.42004548
7.707,7.733,8.84839866596204,9.877985226940732,6.335,1,6.371,240398.49,8.17959999999997,8.497285714285715,10.21872,0,0,1,108792.3554333002,131606.1345666998,1,go_short,go_short,-15.42004548
0.1074,0.1157,0.1283537974728641,0.1390577141443771,0.1016,0,0.1147,17317281.3,0.1216000000000005,0.1250000000000004,0.142124,0,0,1,8943233.521431787,8374047.778568213,1,go_short,go_long,-15.37972492
19.424,19.553,19.6860339215952,19.868286353156183,19.223,1,19.275,469423.97,19.60600000000021,19.661285714285697,19.85588000000003,1,0,1,233808.29018191685,235615.67981808312,1,go_short,do_nothing,-14.16456265
0.2986,0.3064,0.3136290364951556,0.3162486614571483,0.298,1,0.3047,623564.5,0.3110400000000003,0.3134142857142858,0.3172680000000001,0,0,1,314934.69774573186,308629.80225426814,1,go_short,go_long,8.68689275
0.05602,0.0596,0.0560569750237794,0.0557364018300032,0.05596,0,0.05697,33769811.0,0.0563159999999999,0.0562014285714287,0.0556143999999999,0,0,0,17026870.80865563,16742940.191344365,1,go_short,do_nothing,-15.43065565
0.232,0.2335,0.2337841292221462,0.2357933048433048,0.2317,0,0.2322,285979.2,0.2312399999999999,0.2325571428571428,0.235764,0,0,1,143051.20689358035,142927.99310641966,1,go_short,go_long,8.87977177
0.05602,0.0596,0.0560569750237794,0.0557364018300032,0.05596,0,0.05697,33769811.0,0.0563159999999999,0.0562014285714287,0.0556143999999999,0,0,0,17026870.80865563,16742940.191344365,1,go_short,do_nothing,-15.43065565
19.53,19.56,19.580745247830627,19.84240720923487,19.3,1,19.32,7297.0,19.57819999999993,19.56714285714281,19.75484000000007,0,0,0,3628.7783783783784,3668.2216216216216,1,go_short,go_long,-16.07921458
10.465,10.489,11.059759123959546,11.425140331622387,8.022,1,9.504,8120239.5,10.671600000000174,10.927428571428552,11.556320000000042,0,0,1,3864728.1390154734,4255511.360984526,1,go_short,go_short,-15.50198387
0.01996,0.021,0.0225945338386576,0.0247492133741903,0.01829,1,0.01831,15080238.0,0.021396,0.0218028571428572,0.0254508,0,0,1,7215028.946433238,7865209.053566762,1,go_short,go_long,-15.2217672
0.05243,0.05341,0.0519824382739952,0.0516060448003542,0.0523,0,0.05324,16307614.0,0.052318,0.0520714285714287,0.0516175999999999,0,0,0,8216308.974732659,8091305.025267341,1,go_short,go_short,9.11738071
0.07777,0.07802,0.0777744559025056,0.0776278664202577,0.07775,0,0.07792,645527.0,0.0777820000000013,0.0776971428571436,0.0777388000000001,0,0,0,323074.4674674032,322452.53253259684,1,go_short,go_short,-1.20647739
1.938,1.9582,1.996861363473865,2.031679778711365,1.915,1,1.9163,944686.0,1.9724600000000063,1.9860285714285653,2.0375559999999773,0,0,1,469683.67324806063,475002.32675193937,1,go_short,go_long,-15.34532559
0.05602,0.0596,0.0560569750237794,0.0557364018300032,0.05596,0,0.05697,33769811.0,0.0563159999999999,0.0562014285714287,0.0556143999999999,0,0,0,17026870.80865563,16742940.191344365,1,go_short,do_nothing,-15.43065565
0.05335,0.0538,0.0529803861072264,0.0526566815250263,0.05329,0,0.05374,6609030.0,0.0531320000000004,0.0530471428571431,0.0526779999999998,0,0,0,3316549.3715566345,3292480.6284433655,1,go_short,go_long,-15.83072608
21.312,21.434,22.05898240506427,22.891926473926848,20.909,0,21.143,97038.8,21.349199999999925,21.397714285714333,23.35540000000005,1,0,1,48326.259531268406,48712.540468731604,1,go_short,go_short,-11.91673907
1.678,1.683,1.728649239591587,1.7798348951148557,1.67,1,1.6800000000000002,17267.0,1.7054000000000074,1.7091428571428613,1.7958800000000013,0,0,1,8638.642048838594,8628.357951161404,1,go_short,do_nothing,10.95405672
7.682,7.73,7.671126169052358,7.633257834757835,7.668,0,7.711,80578.41,7.669199999999999,7.660571428571431,7.630200000000001,0,0,0,40365.1087838628,40213.3012161372,1,go_short,go_long,-15.39222382
0.03891,0.04047,0.0382230099389548,0.0380029454225513,0.03866,0,0.04029,15002159.0,0.0384540000000004,0.0381014285714287,0.0378803999999999,0,0,0,7631780.127651515,7370378.872348485,1,go_short,go_long,8.75583594
9.394,9.683,10.266877895785234,10.79901829477632,9.257,0,9.283,1393403.66,9.746400000000095,9.98085714285716,11.00944000000001,0,0,1,692561.2344477164,700842.4255522835,1,go_short,do_nothing,-15.39483937
1.969,2.039,1.9704204569439967,1.9532446120930984,1.965,0,2.021,802512.14,1.9798000000000144,1.9772857142857043,1.94564,0,0,0,406485.4724160401,396026.6675839599,1,go_short,go_short,-15.39097575
1.831,1.893,1.8102459943543447,1.821600742148908,1.817,0,1.866,723056.3,1.8128000000000164,1.808714285714268,1.801639999999993,0,0,0,364950.78598863946,358105.5140113606,1,go_short,do_nothing,-7.47835659
7.682,7.73,7.671126169052358,7.633257834757835,7.668,0,7.711,80578.41,7.669199999999999,7.660571428571431,7.630200000000001,0,0,0,40365.1087838628,40213.3012161372,1,go_short,go_long,-15.39222382
10.465,10.489,11.059759123959546,11.425140331622387,8.022,1,9.504,8120239.5,10.671600000000174,10.927428571428552,11.556320000000042,0,0,1,3864728.1390154734,4255511.360984526,1,go_short,go_short,-15.50198387
