ask,bid,sma-compare,is_short,action,predicted_action,reward
347.7729941291585,348.2270058708415,0,1,go_short,go_short,-0.0775148
51183.77354103697,50451.22645896302,1,1,go_short,go_long,-1.25912245
21.07221942627076,20.92778057372924,0,0,go_long,go_long,-3.91440817
965.5852257181941,971.4147742818058,0,0,go_long,go_short,-1.6763358
38.00769802147343,37.99230197852657,0,0,go_long,go_long,-3.68475912
215.54422983281933,216.45577016718065,0,0,go_long,go_long,-3.46953222
16745.396515225533,16494.603484774463,0,0,go_long,go_long,-2.92130819
432.42788747826495,432.57211252173494,0,0,go_long,do_nothing,-2.29046887
3747.4847833870836,3773.515216612916,0,0,go_long,go_short,-0.58683968
1556.3897006149896,1557.6102993850104,1,0,go_long,do_nothing,-3.97880048
8.99645808736721,9.003541912632791,0,0,go_long,go_long,-3.59436235
4124008.9861678593,4102593.0138321407,0,1,go_short,do_nothing,0.44087059
373.74277769752996,373.25722230247004,0,0,go_long,go_long,-3.51894588
14010089.793954952,13844013.206045046,0,1,go_short,go_long,-6.59621124
401.784245727025,402.215754272975,0,1,go_short,go_short,-8.92028365
9224.0,9224.0,0,1,go_short,do_nothing,-9.04519643
122.83200367623596,123.16799632376406,1,1,go_short,do_nothing,-11.031457
87.14492454000414,88.85507545999587,0,1,go_short,go_short,-8.5154778
2132.388936066966,2103.611063933034,0,0,go_long,do_nothing,4.2827868
813.0711348324437,812.9288651675563,1,0,go_long,do_nothing,3.59364978
84853.68863383931,83297.31136616068,0,0,go_long,go_short,3.23133206
396.4634591961023,394.5365408038977,0,0,go_long,go_short,3.51678
3208.834108789443,3219.1658912105577,0,0,go_long,go_short,3.149109
1055.5396576798298,1061.4603423201702,0,0,go_long,go_short,2.98141035
252957.47020400583,281952.52979599417,1,0,go_long,go_long,2.96355061
61405.819187554014,60175.180812445986,0,0,go_long,go_long,3.46848359
4304366.223853211,5004679.776146789,1,0,go_long,go_short,3.528554
683.0,683.0,1,0,go_long,go_short,3.6744582
186959.9110983379,186334.08890166212,0,0,go_long,go_long,3.61710419
29625.890287652466,30105.10971234753,0,0,go_long,do_nothing,3.52383748
200858.89491350373,208576.10508649622,0,0,go_long,go_short,3.34112592
4927.175069060773,4861.824930939226,0,0,go_long,go_short,3.57681165
9557.934091986725,9704.065908013277,0,0,go_long,do_nothing,2.91621229
242.5688532799199,239.4311467200801,0,0,go_long,do_nothing,2.42653787
22661.264383244627,21997.735616755377,0,0,go_long,go_short,4.725352
688.3278594615236,712.6721405384764,0,0,go_long,do_nothing,2.757492
6748.370967741936,6969.629032258064,0,0,go_long,go_short,2.50780236
2777.6912669126364,2644.3087330873636,0,0,go_long,go_long,3.0232321
52442.52559726963,54240.474402730375,0,0,go_long,go_short,3.55321591
39553.29706334728,40512.70293665272,0,0,go_long,do_nothing,3.62314451
1144.0,1144.0,0,0,go_long,do_nothing,3.514074
15321.766532597512,15402.233467402488,0,0,go_long,do_nothing,4.14440821
1421442.30153866,1337864.6984613398,0,0,go_long,go_short,3.79700685
1345.22486104092,1354.7751389590799,1,0,go_long,do_nothing,3.37769739
137283.72870728394,164016.27129271606,0,0,go_long,do_nothing,3.41264358
475.2139001349528,477.7860998650473,0,0,go_long,go_short,3.55813197
21.98766572698774,22.012334273012264,0,0,go_long,go_long,4.17637213
8852.375828277349,9196.624171722653,1,0,go_long,do_nothing,3.8739457
228461.2124779282,246288.7875220718,0,0,go_long,do_nothing,7.1009665
813.7637583892617,807.2362416107381,0,0,go_long,do_nothing,2.91482502
5616.397264379717,5621.602735620283,0,0,go_long,do_nothing,4.4756659
1436.0037231158503,1432.9962768841497,0,0,go_long,do_nothing,3.14860399
4550.28276873068,4527.717231269321,0,0,go_long,go_short,3.27922827
422.5599799020224,418.4400200979776,0,0,go_long,do_nothing,2.8532728
23114.677166119352,23292.32283388065,0,0,go_long,do_nothing,2.51437406
15103.315686141763,15160.684313858235,0,0,go_long,go_short,3.06608709
128.6828856075431,128.31711439245686,0,0,go_long,do_nothing,3.31100149
75.5,75.5,0,0,go_long,do_nothing,7.3405829
199.7914340236059,193.20856597639408,0,0,go_long,go_long,3.1668663
13.482352941176469,13.51764705882353,0,0,go_long,go_short,3.5365056
9389.60860774119,9460.39139225881,0,0,go_long,go_short,2.23852849
1504.0507316134,1506.9492683866,0,0,go_long,go_short,1.6949324
13770.205221715705,14307.794778284293,1,0,go_long,go_long,4.599696
383827.93477662955,393448.0652233704,0,0,go_long,do_nothing,3.26224663
1027.0549733406879,1028.9450266593124,0,0,go_long,go_long,5.687541
4271.03962264151,4256.96037735849,0,0,go_long,go_long,3.54099214
16956.966538392924,17513.033461607072,0,0,go_long,go_long,3.24640814
26806.18046856878,31809.819531431225,1,0,go_long,do_nothing,4.764186
11180.5,11180.5,0,0,go_long,do_nothing,3.89340523
540385.8846083954,608221.1153916046,1,0,go_long,go_short,3.39388236
70.56521739130434,70.43478260869566,0,0,go_long,go_short,3.27412206
1418.3460955269143,1422.6539044730855,0,0,go_long,do_nothing,3.71802846
166509.13645876938,169367.86354123065,0,0,go_long,do_nothing,3.52565346
48459.44535334276,52579.55464665723,0,0,go_long,do_nothing,3.07925761
386358.4119782214,397536.5880217786,0,0,go_long,do_nothing,3.4820984
101940.0959870415,101302.90401295852,0,0,go_long,go_short,4.37128461
416000.59024875617,438620.4097512437,0,0,go_long,go_long,3.26541798
574906.7842890809,598692.215710919,0,0,go_long,go_short,3.52698841
463235.7092819615,479414.29071803857,0,0,go_long,go_short,3.89061376
32.0,32.0,1,0,go_long,go_long,3.52102366
