,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-large-rl (exit),long_jcrosk (exit),ema-12 (exit),short-small-rl (exit),low (exit),mean-grad-hist (exit),close (exit),open (exit),high (exit),long-bid-rl (exit),sma-25 (exit),volume (exit),short_kdj (exit),long-large-rl (exit),ema-26 (exit),sma-compare (exit),sma-05 (exit),long-small-rl (exit),sma-07 (exit),short-bid-rl (exit)
145,DOT/USDT:USDT,2024-11-23 15:45:00+00:00,first_buy,force_exit,8.852,8.938,8.380225025215909,8.11443896290711,8.714,0,8.882,5038632.2,0,False,8.549600000000328,8.456142857143233,8.051519999999684,-1.1885518,-0.01937421777254169,0,go_long,go_long,go_short,go_short,go_long,go_long,go_short,0,8.676063528771257,go_long,8.72,0,8.748,8.724,8.754,go_long,8.69507999999968,355860.5,False,go_short,8.676660121444288,0,8.680400000000326,go_long,8.674857142857524,go_long
474,YFI/USDT:USDT,2024-11-10 11:45:00+00:00,first_buy,force_exit,7705.0,7724.0,7003.495054993407,6532.317123322169,7400.0,0,7595.0,810.428,1,False,7417.399999999953,7222.285714285681,6371.200000000009,0.64301822,0.010572347665501056,0,go_long,go_long,go_short,go_short,go_long,go_long,go_short,0,7607.006542323701,go_long,7675.0,0,7736.0,7681.0,7740.0,go_long,7619.800000000009,20.425,False,go_short,7649.470191508155,0,7647.799999999954,go_long,7647.285714285681,go_long
122,TRB/USDT:USDT,2024-11-10 10:30:00+00:00,first_buy,force_exit,84.222,94.7,78.3407710278606,70.40069622161748,83.725,0,94.384,823172.4,0,False,84.48840000000317,83.18285714285805,66.70055999999958,-12.55445512,-0.2215423852764478,0,go_short,go_short,go_short,go_short,go_short,go_short,go_short,0,73.61837776651141,go_short,74.007,0,74.207,74.024,74.237,go_short,73.72023999999945,6680.8,False,go_short,73.7360765729477,0,73.69760000000329,go_short,73.67628571428659,go_short
416,COTI/USDT:USDT,2024-11-23 00:30:00+00:00,first_buy,force_exit,0.14569000000000001,0.156,0.13498315220889834,0.12583678458646197,0.14442000000000002,0,0.15519000000000002,78109032.0,0,False,0.14186199999999285,0.1386057142857196,0.12248080000000149,-2.85688421,-0.046558366262673186,0,go_long,go_long,go_short,go_short,go_short,go_short,go_short,0,0.14819385346245093,go_long,0.14792000000000002,0,0.14875000000000002,0.14806000000000002,0.14879,go_short,0.14923440000000138,1564625.0,False,go_short,0.14810268718259634,1,0.14735599999999288,go_long,0.1475628571428624,go_short
280,MKR/USDT:USDT,2024-11-22 03:45:00+00:00,first_buy,long-exit-profit,1668.8,1677.9,1657.1362737956686,1646.6929055185853,1668.4,0,1672.5,410.896,0,False,1664.0400000000038,1661.4285714285486,1651.627999999996,10.75869009,0.17850759255691992,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1839.2930581452758,go_long,1933.9,0,1976.9,1945.6,2017.6,do_nothing,1827.4679999999955,6971.997,False,go_short,1882.9834214601756,0,1922.2600000000027,go_long,1898.7999999999774,do_nothing
283,QTUM/USDT:USDT,2022-05-12 15:00:00+00:00,first_buy,long-exit-profit,3.551,3.681,3.5772138941859732,3.559245328671964,3.534,0,3.676,174516.7,0,False,3.566999999999723,3.5778571428572334,3.5490399999999505,10.69627125,0.1749211901574068,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,4.254887275237862,do_nothing,4.289,0,4.334,4.311,4.349,go_short,4.274999999999944,102297.5,False,do_nothing,4.28611578928855,0,4.293599999999729,go_long,4.2878571428572325,go_short
279,MKR/USDT:USDT,2024-11-06 23:00:00+00:00,first_buy,long-exit-profit,1399.0,1421.4,1348.3742208215465,1329.8292700690236,1391.7,0,1411.7,3224.535,1,False,1360.9800000000023,1351.0999999999779,1326.9439999999952,10.48624106,0.17256158713279263,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1644.6283379600723,go_long,1660.8,0,1669.0,1660.9,1678.1,do_nothing,1650.387999999996,652.594,False,go_short,1654.3428690312446,0,1660.900000000004,go_long,1658.2142857142628,do_nothing
285,QTUM/USDT:USDT,2022-06-13 14:45:00+00:00,first_buy,long-exit-profit,2.747,2.753,2.7268555139267745,2.741794708411887,2.678,1,2.69,123221.1,1,False,2.737399999999725,2.7250000000000925,2.7231199999999456,10.84482345,0.17735721225326812,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.120788603003325,do_nothing,3.145,0,3.178,3.16,3.181,go_short,3.1238799999999434,62545.2,False,do_nothing,3.1348824151659267,0,3.1409999999997233,go_long,3.1340000000000856,go_short
275,MKR/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,long-exit-profit,2688.0,2722.3,2783.7521702968024,2840.4687987247985,2317.6,1,2526.6,7471.674,0,False,2751.9199999999987,2785.271428571413,2863.7440000000006,10.73584484,0.17694012842294438,1,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,2913.331443811814,go_long,2954.0,0,2979.4,2954.0,2984.1,do_nothing,2902.0399999999995,629.848,False,go_short,2928.242527843402,0,2943.8799999999965,go_long,2934.0714285714125,do_nothing
286,QTUM/USDT:USDT,2022-07-07 19:30:00+00:00,first_buy,long-exit-profit,2.997,3.006,2.9800222375569865,2.958703597535194,2.992,0,2.999,46497.8,0,False,2.9919999999997193,2.9864285714286574,2.958639999999948,10.81340651,0.17651313572048866,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.3281198151927667,do_nothing,3.374,0,3.533,3.395,3.559,go_short,3.2907199999999506,1212115.8,False,do_nothing,3.348611871269139,0,3.3715999999997117,go_long,3.3564285714286552,go_short
273,MKR/USDT:USDT,2024-03-21 22:30:00+00:00,first_buy,long-exit-profit,3447.4,3448.5,3348.7652055820504,3274.890850367659,3381.8,1,3382.6,1186.718,1,False,3396.78,3390.6428571428414,3245.4240000000004,10.70540393,0.17566464011634456,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,3950.803481805206,go_long,3994.2,0,4028.0,3996.9,4032.7,do_nothing,3943.204,596.31,False,go_short,3973.1942333878824,0,3995.1800000000003,go_long,3984.6857142856984,do_nothing
272,MKR/USDT:USDT,2024-03-13 21:45:00+00:00,first_buy,long-exit-profit,2893.6,2904.8,2872.2610819196593,2846.160302573216,2884.5,0,2903.5,442.555,0,False,2888.8600000000024,2887.7428571428395,2833.4240000000004,10.75065432,0.17612249311402145,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,3266.2741183970716,go_long,3404.0,1,3447.4,3411.4,3472.0,do_nothing,3236.152,1526.92,False,go_short,3342.613424778787,0,3393.1600000000008,go_long,3387.1142857142704,do_nothing
271,MKR/USDT:USDT,2024-03-09 12:15:00+00:00,first_buy,long-exit-profit,2474.7,2500.0,2422.54774793709,2373.476700140558,2433.9,1,2438.9,2792.483,1,False,2445.3799999999983,2437.6857142857,2392.4840000000067,10.52668241,0.17246685106611304,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,2841.5731267790734,go_long,2883.1,1,2893.5,2884.9,2898.2,do_nothing,2827.5280000000002,358.287,False,go_short,2866.5812786323245,0,2884.8800000000024,go_long,2881.928571428554,do_nothing
270,MKR/USDT:USDT,2024-01-10 21:30:00+00:00,first_buy,long-exit-profit,2037.9,2040.2,2008.2958260095481,1995.5703569200077,2010.0,1,2016.6,1877.629,1,False,2017.299999999992,2014.2714285714242,1998.5400000000059,10.51817903,0.17367764761973123,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,2368.2428361518027,go_long,2444.6,0,2474.7,2453.7,2483.8,do_nothing,2384.920000000007,1823.327,False,go_short,2419.5746111983794,0,2437.3999999999987,go_long,2432.1999999999857,do_nothing
269,MKR/USDT:USDT,2023-12-31 18:15:00+00:00,first_buy,long-exit-profit,1715.8,1728.7,1689.575350175566,1667.7234399951979,1710.6,0,1719.9,1741.169,0,False,1706.5199999999938,1700.3285714285669,1666.2120000000077,10.58825265,0.17571910285523204,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1993.8879854736083,go_long,2004.3,0,2037.5,2023.0,2048.0,do_nothing,1997.628000000006,1243.717,False,go_short,2006.7859761931024,0,2014.899999999992,go_long,2012.2571428571384,do_nothing
268,MKR/USDT:USDT,2023-09-26 18:30:00+00:00,first_buy,long-exit-profit,1403.9,1412.0,1381.0012002268095,1363.8345804939763,1397.5,1,1409.1,2873.339,0,False,1395.300000000007,1395.9285714285663,1356.0320000000095,10.54069899,0.1737901121312601,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1663.5493151948137,go_long,1696.5,0,1715.8,1707.6,1718.3,do_nothing,1662.8000000000075,1243.397,False,go_short,1684.0617774802142,0,1699.339999999994,go_long,1692.5571428571384,do_nothing
267,MKR/USDT:USDT,2023-07-21 02:30:00+00:00,first_buy,long-exit-profit,1206.7,1216.0,1109.9893928064657,1075.1350333610371,1168.5,0,1177.4,27658.383,0,False,1148.1200000000026,1131.3714285714316,1058.92400000001,10.6807212,0.17423222495037835,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1360.2133469334944,go_long,1391.8,0,1403.9,1391.9,1405.5,do_nothing,1353.3120000000094,3434.829,False,go_short,1375.8923275407749,0,1392.300000000007,go_long,1389.4999999999948,do_nothing
278,MKR/USDT:USDT,2024-10-22 13:15:00+00:00,first_buy,long-exit-profit,1166.6,1168.9,1172.7966992297254,1176.4813914584336,1157.5,1,1164.0,1147.491,0,False,1170.0800000000006,1172.6428571428353,1177.983999999996,11.80391402,0.19482094069029043,1,go_long,go_long,go_short,go_short,do_nothing,do_nothing,go_short,0,1323.2796116745453,go_long,1332.7,0,1399.0,1332.9,1410.0,do_nothing,1322.7199999999953,10670.273,False,go_short,1336.8604427891005,0,1344.7600000000023,go_long,1339.0285714285492,do_nothing
287,QTUM/USDT:USDT,2022-07-25 07:45:00+00:00,first_buy,long-exit-profit,3.533,3.583,3.3677485064585024,3.3388516807340434,3.449,0,3.473,3427200.7,1,False,3.405599999999711,3.3775714285715126,3.2987599999999504,11.04008546,0.18038311226900489,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.9176955925501455,do_nothing,4.062,0,4.1,4.064,4.2,go_short,3.9077199999999492,709836.8,False,do_nothing,4.005815477585808,0,4.042799999999713,go_long,4.036714285714374,go_short
293,QTUM/USDT:USDT,2023-02-08 02:45:00+00:00,first_buy,long-exit-profit,2.996,3.001,2.9786078351780003,2.955451401632505,2.993,1,2.9939999999999998,19191.0,1,False,2.990199999999699,2.9838571428572576,2.957159999999941,10.80909995,0.17679643025187056,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.4352008537096177,do_nothing,3.477,0,3.541,3.477,3.55,go_short,3.4419599999999417,421329.1,False,do_nothing,3.475484833004396,0,3.5009999999996957,go_long,3.4882857142858295,go_short
291,QTUM/USDT:USDT,2023-01-09 00:15:00+00:00,first_buy,long-exit-profit,2.017,2.056,2.006638888073702,1.9923682177635333,2.015,0,2.043,541987.6,0,False,2.018599999999703,2.013000000000097,1.9873199999999382,10.66076216,0.17385099653855776,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.3566198433962566,do_nothing,2.385,0,2.406,2.385,2.407,go_short,2.365719999999937,99463.6,False,do_nothing,2.3757175588530073,0,2.378199999999702,go_long,2.3770000000000975,go_short
322,APE/USDT:USDT,2022-06-15 08:45:00+00:00,first_buy,long-exit-profit,3.144,3.223,3.278980616922573,3.3575550000630816,3.1390000000000002,1,3.15,1809107.0,0,False,3.2183999999999813,3.2592857142856846,3.3732400000000298,11.68714021,0.19501686591148584,1,go_long,go_short,go_short,go_short,go_short,go_short,go_short,1,3.3716136601971995,go_short,3.64,0,3.7720000000000002,3.676,3.797,go_short,3.3360400000000308,2580770.0,False,go_short,3.462694279104642,0,3.5973999999999804,go_long,3.5057142857142574,go_short
319,APE/USDT:USDT,2022-05-11 14:00:00+00:00,first_buy,long-exit-profit,6.516,6.958,6.665402163778122,7.1700601372493376,6.2780000000000005,0,6.493,6160876.0,0,False,6.051199999999987,6.2574285714285045,7.241160000000037,12.79254717,0.2186930780600887,1,go_long,go_short,go_short,go_short,go_short,go_short,go_short,0,6.748576474839276,go_short,7.3,0,7.92,7.365,7.977,go_short,6.6831600000000355,5324433.0,False,go_short,7.070791807153028,0,7.282199999999986,go_long,7.219714285714218,go_short
318,APE/USDT:USDT,2022-05-11 13:00:00+00:00,first_buy,long-exit-profit,6.269,6.279,7.05094919743644,7.5101008419838085,5.136,1,5.468,11705394.0,1,False,6.724599999999986,6.916714285714219,7.471280000000037,11.319099,0.1877590902248437,1,go_long,go_short,go_short,go_short,go_short,go_short,go_short,0,7.224224948229285,go_short,5.697,0,6.518,6.244,6.537,go_short,7.266120000000037,5714691.0,False,go_short,6.69674801173778,1,6.007199999999987,go_long,6.3948571428570755,go_short
315,APE/USDT:USDT,2022-03-17 21:45:00+00:00,first_buy,long-exit-profit,8.803,8.869,8.143410814751398,7.939360398860399,8.426,0,8.653,3662401.0,0,False,8.375800000000002,8.249285714285714,7.8575599999999985,57.7163573,0.9520292352123144,0,go_long,go_short,go_short,go_short,go_short,go_short,go_short,0,16.649713881669513,go_short,16.311,1,16.311,16.311,16.311,go_short,16.761960000000034,0.0,False,go_short,16.46606564725561,1,16.315600000000018,go_long,16.37557142857138,go_short
313,QTUM/USDT:USDT,2024-11-16 14:15:00+00:00,first_buy,long-exit-profit,3.153,3.168,3.04956579007265,2.999521895023568,3.117,0,3.125,427847.7,1,False,3.093399999999697,3.068428571428676,2.989399999999924,12.38320339,0.2020374284251378,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.4796747617086194,do_nothing,3.645,0,3.769,3.659,3.7720000000000002,go_short,3.4527999999999213,344697.8,False,do_nothing,3.5484732440317224,0,3.5993999999996946,go_long,3.569000000000107,go_short
312,QTUM/USDT:USDT,2024-06-18 01:30:00+00:00,first_buy,long-exit-profit,2.6870000000000003,2.688,2.7099945084557424,2.7417082026188786,2.535,1,2.626,389539.5,0,False,2.6803999999996684,2.694714285714413,2.75843999999993,10.87008867,0.17747956945172638,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.989483646625453,do_nothing,3.083,0,3.152,3.092,3.154,go_short,2.980439999999924,342285.7,False,do_nothing,3.035850479176768,0,3.069599999999697,go_long,3.0510000000001045,go_short
310,QTUM/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,long-exit-profit,3.8689999999999998,3.902,4.056324304212686,4.1924633954500425,3.26,1,3.59,1796349.3,0,False,3.96879999999967,4.039714285714408,4.22647999999993,11.09629358,0.1816353985192261,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.8483927029182374,do_nothing,4.129,0,4.248,4.176,4.267,go_short,3.804439999999932,650446.1,False,do_nothing,3.921692678901015,0,4.006199999999668,go_long,3.9305714285715525,go_short
308,QTUM/USDT:USDT,2024-03-04 07:15:00+00:00,first_buy,long-exit-profit,4.755,4.898,4.398179134553971,4.303315583289701,4.662,0,4.889,2000617.5,0,False,4.4761999999996736,4.407714285714418,4.26455999999991,11.26652836,0.18421068882018143,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,4.680302907884446,do_nothing,5.504,0,5.802,5.587,5.845,go_short,4.51191999999991,3221012.2,False,do_nothing,5.0308024708223735,0,5.455399999999676,go_long,5.274142857142991,go_short
307,QTUM/USDT:USDT,2024-03-02 00:30:00+00:00,first_buy,long-exit-profit,3.963,3.993,3.930293639457363,3.8988560651274575,3.954,0,3.982,139220.8,0,False,3.9461999999996813,3.93971428571442,3.8971599999999103,11.45908155,0.1866782651164643,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,4.256460829952878,do_nothing,4.253,0,4.753,4.253,4.77,go_short,4.23755999999991,2890520.4,False,do_nothing,4.308938977200148,0,4.345999999999674,go_long,4.311285714285847,go_short
306,QTUM/USDT:USDT,2023-10-28 08:45:00+00:00,first_buy,long-exit-profit,3.126,3.178,3.0358744178581376,2.9544576844436503,3.11,0,3.163,2444523.7,0,False,3.088399999999665,3.074428571428694,2.938719999999921,10.58294912,0.17313259832534314,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,3.892204550337654,do_nothing,3.923,0,3.964,3.932,3.966,go_short,3.89079999999991,90638.5,False,do_nothing,3.920892482995065,0,3.9365999999996815,go_long,3.932142857142992,go_short
305,QTUM/USDT:USDT,2023-10-27 13:30:00+00:00,first_buy,long-exit-profit,2.641,2.645,2.6004712230443574,2.573709027731902,2.623,0,2.632,168626.3,1,False,2.617999999999664,2.6090000000001226,2.5699599999999214,11.34959493,0.18488619228065725,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.9377742991991425,do_nothing,3.065,0,3.124,3.065,3.141,go_short,2.9251599999999214,2291825.7,False,do_nothing,3.0127606756505263,0,3.0707999999996654,go_long,3.046428571428694,go_short
304,QTUM/USDT:USDT,2023-08-19 09:15:00+00:00,first_buy,long-exit-profit,2.213,2.213,2.1923397494840424,2.183854899303584,2.203,1,2.206,32071.6,0,False,2.2041999999996764,2.1984285714286878,2.1783599999999135,10.95681226,0.17848422538933048,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.569045749950454,do_nothing,2.6189999999999998,0,2.641,2.623,2.653,go_short,2.5657999999999213,272074.3,False,do_nothing,2.5947387181433315,0,2.6081999999996643,go_long,2.600714285714408,go_short
303,QTUM/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,long-exit-profit,2.26,2.26,2.2238448930226062,2.26106739023263,1.8639999999999999,1,1.883,1054892.6,0,False,2.1949999999996783,2.2257142857144006,2.269679999999913,10.55694276,0.17233377774641717,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.1820832912478707,do_nothing,2.203,0,2.212,2.206,2.213,go_short,2.176999999999913,34735.8,False,do_nothing,2.18985606757205,0,2.199999999999677,go_long,2.193571428571545,go_short
301,QTUM/USDT:USDT,2023-06-30 17:15:00+00:00,first_buy,long-exit-profit,2.625,2.662,2.6039255139656174,2.602782231982151,2.624,0,2.654,423399.2,0,False,2.5959999999996706,2.588142857142974,2.637799999999928,14.02110162,0.22838709166686272,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.895719407026672,do_nothing,3.094,0,3.267,3.101,3.33,go_short,2.8974799999999292,8129497.2,False,do_nothing,2.971288788413808,0,3.0231999999996715,go_long,2.988857142857262,go_short
300,QTUM/USDT:USDT,2023-06-22 02:45:00+00:00,first_buy,long-exit-profit,2.32,2.325,2.2999555455222414,2.279462866396567,2.315,1,2.322,34744.8,0,False,2.3167999999996676,2.3121428571429687,2.2712799999999316,11.62906363,0.18943382681446705,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,do_nothing,0,2.567204810030194,do_nothing,2.657,0,2.774,2.66,2.798,go_short,2.5421999999999274,1759684.2,False,do_nothing,2.644736674409399,0,2.69699999999967,go_long,2.681428571428687,go_short
