,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,ema-12 (exit),sma-07 (exit),close (exit),high (exit),sma-compare (exit),short-large-rl (exit),ema-26 (exit),low (exit),long-large-rl (exit),short_kdj (exit),volume (exit),sma-05 (exit),short-small-rl (exit),sma-25 (exit),long-small-rl (exit),mean-grad-hist (exit),open (exit),long_jcrosk (exit)
400,COTI/USDT:USDT,2021-12-04 05:30:00+00:00,first_buy,roi,0.3265,0.33177,0.3634919710114054,0.38670990968059515,0.24521,1,0.26932,29107117.0,0,False,0.3453479999999967,0.3580014285714304,0.3943224000000017,24.06103418,0.3933663533332174,1,go_long,go_short,go_short,go_short,2021-12-04 19:45:00+00:00,0.35876957898703793,0.36288857142857317,0.37559000000000003,0.3765,0,go_short,0.3635348146469879,0.37076000000000003,go_short,False,2498358.0,0.36492599999999686,go_short,0.359300800000002,go_long,0,0.37136,0
398,COTI/USDT:USDT,2021-09-16 13:15:00+00:00,first_buy,roi,0.36212000000000005,0.37654000000000004,0.3611590706443228,0.3546478977873193,0.36073000000000005,0,0.36909000000000003,10767466.0,0,False,0.3627719999999983,0.3620557142857133,0.3558488000000011,24.54751096,0.4003166225103319,0,go_long,go_short,go_short,go_short,2021-09-23 20:00:00+00:00,0.4704358049208569,0.4879414285714275,0.5051300000000001,0.508,0,go_short,0.48361138553256744,0.49096000000000006,go_short,False,26379336.0,0.48955199999999877,go_short,0.47253560000000144,go_long,0,0.49108,0
397,COTI/USDT:USDT,2021-09-07 15:00:00+00:00,first_buy,roi,0.31413,0.31414000000000003,0.3193331495012273,0.3298562462994534,0.26,1,0.26890000000000003,31232958.0,0,False,0.31050399999999856,0.31784571428571423,0.331844000000001,24.28061859,0.3967747196605386,1,go_long,go_short,go_short,go_short,2021-09-16 13:00:00+00:00,0.35349252961030486,0.3611742857142847,0.36196,0.36644000000000004,0,go_short,0.3597170834887451,0.36186,go_short,False,2656271.0,0.3612739999999984,go_short,0.35452360000000105,go_long,0,0.36578000000000005,0
395,COTI/USDT:USDT,2021-08-20 15:00:00+00:00,first_buy,roi,0.27287,0.27476,0.2664284050273508,0.2625160111156319,0.2707,1,0.27174000000000004,4774807.0,0,False,0.2697079999999984,0.269102857142857,0.2612004000000012,23.58130513,0.3854406548310243,0,go_long,go_short,go_short,go_short,2021-08-25 23:30:00+00:00,0.3008624323088506,0.3006728571428572,0.30409,0.30459,0,go_short,0.3014404291831,0.3022,go_short,False,909123.0,0.30080199999999857,go_short,0.3022936000000012,go_long,0,0.30266000000000004,0
373,MASK/USDT:USDT,2023-01-14 08:45:00+00:00,first_buy,roi,3.138,3.179,3.0923834435199575,3.0446041804030535,3.132,0,3.176,924298.0,0,False,3.1256000000001345,3.1134285714286523,3.0301199999999877,23.3207263,0.3860769732057681,0,go_long,go_long,go_short,go_short,2023-01-31 23:45:00+00:00,4.190087490244504,4.238285714285791,4.401,4.42,0,go_short,4.241005604110402,4.228,go_short,False,4921268.0,4.266400000000138,go_long,4.204119999999986,go_long,0,4.25,0
394,COTI/USDT:USDT,2021-08-10 13:30:00+00:00,first_buy,roi,0.1905,0.19585000000000002,0.1881105171428194,0.18590947402129673,0.18925000000000003,0,0.19524000000000002,27301856.0,1,False,0.1901839999999976,0.18863714285714264,0.1858768000000011,23.51712252,0.3830072903788381,0,go_long,go_short,go_short,go_short,2021-08-20 14:45:00+00:00,0.26177809200488245,0.26821857142857125,0.27289,0.27322,0,go_short,0.2654626604868691,0.2666,go_short,False,4464581.0,0.26944199999999835,go_short,0.2603624000000012,go_long,0,0.26773,0
391,COTI/USDT:USDT,2021-05-23 09:00:00+00:00,first_buy,roi,0.16871000000000003,0.17007000000000003,0.17810169365641842,0.18559076930418617,0.15872,1,0.16374000000000002,3870000.0,0,False,0.1718879999999984,0.17446142857142774,0.18775200000000092,24.23529847,0.3947835372812748,1,go_long,go_short,go_short,go_short,2021-05-26 01:30:00+00:00,0.21325019607929957,0.21968571428571346,0.22613000000000003,0.22744000000000003,0,go_short,0.21794461030846576,0.22138000000000002,go_short,False,840638.0,0.22033799999999823,go_short,0.21091200000000104,go_long,0,0.22210000000000002,0
389,COTI/USDT:USDT,2021-05-19 13:45:00+00:00,first_buy,roi,0.15258000000000002,0.21758000000000002,0.23008165142993248,0.26887064372162406,0.13724,0,0.19147000000000003,982765.0,0,False,0.181603999999998,0.21020999999999948,0.28568880000000096,24.0792672,0.3926073926073926,1,go_long,go_short,go_short,go_short,2021-05-19 15:30:00+00:00,0.25488887571484625,0.23207142857142798,0.25654000000000005,0.26609000000000005,0,go_short,0.23612151418682117,0.25166,go_short,False,2861794.0,0.24309999999999796,go_short,0.259503200000001,go_long,0,0.25672,0
388,COTI/USDT:USDT,2021-05-19 13:15:00+00:00,first_buy,roi,0.1819,0.21616000000000002,0.2522441247244511,0.28476211083690234,0.13425,1,0.15111000000000002,4128237.0,0,False,0.225235999999998,0.24103142857142804,0.297101200000001,24.05142315,0.3926073926073926,1,go_long,go_short,go_short,go_short,2021-05-19 13:30:00+00:00,0.275062695219354,0.2230685714285709,0.15382,0.17486000000000002,1,go_short,0.23710195168992018,0.13077,go_short,False,1799029.0,0.198757999999998,go_short,0.290768800000001,go_long,1,0.15111000000000002,0
385,COTI/USDT:USDT,2021-04-18 03:30:00+00:00,first_buy,roi,0.32142000000000004,0.32385,0.32974195391487865,0.3408753586857527,0.25765000000000005,1,0.28801000000000004,18003714.0,0,False,0.32300399999999707,0.3274942857142857,0.34546879999999996,23.82325084,0.3891080487810727,1,go_long,go_short,go_short,go_short,2021-04-29 09:30:00+00:00,0.3786906316641264,0.3875657142857141,0.39928,0.39930000000000004,0,go_short,0.3843746583540785,0.3896,go_short,False,4227295.0,0.38813199999999665,go_short,0.37391800000000003,go_long,0,0.39158000000000004,0
382,MASK/USDT:USDT,2024-10-29 16:30:00+00:00,first_buy,roi,2.431,2.7,2.3829043452209127,2.3513650724277984,2.4172000000000002,0,2.6833,6885953.0,0,False,2.414000000000171,2.381457142857215,2.326603999999989,22.890462,0.38748783200193854,0,go_long,go_long,go_short,go_short,2024-11-12 10:15:00+00:00,3.198091465019975,3.2323285714286434,3.4772,3.4912,0,go_short,3.2404887958985493,3.0866,go_short,False,7571008.0,3.2342200000001675,go_long,3.195803999999992,go_long,0,3.166,0
381,MASK/USDT:USDT,2024-07-05 03:00:00+00:00,first_buy,roi,1.951,1.959,1.9646598476682169,2.0320817227001577,1.806,1,1.8439999999999999,1403361.0,0,False,1.9308000000001861,1.9354285714286417,2.059919999999997,22.38294645,0.367458520083742,1,go_long,go_long,go_short,go_short,2024-10-29 16:15:00+00:00,2.324810278222022,2.327257142857215,2.4309,2.4859,0,go_short,2.328286953442897,2.3528000000000002,go_short,False,3190070.0,2.3370200000001713,go_long,2.314219999999989,go_long,0,2.3545,0
378,MASK/USDT:USDT,2023-11-04 04:15:00+00:00,first_buy,roi,3.359,3.383,3.359681608225798,3.3562698338620858,3.35,0,3.379,311393.0,0,False,3.353600000000154,3.3571428571429545,3.348159999999981,21.26107684,0.34910974692631497,0,go_long,go_long,go_short,go_short,2024-01-07 00:00:00+00:00,4.57063922576898,4.701714285714396,4.795,4.82,0,go_short,4.691896907309824,4.747,go_short,False,2403627.0,4.728400000000159,go_long,4.612599999999984,go_long,0,4.777,0
393,COTI/USDT:USDT,2021-06-21 23:00:00+00:00,first_buy,roi,0.14016,0.14111,0.14427112228034908,0.14815766807000508,0.13648000000000002,1,0.13696,2573797.0,1,False,0.1408619999999981,0.14214571428571335,0.14846760000000084,23.12202717,0.3766810906085335,1,go_long,go_short,go_short,go_short,2021-08-10 13:15:00+00:00,0.18516303194300046,0.18704571428571404,0.19057000000000002,0.19137,0,go_short,0.18681424753242293,0.18896000000000002,go_short,False,6565960.0,0.1880779999999976,go_short,0.18550560000000108,go_long,0,0.19118000000000002,0
171,STORJ/USDT:USDT,2021-11-26 03:00:00+00:00,second_buy,roi,2.6645,2.8346999999999998,2.5640300663127125,2.41635824341685,2.6399,0,2.7947,5276218.0,0,False,2.700880000000008,2.657614285714311,2.3443080000000034,23.06479309,0.393269031113024,0,go_long,go_short,do_nothing,do_nothing,2021-12-04 04:45:00+00:00,2.037828425719394,1.9589142857143176,1.8889,1.9555,1,do_nothing,1.9802507991734206,1.8849,do_nothing,False,982793.0,1.9427600000000087,go_short,2.049556000000002,go_long,1,1.9465,0
243,LTC/USDT:USDT,2021-05-23 12:45:00+00:00,first_buy,roi,143.05,145.4,145.95191884616278,151.4988566154699,130.65,1,131.12,266637.383,0,False,143.7559999999998,145.5842857142873,151.37880000000064,24.04595812,0.39236335248957815,1,go_long,go_long,go_short,go_short,2021-05-24 23:30:00+00:00,175.23464182254764,178.698571428573,181.04,182.22,0,go_short,178.14284339521592,179.31,go_short,False,49231.627,178.6819999999997,go_long,175.41640000000064,go_long,0,179.81,0
89,LPT/USDT:USDT,2022-06-18 20:00:00+00:00,first_buy,roi,6.71,6.733,6.848311050742946,6.935494056795196,6.619,1,6.629,11828.1,0,False,6.777999999999909,6.81185714285691,6.975279999999853,23.86744878,0.3905509666448026,1,go_long,go_long,go_short,go_short,2022-06-24 20:00:00+00:00,9.057636459510103,9.15942857142834,9.221,9.233,0,go_short,9.122736396031401,9.175,go_short,False,5602.7,9.196599999999924,go_long,9.044319999999852,go_long,0,9.217,0
