,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),long_jcrosk (exit),long-large-rl (exit),volume (exit),sma-compare (exit),high (exit),close (exit),low (exit),mean-grad-hist (exit),sma-25 (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),ema-12 (exit),sma-07 (exit),open (exit),ema-26 (exit),long-bid-rl (exit),sma-05 (exit)
322,CTSI/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,trailing_stop_loss,0.1663,0.1663,0.16775765405492593,0.17063831093207935,0.1489,1,0.153,7696121.0,1,False,0.1654599999999979,0.1670714285714237,0.17170400000000322,-21.51590038,-0.3510746656413594,1,go_long,do_nothing,go_short,go_short,go_long,go_long,2024-08-05 06:15:00+00:00,do_nothing,go_long,1,go_short,2995637.0,1,0.1111,0.1096,0.10880000000000001,1,0.11363200000000294,go_long,go_short,False,0.11411545466575858,0.11104285714285204,0.1105,0.11155839690469264,go_long,0.11085999999999732
329,ARK/USDT:USDT,2023-11-04 07:00:00+00:00,first_buy,trailing_stop_loss,1.3372,1.5049000000000001,1.2188191153253,1.1812401473042402,1.3363,0,1.4428,35289125.0,0,False,1.2490600000000003,1.220700000000004,1.1592680000000002,-16.46716515,-0.2715123229150481,0,go_long,go_short,go_long,go_long,go_long,go_long,2023-11-28 05:45:00+00:00,go_short,go_long,1,go_long,3414633.0,1,1.0663,1.0461,1.0422,1,1.0931239999999973,go_long,go_long,False,1.0888427183778642,1.0645142857142802,1.0643,1.0702640409297703,go_long,1.0634600000000043
330,ARK/USDT:USDT,2023-11-28 06:00:00+00:00,first_buy,trailing_stop_loss,1.0461,1.0575,1.0660541884790364,1.085439554053578,1.0232,1,1.0429,6110609.0,0,False,1.0593600000000045,1.0600857142857087,1.0888959999999974,-22.44082734,-0.3706245008294003,1,go_long,go_short,go_long,go_long,go_long,go_long,2024-04-12 18:30:00+00:00,go_short,go_long,0,go_long,526588.0,1,0.8793000000000001,0.8652000000000001,0.8579,1,0.9172880000000008,go_long,go_long,False,0.9135721523995026,0.8892142857142751,0.879,0.8964508390076947,go_long,0.8784600000000105
302,CTSI/USDT:USDT,2022-01-21 22:00:00+00:00,first_buy,trailing_stop_loss,0.5025000000000001,0.5025000000000001,0.514849025280624,0.5222564143238005,0.4666,1,0.4894,3480977.0,0,False,0.5110599999999978,0.5130857142857133,0.5251760000000035,-20.11868382,-0.32881121038470734,1,go_long,do_nothing,go_short,go_short,go_long,go_long,2022-02-24 05:00:00+00:00,do_nothing,go_long,0,go_short,460635.0,1,0.3309,0.33030000000000004,0.3269,0,0.3541040000000039,go_long,go_short,False,0.35122540377625094,0.3311285714285699,0.328,0.339533717269391,go_long,0.3286799999999985
229,COTI/USDT:USDT,2022-11-04 02:30:00+00:00,second_buy,trailing_stop_loss,0.10636000000000001,0.10898000000000001,0.10437391278673298,0.10345077381126623,0.10567000000000001,0,0.10801000000000001,19141682.0,0,False,0.10521599999999456,0.10477000000000254,0.103117200000002,11.06405421,0.1806082544157483,0,go_short,go_short,go_short,go_short,go_short,go_short,2022-11-10 21:15:00+00:00,go_short,go_short,0,go_short,1746870.0,0,0.08792000000000001,0.08721000000000001,0.08686,0,0.08603280000000205,go_short,go_short,False,0.08551650889990446,0.08620714285714541,0.08734,0.08608767569276705,go_short,0.0863699999999948
0,STMX/USDT:USDT,2021-03-22 13:45:00+00:00,first_buy,trailing_stop_loss,0.058050000000000004,0.05831000000000001,0.058772610884124374,0.05974860398860399,0.05516000000000001,0,0.056010000000000004,16302643.0,1,False,0.057932000000000004,0.05836571428571429,0.05985760000000001,-2.26182717,-0.03685614353546113,1,go_long,do_nothing,go_short,go_short,go_long,go_long,2021-04-07 11:15:00+00:00,do_nothing,go_long,0,go_short,20286734.0,1,0.06316000000000001,0.062020000000000006,0.0613,1,0.06498039999999991,go_long,go_short,False,0.0656617737549799,0.06318428571428548,0.06192,0.06344516842006183,go_long,0.06305599999999999
227,COTI/USDT:USDT,2022-10-10 22:15:00+00:00,second_buy,trailing_stop_loss,0.11180000000000001,0.11180000000000001,0.11120977389424068,0.11190524665895028,0.10382000000000001,1,0.1072,32657773.0,0,False,0.11087199999999446,0.1111642857142883,0.1119500000000021,2.01299377,0.03285527532403115,1,go_short,go_short,go_short,go_short,go_short,go_short,2022-10-25 17:00:00+00:00,go_short,go_short,0,go_short,2479179.0,0,0.10287,0.10284000000000001,0.10208,0,0.101965200000002,go_short,go_short,False,0.10191080673115313,0.10226857142857404,0.10266000000000002,0.10220489953529564,go_short,0.10248599999999444
92,BAL/USDT:USDT,2022-04-30 22:15:00+00:00,first_buy,trailing_stop_loss,12.862,12.862,12.885695072032403,12.989715325102749,12.636,1,12.773,45642.7,0,False,12.823799999999718,12.846714285714523,12.974280000000117,-33.30498682,-0.5427190192232864,1,go_long,go_long,go_long,go_long,go_long,go_long,2022-06-12 05:00:00+00:00,go_long,go_long,0,go_long,51908.1,1,5.811,5.7379999999999995,5.713,1,6.031480000000104,go_long,go_long,False,6.002932580470902,5.849000000000247,5.808,5.883112339777132,go_long,5.826599999999727
91,BAL/USDT:USDT,2022-01-22 07:30:00+00:00,first_buy,trailing_stop_loss,12.087,12.087,12.230655286044872,12.502336332896506,11.667,0,11.812,31112.9,1,False,12.001599999999755,12.042857142857338,12.596080000000077,6.30521676,0.1045616262982451,1,go_long,go_long,go_long,go_long,go_long,go_long,2022-04-30 22:00:00+00:00,go_long,go_long,0,go_long,16168.3,1,12.911,12.862,12.841,0,12.991680000000118,go_long,go_long,False,13.007052551110968,12.869000000000238,12.854,12.906185085129204,go_long,12.847799999999719
90,BAL/USDT:USDT,2021-12-04 05:00:00+00:00,first_buy,trailing_stop_loss,17.65,17.97,17.9758533385774,18.356437340827988,16.404,1,16.94,146630.0,1,False,17.69979999999969,17.83714285714297,18.424640000000114,-16.65116378,-0.27249528629194847,1,go_long,go_long,go_long,go_long,go_long,go_long,2022-01-22 07:15:00+00:00,go_long,go_long,0,go_long,26986.0,1,12.186,12.072,11.928,0,12.634880000000075,go_long,go_long,False,12.557563239528227,12.112571428571623,11.989,12.306774428962122,go_long,12.066399999999755
89,BAL/USDT:USDT,2021-09-07 15:15:00+00:00,first_buy,trailing_stop_loss,23.936,25.74,28.354174625999903,29.78928218587719,20.174,1,22.743,172625.6,0,False,27.039199999999806,28.105714285714434,30.141840000000137,-17.19957434,-0.2902333020514839,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-12-04 04:45:00+00:00,go_long,go_long,0,go_long,24572.8,1,18.095,17.651,17.629,1,18.505280000000113,go_long,go_long,False,18.469752328094227,18.041714285714402,17.972,18.164190309227838,go_long,17.94879999999969
88,BAL/USDT:USDT,2021-06-20 00:15:00+00:00,first_buy,trailing_stop_loss,18.784,18.909,19.039298503655672,19.211614476067442,18.648,1,18.802,11607.3,0,False,18.896599999999818,18.923428571428712,19.22024000000006,7.61016802,0.1263522684968066,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-09-07 15:00:00+00:00,go_long,go_long,0,go_long,251680.9,1,29.118,23.936,22.981,1,30.481040000000135,go_long,go_long,False,30.352984760747365,29.320285714285863,29.075,29.374388194363522,go_long,28.601199999999807
87,BAL/USDT:USDT,2021-05-19 04:45:00+00:00,first_buy,trailing_stop_loss,43.871,44.695,45.901978340864446,47.33360959922917,42.742,1,43.269,23612.8,0,False,45.06939999999981,45.446571428571566,47.7968000000001,-32.93895217,-0.5429753894823397,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-06-20 00:00:00+00:00,go_long,go_long,1,go_long,11401.0,1,18.96,18.778,18.759,1,19.24740000000006,go_long,go_long,False,19.24438363415284,18.970857142857284,18.866,19.08244368613852,go_long,18.93139999999982
86,BAL/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,trailing_stop_loss,37.626,37.884,37.74657275960699,37.5587743475523,37.412,1,37.875,5280.0,0,False,37.69180000000004,37.74442857142862,37.44391999999991,-2.51254676,-0.04140772190381545,0,go_long,go_long,go_long,go_long,go_long,go_long,2021-05-19 04:30:00+00:00,go_long,go_long,0,go_long,17857.6,1,45.899,43.864,43.645,1,48.099040000000095,go_long,go_long,False,47.65877836716751,45.866142857143,45.763,46.380701675567074,go_long,45.775999999999804
84,BAL/USDT:USDT,2020-11-02 11:30:00+00:00,first_buy,trailing_stop_loss,9.229,9.245,9.400280167129104,9.567685688459889,9.169,0,9.222,6255.7,0,False,9.26160000000005,9.295285714285754,9.643639999999984,120.18436075,1.9724124545938584,1,go_long,go_long,go_long,go_long,go_long,go_long,2021-02-23 08:45:00+00:00,go_long,go_long,0,go_long,16681.8,1,34.57,33.244,32.635,1,36.41719999999994,go_long,go_long,False,36.34166034468423,34.68457142857143,32.735,35.05172875445094,go_long,34.33460000000003
83,BAL/USDT:USDT,2020-09-23 19:15:00+00:00,first_buy,trailing_stop_loss,14.13,14.207,14.240954565973286,14.328841697712573,13.783,1,13.995,30828.4,0,False,14.133999999999975,14.184857142857165,14.409559999999999,-16.21917926,-0.26934481911857777,1,go_long,go_long,go_long,go_long,go_long,go_long,2020-11-02 11:15:00+00:00,go_long,go_long,1,go_long,4282.8,1,9.26,9.238,9.219,0,9.667199999999985,go_long,go_long,False,9.59534054353668,9.330571428571469,9.24,9.432694742970758,go_long,9.282400000000049
