,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),volume (exit),ema-12 (exit),mean-grad-hist (exit),sma-07 (exit),imit-enter-short (exit),nlp-exit-short (exit),close (exit),imit-exit-short (exit),long_jcrosk (exit),nlp-enter-short (exit),sma-05 (exit),ema-26 (exit),open (exit),short_kdj (exit),nlp-enter-long (exit),high (exit),sma-25 (exit),low (exit)
65,AAVE/USDT:USDT,2022-06-07 00:30:00+00:00,first_buy,stop_loss,105.107,106.249,105.05983792563444,105.34750993945158,102.0,1,102.541,105097.0,0,False,105.00919999999746,105.03628571428514,105.22447999999726,-3.23349072,-0.39414954262090257,go_long,go_long,go_long,go_long,go_long,4791.0,65.63236858371442,1,63.55257142857074,go_long,go_long,63.39,go_long,0,go_long,63.428399999997566,64.23300193532572,64.197,False,go_long,64.429,65.04247999999716,63.39
224,BNB/USDT:USDT,2021-05-17 03:30:00+00:00,first_buy,stop_loss,532.057,533.078,537.6217147974507,545.730056320188,511.237,1,511.237,732196.0,0,False,531.5311999999998,534.8760000000024,547.5200400000004,-3.8308028,-0.3941678673576912,go_long,go_long,go_long,go_long,go_long,2085109.0,416.18324429586954,1,388.98400000000225,go_long,go_long,341.779,go_long,1,go_long,382.3636,397.8286421815015,387.576,False,go_long,387.576,419.5714800000008,341.041
463,ATOM/USDT:USDT,2021-05-19 13:00:00+00:00,second_buy,stop_loss,14.037,14.74,16.55592040870801,18.008630444162698,9.804,1,11.829,58616.0,0,False,15.39939999999981,15.914000000000097,18.464560000000063,-4.550545,-0.3957171488228738,go_short,go_short,go_short,go_short,go_short,13567.0,17.48947263348398,1,15.019571428571526,go_short,go_short,11.0,go_short,0,go_short,14.172399999999808,15.70116342275293,11.511,False,go_short,13.969,18.124520000000064,9.392
426,APT/USDT:USDT,2023-01-20 16:45:00+00:00,second_buy,stop_loss,8.49,9.187,8.380424353483768,8.240639370347035,8.488,0,8.942,3141022.0,0,False,8.493599999999988,8.436857142857143,8.203119999999982,-3.5354,-0.3957216749344671,go_short,go_short,go_short,go_short,go_short,3962724.0,11.161961069449134,0,11.37042857142857,go_short,go_short,11.9,go_short,0,go_short,11.426999999999982,11.384827260047562,11.521,False,go_short,12.318,11.280279999999983,11.465
459,AVAX/USDT:USDT,2023-06-10 04:30:00+00:00,second_buy,stop_loss,13.1191,13.1191,12.804570486612631,13.206725846463094,9.7299,1,10.3376,91046.0,0,False,12.554459999998368,12.745128571428252,13.353552000000143,-4.02390349,-0.3895334243763705,go_short,go_short,go_short,go_short,go_short,3979.0,13.956237366721643,0,14.092328571428265,go_short,go_short,14.1888,go_short,1,go_short,14.133379999998386,14.059750122618269,14.2822,False,go_short,14.3001,13.998928000000106,14.1888
341,BCH/USDT:USDT,2022-05-05 15:15:00+00:00,first_buy,stop_loss,288.05,288.1,292.7217262124897,295.3185694177616,279.75,1,283.05,122730.0,1,False,290.04,291.8000000000187,296.4599999999984,-3.3535581,-0.3941884800691719,go_long,go_long,go_long,go_long,go_long,42500.0,188.77379037442913,1,181.28571428573267,go_long,go_long,177.05,go_long,0,go_long,180.0000000000009,183.99078424553713,178.75,False,go_long,178.75,190.44799999999833,175.1
71,AAVE/USDT:USDT,2022-11-06 14:15:00+00:00,first_buy,stop_loss,91.15,91.15,91.04498477185372,91.42845825742897,90.256,1,90.335,7487.0,1,False,90.86979999999734,90.86171428571356,91.47987999999681,-3.5666281,-0.39414000231911533,go_long,go_long,go_long,go_long,go_long,4404.0,56.78531274121958,1,56.453714285713644,go_long,go_long,56.236,go_long,0,go_long,56.24759999999715,56.51156437263252,56.308,False,go_long,56.776,56.794439999996804,55.914
48,AAVE/USDT:USDT,2021-05-13 00:00:00+00:00,first_buy,stop_loss,550.145,552.315,557.0861570646925,561.0787522616394,486.806,1,514.342,62044.0,0,False,553.2495999999986,555.8910000000004,563.1510799999987,-2.02106103,-0.39419554504102705,go_long,go_long,go_long,go_long,go_long,19169.0,369.6567039043417,1,342.06742857143064,go_long,go_long,313.198,go_long,1,go_long,338.41319999999735,349.91150424790845,335.613,False,go_long,339.02,368.0245999999989,312.133
50,AAVE/USDT:USDT,2021-06-16 23:30:00+00:00,first_buy,stop_loss,287.584,287.979,292.1663008132643,293.7872373128122,287.088,1,287.979,3089.0,0,False,290.95899999999847,292.05000000000183,293.6755199999983,-3.40684437,-0.39420558453947496,go_long,go_long,go_long,go_long,go_long,58078.0,198.5486612815818,1,192.13485714285858,go_long,go_long,181.923,go_long,0,go_long,189.71779999999904,192.85575919061492,189.987,False,go_long,190.443,199.94019999999816,181.893
398,ADA/USDT:USDT,2023-06-10 04:30:00+00:00,second_buy,stop_loss,0.27281,0.27347000000000005,0.27408654025865437,0.2833946028410328,0.21599000000000002,1,0.23321000000000003,851328.0,0,False,0.26757199999999254,0.27201857142856994,0.285342000000022,-2.75518738,-0.3942005524813581,go_short,go_short,go_short,go_short,go_short,30893.0,0.29956567206981655,1,0.31411142857142765,go_short,go_short,0.31917,go_short,0,go_short,0.3163539999999906,0.30726173682670616,0.31757,False,go_short,0.32002,0.29603400000002245,0.31753000000000003
59,AAVE/USDT:USDT,2022-01-17 17:15:00+00:00,first_buy,stop_loss,224.494,224.707,225.9255328694645,228.08505213158918,221.612,1,221.612,4027.0,1,False,224.07979999999702,225.01114285714294,228.45831999999734,-3.4956366,-0.39419172091031224,go_long,go_long,go_long,go_long,go_long,2025.0,141.82748759513476,0,137.2482857142857,go_long,go_long,135.963,go_long,0,go_long,137.09899999999715,138.68044683311223,136.67,False,go_long,136.67,142.7839199999972,135.234
90,AAVE/USDT:USDT,2024-04-11 14:30:00+00:00,first_buy,stop_loss,117.79,117.79,119.1245765993652,120.68919335204347,116.93,1,116.93,42555.0,0,False,118.22199999999756,118.77714285714303,120.73839999999717,-2.77462194,-0.394782955892168,go_long,go_long,go_long,go_long,go_long,1634756.0,91.74988726110018,1,89.00428571428594,go_long,go_long,83.82,go_long,0,go_long,88.45399999999762,89.46984896880875,88.27,False,go_long,88.45,92.36719999999717,81.22
328,BCH/USDT:USDT,2021-05-13 10:00:00+00:00,first_buy,stop_loss,1227.25,1232.45,1270.5868475046746,1293.88367740459,1173.4,1,1208.75,149107.0,0,False,1243.6399999999996,1259.2642857142873,1301.3820000000012,-4.7711303,-0.3942075871362118,go_long,go_long,go_long,go_long,go_long,35431.0,925.8288814399048,1,874.0142857142908,go_long,go_long,839.2,go_long,0,go_long,853.6399999999991,892.0565812701072,858.15,False,go_long,860.0,931.4380000000009,827.95
435,APT/USDT:USDT,2023-10-21 13:15:00+00:00,second_buy,stop_loss,5.325,5.412,5.225213974510207,5.177522941733864,5.313,0,5.378,998706.0,0,False,5.259599999999887,5.240571428571478,5.167039999999989,-3.4108789,-0.3969369876759199,go_short,go_short,go_short,go_short,go_short,89227.0,7.3568929036918,0,7.398571428571468,go_short,go_short,7.408,go_short,0,go_short,7.397999999999888,7.391753357745455,7.401,False,go_short,7.423,7.360279999999985,7.393
296,ALGO/USDT:USDT,2023-06-10 04:30:00+00:00,second_buy,stop_loss,0.11610000000000001,0.11610000000000001,0.11509629747169832,0.11860878105914444,0.08990000000000001,1,0.096,166385.0,0,False,0.11253999999999417,0.114271428571432,0.12019199999999311,-3.39753687,-0.39362706108886664,go_short,go_short,go_short,go_short,go_short,2614.0,0.12986977393625831,1,0.1324571428571462,go_short,go_short,0.1331,go_short,0,go_short,0.13259999999999428,0.1313712349790135,0.13290000000000002,False,go_short,0.1332,0.12936799999999313,0.1327
281,ALGO/USDT:USDT,2021-09-07 15:15:00+00:00,second_buy,stop_loss,1.1644,1.2045,1.2881909376072989,1.340113306091336,0.9825,1,1.0709,14001.0,0,False,1.240199999999998,1.2825142857142922,1.3430599999999933,-4.203444,-0.395716321983603,go_short,go_short,go_short,go_short,go_short,2344.0,1.310887408466838,0,1.3528857142857211,go_short,go_short,1.4093,go_short,0,go_short,1.352059999999998,1.3415513048573464,1.3622,False,go_short,1.4116,1.3039319999999932,1.3538999999999999
343,BCH/USDT:USDT,2022-06-10 12:45:00+00:00,first_buy,stop_loss,175.3,175.3,173.8664663750503,174.22271854077923,165.95,1,169.9,291928.0,1,False,173.90000000000097,173.97142857144695,174.26999999999822,-3.3461275,-0.394196310764707,go_long,go_long,go_long,go_long,go_long,33496.0,106.75013458801003,1,105.93571428573242,go_long,go_long,105.35,go_long,1,go_long,105.86000000000081,105.9328545610881,105.5,False,go_long,105.65,106.57999999999817,105.35
2,BTC/USDT:USDT,2021-05-04 01:00:00+00:00,first_buy,stop_loss,56734.9,56849.9,56777.135494101625,57117.85926917493,54661.3,1,55348.7,10496020.0,0,False,56525.19999999953,56747.2857142857,57148.45200000003,-2.18409454,-0.39421208219391374,go_long,go_long,go_long,go_long,go_long,14730781.0,39333.266119727814,1,38330.014285714315,go_long,go_long,36460.9,go_long,1,go_long,38137.099999999555,38666.32707251638,38368.0,False,go_long,38368.0,39489.88799999998,36439.1
16,BTC/USDT:USDT,2022-06-07 02:00:00+00:00,first_buy,stop_loss,29757.9,29762.5,30399.798737962956,30811.082899187622,29321.0,1,29548.5,12470422.0,1,False,29912.199999999768,30083.50000000061,31028.65599999978,-3.49817601,-0.3942124258368983,go_long,go_long,go_long,go_long,go_long,8686169.0,18667.391375810454,0,18205.58571428634,go_long,go_long,18059.5,go_long,0,go_long,18161.859999999713,18381.513701518492,18100.0,False,go_long,18149.9,18747.943999999807,18021.9
273,ALGO/USDT:USDT,2021-04-28 09:30:00+00:00,second_buy,stop_loss,1.2244,1.2244,1.2446484269429718,1.2603007612144583,1.2177,1,1.2177,210.0,0,False,1.2381800000000118,1.242242857142861,1.2607599999999979,-4.814139,-0.3957426260949296,go_short,go_short,go_short,go_short,go_short,572.0,1.5911377276523861,1,1.6483142857142912,go_short,go_short,1.669,go_short,0,go_short,1.6476600000000114,1.625339383725218,1.6536,False,go_short,1.6806,1.5712879999999965,1.6521
147,BAKE/USDT:USDT,2023-06-10 04:30:00+00:00,second_buy,stop_loss,0.1047,0.1047,0.10372035220899148,0.10707048056670287,0.0809,1,0.0863,5286799.0,0,False,0.10168000000004056,0.10307142857144089,0.10823199999999962,-3.4962898,-0.38655220973039006,go_short,go_short,go_short,go_short,go_short,9146.0,0.11792133794236334,1,0.11897142857144057,go_short,go_short,0.1188,go_short,0,go_short,0.11888000000004102,0.11857698292349833,0.11850000000000001,False,go_short,0.1189,0.11789599999999976,0.11850000000000001
237,BNB/USDT:USDT,2022-05-08 02:30:00+00:00,first_buy,stop_loss,358.644,360.0,362.96883361598003,366.1527505116102,357.125,1,358.886,519146.0,0,False,361.2652000000049,362.0369999999999,366.5381199999994,-3.54207765,-0.3941498177016381,go_long,go_long,go_long,go_long,go_long,1388200.0,246.55667965470667,0,231.3004285714281,go_long,go_long,220.616,go_long,1,go_long,231.5166000000048,235.87769657185362,231.625,False,go_long,232.505,250.2364399999995,220.616
