,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),sma-05 (exit),volume (exit),ema-26 (exit),high (exit),imit-enter-short (exit),short_kdj (exit),nlp-enter-long (exit),open (exit),imit-exit-short (exit),nlp-enter-short (exit),ema-12 (exit),low (exit),long_jcrosk (exit),nlp-exit-short (exit),close (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit)
297,XLM/USDT:USDT,2024-11-24 08:00:00+00:00,second_buy,force_exit,0.59509,0.5975100000000001,0.5787631785711959,0.5688332332852043,0.58204,0,0.5865,52616126.0,0,False,0.5828260000000007,0.5763942857142866,0.5799208000000013,5.46952904,0.08975545948931796,go_short,go_short,go_short,go_short,go_short,0.531312000000001,13575448.0,0.5287956447236979,0.53435,go_short,False,go_short,0.5319900000000001,go_short,go_short,0.5278491754849318,0.52881,0,go_short,0.53357,0.5286320000000009,0,0.5301428571428592
421,INJ/USDT:USDT,2024-11-25 15:45:00+00:00,first_buy,force_exit,28.82,29.063,28.71842000636568,28.69183606429538,28.443,0,28.762,154367.5,0,False,28.524400000000334,28.671285714285577,28.904200000000063,2.94356565,0.048683990923773186,go_long,go_long,go_long,go_long,go_long,30.00920000000035,54045.1,30.074823752040132,30.28,go_long,False,go_long,30.186,go_long,go_long,30.00966478724565,30.161,0,go_long,30.277,30.04664000000009,0,30.023857142856976
632,OP/USDT:USDT,2024-11-22 18:00:00+00:00,second_buy,force_exit,2.1212,2.1339,2.152373304442357,2.1522948477814485,2.1175,1,2.128,1763397.7,0,False,2.1409800000000327,2.1448285714286244,2.1725040000000067,-7.45110445,-0.12170013270502122,go_short,go_short,go_short,go_short,go_short,2.3758400000000295,556705.8,2.3760527774868545,2.391,go_short,False,go_short,2.3819,go_short,go_short,2.3731390863041915,2.3794,0,go_short,2.3903,2.3781440000000065,0,2.373528571428628
499,DYDX/USDT:USDT,2024-11-24 12:30:00+00:00,second_buy,force_exit,1.4889999999999999,1.4889999999999999,1.5078071667714152,1.5257142762179217,1.467,1,1.475,795595.9,0,False,1.488800000000022,1.496428571428698,1.5321999999999576,-6.90650308,-0.11294125377163972,go_short,go_short,go_short,go_short,go_short,1.632200000000021,123379.9,1.6317140057001107,1.643,go_short,False,go_short,1.639,go_short,go_short,1.6280628533917174,1.6360000000000001,0,go_short,1.642,1.6322799999999582,0,1.6304285714286972
452,LDO/USDT:USDT,2024-11-26 10:30:00+00:00,second_buy,force_exit,1.587,1.5915,1.6101297584204093,1.6197026063659063,1.5727,1,1.5907,2698420.0,0,False,1.6074800000000238,1.6114714285714573,1.6201120000000029,-6.34341262,-0.105047469706855,go_short,go_short,go_short,go_short,go_short,1.7412000000000245,279231.0,1.7415643695564982,1.7577,go_short,False,go_short,1.7486000000000002,go_short,go_short,1.7371344832486588,1.746,0,go_short,1.7568000000000001,1.7385000000000042,0,1.741600000000029
345,UNI/USDT:USDT,2024-11-11 01:45:00+00:00,first_buy,force_exit,9.375,9.419,9.287780931044555,9.257132251703181,9.361,1,9.366,232197.0,0,False,9.34800000000013,9.33828571428604,9.175759999999938,18.87425901,0.33552928333677856,go_long,go_long,go_short,go_long,go_long,12.682400000000147,97544.0,12.70448748752051,12.701,go_long,False,go_short,12.681000000000001,go_long,go_long,12.723388584081336,12.619,1,go_long,12.625,12.763559999999913,1,12.692857142857457
252,OGN/USDT:USDT,2024-11-23 19:00:00+00:00,second_buy,force_exit,0.117,0.1173,0.11696987865619367,0.11663355870855743,0.11670000000000001,0,0.11720000000000001,594507.0,0,False,0.11718000000001175,0.11707142857142869,0.11730400000000031,-7.4019582,-0.12087927302396204,go_short,go_short,go_short,go_short,go_short,0.1306800000000119,249905.0,0.13077408972797447,0.13140000000000002,go_short,False,go_short,0.1313,go_short,go_short,0.13067396417235586,0.1312,0,go_short,0.13140000000000002,0.13109600000000032,0,0.13065714285714303
16,LINK/USDT:USDT,2022-04-25 00:45:00+00:00,first_buy,stop_loss,12.955,13.016,13.19806005789373,13.275450817657473,12.908,1,12.985,333799.79,0,False,13.125000000000195,13.173285714285587,13.318840000000044,-24.33434401,-0.3966141172896753,go_long,go_long,go_long,go_long,go_long,8.18800000000019,1679906.09,8.37443273647334,8.201,go_long,False,go_long,8.201,go_long,go_long,8.565107930711944,7.893,0,go_long,7.939,8.558160000000042,1,8.295999999999875
301,UNI/USDT:USDT,2021-05-11 10:00:00+00:00,first_buy,stop_loss,37.01,37.511,36.93013656655682,36.7565462127383,36.903,0,37.45,82510.0,0,False,37.06700000000002,36.948571428571434,36.66040000000001,-14.92495335,-0.39816389314746986,go_long,go_long,go_short,go_long,go_long,26.419600000000152,427692.0,27.911095087123595,26.762,go_long,False,go_short,26.748,go_long,go_long,29.15463116991266,25.691,0,go_long,26.247,29.397080000000077,1,27.206428571428546
416,INJ/USDT:USDT,2024-07-23 07:15:00+00:00,first_buy,stop_loss,25.202,25.33,25.339699700783637,25.54640383615697,25.153,0,25.237,24824.4,0,False,25.225600000000277,25.229714285714117,25.621320000000086,-24.05819545,-0.39682334245904144,go_long,go_long,go_long,go_long,go_long,17.423200000000318,302539.4,17.618800358618554,17.458,go_long,False,go_long,17.287,go_long,go_long,17.756075737423135,16.8,0,go_long,17.012,17.9290800000001,1,17.523714285714135
