,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-05 (exit),long-small-rl (exit),close (exit),low (exit),short_kdj (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),volume (exit),long-large-rl (exit),short-small-rl (exit),long_jcrosk (exit),sma-07 (exit),ema-12 (exit),short-large-rl (exit),long-bid-rl (exit),sma-compare (exit),ema-26 (exit),high (exit),sma-25 (exit)
410,YFI/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,stop_loss,33259.6,33268.7,33100.09904707785,32962.64700854701,32964.5,0,33231.6,14.205,0,False,33272.72000000003,33220.64285714286,32921.668,-15.29862969,-0.45975045178810214,0,go_long,go_long,go_short,go_short,go_long,go_long,27360.459999999894,go_long,24698.3,24389.7,False,1,go_long,26937.4,479.282,go_short,go_long,0,27737.55714285714,29478.767655767955,go_short,go_long,1,27923.627668761612,27116.3,29427.327999999965
380,FIL/USDT:USDT,2021-03-31 12:30:00+00:00,second_buy,stop_loss,154.849,166.97,155.50547920358036,154.47578687042986,154.8,0,165.121,844746.8,0,False,156.4521999999999,155.65457142857136,154.19612000000004,-13.71240672,-0.2770924120867496,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,199.6987999999999,go_short,208.451,201.182,False,0,go_short,201.739,598834.0,do_nothing,go_short,0,198.82642857142855,193.9562384021096,do_nothing,go_short,0,197.63287851006777,209.26,192.6730000000002
11,STMX/USDT:USDT,2022-09-07 02:30:00+00:00,first_buy,stop_loss,0.00725,0.007260000000000001,0.00725394852619678,0.007304689104093581,0.007110000000000001,1,0.007180000000000001,31235448.0,0,False,0.0072340000000006965,0.007258571428570684,0.007277999999999955,-15.98411577,-0.2603003797921141,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.005972000000000768,go_short,0.0054800000000000005,0.00547,False,1,go_long,0.006030000000000001,170027414.0,do_nothing,go_long,0,0.006087142857142088,0.006411532170165103,do_nothing,go_long,1,0.00621512067012079,0.006070000000000001,0.006491199999999954
385,FIL/USDT:USDT,2022-06-14 02:15:00+00:00,second_buy,stop_loss,5.012,5.107,5.168613144920539,5.243764267221843,4.989,0,5.066,454416.6,0,False,5.079799999998195,5.131285714286,5.291680000000407,-16.57169687,-0.27061442113123557,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,6.077199999998209,go_short,6.311,5.952,False,0,go_short,5.959,1606893.2,do_nothing,go_short,0,6.054714285714563,5.9857992905025625,do_nothing,go_short,0,6.032910039091841,6.361,5.967640000000456
408,FIL/USDT:USDT,2024-07-13 07:15:00+00:00,second_buy,stop_loss,4.236,4.263,4.202729866702929,4.164155211503435,4.216,0,4.2620000000000005,824147.6,0,False,4.228199999998181,4.221571428571752,4.1579600000005135,-15.22933915,-0.25013017516536984,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,5.317199999998142,go_short,5.377,5.263,False,0,go_short,5.296,1432926.7,do_nothing,go_short,0,5.315000000000341,5.234014451852488,do_nothing,go_short,0,5.292820935942166,5.388,5.226600000000506
386,FIL/USDT:USDT,2022-07-30 00:30:00+00:00,second_buy,stop_loss,6.309,6.57,6.112462340770019,6.027591935650521,6.255,0,6.55,1908467.2,0,False,6.178399999998209,6.13385714285742,5.9909200000004565,-16.87410131,-0.2772878979282985,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,7.844999999998208,go_short,8.2,7.92,False,0,go_short,7.968,3162152.9,do_nothing,go_short,0,7.783571428571706,7.511279735471929,do_nothing,go_short,0,7.705662266397387,8.276,7.499400000000455
387,FIL/USDT:USDT,2022-07-30 17:00:00+00:00,second_buy,stop_loss,8.2,8.395,7.792175763874712,7.567333088399934,8.155,0,8.268,3329991.0,0,False,7.987399999998209,7.877142857143135,7.5360400000004555,-16.94003985,-0.2771511925961187,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,10.222999999998205,go_short,10.26,10.114,False,1,go_short,10.168,2504307.4,do_nothing,go_short,0,10.21485714285742,9.642932439329158,do_nothing,go_short,0,10.03976247097818,10.39,9.611320000000454
407,FIL/USDT:USDT,2024-07-05 03:15:00+00:00,second_buy,stop_loss,3.351,3.422,3.5573233460505644,3.672665577465153,3.237,1,3.331,9666471.7,0,False,3.4829999999981824,3.523000000000322,3.7267200000005154,-16.87592459,-0.2757020728457926,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,4.216399999998181,go_short,4.236,4.216,False,0,go_short,4.216,344868.9,do_nothing,go_short,0,4.211142857143181,4.1563276284237105,do_nothing,go_short,0,4.191953478830734,4.242,4.152480000000513
391,FIL/USDT:USDT,2022-12-16 23:00:00+00:00,second_buy,stop_loss,2.739,2.911,3.5233316768751775,3.6766590992293167,2.738,1,2.885,10601441.8,0,False,3.3937999999982074,3.5117142857145813,3.730240000000494,-17.22623124,-0.2819311780961171,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,3.605999999998203,go_short,3.632,3.602,False,0,go_short,3.607,526806.7,do_nothing,go_short,0,3.5938571428574315,3.5662288331564582,do_nothing,go_short,0,3.5891004192555274,3.633,3.5697200000004954
392,FIL/USDT:USDT,2023-01-09 10:30:00+00:00,second_buy,stop_loss,3.632,3.707,3.6024695855239077,3.5743600307004244,3.629,0,3.676,1472261.3,0,False,3.6259999999982027,3.6094285714288605,3.574080000000495,-16.73877395,-0.27465829816374854,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,4.363599999998202,go_short,4.462,4.367,False,0,go_short,4.369,700779.6,do_nothing,go_short,0,4.348000000000294,4.291795328789113,do_nothing,go_short,0,4.326458003074046,4.49,4.275000000000493
393,FIL/USDT:USDT,2023-01-14 23:15:00+00:00,second_buy,stop_loss,4.463,4.763,4.385156771831885,4.322625304434363,4.451,0,4.708,3862821.4,0,False,4.435599999998203,4.4074285714288655,4.293360000000494,-16.06710571,-0.26266844518861504,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,5.795599999998206,go_short,5.886,5.846,False,0,go_short,5.853,2441044.3,do_nothing,go_short,0,5.780714285714578,5.7173853327736115,do_nothing,go_short,0,5.745434051686354,5.964,5.707240000000522
394,FIL/USDT:USDT,2023-02-17 03:15:00+00:00,second_buy,stop_loss,5.886,6.225,5.810598043734608,5.7508382710866774,5.862,0,6.169,4638708.6,0,False,5.875599999998206,5.838428571428863,5.717200000000523,-16.91564257,-0.27725095246753717,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,7.517199999998203,go_short,7.734,7.602,False,0,go_short,7.697,8648050.4,do_nothing,go_short,0,7.421714285714577,7.0652178790997,do_nothing,go_short,0,7.314851824399029,7.788,7.017520000000525
396,FIL/USDT:USDT,2023-03-10 09:00:00+00:00,second_buy,stop_loss,5.21,5.267,5.325442520280316,5.372976884448953,5.199,1,5.257,1958860.8,0,False,5.298399999998155,5.320142857143165,5.373960000000522,-16.85319443,-0.27664369501575065,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,6.358199999998148,go_short,6.587,6.48,False,0,go_short,6.569,5007712.4,do_nothing,go_short,0,6.3177142857145885,6.290671897141545,do_nothing,go_short,0,6.324133203102388,6.644,6.259400000000527
399,FIL/USDT:USDT,2023-06-10 04:45:00+00:00,second_buy,stop_loss,2.975,3.174,3.6451653299029063,3.8043953548396594,2.973,1,3.168,10923764.1,0,False,3.5197999999981655,3.613142857143143,3.8717600000005077,-16.89602902,-0.27661560491511555,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,3.980399999998171,go_short,4.014,3.981,False,0,go_short,4.001,347982.5,do_nothing,go_short,0,3.9668571428574277,3.9233798043260903,do_nothing,go_short,0,3.956384429557952,4.015,3.912160000000508
400,FIL/USDT:USDT,2023-06-22 01:30:00+00:00,second_buy,stop_loss,4.013,4.044,3.9663252865490364,3.9306109299315652,4.011,0,4.021,682498.0,1,False,3.9995999999981713,3.9774285714288564,3.9172000000005083,-14.92793992,-0.24442675159652835,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,4.9451999999981116,go_short,5.031,4.956,False,0,go_short,4.974,1254726.7,do_nothing,go_short,0,4.917857142857409,4.859637303735032,do_nothing,go_short,0,4.901579317287196,5.047,4.846320000000509
401,FIL/USDT:USDT,2023-11-12 21:00:00+00:00,second_buy,stop_loss,5.031,5.165,4.939797883858397,4.881145651606511,5.008,0,5.15,3565743.2,0,False,5.007399999998111,4.960428571428838,4.85832000000051,-14.83447469,-0.24225244692658215,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,6.2873999999981125,go_short,6.397,6.268,False,0,go_short,6.268,2632074.9,do_nothing,go_short,0,6.286142857143125,6.213442373517483,do_nothing,go_short,0,6.266635949826573,6.414,6.211040000000511
402,FIL/USDT:USDT,2023-12-31 12:45:00+00:00,second_buy,stop_loss,6.396,6.5760000000000005,6.306691957545562,6.23666886436804,6.386,0,6.527,4769735.0,0,False,6.346199999998112,6.32242857142884,6.226000000000511,-15.47217258,-0.25247064508317374,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,7.803599999998115,go_short,7.941,7.77,False,0,go_short,7.866,4251231.0,do_nothing,go_short,0,7.77642857142886,7.618980946106343,do_nothing,go_short,0,7.716309597389955,7.995,7.579560000000518
403,FIL/USDT:USDT,2024-02-22 16:45:00+00:00,second_buy,stop_loss,7.94,8.355,7.797646582406885,7.665352727876243,7.934,0,8.245,10300431.2,0,False,7.918999999998114,7.852000000000288,7.608800000000517,-15.99392049,-0.2623701322905196,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,10.053399999998115,go_short,10.411,10.3,False,0,go_short,10.394,3834030.2,do_nothing,go_short,0,9.975285714286004,9.757383343138768,do_nothing,go_short,0,9.945151590271411,10.506,9.780240000000518
411,YFI/USDT:USDT,2021-05-23 16:45:00+00:00,first_buy,stop_loss,24761.2,25182.1,27370.254181259825,29097.13301459996,23816.2,1,24326.7,315.931,0,False,26442.899999999896,27081.514285714282,29115.98399999996,-18.72114956,-0.38397389961499057,1,go_long,go_long,go_short,go_short,go_long,go_long,25580.999999999953,go_long,23612.0,23186.0,False,1,go_long,25208.0,234.662,go_short,go_long,0,25803.571428571395,26578.10575919262,go_short,go_long,1,25961.768547912998,25319.0,26756.48000000001
420,YFI/USDT:USDT,2022-08-19 06:45:00+00:00,first_buy,stop_loss,9778.0,9783.0,9748.18198463844,9908.323824634876,8992.0,1,9364.0,558.742,0,False,9728.199999999953,9755.142857142824,9789.96000000001,-15.63309481,-0.2779998813177281,1,go_long,go_long,go_short,go_short,go_long,go_long,7531.399999999953,go_long,7285.0,7100.0,False,1,go_long,7397.0,351.71,go_short,go_long,0,7616.571428571396,7560.983376967577,go_short,go_long,0,7556.905662727826,7469.0,7542.960000000009
12,STMX/USDT:USDT,2022-11-08 19:45:00+00:00,first_buy,stop_loss,0.0054800000000000005,0.00583,0.006140486720871438,0.006361048305708428,0.00513,1,0.005730000000000001,176046881.0,0,False,0.005888000000000769,0.005984285714284944,0.006455199999999954,-16.89784624,-0.2751790807184709,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.004472000000000769,go_short,0.00421,0.00419,False,1,go_long,0.00428,121399799.0,do_nothing,go_long,0,0.004549999999999231,0.0047674659075268196,do_nothing,go_long,1,0.004592059769360348,0.004410000000000001,0.004786799999999957
370,NEO/USDT:USDT,2024-06-18 01:30:00+00:00,first_buy,stop_loss,11.443,11.446,11.579873348356216,11.698083055520494,10.888,1,11.204,231648.32,0,False,11.438200000000434,11.513714285713503,11.787480000000258,-17.64593222,-0.2876405448707584,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,8.990000000000453,go_long,8.712,8.609,False,1,go_long,8.891,206968.56,do_nothing,go_long,0,9.041999999999236,9.151026057860555,do_nothing,go_long,1,9.069034057619328,8.95,9.195960000000246
345,IOTX/USDT:USDT,2024-07-16 01:15:00+00:00,first_buy,stop_loss,0.044390000000000006,0.04574,0.04361237585321468,0.04286768303013007,0.044390000000000006,0,0.04571,21927393.0,0,False,0.044101999999999385,0.04383428571428568,0.042818399999999625,-17.2491172,-0.28097267076940774,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.035173999999999414,go_short,0.03425,0.0337,False,1,go_long,0.03488,11243948.0,do_nothing,go_long,0,0.03540714285714286,0.03590710998553264,do_nothing,go_long,1,0.03559451929213118,0.035280000000000006,0.036211199999999645
419,YFI/USDT:USDT,2022-07-30 17:45:00+00:00,first_buy,stop_loss,13400.0,13593.0,12160.488207753864,11869.69848046753,12934.0,0,13044.0,1453.391,1,False,12431.999999999953,12231.85714285711,11760.080000000009,-14.49546319,-0.2775410573403904,0,go_long,go_long,go_short,go_short,go_long,go_long,9821.199999999953,go_long,9776.0,9766.0,False,1,go_long,9850.0,122.802,go_short,go_long,1,9820.85714285711,9951.869730605666,go_short,go_long,0,9818.033254572701,9852.0,9818.20000000001
8,STMX/USDT:USDT,2022-05-13 05:45:00+00:00,first_buy,stop_loss,0.009260000000000001,0.009340000000000001,0.008927811452892634,0.008634333722197267,0.009170000000000001,0,0.00931,45168686.0,0,False,0.009102000000000592,0.00902571428571357,0.008547999999999932,-17.28454327,-0.28148161904045094,0,go_short,go_long,do_nothing,do_nothing,go_long,go_long,0.006908000000000606,go_short,0.006880000000000001,0.006810000000000001,False,0,go_long,0.006810000000000001,29195502.0,do_nothing,go_long,0,0.006978571428570719,0.007274806888273148,do_nothing,go_long,1,0.007084495737702981,0.006900000000000001,0.0073443999999999445
348,NEO/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,stop_loss,37.737,37.744,37.26694995741529,36.96193304843304,37.338,0,37.626,13769.79,0,False,37.5458,37.42857142857142,36.93011999999999,-36.18540013,-0.5895280184765151,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,28.69900000000005,go_long,27.693,27.67,False,1,go_long,28.623,142377.92,do_nothing,go_long,0,29.161999999999683,30.48760352913321,do_nothing,go_long,1,29.412416015730603,28.752,30.79080000000031
349,NEO/USDT:USDT,2021-06-22 12:30:00+00:00,first_buy,stop_loss,27.698,28.352,29.075890474848972,30.24592919364186,26.734,1,27.225,143482.68,0,False,28.258200000000052,28.678428571428253,30.58136000000031,-27.66037283,-0.4513162508355805,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,20.892200000000507,go_long,20.173,20.124,False,1,go_long,20.972,109688.22,do_nothing,go_long,1,20.87485714285668,21.176110893964086,do_nothing,go_long,0,20.98630528739236,21.024,21.253760000000263
350,NEO/USDT:USDT,2022-01-21 22:00:00+00:00,first_buy,stop_loss,20.178,20.179,20.811027550870456,21.077658235151933,19.307,1,19.847,164317.22,0,False,20.64440000000051,20.728571428570966,21.186000000000263,-17.25164037,-0.28098124222992776,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,14.633000000000383,go_long,14.587,14.557,False,1,go_long,14.626,26814.07,do_nothing,go_long,0,14.690714285713593,14.915321161939104,do_nothing,go_long,1,14.765240591238927,14.733,14.877080000000246
351,NEO/USDT:USDT,2022-05-09 16:45:00+00:00,first_buy,stop_loss,14.587,14.628,14.662434346432939,14.854704779573245,14.061,1,14.097,82284.82,1,False,14.51800000000038,14.586714285713592,14.837160000000244,-16.94875317,-0.2761135506723343,1,go_long,go_long,do_nothing,do_nothing,go_long,go_long,10.576600000000392,go_long,10.583,10.426,False,0,go_long,10.571,81969.53,do_nothing,go_long,0,10.604428571427878,11.197551296962027,do_nothing,go_long,1,10.770087657305123,10.602,11.207880000000246
