,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),long-small-rl (exit),volume (exit),open (exit),sma-25 (exit),mean-grad-hist (exit),short_kdj (exit),long-large-rl (exit),long_jcrosk (exit),low (exit),sma-05 (exit),ema-12 (exit),high (exit),sma-compare (exit),ema-26 (exit),short-large-rl (exit),long-bid-rl (exit),close (exit),sma-07 (exit),short-bid-rl (exit)
54,AVAX/USDT:USDT,2024-01-19 15:30:00+00:00,first_buy,force_exit,32.69,32.965,33.150927966539896,33.31773611985812,32.475,1,32.545,64307.8,0,False,32.91299999999934,33.09214285714368,33.43520000000044,42.13348431,0.18476128840103995,1,go_long,go_long,go_long,do_nothing,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_long,4996.3,39.255,39.19920000000048,1,False,go_long,0,39.215,39.2789999999995,39.22916618238551,39.315,0,39.27071605569917,do_nothing,go_short,39.295,39.29571428571495,go_short
112,BAND/USDT:USDT,2024-01-19 01:30:00+00:00,first_buy,force_exit,1.552,1.552,1.5538747855001915,1.566212341457491,1.52,1,1.524,89930.0,1,False,1.5466000000000193,1.5509999999999415,1.5600400000000159,96.13363769,0.4189946672823045,1,go_long,go_long,go_long,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,go_long,1288.8,2.193,2.1882000000000144,1,False,go_long,0,2.187,2.1912000000000074,2.1901898037303633,2.193,0,2.191499031416667,go_short,go_short,2.19,2.1924285714285072,do_nothing
383,EDU/USDT:USDT,2024-02-23 16:15:00+00:00,first_buy,force_exit,0.8181,0.8226,0.8256255783033308,0.8283908117834867,0.8017000000000001,1,0.8025,488364.9,0,False,0.821419999999993,0.8261714285714172,0.8289199999999987,3.79857162,0.016133380708132715,1,go_short,go_long,go_short,go_short,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,go_short,8905.8,0.8215,0.8255719999999975,1,False,go_short,0,0.8195,0.821979999999994,0.825928647597096,0.8233,1,0.8235685527843,go_short,go_short,0.8221,0.8227571428571309,do_nothing
374,DASH/USDT:USDT,2024-01-03 12:15:00+00:00,second_buy,force_exit,32.2,32.2,32.192877051437854,32.70456245096261,23.0,1,27.76,103536.09,0,False,31.67399999999588,32.15285714285818,32.98840000000048,-30.77833353,-0.13452599193377293,1,do_nothing,go_long,do_nothing,go_long,go_long,go_long,2024-02-28 00:00:00+00:00,go_long,do_nothing,81.67,32.15,32.190800000000465,1,False,do_nothing,0,32.09,32.14399999999604,32.158626411040906,32.16,1,32.16980934111767,go_long,go_long,32.12,32.17285714285838,go_long
254,COMP/USDT:USDT,2024-02-23 16:45:00+00:00,first_buy,force_exit,65.07,66.12,64.39281770081959,62.381506146018715,63.83,1,65.51,34333.99,0,False,67.0059999999997,66.22857142857865,61.373999999999604,64.83605366,0.27541047073815256,0,go_long,go_long,do_nothing,go_long,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_long,3785.63,84.05,83.10279999999959,0,False,do_nothing,0,83.92,83.64799999999967,82.98286750289702,84.5,0,83.5148047930579,go_long,go_short,84.0,83.59857142857852,go_short
210,BSW/USDT:USDT,2024-02-15 23:30:00+00:00,second_buy,force_exit,0.10832000000000001,0.11666000000000001,0.10874965024670946,0.10817941186759394,0.1081,0,0.11418,2195748.0,0,False,0.10912400000000533,0.1084614285714336,0.10827800000000203,-25.39563246,-0.10876412329829288,0,do_nothing,go_long,go_long,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_long,do_nothing,32159.0,0.1285,0.1281368000000022,1,False,go_long,0,0.12846000000000002,0.1286240000000054,0.12826241869261568,0.12869,0,0.12846848689672413,go_long,do_nothing,0.12867,0.1286371428571475,go_long
94,BAL/USDT:USDT,2024-02-19 15:30:00+00:00,second_buy,force_exit,4.256,4.326,4.224631578047159,4.223792996275777,4.253,0,4.267,67982.07,0,False,4.2219999999997615,4.217857142857124,4.2243200000000005,-30.5882412,-0.13065795197198465,0,go_short,go_long,do_nothing,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_long,go_short,194.25,4.851,4.870600000000001,1,False,do_nothing,0,4.845,4.85879999999977,4.872116608666541,4.859,1,4.867107739683234,go_long,do_nothing,4.859,4.866857142857113,go_long
527,MANA/USDT:USDT,2024-02-17 00:45:00+00:00,second_buy,force_exit,0.5147,0.5189,0.5017718248194005,0.49849465554683614,0.5115000000000001,0,0.5134000000000001,661347.8,1,False,0.505140000000007,0.5030142857142931,0.49603200000002784,-23.62913396,-0.10105477970708224,0,go_long,do_nothing,go_long,go_short,do_nothing,go_long,2024-02-28 00:00:00+00:00,do_nothing,go_long,74169.6,0.5651,0.564616000000028,1,False,go_long,0,0.5650000000000001,0.5682000000000083,0.562618447670327,0.5667,0,0.5660422023345112,go_short,do_nothing,0.5666,0.5676428571428662,go_long
230,CFX/USDT:USDT,2024-02-20 05:15:00+00:00,second_buy,force_exit,0.26192000000000004,0.26431000000000004,0.25738830009511454,0.2532709017617314,0.26057,0,0.26329,2365672.0,0,False,0.2602240000000049,0.2591128571428566,0.2516975999999985,16.43753711,0.07029673149543968,0,do_nothing,go_long,go_long,do_nothing,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_long,do_nothing,263058.0,0.24569000000000002,0.24658199999999872,1,False,go_long,0,0.24516000000000002,0.24623000000000425,0.24671587713142631,0.24664000000000003,1,0.2463519594638107,do_nothing,do_nothing,0.24650000000000002,0.24636714285714226,go_long
598,SOL/USDT:USDT,2024-01-30 01:30:00+00:00,second_buy,force_exit,101.75,102.7,101.51486577603458,101.0603256543756,101.432,0,102.593,205508.5,0,False,101.72180000000093,101.63285714285753,101.19652000000018,-10.02746623,-0.044471861600223185,0,do_nothing,do_nothing,go_long,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,do_nothing,do_nothing,114187.0,108.19,108.3507600000002,1,False,go_long,0,108.035,108.3910000000013,108.55604110534568,108.75,0,108.55067505824701,go_long,do_nothing,108.512,108.55257142857171,go_long
160,BIGTIME/USDT:USDT,2024-02-12 04:15:00+00:00,first_buy,force_exit,0.39030000000000004,0.3911,0.3942276767863618,0.39874234695526356,0.37970000000000004,1,0.3844,5119258.0,0,False,0.39042000000000104,0.39141428571428627,0.39907199999999887,33.46736726,0.14305416732276433,1,do_nothing,go_long,go_long,do_nothing,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,do_nothing,1800919.0,0.44160000000000005,0.42815999999999904,0,False,go_long,0,0.4369,0.43992000000000087,0.42936462305603257,0.45130000000000003,0,0.43537551417612264,do_nothing,go_short,0.4495,0.4373142857142853,do_nothing
19,1INCH/USDT:USDT,2024-01-03 12:00:00+00:00,first_buy,force_exit,0.47200000000000003,0.4728,0.4746894512394646,0.47617695600071713,0.458,1,0.4625,2476562.5,0,False,0.4716800000000071,0.4742142857142872,0.4775120000000068,6.1338001,0.02672790289493941,1,go_long,go_long,go_short,go_long,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_long,go_long,23469.9,0.488,0.4884680000000063,1,False,go_short,0,0.4874,0.4883800000000078,0.4883623205272855,0.4887,0,0.48889291810032687,go_long,go_short,0.48850000000000005,0.4890571428571466,do_nothing
544,MKR/USDT:USDT,2023-12-11 02:15:00+00:00,first_buy,force_exit,1414.0,1414.2,1395.5904085491768,1406.6846511058866,1225.2,1,1301.5,2100.719,0,False,1386.3599999999992,1393.6571428571428,1412.9759999999997,137.34902591,0.5956265764444072,1,do_nothing,do_nothing,do_nothing,do_nothing,go_short,do_nothing,2024-02-28 00:00:00+00:00,do_nothing,do_nothing,12.65,2159.8,2161.6880000000046,1,False,do_nothing,0,2153.2,2163.820000000007,2160.0092128382416,2162.3,0,2162.7158770150254,do_nothing,go_short,2161.5,2165.4999999999895,do_nothing
615,SSV/USDT:USDT,2024-02-19 18:00:00+00:00,second_buy,force_exit,35.25,35.395,34.64015778298544,34.48595568740652,34.955,0,35.3,4637.56,0,False,34.71299999999993,34.67357142857145,34.48940000000014,8.80661257,0.03760976482984913,0,go_short,go_long,go_long,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,go_long,go_short,499.78,34.03,34.12760000000013,0,False,go_long,0,33.89,34.05599999999996,34.08298555413029,34.075,1,34.09585775000011,go_long,do_nothing,34.055,34.09571428571435,go_long
155,BCH/USDT:USDT,2024-02-14 09:30:00+00:00,second_buy,force_exit,284.55,293.95,275.3864164352739,272.1621568503859,283.6,0,288.45,50788.47,1,False,278.72999999999087,276.0857142857132,270.66200000000254,-2.76753291,-0.011856916012203213,0,do_nothing,do_nothing,go_short,go_long,do_nothing,go_long,2024-02-28 00:00:00+00:00,do_nothing,do_nothing,3831.1,293.3,296.0080000000026,1,False,go_short,0,291.55,294.50999999999004,296.20204476600793,293.55,1,295.20654529915504,go_long,do_nothing,293.25,295.071428571427,go_long
554,ORBS/USDT:USDT,2024-01-03 12:15:00+00:00,first_buy,force_exit,0.03977,0.03977,0.03930402317458768,0.04006421649387821,0.026220000000000004,1,0.03214,123840870.0,0,False,0.038534000000000256,0.039274285714286,0.04041360000000023,59.60786898,0.2598568179508334,1,go_short,go_long,go_long,go_long,go_short,go_short,2024-02-28 00:00:00+00:00,go_long,go_short,174480.0,0.040440000000000004,0.040040000000000235,1,False,go_long,0,0.04037,0.040392000000000323,0.04007841672851711,0.0405,0,0.04028659840247804,go_long,go_short,0.040490000000000005,0.040387142857142906,go_short
551,OG/USDT:USDT,2024-02-11 06:15:00+00:00,first_buy,force_exit,4.8092,4.8092,4.814627581547203,4.811994494594679,4.8068,1,4.8068,5.4,0,False,4.811039999999983,4.813985714285702,4.817347999999992,13.95003072,0.05977826354835215,1,go_short,go_short,go_short,do_nothing,go_short,do_nothing,2024-02-28 00:00:00+00:00,go_short,go_short,2.0,5.2333,5.209508000000016,1,False,go_short,0,5.2333,5.235279999999967,5.216141893057442,5.2392,0,5.224318550805579,do_nothing,go_short,5.2392,5.232514285714292,do_nothing
293,CTC/USDT:USDT,2022-11-20 23:00:00+00:00,second_buy,roi,0.36595000000000005,0.3698,0.36508548299949906,0.3663492449011394,0.35250000000000004,1,0.36005000000000004,14923.0,0,False,0.36477000000000204,0.3649642857142837,0.3662340000000014,8.06135438,0.03540592946347324,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,2022-11-22 07:00:00+00:00,do_nothing,go_long,0.0,0.34790000000000004,0.34897200000000134,1,False,do_nothing,1,0.34790000000000004,0.34870000000000234,0.3492272483301531,0.34790000000000004,0,0.3487925923005336,do_nothing,go_long,0.34790000000000004,0.3490428571428549,go_long
267,CRO/USDT:USDT,2023-06-10 04:45:00+00:00,first_buy,roi,0.0521,0.05235000000000001,0.05486457531516645,0.055859512675035555,0.050800000000000005,1,0.052250000000000005,3619710.0,0,False,0.05415999999999692,0.05459285714285443,0.05622399999999999,10.00895541,0.04497475619922052,1,go_long,do_nothing,go_short,go_long,go_short,go_short,2023-06-11 19:00:00+00:00,do_nothing,go_long,0.0,0.0548,0.054746,1,False,go_short,1,0.0548,0.054809999999996875,0.05476362390837067,0.0548,0,0.054785890717414805,go_long,go_short,0.0548,0.0547999999999973,go_short
