,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),ema-12 (exit),mean-grad-hist (exit),sma-compare (exit),sma-07 (exit),low (exit),short_kdj (exit),sma-05 (exit),volume (exit),sma-25 (exit),long-large-rl (exit),open (exit),close (exit),ema-26 (exit),high (exit),short-large-rl (exit),long_jcrosk (exit),short-small-rl (exit),long-small-rl (exit)
87,LPT/USDT:USDT,2024-01-08 03:45:00+00:00,second_buy,stop_loss,5.999,6.103,6.190505412551456,6.322412193551181,5.995,0,6.096,70127.0,0,False,6.100599999999711,6.1348571428569,6.337719999999791,-24.09587,-0.3956691271323817,1,go_short,go_short,do_nothing,do_nothing,7.766824459054553,0,0,8.004285714285468,8.112,False,8.13199999999971,328316.7,7.698239999999789,do_nothing,8.212,8.309,7.924891495284024,8.361,do_nothing,0,go_short,go_short
85,LPT/USDT:USDT,2023-08-12 23:45:00+00:00,second_buy,stop_loss,7.237,7.4,7.081021279867651,6.907538117562659,7.206,0,7.334,4286168.0,0,False,7.162399999999877,7.125571428571176,6.950479999999812,-43.21384265,-0.7105247123422072,0,go_short,go_short,do_nothing,do_nothing,8.562395638842498,0,0,8.915285714285444,9.014,False,8.99839999999975,1343168.0,8.476639999999785,do_nothing,9.048,9.44,8.831442159066016,9.486,do_nothing,0,go_short,go_short
84,LPT/USDT:USDT,2023-08-07 06:30:00+00:00,second_buy,stop_loss,5.107,5.288,4.882639667872116,4.619275502639246,5.081,1,5.239,5693123.1,0,False,5.080399999999878,5.047285714285473,4.501439999999818,-36.9680854,-0.6035931769180285,0,go_short,go_short,do_nothing,do_nothing,6.873421166967671,0,0,7.077428571428319,7.124,False,7.107399999999878,2658150.6,6.9289199999998115,do_nothing,7.16,7.236,7.035025148934496,7.25,do_nothing,0,go_short,go_short
83,LPT/USDT:USDT,2023-06-10 04:45:00+00:00,second_buy,stop_loss,3.525,3.926,4.240553404886744,4.398094939808144,3.525,1,3.795,431302.1,0,False,4.10899999999984,4.203714285714048,4.460119999999817,-23.28419128,-0.3816690565782142,1,go_short,go_short,do_nothing,do_nothing,4.569697542850386,1,0,5.000999999999759,5.026,False,5.022799999999878,4241152.9,4.457159999999818,do_nothing,5.079,5.105,4.8178468802125005,5.2,do_nothing,0,go_short,go_short
80,LPT/USDT:USDT,2023-01-25 04:30:00+00:00,second_buy,stop_loss,6.96,7.25,6.789719567862062,6.713183099054162,6.926,0,7.166,225618.4,1,False,6.904799999999878,6.83471428571403,6.613519999999813,-23.94725847,-0.3934902568093911,0,go_short,go_short,do_nothing,do_nothing,9.63008067480083,0,0,9.795571428571183,9.828,False,9.795399999999884,70492.8,9.651039999999814,do_nothing,9.874,9.85,9.75880033102346,9.912,do_nothing,0,go_short,go_short
79,LPT/USDT:USDT,2022-12-27 18:00:00+00:00,second_buy,stop_loss,5.118,5.128,5.16804825078919,5.21068735341018,5.108,1,5.111,51872.9,0,False,5.147399999999871,5.156714285714023,5.214279999999809,-24.09074486,-0.39318560816082504,1,go_short,go_short,do_nothing,do_nothing,6.676957746978495,0,0,6.770571428571173,6.83,False,6.7991999999998765,159653.5,6.598759999999813,do_nothing,6.839,6.96,6.721304943836983,7.063,do_nothing,0,go_short,go_short
76,LPT/USDT:USDT,2022-06-24 23:00:00+00:00,second_buy,stop_loss,10.736,10.999,10.144332317433717,9.736371603209575,10.684,1,10.733,367021.6,1,False,10.560999999999925,10.341142857142625,9.566839999999853,-24.28585227,-0.3974411310800228,0,go_short,go_short,do_nothing,do_nothing,9.811292854458133,0,0,10.59457142857119,11.24,False,10.93339999999993,685975.2,9.56327999999985,do_nothing,11.532,12.28,10.407692934317332,12.4,do_nothing,0,go_short,go_short
50,DYDX/USDT:USDT,2021-09-10 10:15:00+00:00,first_buy,stop_loss,12.019,12.135,12.068039332674003,12.505544159544158,11.7,0,11.721,77326.4,1,False,11.956399999999997,11.928857142857144,12.514160000000002,-30.8278908,-0.5052911885027811,0,go_long,go_long,go_long,go_long,7.302963003966035,1,0,7.208285714285836,7.136,False,7.208799999999991,288414.8,7.276439999999955,go_long,7.174,7.154,7.230776932919798,7.215,go_long,0,go_long,go_long
100,BAKE/USDT:USDT,2021-06-22 12:30:00+00:00,first_buy,stop_loss,1.7472,1.7979,1.8765329939271318,1.9767767525459388,1.6038000000000001,1,1.6537000000000002,2087531.0,0,False,1.8120199999999738,1.84585714285714,2.0082039999999974,-34.67973239,-0.5655334365426773,1,go_long,go_long,go_long,go_long,1.0275742830521293,1,1,1.0137428571428757,1.0081,False,1.01365999999998,223311.0,1.0268840000000021,go_long,1.0134,1.0087,1.0184536162486941,1.0153,go_long,1,go_long,go_long
48,INJ/USDT:USDT,2024-04-12 18:45:00+00:00,first_buy,stop_loss,28.185,28.223,28.84492848921704,29.915695716494344,22.0,1,24.869,2193353.2,0,False,27.870600000000245,28.288999999999685,30.24196,-24.6187092,-0.4121771358719312,1,go_long,go_long,go_long,go_long,17.756075737423135,1,1,17.523714285714135,16.8,False,17.423200000000318,302539.4,17.9290800000001,go_long,17.287,17.012,17.618800358618554,17.458,go_long,0,go_long,go_long
