,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,sma-compare (exit),long_jcrosk (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-07 (exit),ema-26 (exit),nlp-enter-short (exit),imit-enter-short (exit),sma-05 (exit),low (exit),imit-exit-short (exit),short_kdj (exit),long-bid-rl (exit),open (exit),high (exit),nlp-enter-long (exit),short-large-rl (exit),ema-12 (exit),close (exit),sma-25 (exit),short-small-rl (exit),volume (exit),long-large-rl (exit),long-small-rl (exit),mean-grad-hist (exit)
17,AR/USDT:USDT,2021-11-03 04:00:00+00:00,second_buy,force_exit,77.731,83.901,75.08642385202884,72.84644952055523,77.731,0,83.695,48601.0,0,False,77.48459999999974,75.51714285714307,72.41191999999972,7.17640373,0.8660663472562924,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,0,go_short,go_long,15.760428571428227,15.751091940670845,go_short,go_short,15.77879999999892,15.781,go_short,False,go_long,15.87,15.889,go_short,go_long,15.71544415973736,15.788,15.68155999999991,go_long,1367.0,go_long,go_long,1
8,AMP/USDT:USDT,2023-12-12 14:00:00+00:00,first_buy,force_exit,0.0037719999999999997,0.0038300000000000005,0.0038469508769754246,0.003990568376068377,0.0037719999999999997,0,0.003802,22.0,0,False,0.0037958000000000006,0.003784571428571429,0.00399076,11.68970649,1.5182044281771272,0,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,0,go_long,go_long,0.006937714285714288,0.006935276035673545,go_long,go_long,0.0069284000000000515,0.006947,go_long,False,go_long,0.006947,0.006947,go_long,do_nothing,0.006933983486276666,0.006947,0.0069401199999999915,go_long,0.0,do_nothing,go_long,0
7,ADA/USDT:USDT,2022-01-22 05:30:00+00:00,second_buy,force_exit,1.12883,1.13026,1.1292675205230205,1.1369557441477407,1.10375,1,1.10506,11197.0,0,False,1.1250439999999933,1.1282514285714238,1.1319704000000224,2.03007114,0.1835237334383884,1,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:00:00+00:00,0,1,go_short,go_long,0.9938428571428541,0.9939462062681687,go_short,go_short,0.9945399999999861,0.991,go_short,False,go_long,0.9923000000000001,0.9944000000000001,go_short,go_long,0.994294051152676,0.9929,0.9911080000000222,go_long,7245.0,go_long,go_long,1
1,AAVE/USDT:USDT,2021-05-01 17:30:00+00:00,second_buy,force_exit,492.84,500.0,480.75554514027715,476.3584326827058,492.84,0,497.718,13199.0,0,False,483.6308000000001,481.11414285714403,478.1356399999989,2.27028189,0.4556198676467411,0,go_short,go_short,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:00:00+00:00,0,0,go_short,go_long,292.5642857142853,292.26998095389496,go_short,go_short,292.591999999997,291.57,go_short,False,go_long,291.93,293.15,go_short,go_long,291.28759828010607,293.02,290.8523999999985,go_long,6806.0,go_long,go_long,1
59,CAKE/USDT:USDT,2021-04-29 10:45:00+00:00,second_buy,force_exit,42.96,43.0,41.019890887625834,40.28333270034819,42.96,0,43.0,74.0,0,False,41.80139999999996,41.4290000000001,40.2380399999999,8.24118349,0.9592363863863864,0,go_short,go_short,go_short,go_short,go_long,go_short,go_long,go_long,go_long,go_long,go_short,2025-01-12 16:15:00+00:00,0,0,go_short,go_long,2.3117142857145376,2.3107760102813115,go_short,go_short,2.3160000000000935,2.316,go_short,False,go_long,2.326,2.326,go_short,go_long,2.3075601781394934,2.316,2.3030799999997686,go_short,6334.0,go_long,go_long,1
57,CAKE/USDT:USDT,2021-04-09 19:15:00+00:00,second_buy,stop_loss,22.8,22.999,22.191499799984694,21.869358299689374,22.8,0,22.999,55.0,0,False,22.839799999999958,22.386714285714284,21.81443999999992,-3.672226,-0.3957689386199291,0,go_short,go_short,go_short,go_short,go_long,go_short,go_long,go_long,go_long,go_long,go_short,2021-04-25 13:15:00+00:00,0,0,go_short,go_long,29.8532857142858,29.13099588362599,go_short,go_short,29.916999999999963,29.501,go_short,False,go_long,30.478,30.5,go_short,go_long,28.78027130836565,30.5,28.363479999999914,go_short,505.0,go_long,go_long,0
37,BEER/USDT:USDT,2024-06-13 06:30:00+00:00,first_buy,stop_loss,0.0001657,0.0001771,0.0002565507415613359,0.00029459832788995176,8.24e-05,1,0.0001199,2157660.0,0,False,0.00022367999999999905,0.0002505285714285715,0.00030424800000000024,-3.21570784,-0.3830783859593781,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-06-18 08:00:00+00:00,1,0,go_long,go_long,0.00010381428571428603,0.00010528468088000066,go_long,go_long,9.969999999999898e-05,7.54e-05,go_long,False,go_long,9e-05,9.35e-05,go_long,do_nothing,0.00011398735524392587,7.62e-05,0.00011446400000000016,go_long,2292041.0,do_nothing,go_long,1
38,BEER/USDT:USDT,2024-06-18 08:15:00+00:00,first_buy,stop_loss,7.62e-05,7.98e-05,0.00010028703766769287,0.00011093644004067211,6.25e-05,1,7.28e-05,3911176.0,0,False,9.211999999999899e-05,9.78857142857146e-05,0.00011270400000000017,-3.1599689,-0.3942073036853257,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-06-21 15:45:00+00:00,1,0,go_long,go_long,5.180000000000036e-05,5.2333728699126866e-05,go_long,go_long,5.151999999999902e-05,5.07e-05,go_long,False,go_long,5.1399999999999996e-05,5.27e-05,go_long,do_nothing,5.403307200505522e-05,5.16e-05,5.442400000000019e-05,go_long,715909.0,do_nothing,go_long,0
39,BEER/USDT:USDT,2024-06-21 16:00:00+00:00,first_buy,stop_loss,5.16e-05,5.18e-05,5.197469351464581e-05,5.3734325930606686e-05,4.2e-05,1,5e-05,2505815.0,0,False,5.1079999999999016e-05,5.1500000000000364e-05,5.4148000000000194e-05,-3.40862658,-0.40141711171063993,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-07-04 23:30:00+00:00,1,0,go_long,go_long,3.257142857142896e-05,3.3043186607043364e-05,go_long,go_long,3.207999999999899e-05,3.09e-05,go_long,False,go_long,3.17e-05,3.17e-05,go_long,do_nothing,3.3923224735770846e-05,3.13e-05,3.444000000000017e-05,go_long,747845.0,do_nothing,go_long,1
40,BEER/USDT:USDT,2024-07-04 23:45:00+00:00,first_buy,stop_loss,3.13e-05,3.14e-05,3.259038866749823e-05,3.3640022903491525e-05,2.9e-05,1,3.01e-05,2792126.0,0,False,3.1519999999998993e-05,3.20142857142861e-05,3.4204000000000176e-05,-3.32834015,-0.39583513510299223,1,go_long,go_long,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,2024-07-25 12:30:00+00:00,1,1,go_long,go_long,1.9131428571428946e-05,1.9252423877815224e-05,go_long,go_long,1.9099999999999123e-05,1.884e-05,go_long,False,go_long,1.917e-05,1.917e-05,go_long,do_nothing,1.953837581859004e-05,1.89e-05,1.9484000000000158e-05,go_long,218375.0,do_nothing,go_long,1
