,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,open (exit),long_jcrosk (exit),close (exit),mean-grad-hist (exit),volume (exit),short_kdj (exit),high (exit),sma-05 (exit),sma-07 (exit),ema-12 (exit),ema-26 (exit),low (exit),sma-25 (exit)
3442,ATOM/USDT:USDT,2021-01-10 05:45:00+00:00,first_buy,long-ml-exit,7.017,7.017,6.769776301529065,6.7041378506584595,6.885,0,6.937,132302.18,0,False,6.8405999999999505,6.789142857142828,6.698040000000009,-4.98396664,-0.08119271981034959,6.658,0,6.412,1,372205.29,False,6.703,6.657999999999949,6.727571428571399,6.825304756960083,6.777329987761039,6.361,6.9128400000000045
3421,ATOM/USDT:USDT,2020-10-26 17:45:00+00:00,first_buy,long-ml-exit,5.043,5.045,5.096501592316589,5.161541867504163,4.974,0,4.997,120523.56,1,False,5.034199999999958,5.053428571428542,5.185480000000008,-4.11147962,-0.0669900269053404,4.725,0,4.672,1,86668.5,False,4.725,4.732199999999954,4.739571428571394,4.768155151982657,4.746249727596012,4.672,4.776000000000012
3430,ATOM/USDT:USDT,2020-12-23 11:15:00+00:00,first_buy,long-ml-exit,4.665,4.6690000000000005,4.742815306051288,4.791257904718931,4.522,1,4.58,283882.78,0,False,4.715199999999958,4.736999999999959,4.793880000000004,-4.14771872,-0.06758090429806014,4.313,0,4.28,1,109184.05,False,4.319,4.374399999999957,4.37557142857139,4.495291216954588,4.409286148166377,4.244,4.533760000000004
1910,BAL/USDT:USDT,2020-09-21 12:30:00+00:00,first_buy,long-ml-exit,15.723,15.764,16.007032833926274,16.3659202006722,15.184,1,15.34,13740.2,1,False,15.74799999999998,15.857000000000014,16.4814,-4.08144947,-0.0681094478894529,14.473,0,14.349,1,6010.9,False,14.49,14.499799999999976,14.539857142857167,14.649614040533065,14.57385065611345,14.32,14.652279999999998
3451,ATOM/USDT:USDT,2021-01-16 15:30:00+00:00,first_buy,long-ml-exit,9.442,9.64,8.835592311221909,8.617749364261318,9.166,0,9.4,767021.09,0,False,8.980599999999939,8.8555714285714,8.607040000000005,-5.17685392,-0.0843347983751384,8.924,0,8.634,1,291440.36,False,8.956,8.911799999999939,8.945428571428542,8.85419740044618,8.93281542727177,8.58,8.896920000000005
3479,ATOM/USDT:USDT,2021-02-12 10:30:00+00:00,first_buy,long-ml-exit,21.096,21.355,20.603354637719423,20.032155973576426,20.9,0,21.323,115416.28,0,False,20.891999999999932,20.703428571428496,20.055639999999993,-3.99683107,-0.06526400681937992,20.192,0,20.068,1,73252.2,False,20.458,20.460199999999936,20.600285714285643,20.83827964058399,20.617315033596356,20.031,20.899039999999985
3474,ATOM/USDT:USDT,2021-02-07 09:30:00+00:00,first_buy,long-ml-exit,13.398,13.651,12.653103407729894,12.339809500087474,13.158,0,13.456,379737.68,0,False,12.963399999999933,12.772285714285657,12.155759999999997,-5.77003114,-0.0939706818709354,12.84,1,12.211,1,242162.24,False,12.985,12.711399999999934,12.782999999999936,12.94738180189094,12.871662788812927,12.2,13.172639999999992
3472,ATOM/USDT:USDT,2021-02-05 17:45:00+00:00,first_buy,long-ml-exit,11.678,12.642,10.918828993384125,10.4522223976685,11.514,0,12.359,1118123.5,0,False,11.296399999999927,11.104857142857082,10.30007999999999,-4.02510334,-0.06557486597858102,11.74,0,11.599,1,115504.94,False,11.761,11.776799999999934,11.819999999999936,11.973294681158222,11.896493960241004,11.55,11.986559999999992
3469,ATOM/USDT:USDT,2021-02-02 00:15:00+00:00,first_buy,long-ml-exit,9.308,9.33,8.988746513235391,8.825471387096524,9.119,0,9.174,148019.75,0,False,9.052199999999917,8.989571428571393,8.838479999999995,-4.01959305,-0.06552587226670714,8.787,0,8.722,1,136244.79,False,8.822,8.852799999999926,8.895571428571383,8.989631940159608,8.913954340356876,8.645,9.009999999999998
3467,ATOM/USDT:USDT,2021-01-31 08:30:00+00:00,first_buy,long-ml-exit,8.895,8.895,8.543240457410121,8.408277745421678,8.72,0,8.797,193915.32,1,False,8.65319999999991,8.60728571428567,8.364439999999995,-4.14031243,-0.0674500539242526,8.337,0,8.212,1,109325.14,False,8.402,8.414199999999909,8.470428571428526,8.527514929146623,8.496297475339532,8.2,8.563119999999994
3464,ATOM/USDT:USDT,2021-01-26 15:00:00+00:00,first_buy,long-ml-exit,7.426,7.483,7.53236972092808,7.601212300564897,7.377,0,7.451,53022.25,0,False,7.494199999999924,7.496714285714245,7.627840000000001,-4.19166144,-0.0682686262185755,7.071,0,6.961,1,115919.96,False,7.092,7.097799999999924,7.106285714285673,7.248474448039129,7.1517670301326115,6.955,7.2870800000000004
3463,ATOM/USDT:USDT,2021-01-22 12:30:00+00:00,first_buy,long-ml-exit,7.876,7.975,7.705204606335793,7.601303628126158,7.872,0,7.943,74605.0,0,False,7.782599999999931,7.765999999999962,7.5574400000000015,-4.32251283,-0.07047654778022158,7.504,1,7.427,1,62812.22,False,7.537,7.507399999999924,7.507714285714244,7.613229284610089,7.547164215642277,7.414,7.642880000000002
3461,ATOM/USDT:USDT,2021-01-21 22:45:00+00:00,first_buy,long-ml-exit,7.169,7.287,7.638032810674069,7.780373706686574,7.069,1,7.228,279911.53,0,False,7.491999999999933,7.606999999999962,7.7971600000000025,-4.68095374,-0.07629890463949213,6.994,0,6.697,1,341305.02,False,7.013,7.092599999999933,7.141857142857105,7.503000769816996,7.253603326357756,6.6,7.607360000000001
3460,ATOM/USDT:USDT,2021-01-21 12:30:00+00:00,first_buy,long-ml-exit,7.793,7.987,8.034004225776625,8.157266045367647,7.772,0,7.938,79950.09,0,False,7.972799999999941,8.010428571428536,8.182600000000004,-6.03632917,-0.09832572264403958,7.535,0,7.177,1,362345.61,False,7.602,7.625199999999933,7.695857142857105,7.8245636032215,7.712584230796627,7.108,7.831280000000001
3459,ATOM/USDT:USDT,2021-01-20 10:30:00+00:00,first_buy,long-ml-exit,8.378,8.481,8.743396508470891,8.899813714386733,8.355,1,8.423,104087.37,0,False,8.570999999999941,8.677428571428536,8.93796000000001,-4.72930265,-0.07705776589714132,8.003,0,7.791,1,174631.84,False,8.015,8.002399999999941,8.043285714285677,8.174807328997058,8.051459539554195,7.741,8.204440000000005
3458,ATOM/USDT:USDT,2021-01-19 20:00:00+00:00,first_buy,long-ml-exit,8.899000000000001,9.058,9.046443772569384,9.13933494806546,8.857,0,8.986,45447.11,0,False,8.971999999999943,8.991571428571396,9.151840000000007,-4.34802387,-0.07085362705950135,8.526,0,8.378,1,533794.02,False,8.54,8.66739999999994,8.757857142857107,8.937958811537671,8.801650419101962,8.209,8.958480000000009
3457,ATOM/USDT:USDT,2021-01-19 05:15:00+00:00,first_buy,long-ml-exit,9.337,9.513,9.535462853628283,9.552906291958262,9.326,0,9.468,93527.41,0,False,9.50059999999994,9.519142857142834,9.612880000000006,-4.03589305,-0.06580385123788274,8.998,0,8.9,1,112620.85,False,8.999,8.974399999999942,9.009285714285683,9.151601743910698,9.057433549400182,8.844,9.168240000000006
3456,ATOM/USDT:USDT,2021-01-19 01:15:00+00:00,first_buy,long-ml-exit,10.075,10.196,9.734985053129597,9.575667687137717,9.936,0,9.999,197446.9,0,False,9.872399999999942,9.771857142857117,9.612360000000004,-4.20727033,-0.06853811921784733,9.511,0,9.335,1,264263.21,False,9.511,9.519799999999941,9.52871428571426,9.559698795314922,9.547728827015243,9.227,9.615400000000006
3454,ATOM/USDT:USDT,2021-01-18 07:15:00+00:00,first_buy,long-ml-exit,9.462,9.583,9.163284843646663,9.03179094475212,9.367,0,9.375,289825.38,0,False,9.279799999999947,9.268428571428538,9.045400000000008,-5.04194788,-0.082195290601976,8.887,0,8.625,1,238608.69,False,8.898,8.916399999999948,8.94999999999997,9.041605885431487,8.975595161284454,8.604,9.138320000000007
3452,ATOM/USDT:USDT,2021-01-16 19:15:00+00:00,first_buy,long-ml-exit,8.629,8.941,8.932997669229959,8.860108704116833,8.592,1,8.934,277387.41,0,False,8.90259999999994,8.945142857142827,8.911440000000004,-4.27613442,-0.06965553572965473,8.559,0,8.343,1,108432.35,False,8.576,8.46939999999994,8.498285714285684,8.699215054206405,8.582271556130522,8.275,8.765920000000005
3444,ATOM/USDT:USDT,2021-01-11 03:45:00+00:00,first_buy,long-ml-exit,5.883,5.8870000000000005,6.064354400435922,6.197249587637035,5.33,1,5.551,683343.43,0,False,5.94739999999995,6.0047142857142575,6.25056,-5.22889387,-0.08514595367859285,5.381,0,5.09,1,480224.41,False,5.431,5.408399999999952,5.474142857142831,5.616082306151748,5.503343508850179,5.084,5.645480000000004
3448,ATOM/USDT:USDT,2021-01-15 01:45:00+00:00,first_buy,long-ml-exit,7.809,7.998,7.025538651321024,6.7243285480372545,7.619,0,7.783,848999.11,0,False,7.412199999999947,7.2082857142856875,6.569440000000006,-4.63756084,-0.07554092435106698,7.436,0,7.228,1,509589.72,False,7.439,7.453199999999947,7.507285714285689,7.724632028484131,7.598903459735717,7.114,7.830280000000009
3419,ATOM/USDT:USDT,2020-10-12 06:00:00+00:00,first_buy,long-ml-exit,6.058,6.095,6.074005204228723,6.061520242746972,6.039,1,6.095,59468.18,0,False,6.079399999999946,6.091142857142835,6.061840000000001,-4.63750048,-0.07554454797350586,5.726,0,5.646,1,133773.58,False,5.735,5.753399999999945,5.782285714285692,5.866501240918725,5.812670781098665,5.628,5.89168
3416,ATOM/USDT:USDT,2020-10-02 00:45:00+00:00,first_buy,long-ml-exit,5.096,5.119,5.0912977936470964,5.111313967692354,5.082,1,5.088,28773.92,1,False,5.100799999999951,5.097857142857145,5.093960000000005,-4.67891321,-0.07623892473428605,4.789,1,4.711,1,89822.82,False,4.803,4.8051999999999495,4.829,4.958934413162163,4.871185742415429,4.709,4.999320000000006
