,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),volume (exit),long-large-rl (exit),short-large-rl (exit),ema-26 (exit),open (exit),ema-12 (exit),sma-compare (exit),sma-25 (exit),close (exit),high (exit),long_jcrosk (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),long-bid-rl (exit),short-small-rl (exit)
11,LPT/USDT:USDT,2022-07-28 18:15:00+00:00,first_buy,long-exit-profit,10.859,11.93,10.067273467829574,9.613796282814784,10.845,0,11.533,812366.8,1,False,10.43579999999993,10.21657142857119,9.43423999999985,3.9123222,0.06394697913948694,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-07-28 18:30:00+00:00,11.24,685975.2,go_long,go_long,10.407692934317332,11.532,9.811292854458133,0,9.56327999999985,12.28,12.4,0,0,go_long,10.59457142857119,10.93339999999993,go_long,False,go_long,do_nothing
57,BAL/USDT:USDT,2022-07-28 17:30:00+00:00,first_buy,long-exit-profit,6.297,6.33,6.177363746335628,6.098043462839848,6.272,0,6.316,45799.9,0,False,6.2567999999996635,6.25342857142879,6.050800000000147,0.77270066,0.01259779667153649,0,go_long,go_long,go_long,go_long,go_long,go_long,2022-07-29 05:00:00+00:00,6.32,42518.8,go_long,go_long,6.307945821344307,6.34,6.2603909900276005,0,6.226120000000146,6.41,6.427,0,0,go_long,6.341142857143077,6.349399999999667,go_long,False,go_long,go_long
10,LPT/USDT:USDT,2022-06-24 23:00:00+00:00,first_buy,long-exit-profit,10.736,10.999,10.144332317433717,9.736371603209575,10.684,1,10.733,367021.6,1,False,10.560999999999925,10.341142857142625,9.566839999999853,0.70911897,0.011581637712032192,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-07-28 18:00:00+00:00,9.995,172221.0,go_long,go_long,9.800777734707678,10.061,9.460259985439967,0,9.33211999999985,10.86,10.893,0,0,go_long,9.939285714285475,10.06979999999993,go_long,False,go_long,do_nothing
9,LPT/USDT:USDT,2022-06-24 22:15:00+00:00,first_buy,long-exit-profit,10.271,10.672,9.796710819986382,9.49312244902234,10.219,0,10.524000000000001,416518.7,0,False,10.017799999999923,9.936428571428337,9.364919999999852,1.1237094,0.01839648802865227,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-06-24 22:45:00+00:00,10.476,248701.6,go_long,go_long,10.037301829694393,10.536,9.656641331466341,0,9.496799999999853,10.735,10.74,0,0,go_long,10.194285714285481,10.377399999999923,go_long,False,go_long,do_nothing
8,LPT/USDT:USDT,2022-06-12 16:00:00+00:00,first_buy,long-exit-profit,10.111,10.115,9.887189819769928,9.792177286009707,10.023,1,10.059,6775.1,1,False,10.040799999999905,9.963142857142627,9.742999999999848,1.31059,0.02134621417092417,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-06-24 22:00:00+00:00,9.802,220895.4,go_long,go_long,9.66447642362027,9.82,9.410652244944128,0,9.302719999999853,10.277,10.399000000000001,0,0,go_long,9.849142857142622,9.852799999999922,go_long,False,go_long,do_nothing
7,LPT/USDT:USDT,2022-06-12 01:45:00+00:00,first_buy,long-exit-profit,10.043,10.073,10.177093216981563,10.238236012350702,9.936,1,9.977,13963.7,0,False,10.131999999999897,10.17485714285692,10.240239999999853,0.69685544,0.011434172151995032,1,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-06-12 15:45:00+00:00,10.04,9824.8,go_long,go_long,9.855951605182641,10.074,9.770831468890483,0,9.728999999999848,10.103,10.141,0,0,go_long,9.884571428571197,9.985399999999906,go_long,False,go_long,do_nothing
5,LPT/USDT:USDT,2022-05-10 08:45:00+00:00,first_buy,long-exit-profit,19.13,19.222,18.859771999668357,18.666505195052377,19.013,0,19.063,8179.9,0,False,18.875399999999836,18.876999999999757,18.569879999999852,0.9297632,0.015228790097625356,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-05-10 12:45:00+00:00,19.121,9645.0,go_long,go_long,19.027943397245107,19.158,18.881569727167644,0,18.921239999999848,19.387,19.434,0,0,go_long,19.098571428571194,19.180199999999843,go_long,False,go_long,do_nothing
4,LPT/USDT:USDT,2022-05-10 07:00:00+00:00,first_buy,long-exit-profit,19.317,19.331,18.74766765372531,18.505944852802486,18.92,1,18.935,16758.9,1,False,19.043599999999838,18.94428571428548,18.391759999999852,0.51224105,0.008447723862244464,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-05-10 08:30:00+00:00,18.865,12267.2,go_long,go_long,18.822821454153512,18.865,18.634785610656568,0,18.542839999999853,19.133,19.149,0,0,go_long,18.858714285714047,18.838799999999836,go_long,False,go_long,do_nothing
3,LPT/USDT:USDT,2022-05-10 06:30:00+00:00,first_buy,long-exit-profit,19.066,19.145,18.60244490478989,18.40335007630882,18.937,0,19.061,18731.4,1,False,18.86999999999984,18.76428571428548,18.26395999999985,0.7092032,0.011618019384194544,0,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-05-10 06:45:00+00:00,18.985,17974.0,go_long,go_long,18.71360722712991,19.057,18.471620441026683,0,18.34959999999985,19.325,19.335,0,1,go_long,18.89671428571405,19.01699999999984,go_long,False,go_long,do_nothing
2,LPT/USDT:USDT,2022-05-09 17:45:00+00:00,first_buy,long-exit-profit,18.607,18.703,18.784484449708437,19.03525726602934,18.485,0,18.689,8219.4,0,False,18.410599999999825,18.599571428571206,19.116879999999853,1.10193416,0.018404152288969324,1,go_long,do_nothing,go_long,go_long,go_long,go_long,2022-05-10 06:15:00+00:00,18.772,17060.4,go_long,go_long,18.519071251115324,18.827,18.350738082413525,0,18.20711999999985,19.068,19.099,0,0,go_long,18.66242857142834,18.778199999999842,go_long,False,go_long,do_nothing
