,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long_jcrosk (exit),sma-07 (exit),open (exit),close (exit),short-large-rl (exit),low (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-compare (exit),long-bid-rl (exit),volume (exit),ema-26 (exit),ema-12 (exit),short_kdj (exit),short-small-rl (exit),long-large-rl (exit),high (exit)
71,OP/USDT:USDT,2024-06-24 09:45:00+00:00,first_buy,force_exit,1.6844000000000001,1.6844000000000001,1.6920212706592228,1.6995350575231847,1.5954000000000002,1,1.6618,8041631.5,0,False,1.6905400000000324,1.6918714285714667,1.6975599999999964,-1.21548905,-0.019802127500509213,1,go_long,do_nothing,go_long,go_long,go_long,go_long,go_long,1.6596000000000182,1.6642000000000037,0,1.6604000000000396,1.667,1.6622,go_long,1.6609,0,go_long,1,go_long,320225.1,1.6613898120499762,1.6746994152093082,False,do_nothing,go_long,1.6676000000000002
237,ADA/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,force_exit,0.4506,0.45480000000000004,0.4688049196021783,0.48173790595535126,0.39530000000000004,1,0.4259,179382731.0,0,False,0.46108000000000837,0.46712857142857,0.4864759999999948,-12.72763081,-0.2072723639493006,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,go_long,0.3511600000000111,0.3529479999999932,0,0.3507428571428585,0.353,0.3518,do_nothing,0.3517,0,go_long,0,go_long,2469440.0,0.3515980647647634,0.3543919258971752,False,do_nothing,do_nothing,0.353
47,INJ/USDT:USDT,2024-08-23 22:30:00+00:00,first_buy,force_exit,22.236,22.364,21.98334606258509,21.72369831788847,22.144,1,22.238,55267.3,0,False,22.149000000000253,22.081999999999862,21.704360000000097,-4.63629945,-0.07714663212504551,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,20.725800000000238,20.825000000000138,1,20.712000000000014,20.806,20.678,go_long,20.655,1,go_long,0,go_long,35008.5,20.759589541491767,21.032754279883534,False,go_long,go_long,20.807
62,DYDX/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,force_exit,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1,False,1.358600000000018,1.3761428571429875,1.4169199999999558,-18.18889959,-0.2962789518494901,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.902400000000019,0.9151599999999591,0,0.9035714285715539,0.906,0.899,go_long,0.899,1,go_long,1,go_long,586780.5,0.9070694693917652,0.9197467066311014,False,go_long,go_long,0.906
312,CTSI/USDT:USDT,2024-08-23 17:45:00+00:00,first_buy,force_exit,0.1459,0.1464,0.14319926224099538,0.14225030673755854,0.1454,0,0.1461,928398.0,1,False,0.1439599999999983,0.14335714285713794,0.1419680000000031,-10.00151293,-0.16321774912386178,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_long,0.12263999999999853,0.12244000000000264,0,0.12244285714285229,0.1231,0.1233,do_nothing,0.12290000000000001,0,go_long,0,go_long,328815.0,0.12245452569789517,0.12354025174023205,False,go_long,do_nothing,0.12350000000000001
298,APE/USDT:USDT,2024-08-24 15:30:00+00:00,first_buy,force_exit,0.7572,0.7685000000000001,0.7437792529384555,0.73496312933452,0.7539,0,0.7608,3327753.0,0,False,0.7503799999999756,0.7459142857142659,0.7352880000000266,-6.58418306,-0.10807054177420897,0,go_long,do_nothing,go_long,go_long,go_long,go_long,go_long,0.6833799999999792,0.6949600000000271,1,0.6841285714285517,0.6848000000000001,0.6803,go_long,0.6796,1,go_long,1,go_long,653132.0,0.6876092107784944,0.6995381732972885,False,do_nothing,go_long,0.6848000000000001
349,ATOM/USDT:USDT,2024-09-06 17:45:00+00:00,first_buy,force_exit,3.846,3.848,3.8525174673791205,3.8664342433188805,3.7800000000000002,1,3.825,791844.96,0,False,3.838599999999746,3.842999999999574,3.8802800000004747,9.50016143,0.15478609566606338,1,go_long,go_short,go_long,go_long,go_long,go_long,go_long,4.435799999999752,4.440320000000474,0,4.430428571428135,4.455,4.437,go_long,4.436,1,go_long,0,go_long,70627.96,4.43895846938707,4.465839091790837,False,go_short,go_long,4.455
90,BAKE/USDT:USDT,2024-08-11 02:00:00+00:00,first_buy,force_exit,0.32680000000000003,0.34700000000000003,0.3172593421796221,0.31417324034666017,0.3206,1,0.322,15287428.0,1,False,0.32111999999998636,0.31942857142859077,0.31276400000000665,-17.55505147,-0.28656536799692733,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.23269999999998564,0.23424800000000678,0,0.23290000000002017,0.23370000000000002,0.2326,go_long,0.2326,1,go_long,1,go_long,209033.0,0.23352370106823356,0.2359354423702712,False,go_long,go_long,0.2338
318,GAS/USDT:USDT,2024-07-14 18:30:00+00:00,first_buy,force_exit,3.952,3.995,3.841454954336995,3.793515152865254,3.878,1,3.885,1827950.7,1,False,3.8786000000000085,3.858428571428552,3.7918000000000642,-1.70814252,-0.02797688453739409,0,go_long,do_nothing,go_long,go_long,go_long,go_long,go_long,3.7551999999999977,3.7398800000000665,0,3.7525714285714105,3.792,3.779,go_long,3.779,0,go_long,0,go_long,19340.8,3.752691877861793,3.7661812456651824,False,do_nothing,go_long,3.798
263,API3/USDT:USDT,2024-08-23 22:45:00+00:00,first_buy,force_exit,1.7587000000000002,1.7647,1.7416855094843176,1.7303803180547395,1.7456,1,1.7457,132392.5,0,False,1.7466400000000248,1.7431571428571642,1.737400000000008,-12.86829943,-0.20980235172910805,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,1.375400000000025,1.3801120000000093,0,1.3752857142857382,1.3811,1.3751,go_long,1.3745,1,go_long,0,go_long,24196.0,1.3775473817053874,1.3927502940030627,False,go_long,go_long,1.3819
194,ETC/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,force_exit,25.923000000000002,26.183,27.092507302800446,27.833980860084505,22.254,1,24.47,2053076.45,0,False,26.656799999998725,27.024857142857588,28.077839999999828,-17.35036368,-0.2833467759099375,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,18.390799999998542,18.407079999999887,0,18.380285714286,18.457,18.395,go_long,18.382,1,do_nothing,0,do_nothing,30166.82,18.380172643313067,18.47744631863798,False,go_long,go_long,18.457
209,EOS/USDT:USDT,2024-06-17 16:30:00+00:00,first_buy,force_exit,0.619,0.62,0.6203486340153538,0.623607586191451,0.595,1,0.614,14101780.1,0,False,0.6184000000000378,0.6198571428571263,0.6221599999999892,-14.89313442,-0.24271217233011688,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.4740000000000344,0.4778399999999893,0,0.47414285714284266,0.47500000000000003,0.47400000000000003,go_long,0.47300000000000003,0,go_long,1,go_long,1040952.7,0.4755111781841403,0.4794806276923744,False,go_long,go_long,0.47600000000000003
107,EGLD/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,25.472,25.545,26.18227634923704,26.572093911786855,22.588,1,23.994,146083.4,0,False,25.781200000003235,26.06400000000179,26.84468000000154,2.11578158,0.03522192821342963,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,25.23180000000324,25.348080000001588,1,25.233142857144664,25.328,25.219,go_long,25.219,1,do_nothing,1,do_nothing,1949.5,25.277537458628505,25.483424620428533,False,go_long,go_long,25.328
12,LINK/USDT:USDT,2024-08-04 17:15:00+00:00,first_buy,force_exit,10.871,10.888,11.055486453679508,11.240084408451702,10.68,1,10.774000000000001,996364.04,0,False,10.926000000000363,10.966571428571061,11.314719999999966,0.88519448,0.014424985389714316,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,11.012200000000325,11.073199999999908,0,11.008999999999643,11.061,11.008,go_long,11.006,0,go_long,0,go_long,75911.59,11.030792085351994,11.124293844996119,False,go_long,go_long,11.061
1,LINK/USDT:USDT,2020-03-13 02:00:00+00:00,first_buy,roi,1.7770000000000001,1.784,1.8990526029694301,2.0862920360518955,1.605,1,1.631,1375919.51,0,False,1.7912000000000095,1.8127142857142784,2.1259600000000005,777.37241487,12.65909234586908,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,27.9108000000002,27.157440000000037,0,27.921142857142776,27.693,27.693,go_long,27.693,1,go_long,0,go_long,0.0,27.641959970474534,27.31216976025432,False,go_long,go_long,27.693
165,DOT/USDT:USDT,2020-08-22 13:45:00+00:00,first_buy,roi,3.903,3.99,3.747025772324819,3.6825712250712255,3.803,0,3.9699999999999998,577713.6,0,False,3.7688000000000015,3.7108571428571424,3.706880000000001,428.86157154,7.0076407210179985,0,go_long,go_short,go_long,go_long,go_long,go_long,go_long,36.13959999999986,35.12672000000006,0,36.119428571428514,35.841,35.841,go_long,35.841,1,go_long,0,go_long,0.0,35.74558231483618,35.37290322666572,False,go_short,go_long,35.841
265,RUNE/USDT:USDT,2020-09-17 12:15:00+00:00,first_buy,roi,0.4872,0.4944,0.4895842431967586,0.500876928350219,0.4722,0,0.486,1168948.0,0,False,0.48657999999999857,0.48714285714285804,0.49766400000000016,550.23390667,8.991288528499988,1,go_long,go_short,go_long,go_long,do_nothing,do_nothing,go_long,5.367859999999984,5.064875999999995,0,5.3271142857142975,5.3833,5.3833,go_long,5.3833,1,do_nothing,0,do_nothing,0.0,5.25475432562397,5.1259816034234245,False,go_short,go_long,5.3833
196,EOS/USDT:USDT,2020-03-13 00:00:00+00:00,first_buy,roi,1.884,1.9220000000000002,2.0410801266402068,2.1154993557736783,1.661,1,1.7610000000000001,1461056.5,0,False,1.9820000000000106,2.0355714285714113,2.140599999999992,29.2984412,0.4781513142258864,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,3.6959999999999957,3.6560399999999715,0,3.7042857142857444,3.674,3.674,go_long,3.674,1,go_long,0,go_long,0.0,3.685967281774675,3.668315436234427,False,go_long,go_long,3.674
239,MKR/USDT:USDT,2020-09-15 15:00:00+00:00,first_buy,roi,476.57,476.92,481.1472937958861,484.93036230863254,450.87,1,462.96,2793.984,0,False,475.13000000000073,478.2142857142841,486.99359999999945,175.72932565,2.8732750389061703,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,2189.592000000002,2158.7340000000017,0,2187.352857142849,2179.95,2179.95,go_long,2179.95,1,do_nothing,0,do_nothing,0.0,2175.836769320824,2171.955935434916,False,go_long,go_long,2179.95
144,STORJ/USDT:USDT,2020-11-04 14:15:00+00:00,first_buy,roi,0.2667,0.2667,0.26659074170515773,0.2694159778959691,0.2617,1,0.2627,253435.0,0,False,0.26549999999999885,0.2660857142857128,0.2689840000000012,59.28520857,0.9672327491232188,1,go_long,do_nothing,go_long,go_long,go_long,go_long,go_long,0.6540799999999966,0.6486320000000001,0,0.65872857142857,0.6486000000000001,0.6486000000000001,go_long,0.6486000000000001,1,go_long,0,go_long,0.0,0.6545707191945845,0.6515582183467996,False,do_nothing,go_long,0.6486000000000001
226,ADA/USDT:USDT,2020-03-13 02:30:00+00:00,first_buy,roi,0.0183,0.01904,0.022044605555787248,0.02432482719832443,0.01752,0,0.019020000000000002,17969853.0,0,False,0.020596000000000024,0.02126571428571444,0.02504000000000004,3566.08358014,58.06956014228252,1,go_long,do_nothing,do_nothing,do_nothing,go_long,go_long,go_long,1.2485580000000018,1.2846691999999953,0,1.261734285714283,1.22876,1.22876,do_nothing,1.22876,1,go_long,1,go_long,0.0,1.266355105701374,1.2780722694045092,False,do_nothing,do_nothing,1.22876
34,XLM/USDT:USDT,2020-09-27 11:45:00+00:00,first_buy,roi,0.07200000000000001,0.07201,0.07215199680351873,0.07245471511057545,0.07178000000000001,1,0.07178000000000001,630841.0,0,False,0.07206400000000113,0.07213714285714341,0.07240520000000013,229.30683983,3.736987171769518,1,go_long,go_short,do_nothing,do_nothing,go_long,go_long,go_long,0.42431000000000185,0.4193407999999998,0,0.4267542857142845,0.42057000000000005,0.42057000000000005,do_nothing,0.42057000000000005,1,go_long,0,go_long,0.0,0.4240572614713092,0.4217656983416173,False,go_short,do_nothing,0.42057000000000005
33,XLM/USDT:USDT,2020-03-12 10:45:00+00:00,first_buy,roi,0.04281,0.04281,0.043292450347231635,0.044734783002550634,0.03799,1,0.03799,15281869.0,0,False,0.04244600000000044,0.04300857142857155,0.04496599999999999,33.79182389,0.5503640636048601,1,go_long,go_short,do_nothing,do_nothing,go_long,go_long,go_long,0.07214200000000112,0.07246960000000013,0,0.07214714285714341,0.07201,0.07201,do_nothing,0.07201,1,go_long,1,go_long,0.0,0.07221963258597669,0.07250869231942149,False,go_short,do_nothing,0.07201
334,ATOM/USDT:USDT,2020-03-13 02:15:00+00:00,first_buy,roi,1.308,1.319,1.5038071707543648,1.6768279882596295,1.1360000000000001,1,1.145,306423.07,0,False,1.403199999999989,1.4428571428571346,1.725439999999992,61.1170447,0.9952222397930648,1,go_long,go_short,go_long,go_long,go_long,go_long,go_long,2.292399999999985,2.2902399999999874,1,2.292714285714277,2.291,2.291,go_long,2.291,1,go_long,0,go_long,0.0,2.291632539445649,2.289145006765732,False,go_short,go_long,2.291
354,IOTA/USDT:USDT,2020-06-27 13:45:00+00:00,first_buy,roi,0.2155,0.2162,0.21575084707530184,0.21579891650465094,0.2155,0,0.2159,33782.9,0,False,0.21548000000000017,0.21569999999999895,0.21601600000000112,213.45748702,3.477043762483418,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,1.2052400000000045,1.197756000000003,0,1.209028571428563,1.197,1.197,go_long,1.197,1,go_long,0,go_long,0.0,1.2040377225530177,1.2025525650663995,False,go_long,go_long,1.197
92,EGLD/USDT:USDT,2020-09-23 11:00:00+00:00,first_buy,roi,8.345,8.468,8.435580160085719,8.500640602905916,8.315,0,8.46,3917.9,0,False,8.409999999999982,8.412142857142847,8.500120000000006,722.02836683,11.848791966788715,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,137.70459999999963,136.92007999999993,0,138.13257142857182,136.707,136.707,go_long,136.707,1,do_nothing,0,do_nothing,0.0,137.65332443298925,137.3609780062198,False,go_long,go_long,136.707
180,ETC/USDT:USDT,2020-03-12 11:00:00+00:00,first_buy,roi,5.242,5.25,5.688492455098013,5.929653304707957,4.471,1,4.782,829734.32,0,False,5.506399999999999,5.646857142857117,6.012759999999975,45.73143926,0.7447449521925723,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,go_long,11.100599999999918,10.88340000000001,0,11.11928571428568,11.029,11.029,go_long,11.029,1,do_nothing,0,do_nothing,0.0,11.027446570018807,10.938100769163139,False,go_long,go_long,11.029
353,IOTA/USDT:USDT,2020-03-13 00:00:00+00:00,first_buy,roi,0.11130000000000001,0.1135,0.1282155166091614,0.13599531793506567,0.1063,1,0.1085,442774.1,0,False,0.12152000000000127,0.12621428571428575,0.13945600000000055,60.39025348,0.983514713311432,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,0.21548000000000017,0.2159800000000011,0,0.21575714285714181,0.2154,0.2154,go_long,0.2154,0,go_long,1,go_long,0.0,0.21572372836172035,0.215790829825023,False,go_long,go_long,0.2154
