,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-large-rl (exit),volume (exit),sma-07 (exit),open (exit),short-small-rl (exit),low (exit),long-small-rl (exit),sma-compare (exit),long-large-rl (exit),long_jcrosk (exit),short-bid-rl (exit),sma-05 (exit),close (exit),ema-12 (exit),sma-25 (exit),short_kdj (exit),mean-grad-hist (exit),high (exit),long-bid-rl (exit),ema-26 (exit)
235,ALGO/USDT:USDT,2023-03-10 10:45:00+00:00,second_buy,stop_loss,0.1852,0.18680000000000002,0.18948156291050489,0.1906648208452664,0.1844,1,0.1852,8450274.9,0,False,0.18751999999999705,0.1891285714285729,0.19113600000001021,-16.79977822,-0.27416167817685694,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,15160866.6,0.22574285714285858,0.2283,do_nothing,0.22710000000000002,go_long,0,go_long,0,go_short,0.22707999999999715,0.23090000000000002,0.22318034153036523,0.22257200000001034,False,0,0.232,go_short,0.22509673817778938
238,ALGO/USDT:USDT,2023-06-10 04:45:00+00:00,second_buy,stop_loss,0.09630000000000001,0.10300000000000001,0.1133116285208245,0.11755448119976061,0.09620000000000001,1,0.1027,53804777.2,0,False,0.10963999999999666,0.11210000000000052,0.11943200000000974,-16.92536339,-0.27618278164113214,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,6479410.3,0.1281142857142863,0.12860000000000002,do_nothing,0.12860000000000002,go_long,0,go_long,0,go_short,0.1283599999999962,0.1297,0.12769592614915629,0.12763200000001,False,0,0.1301,go_short,0.1281458669305132
240,ALGO/USDT:USDT,2023-08-17 22:00:00+00:00,second_buy,stop_loss,0.0823,0.09230000000000001,0.09745640167493612,0.09973155860656185,0.0819,1,0.0918,55640820.3,0,False,0.09517999999999628,0.09704285714285733,0.10057200000000992,-16.34989241,-0.2667689433546091,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,6703232.7,0.11594285714285733,0.11620000000000001,do_nothing,0.1158,go_long,0,go_long,0,go_short,0.11627999999999565,0.11670000000000001,0.11487530584334217,0.11462000000000995,False,0,0.1168,go_short,0.11560633392324238
241,ALGO/USDT:USDT,2023-11-05 02:00:00+00:00,second_buy,stop_loss,0.11670000000000001,0.117,0.11578997485812817,0.11501787578087239,0.1165,1,0.1168,4332845.6,0,False,0.11635999999999565,0.11627142857142876,0.11474400000000994,-16.5327647,-0.26975633903166035,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,13361820.8,0.14564285714285713,0.1469,do_nothing,0.1463,go_long,0,go_long,0,go_short,0.14569999999999603,0.1482,0.1441275322395462,0.14428000000001015,False,0,0.14880000000000002,go_short,0.145414567962281
242,ALGO/USDT:USDT,2023-11-20 15:15:00+00:00,second_buy,stop_loss,0.1482,0.1494,0.14599694212193007,0.1445032705921724,0.1471,0,0.1492,14349104.6,0,False,0.14653999999999603,0.14611428571428567,0.14464800000001016,-16.55663268,-0.2702030367406006,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,4675127.0,0.18641428571428564,0.1877,do_nothing,0.1874,go_long,0,go_long,0,go_short,0.1869599999999954,0.1888,0.18481827280414934,0.18483600000001008,False,0,0.18910000000000002,go_short,0.18641262944254144
243,ALGO/USDT:USDT,2023-12-09 03:15:00+00:00,second_buy,stop_loss,0.1888,0.1912,0.18701068645138122,0.18522432667050864,0.1887,0,0.1903,11658114.5,0,False,0.1879999999999954,0.18724285714285707,0.18520800000001006,-16.6071641,-0.27103844376374364,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,30889895.5,0.23162857142857166,0.2336,do_nothing,0.233,go_long,0,go_long,0,go_short,0.23213999999999504,0.23770000000000002,0.22549585288585394,0.2259160000000101,False,0,0.24050000000000002,go_short,0.2298191758993286
245,ALGO/USDT:USDT,2024-01-08 03:45:00+00:00,second_buy,stop_loss,0.1653,0.16870000000000002,0.17062291660687792,0.17457254322391041,0.1652,0,0.1685,7881744.8,0,False,0.16785999999999363,0.16884285714285735,0.17512000000000985,-15.49832732,-0.2529292612701105,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,3498259.4,0.21198571428571386,0.21380000000000002,do_nothing,0.21330000000000002,go_long,0,go_long,0,go_short,0.2121599999999928,0.2144,0.21078492972707083,0.21048000000001055,False,0,0.2146,go_short,0.21161891715645081
246,ALGO/USDT:USDT,2024-02-28 10:15:00+00:00,second_buy,stop_loss,0.21430000000000002,0.2149,0.2119852375939199,0.21102308308062115,0.2137,0,0.214,3782025.0,0,False,0.2126199999999928,0.21235714285714244,0.21068400000001056,-16.13316251,-0.26330800395585074,0,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,21269044.5,0.25937142857142803,0.2671,do_nothing,0.2664,go_long,0,go_long,1,go_short,0.26155999999999235,0.2696,0.25355728429391006,0.25304000000001065,False,0,0.2727,go_short,0.25813213366164683
248,ALGO/USDT:USDT,2024-04-12 19:00:00+00:00,second_buy,stop_loss,0.1842,0.1859,0.20442957073138365,0.21303601222165,0.18180000000000002,1,0.184,23777089.5,0,False,0.19753999999999228,0.19990000000000077,0.2157680000000115,-16.83409528,-0.27468875072093557,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,27258651.2,0.2166857142857151,0.2225,do_nothing,0.2225,go_long,0,go_long,1,go_short,0.22019999999999249,0.23370000000000002,0.20711900088359483,0.2047520000000116,False,0,0.2343,go_short,0.2142297778992312
251,ALGO/USDT:USDT,2024-07-05 09:00:00+00:00,second_buy,stop_loss,0.1163,0.1165,0.11767492593491863,0.11956425941504273,0.1158,1,0.11610000000000001,3192775.9,0,False,0.11731999999999396,0.1175857142857155,0.11805200000001212,-16.86434074,-0.2751985175888023,1,go_long,do_nothing,go_long,go_long,go_short,go_short,go_long,982124.1,0.14668571428571572,0.14730000000000001,do_nothing,0.1471,go_long,0,go_long,0,go_short,0.14685999999999394,0.1476,0.14538498032995423,0.1453000000000121,False,0,0.14780000000000001,go_short,0.1462516026695461
