,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,volume (exit),close (exit),long_jcrosk (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit),mean-grad-hist (exit),low (exit),open (exit),short-small-rl (exit),sma-07 (exit),short-large-rl (exit),ema-12 (exit),short_kdj (exit),long-large-rl (exit),ema-26 (exit),high (exit)
226,ADA/USDT:USDT,2022-02-24 03:45:00+00:00,first_buy,long-exit-profit,0.8180000000000001,0.8181,0.8391516120290821,0.8589276957879002,0.7824,1,0.7934,51645931.0,0,False,0.8252400000000003,0.8347999999999937,0.8607039999999955,24.08419346,0.39383572470729833,1,go_short,do_nothing,go_short,go_short,2022-03-24 00:00:00+00:00,34208514.0,1.1064,0,go_short,1.0900000000000052,1.069171999999995,0,0,1.0934,1.0946,do_nothing,1.084042857142855,go_short,1.0710833207383006,False,go_short,1.0813471697942398,1.1087
257,MKR/USDT:USDT,2022-12-19 22:45:00+00:00,first_buy,long-exit-profit,529.3,529.5,531.9966584024178,534.601063641825,521.8,1,523.3,1401.753,0,False,531.0400000000049,532.228571428575,534.0160000000093,25.65088551,0.41853490994445586,1,go_long,go_long,go_short,go_short,2023-01-14 07:00:00+00:00,1871.8,746.1,0,go_long,719.2200000000056,705.3600000000098,0,0,716.6,717.6,go_long,714.5571428571466,go_short,704.1978981647509,False,go_short,713.1811308183725,747.2
258,MKR/USDT:USDT,2023-01-14 07:15:00+00:00,first_buy,long-exit-profit,746.0,749.0,715.1994183847767,705.8350908932879,719.2,0,726.3,1721.73,1,False,722.8200000000057,718.2285714285752,706.6040000000097,25.7048851,0.4208491630956625,0,go_long,go_long,go_short,go_short,2023-07-03 21:15:00+00:00,16822.006,1068.0,0,go_long,1012.3199999999964,978.8880000000074,0,0,995.5,1006.8,go_long,1008.5714285714301,go_short,982.6614635641088,False,go_short,1004.1302270742611,1077.0
259,MKR/USDT:USDT,2023-07-03 21:30:00+00:00,first_buy,long-exit-profit,1068.1,1075.7,1006.7255767551441,985.5013551519526,1015.1,0,1021.0,16447.519,1,False,1016.9199999999964,1012.028571428573,982.7280000000075,24.19186887,0.3945103031151023,0,go_long,go_long,go_short,go_short,2023-09-27 10:15:00+00:00,7509.575,1449.6,1,go_long,1436.280000000006,1420.2880000000064,0,0,1436.4,1436.7,go_long,1432.9714285714215,go_short,1423.336618227417,False,go_short,1429.5533892534286,1465.0
260,MKR/USDT:USDT,2023-09-27 10:30:00+00:00,first_buy,long-exit-profit,1449.6,1451.9,1432.145175522132,1425.045016877238,1442.2,0,1446.4,3033.108,0,False,1440.1000000000063,1435.699999999993,1421.2880000000064,24.07591821,0.3959233160763067,0,go_long,go_long,go_short,go_short,2024-01-11 12:00:00+00:00,1051.706,2093.7,0,go_long,2074.0599999999927,2051.196000000004,0,0,2086.3,2087.4,go_long,2065.8285714285653,go_short,2052.6285107276008,False,go_short,2062.4971193214865,2106.9
261,MKR/USDT:USDT,2024-01-11 12:15:00+00:00,first_buy,long-exit-profit,2093.7,2098.9,2066.6821778874114,2055.3745469700007,2079.9,0,2089.7,608.339,1,False,2082.2599999999925,2072.057142857136,2052.6320000000037,25.07147597,0.41327877507597727,0,go_long,go_long,go_short,go_short,2024-03-17 09:00:00+00:00,3342.219,3105.9,0,go_long,3008.999999999999,2980.935999999998,0,0,3045.5,3055.3,go_long,2972.428571428554,go_short,2961.57515128272,False,go_short,2984.8815972374487,3146.9
264,MKR/USDT:USDT,2024-10-22 13:15:00+00:00,first_buy,long-exit-profit,1166.6,1168.9,1172.7966992297254,1176.4813914584336,1157.5,1,1164.0,1147.491,0,False,1170.0800000000006,1172.6428571428332,1177.9839999999938,24.37457267,0.40229682869998096,1,go_long,go_long,go_short,go_short,2024-11-07 18:45:00+00:00,6217.966,1642.1,1,go_long,1595.3600000000029,1493.031999999993,0,0,1600.4,1604.1,go_long,1583.2285714285467,go_short,1511.3006050135702,False,go_short,1558.0285072799927,1656.0
267,QTUM/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,long-exit-profit,5.164,5.228,5.202597097461705,5.189269035014004,5.1370000000000005,0,5.222,73337.3,0,False,5.176399999999994,5.18471428571428,5.188839999999995,24.96041311,0.4078923262154768,1,go_long,do_nothing,do_nothing,do_nothing,2021-03-19 15:45:00+00:00,339526.8,7.531,0,go_long,7.382999999999998,7.111479999999999,0,0,7.393,7.404,do_nothing,7.335,do_nothing,7.138545775588762,False,do_nothing,7.28025393803895,7.537
268,QTUM/USDT:USDT,2021-03-19 16:00:00+00:00,first_buy,long-exit-profit,7.536,7.571,7.303137947571419,7.160060903322927,7.412,1,7.429,542603.8,1,False,7.409399999999998,7.367714285714285,7.13708,25.7817998,0.4227999657939676,0,go_long,do_nothing,do_nothing,do_nothing,2021-04-01 08:00:00+00:00,556326.2,10.808,0,go_long,10.431000000000001,10.274799999999994,0,0,10.469,10.552,do_nothing,10.413428571428586,do_nothing,10.234459994611386,False,do_nothing,10.381573987686492,10.87
269,QTUM/USDT:USDT,2021-04-01 08:15:00+00:00,first_buy,long-exit-profit,10.812,10.945,10.412870297273185,10.260425920936468,10.569,0,10.585,609286.7,0,False,10.497600000000002,10.439428571428587,10.282839999999991,24.36047384,0.4034679495849904,0,go_long,do_nothing,do_nothing,do_nothing,2021-04-06 21:15:00+00:00,354658.2,15.055,0,go_long,14.607800000000003,14.378800000000005,0,0,14.674,14.681000000000001,do_nothing,14.520142857142876,do_nothing,14.284395457753087,False,do_nothing,14.52236547350925,15.149
270,QTUM/USDT:USDT,2021-04-06 21:30:00+00:00,first_buy,long-exit-profit,15.055,15.2,14.54184770835398,14.311403201623229,14.613,0,14.649000000000001,378714.5,0,False,14.667800000000003,14.56700000000002,14.432520000000006,27.70239174,0.4607775944579089,0,go_long,do_nothing,do_nothing,do_nothing,2021-05-06 13:15:00+00:00,1847701.9,22.298,1,go_long,20.619799999999934,19.04135999999998,0,0,20.901,21.077,do_nothing,20.192857142857186,do_nothing,19.320789702724856,False,do_nothing,19.974391217749076,22.909
271,QTUM/USDT:USDT,2021-05-06 13:30:00+00:00,first_buy,long-exit-profit,22.292,22.482,20.30448487655691,19.528138613634127,21.7,0,22.12,873621.2,0,False,21.202799999999936,20.61628571428576,19.19939999999998,24.78940805,0.41463270876498126,0,go_long,do_nothing,do_nothing,do_nothing,2021-05-07 01:30:00+00:00,1136806.6,31.416,0,go_long,29.380799999999926,24.93655999999997,0,0,27.812,27.823,do_nothing,28.376000000000044,do_nothing,25.5626234683488,False,do_nothing,27.307019353872978,31.418
275,QTUM/USDT:USDT,2021-05-23 16:30:00+00:00,first_buy,long-exit-profit,7.064,7.12,7.479670653398359,7.8875399529319,6.707,1,6.791,365035.6,0,False,7.306199999999825,7.411571428571485,7.904599999999997,25.58115763,0.4181901820973986,1,go_long,do_nothing,do_nothing,do_nothing,2021-05-24 11:30:00+00:00,248455.7,9.642,0,go_long,9.250599999999821,8.85184,0,0,9.245,9.256,do_nothing,9.169142857142916,do_nothing,8.867198344257714,False,do_nothing,9.128952064843322,9.712
253,MKR/USDT:USDT,2022-06-13 09:15:00+00:00,first_buy,long-exit-profit,751.4,759.4,785.9808824529426,810.4106692140161,727.3,1,751.9,1590.247,0,False,769.8800000000119,774.9142857142855,811.2760000000126,23.98301075,0.3931296673410797,1,go_long,go_long,go_short,go_short,2022-06-24 12:30:00+00:00,751.407,1050.7,0,go_long,1022.1000000000116,988.1760000000127,0,0,1020.5,1024.4,go_long,1014.5428571428571,go_short,994.535299105799,False,go_short,1008.1294323748224,1050.7
222,ADA/USDT:USDT,2021-08-14 06:15:00+00:00,first_buy,long-exit-profit,2.17,2.192,2.1350178026951623,2.115141050846398,2.1585,0,2.1804,30953046.0,0,False,2.1476400000000124,2.1373428571428614,2.1212800000000005,24.20784962,0.396139226483347,0,go_short,do_nothing,go_short,go_short,2021-09-02 06:00:00+00:00,19799941.0,3.0957,0,go_short,3.067920000000015,2.976828000000004,0,0,3.0717,3.0807,do_nothing,3.053471428571431,go_short,2.990655039656941,False,go_short,3.039463701896735,3.1048
221,ADA/USDT:USDT,2021-05-24 12:45:00+00:00,first_buy,long-exit-profit,1.4979,1.5439,1.475833742008932,1.4480232173448004,1.4978,0,1.5287000000000002,25778151.0,0,False,1.4935600000000107,1.4846857142857228,1.4558920000000026,24.6310527,0.4023553903745545,0,go_short,do_nothing,go_short,go_short,2021-08-14 06:00:00+00:00,32316957.0,2.1703,0,go_short,2.132380000000012,2.1197080000000006,0,0,2.1346,2.1347,do_nothing,2.128200000000004,go_short,2.10992033491411,False,go_short,2.1267664940942828,2.1772
220,ADA/USDT:USDT,2021-05-23 16:45:00+00:00,first_buy,long-exit-profit,1.1161,1.1283,1.1525556404586095,1.1991479013087343,1.05,1,1.0641,46869454.0,0,False,1.1276200000000114,1.1454714285714365,1.1953680000000029,24.65993743,0.4061250544494692,1,go_short,do_nothing,go_short,go_short,2021-05-24 12:30:00+00:00,22850752.0,1.498,0,go_short,1.481700000000011,1.4495040000000026,0,0,1.4674,1.4762,do_nothing,1.4735714285714372,go_short,1.4415690747323844,False,go_short,1.466221695101465,1.5
178,ALGO/USDT:USDT,2024-11-16 08:00:00+00:00,first_buy,long-exit-profit,0.1981,0.19840000000000002,0.1934721998636108,0.19085482508552615,0.1935,1,0.19390000000000002,13196229.3,1,False,0.19575999999999155,0.19455714285714507,0.19057600000001187,24.67892419,0.40194317556869463,0,go_long,go_long,go_short,go_short,2024-11-23 00:30:00+00:00,28295122.2,0.2727,0,go_long,0.26359999999999195,0.25179600000001207,0,0,0.2666,0.2674,go_long,0.26187142857143086,go_short,0.25338998028554466,False,go_short,0.2592601759852262,0.27340000000000003
174,ALGO/USDT:USDT,2023-11-05 01:00:00+00:00,first_buy,long-exit-profit,0.1164,0.11660000000000001,0.11513276906789144,0.11450125087452825,0.11520000000000001,0,0.11610000000000001,5071143.9,0,False,0.11551999999999281,0.11535714285714406,0.11428000000000997,24.22160939,0.3944335878520693,0,go_long,go_long,go_short,go_short,2023-12-07 23:30:00+00:00,4116125.4,0.1641,0,go_long,0.16327999999999263,0.16137200000000998,0,0,0.163,0.16340000000000002,go_long,0.1630142857142866,go_short,0.1614834552501699,False,go_short,0.16241899380543803,0.1642
179,ALGO/USDT:USDT,2024-11-23 00:45:00+00:00,first_buy,long-exit-profit,0.2727,0.2796,0.2620816873721145,0.255183315079208,0.2725,0,0.2776,34765165.8,0,False,0.26765999999999196,0.2651571428571452,0.25309200000001203,24.90350467,0.4055597032005619,0,go_long,go_long,go_short,go_short,2024-11-29 15:00:00+00:00,26589765.1,0.3922,0,go_long,0.3838999999999915,0.3652640000000123,0,0,0.3829,0.3839,go_long,0.38092857142857417,go_short,0.36766144147020147,False,go_short,0.3777051213338567,0.3932
173,ALGO/USDT:USDT,2023-08-17 21:45:00+00:00,first_buy,long-exit-profit,0.1003,0.1005,0.09848483834310633,0.1003660832950868,0.0816,1,0.0823,72343411.6,0,False,0.09713999999999344,0.09851428571428691,0.10093600000000992,24.56644567,0.4000543758907816,1,go_long,go_long,go_short,go_short,2023-11-05 00:45:00+00:00,6675573.9,0.1164,0,go_long,0.11525999999999281,0.11416400000000998,0,0,0.1155,0.11560000000000001,go_long,0.11524285714285834,go_short,0.11437335094449051,False,go_short,0.11495690889841716,0.1165
164,ALGO/USDT:USDT,2021-09-08 12:00:00+00:00,first_buy,long-exit-profit,1.7533,1.8250000000000002,1.6782787446284673,1.612944778419296,1.7271,0,1.7695,25177518.8,0,False,1.7106200000000018,1.6999571428571514,1.6117680000000008,25.18502244,0.41101269404646784,0,go_long,go_long,go_short,go_short,2021-09-13 00:30:00+00:00,12588906.1,2.5063,0,go_long,2.4284800000000035,2.3623400000000014,0,0,2.4465,2.4465,go_long,2.4233142857142944,go_short,2.3640787383050825,False,go_short,2.3992756821004226,2.5135
