,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),volume (exit),close (exit),ema-12 (exit),sma-25 (exit),short-bid-rl (exit),ema-26 (exit),short_kdj (exit),sma-07 (exit),sma-compare (exit),long-small-rl (exit),short-large-rl (exit),open (exit),high (exit),mean-grad-hist (exit),long_jcrosk (exit),long-bid-rl (exit),short-small-rl (exit),sma-05 (exit),long-large-rl (exit),low (exit)
244,LTC/USDT:USDT,2024-11-23 05:30:00+00:00,first_buy,force_exit,105.06,105.15,101.62680110204333,98.95819362569254,102.56,1,103.1,132666.172,0,False,102.94199999999805,102.5142857142889,98.48000000000177,-0.9751213,-0.015881483224614093,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,22893.365,102.06,100.68999748500165,100.90480000000174,do_nothing,101.53145857400236,False,101.75714285714604,0,go_long,go_short,102.16,102.24,0,0,do_nothing,go_long,101.91399999999793,go_short,101.84
680,COTI/USDT:USDT,2024-11-23 00:30:00+00:00,first_buy,force_exit,0.14569000000000001,0.156,0.13498315220889834,0.12583678458646197,0.14442000000000002,0,0.15519000000000002,78109032.0,0,False,0.14186199999999285,0.1386057142857196,0.12248080000000149,-2.85688421,-0.046558366262673186,0,go_long,go_long,go_short,go_short,go_short,go_short,1564625.0,0.14875000000000002,0.14819385346245093,0.14923440000000138,go_short,0.14810268718259634,False,0.1475628571428624,1,go_long,go_short,0.14806000000000002,0.14879,0,0,go_short,go_long,0.14735599999999288,go_short,0.14792000000000002
799,YFI/USDT:USDT,2024-11-10 11:45:00+00:00,first_buy,force_exit,7705.0,7724.0,7003.495054993407,6532.317123322169,7400.0,0,7595.0,810.428,1,False,7417.400000000047,7222.285714285615,6371.199999999935,0.64301822,0.010572347665501056,0,go_long,go_long,go_short,go_short,go_long,go_long,20.425,7736.0,7607.006542323701,7619.799999999935,go_long,7649.470191508155,False,7647.285714285615,0,go_long,go_short,7681.0,7740.0,0,0,go_long,go_long,7647.800000000047,go_short,7675.0
451,MKR/USDT:USDT,2024-11-25 14:15:00+00:00,first_buy,force_exit,1977.2,1980.5,1896.8936643124562,1849.2269056900702,1950.8,0,1973.4,2341.623,0,False,1946.4800000000027,1917.1999999999691,1835.7319999999954,-5.15702576,-0.08421906461117018,0,go_long,go_long,go_short,go_short,do_nothing,do_nothing,304.047,1813.6,1804.4571692185707,1805.655999999996,do_nothing,1803.1690538945597,False,1799.9142857142547,0,go_long,go_short,1805.6,1814.4,0,0,do_nothing,go_long,1801.1199999999997,go_short,1804.4
483,QTUM/USDT:USDT,2021-08-07 05:15:00+00:00,first_buy,long-exit-proift,10.4,10.478,9.612858002988972,9.253651780745521,10.162,0,10.185,1227502.6,0,False,9.938799999999773,9.761285714285771,9.105119999999967,12.94551242,0.21154480060457093,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,1152420.5,12.404,11.110370690169626,10.95359999999998,go_short,11.490773199288832,False,11.684714285714339,0,go_long,do_nothing,11.857,12.457,0,0,go_short,do_nothing,11.839399999999765,do_nothing,11.856
484,QTUM/USDT:USDT,2021-08-13 10:30:00+00:00,first_buy,long-exit-proift,12.413,12.6,11.63542347632132,11.208195083490395,12.3,0,12.431,1049219.0,0,False,12.071199999999765,11.836857142857196,11.03255999999998,11.415692,0.1871657141591412,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,599821.2,14.8,14.033544694975507,14.179439999999984,go_short,14.380067318201863,False,14.440714285714332,0,go_long,do_nothing,14.486,14.82,0,0,go_short,do_nothing,14.48079999999976,do_nothing,14.459
486,QTUM/USDT:USDT,2021-09-26 08:00:00+00:00,first_buy,long-exit-proift,8.923,8.963,9.158649585822317,9.27154884231196,8.761,1,8.882,321644.9,0,False,9.077999999999696,9.13671428571433,9.268679999999975,12.63878321,0.20599772979403833,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,926701.1,10.719,10.31662944619967,10.311679999999983,go_short,10.390645498805856,False,10.414285714285766,0,go_long,do_nothing,10.405,10.794,0,0,go_short,do_nothing,10.4303999999997,do_nothing,10.382
487,QTUM/USDT:USDT,2021-10-01 00:30:00+00:00,first_buy,long-exit-proift,10.719,10.927,10.454546191297263,10.352879116851547,10.704,0,10.806000000000001,613768.4,0,False,10.522999999999701,10.477142857142908,10.330719999999983,10.53165223,0.17381565459506462,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,133358.1,12.704,12.442691065282864,12.41239999999999,go_short,12.554804894302038,False,12.587571428571485,0,go_long,do_nothing,12.602,12.724,1,0,go_short,do_nothing,12.604999999999695,do_nothing,12.597
456,QTUM/USDT:USDT,2021-03-05 16:00:00+00:00,first_buy,long-exit-proift,6.364,6.368,6.077010550337671,5.892056409065934,6.17,1,6.193,407736.0,0,False,6.160399999999939,6.137857142857152,5.830479999999992,11.65845885,0.19011726897223755,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,339526.8,7.531,7.138545775588762,7.111479999999997,go_short,7.28025393803895,False,7.3350000000000035,0,go_long,do_nothing,7.404,7.537,0,0,go_short,do_nothing,7.382999999999941,do_nothing,7.393
455,QTUM/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,long-exit-proift,5.164,5.228,5.202597097461705,5.189269035014004,5.1370000000000005,0,5.222,73337.3,0,False,5.176399999999937,5.184714285714285,5.188839999999992,13.09457607,0.21398592525129148,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,546053.9,6.364,5.867980921791209,5.797999999999991,go_short,6.055921559489975,False,6.1270000000000095,0,go_long,do_nothing,6.133,6.376,0,0,go_short,do_nothing,6.135599999999938,do_nothing,6.133
