,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),sma-compare (exit),close (exit),short-bid-rl (exit),low (exit),ema-26 (exit),sma-25 (exit),open (exit),short-small-rl (exit),long_jcrosk (exit),high (exit),long-large-rl (exit),short-large-rl (exit),long-small-rl (exit),ema-12 (exit),long-bid-rl (exit),short_kdj (exit)
27,ATOM/USDT:USDT,2022-09-29 13:45:00+00:00,first_buy,stop_loss,12.850999999999999,12.879,12.79412159401316,12.833832317686301,12.439,1,12.482,32042.0,1,False,12.747200000000316,12.770000000000056,12.833480000000145,-4.99207958,-0.3999913769259294,1,go_long,go_short,go_long,go_long,go_long,go_long,8.914428571428735,252.0,8.915400000000284,1,0,8.887,go_long,8.881,8.971243309237702,9.07252000000011,8.891,go_short,0,8.9,go_long,go_long,go_long,9.051253095305556,go_long,False
26,ATOM/USDT:USDT,2022-05-10 00:00:00+00:00,first_buy,stop_loss,12.903,13.079,13.388779833846149,13.742130667346391,12.353,1,12.49,14706.0,0,False,13.075000000000292,13.251714285714375,13.80460000000009,-4.921045,-0.39414165566654946,1,go_long,go_short,go_long,go_long,go_long,go_long,7.728857142857209,2511.0,7.7204000000003035,1,1,7.618,go_long,7.594,7.76390494703292,7.894440000000111,7.697,go_short,0,7.739,go_long,go_long,go_long,7.883104970304138,go_long,False
1,BTC/USDT:USDT,2021-10-15 20:45:00+00:00,first_buy,stop_loss,62562.8,62593.6,61668.07297273095,61160.302130645054,61667.2,0,62318.6,4888988.0,0,False,61813.57999999901,61696.0714285719,61111.664000000004,-2.45913462,-0.3942120009014857,0,go_long,go_long,go_long,go_long,go_long,go_long,38784.542857143526,5861948.0,38741.459999999635,1,1,38540.0,go_long,38456.0,38821.45639939208,38904.53599999978,38588.0,go_long,0,38729.0,go_long,go_long,go_long,38979.47526186116,go_long,False
24,ADA/USDT:USDT,2024-11-16 15:15:00+00:00,second_buy,stop_loss,0.7782,0.8190000000000001,0.7639616322155512,0.7557657740053617,0.7707,0,0.7707,594145.0,1,False,0.7709999999999884,0.7683714285714249,0.7578400000000248,-3.03093957,-0.3935625299706244,0,do_nothing,go_long,go_long,go_long,go_short,go_short,1.0173142857142812,352182.0,1.014539999999987,0,0,1.0492,go_short,1.0163,1.0103368963650274,0.990880000000025,1.0177,go_long,0,1.052,go_long,go_long,do_nothing,0.9908358701289851,go_short,False
23,ADA/USDT:USDT,2024-11-10 04:45:00+00:00,second_buy,stop_loss,0.5569000000000001,0.5775,0.5345834182531642,0.5131877451807321,0.5554,0,0.5662,495098.0,0,False,0.5454399999999879,0.5420285714285675,0.5127720000000245,-2.22516759,-0.3933242071313765,0,do_nothing,go_long,go_long,go_long,go_short,go_short,0.7665142857142822,112750.0,0.7681999999999883,0,0,0.7779,go_short,0.7611,0.7627364744365606,0.7558840000000248,0.7623000000000001,go_long,0,0.7782,go_long,go_long,do_nothing,0.7545710359257907,go_short,False
22,ADA/USDT:USDT,2024-04-13 20:30:00+00:00,second_buy,stop_loss,0.42560000000000003,0.4269,0.45977800651829054,0.47628761187085134,0.40190000000000003,1,0.4112,312660.0,0,False,0.44731999999998956,0.4572142857142821,0.48236000000002166,-2.96908118,-0.36147570338521445,1,do_nothing,go_long,go_long,go_long,go_short,go_short,0.5349857142857103,296242.0,0.5399799999999878,0,0,0.5564,go_short,0.5388000000000001,0.5288349488446487,0.5083080000000245,0.539,go_long,0,0.5596,go_long,go_long,do_nothing,0.5089467647951906,go_short,False
2,BTC/USDT:USDT,2022-01-21 12:45:00+00:00,first_buy,stop_loss,38540.0,38540.0,38692.77079948561,38905.81042764922,37668.2,1,37985.0,23504013.0,0,False,38572.319999999636,38643.914285714956,38873.64399999978,-2.99782842,-0.39421162329618537,1,go_long,go_long,go_long,go_long,go_long,go_long,23550.842857143463,11755522.0,23512.83999999972,1,1,23435.3,go_long,23255.1,23701.58159223483,23958.107999999793,23427.2,go_long,1,23474.9,go_long,go_long,go_long,24054.596401630304,go_long,False
20,ADA/USDT:USDT,2023-12-08 11:30:00+00:00,second_buy,stop_loss,0.4989,0.5072,0.49356750651274595,0.4849214447050863,0.49820000000000003,0,0.5066,77867.0,0,False,0.49893999999999183,0.4975142857142846,0.4835920000000222,-3.52896771,-0.3479610136140869,0,do_nothing,go_long,go_long,go_long,go_short,go_short,0.6920285714285701,32210.0,0.6919199999999898,0,0,0.6951,go_short,0.6871,0.6899616702385764,0.6824640000000217,0.6896,go_long,0,0.6955,go_long,go_long,do_nothing,0.6805209254002307,go_short,False
7,BCH/USDT:USDT,2021-12-04 05:30:00+00:00,first_buy,stop_loss,458.6,467.2,482.3069226695533,504.9115037878507,340.95,1,359.05,1013555.0,0,False,466.2499999999979,479.55000000001695,512.1759999999992,-2.828519,-0.39420944568824035,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,226.83571428573265,39538.0,225.83000000000067,1,1,221.55,do_nothing,221.4,227.47901833139463,229.15399999999838,224.8,go_long,0,226.1,go_long,go_long,go_long,230.33020623597017,do_nothing,False
19,ADA/USDT:USDT,2022-10-13 08:00:00+00:00,second_buy,stop_loss,0.35894000000000004,0.3628,0.36695939635686153,0.37095855236455877,0.35881,1,0.36175,73198.0,0,False,0.3637719999999943,0.365102857142856,0.37115160000002256,-2.68110893,-0.3708945166836267,1,do_nothing,go_long,go_long,go_long,go_short,go_short,0.4953285714285703,11792.0,0.4963599999999918,1,0,0.499,go_short,0.4949,0.4911979622423361,0.4819800000000222,0.4949,go_long,0,0.4995,go_long,go_long,do_nothing,0.4831871602814932,go_short,False
17,ADA/USDT:USDT,2022-05-12 04:15:00+00:00,second_buy,stop_loss,0.44089000000000006,0.44559000000000004,0.47860456010655134,0.4991610718035593,0.42754000000000003,1,0.43095000000000006,11674.0,0,False,0.45966999999999186,0.46718571428571537,0.5053320000000238,-3.407637,-0.3954838316577447,1,do_nothing,go_long,go_long,go_long,go_short,go_short,0.5479642857142867,22683.0,0.5495159999999915,0,0,0.5758300000000001,go_short,0.54429,0.5400238868690593,0.5135564000000239,0.5467500000000001,go_long,0,0.57874,go_long,go_long,do_nothing,0.5205679702592183,go_short,False
5,BCH/USDT:USDT,2021-05-19 12:45:00+00:00,first_buy,stop_loss,837.7,837.7,862.1709533823985,908.937853185097,697.8,1,697.8,192638.0,1,False,817.8099999999991,840.3714285714337,920.8580000000009,-2.7543169,-0.3942070680036297,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,435.6285714285793,16984.0,434.1399999999993,1,1,425.95,do_nothing,425.0,441.3635645687361,453.5980000000008,434.05,go_long,1,435.75,go_long,go_long,go_long,450.13991150769226,do_nothing,False
29,ATOM/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,stop_loss,6.728,6.743,6.827326943699406,6.932660539805373,6.218,1,6.253,118095.0,1,False,6.737200000000354,6.802285714285956,6.980800000000058,-2.48260913,-0.39523968143410376,1,go_long,go_short,go_long,go_long,go_long,go_long,3.879857142857387,5066.0,3.875600000000362,1,1,3.8609999999999998,go_long,3.86,3.885879265512371,3.9016800000000957,3.872,go_short,0,3.877,go_long,go_long,go_long,3.895695757437014,go_long,False
14,ADA/USDT:USDT,2021-06-21 21:45:00+00:00,second_buy,stop_loss,1.2380200000000001,1.2426,1.256626306793006,1.268188153832834,1.21826,1,1.21826,2837.0,0,False,1.2525579999999854,1.2567428571428643,1.2668340000000067,-4.8185626,-0.3957942318600746,1,do_nothing,go_long,go_long,go_long,go_short,go_short,1.6035557142857184,6600.0,1.610343999999973,0,0,1.66808,go_short,1.61044,1.5986650579788124,1.5741612000000114,1.61044,go_long,0,1.6684100000000002,go_long,go_long,do_nothing,1.581115048159936,go_short,False
13,ADA/USDT:USDT,2021-05-23 12:30:00+00:00,second_buy,stop_loss,1.2474,1.25783,1.2766115700172223,1.3213472570654232,1.19843,1,1.19902,3353.0,0,False,1.2621419999999932,1.2688171428571573,1.3225320000000034,-4.7430077,-0.3957551206127898,1,do_nothing,go_long,go_long,go_long,go_short,go_short,1.6361414285714415,1612.0,1.636759999999991,1,0,1.64449,go_short,1.64037,1.6204202865367274,1.582793600000004,1.64545,go_long,0,1.65204,go_long,go_long,do_nothing,1.5928074146499647,go_short,False
12,ADA/USDT:USDT,2021-05-19 13:15:00+00:00,second_buy,stop_loss,1.23684,1.26652,1.4897706824292518,1.6069657478067048,0.9813100000000001,1,1.25647,57180.0,0,False,1.3895759999999946,1.4411571428571561,1.6513176000000058,-4.6555786,-0.3957538332517102,1,do_nothing,go_long,go_long,go_long,go_short,go_short,1.4732800000000135,10602.0,1.4580459999999944,0,1,1.56423,go_short,1.45923,1.4768686770145572,1.5574088000000055,1.53265,go_long,0,1.5707200000000001,go_long,go_long,do_nothing,1.5420025085248412,go_short,False
11,ADA/USDT:USDT,2021-03-03 00:15:00+00:00,second_buy,stop_loss,1.22,1.22,1.2124517421368721,1.2056986467236468,1.21017,0,1.21335,422.0,0,False,1.2215759999999996,1.2181542857142857,1.205,-4.7965345,-0.3957090564005304,0,do_nothing,go_long,go_long,go_long,go_short,go_short,1.5885942857142976,4935.0,1.5998279999999956,0,0,1.6288900000000002,go_short,1.6047600000000002,1.5682483719862845,1.524950800000005,1.62376,go_long,0,1.6288900000000002,go_long,go_long,do_nothing,1.535982393720387,go_short,False
6,BCH/USDT:USDT,2021-08-09 15:45:00+00:00,first_buy,stop_loss,594.35,596.55,585.083959600179,578.6529211510704,592.3,0,594.7,18692.0,0,False,589.4700000000008,587.9357142857216,579.0400000000008,-2.3447488,-0.3942117794692685,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,502.32142857144544,375653.0,497.6999999999979,1,1,459.4,do_nothing,443.05,504.71727224583566,519.2639999999993,487.05,go_long,1,491.2,go_long,go_long,go_long,516.5804240908788,do_nothing,False
9,BCH/USDT:USDT,2024-03-27 15:15:00+00:00,first_buy,stop_loss,540.85,548.35,515.7964567383881,505.47821332197555,536.6,0,540.35,525036.0,0,False,525.7200000000032,519.0071428571605,501.3159999999982,-4.53897853,-0.4195451596885719,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,337.6928571428739,83531.0,335.78999999999985,1,1,331.1,do_nothing,329.95,338.5275121991886,341.7119999999999,332.85,go_long,1,333.25,go_long,go_long,go_long,340.9436616314682,do_nothing,False
4,BCH/USDT:USDT,2021-05-13 00:00:00+00:00,first_buy,stop_loss,1296.5,1311.95,1357.6321217561347,1391.5780270466637,1197.9,1,1236.9,146918.0,0,False,1328.3399999999995,1342.735714285715,1399.582000000002,-4.8835883,-0.39420730368532575,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,874.0142857142908,35431.0,853.6399999999991,1,1,839.2,do_nothing,827.95,892.0565812701072,931.4380000000009,858.15,go_long,0,860.0,go_long,go_long,go_long,925.8288814399048,do_nothing,False
0,BTC/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,stop_loss,48460.1,48460.1,48048.67425859604,47811.66851851852,48166.2,0,48366.9,238966.0,0,False,48304.31999999999,48165.71428571428,47784.848,-3.81718516,-0.39421214756050493,0,go_long,go_long,go_long,go_long,go_long,go_long,37705.11428571432,61886690.0,37476.89999999956,1,1,35071.3,go_long,31888.2,38113.24598443694,39315.64399999998,36451.8,go_long,0,37360.4,go_long,go_long,go_long,39017.564925673905,go_long,False
