,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),close_date,high (exit),sma-07 (exit),short-small-rl (exit),long_jcrosk (exit),sma-25 (exit),ema-26 (exit),short_kdj (exit),open (exit),volume (exit),close (exit),mean-grad-hist (exit),sma-compare (exit),low (exit),sma-05 (exit),long-large-rl (exit),ema-12 (exit),long-small-rl (exit),short-large-rl (exit)
135,OP/USDT:USDT,2022-11-07 06:00:00+00:00,first_buy,stop_loss,1.2893,1.2893,1.2847003185405435,1.2934932871090603,1.2792,0,1.2804,1171153.2,0,False,1.2787000000000144,1.2770857142857204,1.2955399999999995,-24.21786154,-0.3945067655582398,0,go_short,go_long,go_short,go_short,2022-11-09 21:15:00+00:00,0.8707,0.8717428571428628,go_long,0,0.8621879999999987,0.8654400530891542,False,0.8695,3684543.4,0.8499,1,0,0.8399000000000001,0.8664000000000163,go_short,0.8661003448488759,go_short,go_short
110,1000SHIB/USDT:USDT,2021-11-04 16:00:00+00:00,second_buy,stop_loss,0.046019,0.046341,0.048736799800669056,0.051322863702250233,0.043508,1,0.044869,6854596906.0,0,False,0.04683659999999985,0.047721000000000166,0.05212496000000002,-24.05169823,-0.3926019697467958,1,do_nothing,go_short,do_nothing,do_nothing,2021-11-05 19:30:00+00:00,0.059430000000000004,0.057370857142857314,go_short,0,0.05532968000000001,0.057022794083323516,False,0.057899,2159600723.0,0.059391,0,0,0.057344,0.05773259999999984,do_nothing,0.05546973629289011,do_nothing,do_nothing
133,OP/USDT:USDT,2022-08-10 16:45:00+00:00,first_buy,stop_loss,1.738,1.7412,1.7490033479307632,1.7438549547608913,1.7035,1,1.7091,7680851.5,0,False,1.7400200000000041,1.746842857142861,1.7499720000000019,-24.30252504,-0.3967955755930021,1,go_short,go_long,go_short,go_short,2022-08-26 22:30:00+00:00,1.0644,1.0609857142857215,go_long,0,1.0695880000000029,1.065171103754521,False,1.0602,843651.1,1.0614,1,1,1.0597,1.0599800000000097,go_short,1.0771220580369605,go_short,go_short
128,OP/USDT:USDT,2022-06-06 11:45:00+00:00,first_buy,stop_loss,1.2789000000000001,1.2810000000000001,1.2917205091226054,1.2877854704891332,1.2469999999999999,1,1.2535,6087827.3,0,False,1.2835799999999997,1.2899571428571437,1.2932960000000011,-24.21399682,-0.3947957542060529,1,go_short,go_long,go_short,go_short,2022-06-08 23:15:00+00:00,0.8554,0.8536571428571458,go_long,1,0.8943880000000004,0.8636135558520468,False,0.8549,5000761.3,0.8320000000000001,1,0,0.8210000000000001,0.8538800000000005,go_short,0.8925239554308488,go_short,go_short
126,1000SHIB/USDT:USDT,2024-10-20 05:45:00+00:00,second_buy,stop_loss,0.01864,0.018642,0.0186725303854859,0.0187439625607114,0.018559,0,0.018625,74638032.0,0,False,0.01864499999999997,0.0186544285714286,0.01875984000000011,-23.98148789,-0.39140162489695873,1,do_nothing,go_short,do_nothing,do_nothing,2024-11-10 13:30:00+00:00,0.025272,0.023901428571428573,go_short,0,0.023095480000000092,0.02374603522114909,False,0.024412,2127571099.0,0.024904,0,0,0.024208,0.024154599999999974,do_nothing,0.023235393508121614,do_nothing,do_nothing
125,1000SHIB/USDT:USDT,2024-07-04 12:45:00+00:00,second_buy,stop_loss,0.015184,0.015231,0.015277437703840789,0.015418578118829355,0.0151,1,0.015106999999999999,157004906.0,0,False,0.015219800000000006,0.015248571428571459,0.015399480000000111,-24.04056457,-0.39225451891746776,1,do_nothing,go_short,do_nothing,do_nothing,2024-09-27 14:00:00+00:00,0.020644,0.020202857142857106,go_short,0,0.01966528000000011,0.020043668838950122,False,0.020312,1113656446.0,0.020541,0,0,0.020312,0.02037459999999994,do_nothing,0.019723984826950897,do_nothing,do_nothing
122,1000SHIB/USDT:USDT,2024-03-04 01:30:00+00:00,second_buy,stop_loss,0.022217999999999998,0.022442,0.02242334364688258,0.022396887349145293,0.022021,0,0.022404999999999998,539583991.0,0,False,0.02236620000000003,0.022383999999999966,0.022519280000000044,-24.15529409,-0.3941562787636194,1,do_nothing,go_short,do_nothing,do_nothing,2024-03-04 16:15:00+00:00,0.029941,0.028473999999999975,go_short,0,0.02690020000000002,0.028047122322486247,False,0.029141,2592892839.0,0.029914999999999997,0,0,0.028718999999999998,0.028919000000000045,do_nothing,0.027206958958079525,do_nothing,do_nothing
121,1000SHIB/USDT:USDT,2023-08-13 09:15:00+00:00,second_buy,stop_loss,0.010591999999999999,0.010596999999999999,0.01058697241674191,0.010608830473643733,0.01051,0,0.010591,689719163.0,0,False,0.010561000000000098,0.01057314285714293,0.010623520000000044,-19.89657545,-0.3246432067909512,1,do_nothing,go_short,do_nothing,do_nothing,2024-03-01 17:00:00+00:00,0.014395999999999999,0.014172571428571385,go_short,0,0.013686920000000017,0.014103395555317316,False,0.014381999999999999,800870096.0,0.014277999999999999,0,0,0.014204999999999999,0.014253400000000051,do_nothing,0.013793120572855689,do_nothing,do_nothing
120,1000SHIB/USDT:USDT,2023-06-10 02:30:00+00:00,second_buy,stop_loss,0.007737,0.007744999999999999,0.007816610728293214,0.00785184539509161,0.007718,1,0.0077339999999999996,157116268.0,0,False,0.007777600000000054,0.007801857142857276,0.007860480000000045,-23.51675867,-0.3837294232839912,1,do_nothing,go_short,do_nothing,do_nothing,2023-08-12 00:15:00+00:00,0.01055,0.010477428571428646,go_short,0,0.010423800000000047,0.010456180321279571,False,0.010516,990121968.0,0.010541,0,0,0.010431,0.010478400000000093,do_nothing,0.010399196678889121,do_nothing,do_nothing
118,1000SHIB/USDT:USDT,2022-06-22 13:45:00+00:00,second_buy,stop_loss,0.010182,0.010298,0.010221579455215518,0.01008365705658346,0.010100000000000001,1,0.010244999999999999,1810658196.0,0,False,0.010199799999999882,0.01025928571428598,0.009956319999999994,-24.46891168,-0.39927091895826206,0,do_nothing,go_short,do_nothing,do_nothing,2022-08-14 05:15:00+00:00,0.0142,0.013410428571428823,go_short,0,0.012906120000000021,0.013280705670298596,False,0.013538,3149610709.0,0.014090000000000002,0,0,0.013465,0.013617199999999843,do_nothing,0.013026196402572519,do_nothing,do_nothing
