,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long_jcrosk (exit),long-small-rl (exit),high (exit),volume (exit),short-bid-rl (exit),sma-05 (exit),short-large-rl (exit),short-small-rl (exit),ema-26 (exit),short_kdj (exit),sma-25 (exit),mean-grad-hist (exit),sma-07 (exit),long-large-rl (exit),close (exit),ema-12 (exit),sma-compare (exit),long-bid-rl (exit),open (exit),low (exit)
452,LQTY/USDT:USDT,2024-11-24 22:30:00+00:00,first_buy,force_exit,1.3762,1.3954,1.357584184465674,1.34109004644226,1.3745,0,1.3816,169718.7,1,False,1.367579999999967,1.3643857142857239,1.3412640000000138,5.92291471,0.09645752333578042,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_long,1.5209000000000001,50473.2,go_long,1.5120999999999656,go_long,go_short,1.5121583331626338,False,1.5176520000000147,0,1.5106428571428658,go_long,1.5202,1.5138827624898528,0,go_long,1.5134,1.5128
524,COTI/USDT:USDT,2024-11-23 00:30:00+00:00,first_buy,force_exit,0.14569000000000001,0.156,0.13498315220889834,0.12583678458646197,0.14442000000000002,0,0.15519000000000002,78109032.0,0,False,0.14186199999999285,0.1386057142857196,0.12248080000000149,-2.85688421,-0.046558366262673186,0,go_short,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_short,0.14879,1564625.0,go_long,0.14735599999999288,go_long,go_long,0.14810268718259634,False,0.14923440000000138,0,0.1475628571428624,go_long,0.14875000000000002,0.14819385346245093,1,go_long,0.14806000000000002,0.14792000000000002
362,API3/USDT:USDT,2024-08-23 22:45:00+00:00,first_buy,force_exit,1.7587000000000002,1.7647,1.7416855094843176,1.7303803180547395,1.7456,1,1.7457,132392.5,0,False,1.7466400000000248,1.7431571428571642,1.737400000000008,12.16278199,0.19829972708914811,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_long,2.0886,61747.4,go_long,2.0745800000000094,go_long,go_long,2.0709074182122613,False,2.0671440000000088,0,2.073000000000014,go_long,2.0885,2.062827786844721,0,go_long,2.078,2.0757
131,DOT/USDT:USDT,2024-11-23 02:00:00+00:00,first_buy,force_exit,7.172,7.198,6.874230508188353,6.6777236656990295,7.076,1,7.159,1488948.1,0,False,7.0412000000001935,6.990857142857452,6.610519999999739,13.18095705,0.2163921885366714,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,8.754,355860.5,go_long,8.680400000000189,go_long,do_nothing,8.676660121444288,False,8.695079999999733,0,8.674857142857459,go_long,8.748,8.676063528771257,0,go_long,8.724,8.72
188,LTC/USDT:USDT,2024-11-23 05:15:00+00:00,first_buy,force_exit,103.9,105.11,101.35894675696031,98.62684911574794,103.58,0,105.07,177736.23,0,False,102.65999999999806,102.15285714286031,98.00600000000176,-2.1051135,-0.034334876346253325,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,do_nothing,102.24,22893.365,go_long,101.91399999999793,go_long,do_nothing,101.53145857400236,False,100.90480000000174,0,101.75714285714604,go_long,102.06,100.68999748500165,0,go_long,102.16,101.84
12,LDO/USDT:USDT,2024-11-25 16:15:00+00:00,first_buy,force_exit,1.7501,1.7808000000000002,1.6541332662278183,1.615975276319139,1.7206000000000001,0,1.7405,9733686.0,0,False,1.684680000000025,1.6538857142857435,1.6127440000000024,0.33510296,0.005494488442230039,0,go_short,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_short,1.7577,279231.0,go_long,1.7412000000000245,go_long,go_long,1.7415643695564982,False,1.7385000000000042,0,1.741600000000029,go_long,1.7568000000000001,1.7371344832486588,0,go_long,1.7486000000000002,1.746
161,EOS/USDT:USDT,2024-11-24 10:00:00+00:00,first_buy,force_exit,0.886,0.921,0.8662576190426913,0.8493132967708727,0.885,0,0.899,21479671.2,0,False,0.8728000000000364,0.8701428571428431,0.85107999999999,2.44804094,0.03990202879189663,0,go_long,go_short,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0,go_long,0.9470000000000001,3246353.1,go_long,0.9324000000000364,go_long,go_short,0.9212513659077926,False,0.89755999999999,1,0.9304285714285567,go_long,0.9390000000000001,0.8995429216686637,0,go_long,0.9400000000000001,0.936
258,SOL/USDT:USDT,2021-04-03 10:45:00+00:00,first_buy,long-exit-profit,22.5418,22.65,21.97531894169353,21.559112385748005,22.4032,0,22.6201,158065.0,0,False,22.298279999999956,22.142199999999924,21.546604000000006,17.96557308,0.3967202797202797,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-04-18 22:45:00+00:00,0,do_nothing,32.5756,454375.0,go_long,30.945319999999942,go_long,do_nothing,30.697289492373887,False,29.616019999999985,0,30.845571428571297,go_long,32.4613,29.77144214330328,0,go_long,31.2145,31.0852
257,SOL/USDT:USDT,2021-02-23 14:15:00+00:00,first_buy,long-exit-profit,15.7027,15.7598,14.441017435164872,13.91372829558971,15.05,0,15.2459,585903.0,1,False,15.075199999999995,14.664385714285702,13.504207999999998,25.01503122,0.4097077321152161,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-04-03 10:30:00+00:00,0,do_nothing,22.5437,194478.0,go_long,22.16653999999995,go_long,do_nothing,21.858086022001444,False,21.485884000000006,0,21.994957142857068,go_long,22.5437,21.474233376607845,0,go_long,22.1961,22.1828
256,SOL/USDT:USDT,2021-02-19 14:15:00+00:00,first_buy,long-exit-profit,11.1367,11.3313,10.563884615858184,10.118718136277003,11.02,1,11.0725,404288.0,0,False,10.889019999999995,10.832299999999993,10.011415999999995,22.52527566,0.40648806674818705,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-02-23 14:00:00+00:00,0,do_nothing,15.8026,713819.0,go_long,14.809419999999994,go_long,do_nothing,14.294675150649393,False,13.420471999999997,0,14.39805714285713,go_long,15.7034,13.807154559236887,0,go_long,14.9617,14.9588
