,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,sma-05 (exit),short-small-rl (exit),short_kdj (exit),close (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),sma-25 (exit),mean-grad-hist (exit),low (exit),high (exit),open (exit),volume (exit),sma-compare (exit),long-small-rl (exit),long-large-rl (exit),ema-12 (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit)
804,BNB/USDT:USDT,2024-11-26 18:30:00+00:00,first_buy,force_exit,613.65,613.9,615.3441406348038,618.0936831673429,603.78,1,605.02,62785.54,0,False,614.3859999999878,615.4371428571355,617.0763999999922,4.71186483,0.07780168709014036,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,654.6839999999875,go_long,False,654.46,0,655.9655222991971,655.6314285714208,657.4015999999922,1,653.5,654.8,654.4,9619.73,1,go_long,go_long,656.5131159834813,go_long,go_long,go_long
1307,LEVER/USDT:USDT,2024-11-26 11:30:00+00:00,first_buy,force_exit,0.0021681,0.0021709,0.0021944480554055078,0.0022411562532161436,0.0021016,1,0.0021042,128061266.0,0,False,0.002156160000000016,0.00217191428571431,0.0022662120000000127,7.56120161,0.12312633036364606,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.0023546600000000167,go_long,False,0.0023707,0,0.002360633143982166,0.002356042857142883,0.002367184000000015,0,0.0023585,0.0023723,0.0023607,23061163.0,1,go_long,go_long,0.0023608275019622285,go_long,go_long,go_long
884,ETH/USDT:USDT,2024-11-11 19:15:00+00:00,first_buy,force_exit,3325.61,3349.58,3292.4265793579584,3258.179042143886,3302.21,1,3314.54,143936.296,1,False,3308.0079999999625,3307.9557142856675,3241.8975999999807,4.19346882,0.07021742215268899,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,3577.8479999999663,go_long,False,3589.57,0,3584.7068378881304,3578.164285714248,3598.0955999999805,0,3579.14,3589.6,3584.93,10967.928,1,go_long,go_long,3589.68479819551,go_long,go_long,go_long
1260,APT/USDT:USDT,2024-11-26 08:30:00+00:00,first_buy,force_exit,11.5908,11.6024,11.79640816252063,11.890003443165753,11.466,1,11.4806,1109661.4,0,False,11.703440000000118,11.75010000000004,11.921639999999982,8.65725569,0.14213529289626647,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,13.088060000000107,go_long,False,13.1662,0,13.078116854440268,13.084900000000037,13.057963999999991,0,13.1103,13.1762,13.1441,129808.1,0,go_long,go_long,13.058340219481416,go_long,go_long,go_long
1207,CRV/USDT:USDT,2024-11-23 11:00:00+00:00,first_buy,force_exit,0.497,0.5,0.4886708789608915,0.48104562954787083,0.492,0,0.496,6013973.3,0,False,0.49279999999998403,0.49185714285717547,0.4783999999999948,4.9484278,0.0806367495903199,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,0.5363999999999851,go_long,False,0.538,0,0.5330420792704192,0.5354285714286037,0.5252799999999945,1,0.536,0.539,0.537,1704592.3,0,go_long,go_long,0.5256158671028616,go_long,go_long,go_long
989,XRP/USDT:USDT,2024-11-22 01:30:00+00:00,first_buy,force_exit,1.3206,1.3276,1.2637432651887235,1.2275503390525615,1.3028,0,1.3205,94461059.5,0,False,1.291999999999987,1.2847571428571598,1.2188359999999958,19.04460061,0.31053767397688126,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.7290599999999874,go_long,False,1.7397,0,1.7181598147953028,1.722942857142874,1.7138919999999942,0,1.7186,1.7443,1.7269999999999999,22939623.3,0,go_long,go_long,1.705280657905886,go_long,go_long,go_long
177,DYDX/USDT:USDT,2024-11-26 11:30:00+00:00,first_buy,force_exit,1.465,1.468,1.4743336466514056,1.501405446881855,1.424,1,1.425,1400169.1,0,False,1.4564000000000221,1.4631428571429823,1.5137199999999587,9.05712994,0.14755996376499328,1,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.632200000000021,go_long,False,1.642,0,1.6317140057001107,1.6304285714286972,1.6322799999999582,0,1.6360000000000001,1.643,1.639,123379.9,0,go_long,go_long,1.6280628533917174,go_long,go_long,go_long
3055,NMR/USDT:USDT,2024-11-24 12:45:00+00:00,second_buy,force_exit,17.697,17.697,17.930371227844645,18.18485817968414,16.88,1,16.988,34525.1,0,False,17.68819999999986,17.779428571428557,18.347800000000017,-12.35975487,-0.20220651586316055,1,go_long,go_long,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,20.348199999999885,go_long,False,20.415,0,20.41068170109912,20.369000000000035,20.50412000000001,0,20.376,20.451,20.41,5679.5,1,go_long,go_short,20.424259461331246,go_short,go_short,go_short
3983,CTSI/USDT:USDT,2024-11-23 16:45:00+00:00,second_buy,force_exit,0.1688,0.1715,0.17248968319623945,0.1715676040183859,0.16770000000000002,1,0.1703,3924796.0,0,False,0.17275999999999844,0.17322857142856657,0.17163200000000287,-10.44530743,-0.17064504493395338,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,2024-11-29 20:15:00+00:00,0.1986799999999986,do_nothing,False,0.1995,0,0.1988831467615759,0.19864285714285201,0.19883200000000287,0,0.19890000000000002,0.19970000000000002,0.19940000000000002,447532.0,0,do_nothing,go_short,0.19827144815228648,go_short,go_short,go_short
1089,ADA/USDT:USDT,2024-11-22 12:15:00+00:00,first_buy,force_exit,0.9142,0.9179,0.8821516754883838,0.8743899445885106,0.8979,0,0.9105000000000001,59772275.0,0,False,0.8918000000000076,0.88384285714286,0.872747999999993,9.35034233,0.1531392028544338,0,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-29 20:15:00+00:00,1.0497800000000068,go_long,False,1.0556,0,1.0511785234867421,1.0487857142857178,1.0592279999999934,0,1.0487,1.0561,1.0515,6778285.0,0,go_long,go_long,1.0550862252251993,go_long,go_long,go_long
