,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),ema-12 (exit),long-large-rl (exit),sma-05 (exit),sma-07 (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),high (exit),short_kdj (exit),short-large-rl (exit),short-small-rl (exit),open (exit),long-small-rl (exit),sma-compare (exit),close (exit),long_jcrosk (exit),low (exit),sma-25 (exit),ema-26 (exit)
43,DYDX/USDT:USDT,2024-06-18 01:45:00+00:00,first_buy,force_exit,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1,False,1.358600000000018,1.3761428571429875,1.4169199999999558,17.57492538,0.2862779270760383,1,go_long,go_long,go_long,go_long,go_long,go_long,0,1.6280628533917174,go_long,1.632200000000021,1.6304285714286972,go_long,go_long,123379.9,1.643,False,go_long,go_long,1.639,go_long,0,1.642,0,1.6360000000000001,1.6322799999999582,1.6317140057001107
92,ETH/USDT:USDT,2024-02-19 22:00:00+00:00,second_buy,force_exit,2950.4,2973.41,2943.7327456459657,2934.5477385754084,2950.08,0,2970.66,72786.402,0,False,2948.8719999999685,2945.6742857142335,2933.6931999999965,-5.80594912,-0.09781968392238873,0,do_nothing,do_nothing,go_short,go_short,go_short,go_short,0,3589.68479819551,go_short,3577.8479999999663,3578.164285714242,go_short,go_short,10967.928,3589.6,False,go_short,do_nothing,3584.93,do_nothing,1,3589.57,0,3579.14,3598.09559999999,3584.7068378881304
58,TRB/USDT:USDT,2024-11-20 18:15:00+00:00,first_buy,force_exit,64.301,64.478,65.19992169354636,65.71075226538619,63.214,1,64.45,67786.2,0,False,64.78700000000316,64.91428571428663,65.81435999999957,8.4128423,0.14489161041527215,1,go_long,go_long,go_long,go_long,go_long,go_long,0,73.61837776651141,go_long,73.69760000000329,73.67628571428659,go_long,go_long,6680.8,74.237,False,go_long,go_long,74.024,go_long,0,74.207,0,74.007,73.72023999999945,73.7360765729477
106,BCH/USDT:USDT,2024-07-29 03:30:00+00:00,first_buy,force_exit,427.13,429.21,421.06623701407176,418.04424446445586,426.64,0,427.42,10297.33,0,False,423.57000000000244,421.4557142856988,417.98520000000303,14.17934473,0.2317290094123409,0,go_long,go_long,go_long,go_long,go_long,go_long,0,514.2910803147898,go_long,515.0620000000002,515.1714285714107,go_long,go_long,3117.811,519.24,False,go_long,go_long,516.37,go_long,0,519.2,0,515.46,515.1280000000017,515.3092827843346
6,LINK/USDT:USDT,2024-11-23 14:45:00+00:00,first_buy,force_exit,17.573,17.678,17.355847614525562,17.173727107554694,17.538,0,17.632,275565.66,0,False,17.465200000000173,17.431285714285522,17.102039999999796,1.62679704,0.026560950577698715,0,go_long,go_long,go_long,go_long,go_long,go_long,0,18.04655920103494,go_long,18.042600000000157,18.03699999999979,go_long,go_long,150001.75,18.212,False,go_long,go_long,18.115,go_long,0,18.206,0,18.088,18.077199999999813,18.05866817037405
77,SXP/USDT:USDT,2024-11-07 02:45:00+00:00,first_buy,force_exit,0.34650000000000003,0.3544,0.32309059329529993,0.3082975296207662,0.33740000000000003,1,0.34190000000000004,25971631.5,0,False,0.33495999999999904,0.330199999999959,0.30185199999999424,13.63504642,0.2220756816538211,0,go_long,do_nothing,go_long,go_long,go_long,go_long,0,0.4136375974387787,go_long,0.4181999999999987,0.41748571428567377,go_long,go_long,859760.5,0.4212,False,go_long,do_nothing,0.42110000000000003,go_long,0,0.4207,0,0.4194,0.4142999999999939,0.41662671410870894
136,COTI/USDT:USDT,2024-11-23 00:30:00+00:00,first_buy,force_exit,0.14569000000000001,0.156,0.13498315220889834,0.12583678458646197,0.14442000000000002,0,0.15519000000000002,78109032.0,0,False,0.14186199999999285,0.1386057142857196,0.12248080000000149,-2.85688421,-0.046558366262673186,0,go_long,go_long,go_long,go_long,go_long,go_long,0,0.14819385346245093,go_long,0.14735599999999288,0.1475628571428624,go_long,go_long,1564625.0,0.14879,False,go_long,go_long,0.14806000000000002,go_long,1,0.14875000000000002,0,0.14792000000000002,0.14923440000000138,0.14810268718259634
68,COMP/USDT:USDT,2024-11-24 04:00:00+00:00,first_buy,force_exit,70.67,71.22,68.54782969963321,67.00842073526644,70.32,0,71.18,11339.505,0,False,69.88600000000059,69.60428571428282,66.24999999999851,0.0587312,0.0009573564373536568,0,go_long,go_long,go_long,go_long,go_long,go_long,0,71.01288740088587,go_long,70.98000000000057,70.94857142856868,go_long,go_long,3177.853,71.51,False,go_long,go_long,71.08,go_long,0,71.51,0,71.02,71.05079999999853,71.01287021066081
141,NMR/USDT:USDT,2024-11-28 20:00:00+00:00,first_buy,force_exit,21.799,22.054,20.272870313701187,19.735671815035182,20.71,1,20.807,183286.7,0,False,20.831999999999876,20.5764285714286,19.488520000000005,-1.32600789,-0.021931405448785905,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,0,20.424259461331246,go_long,20.348199999999885,20.369000000000035,do_nothing,do_nothing,5679.5,20.451,False,go_long,go_long,20.41,go_long,1,20.415,0,20.376,20.50412000000001,20.41068170109912
82,BNB/USDT:USDT,2024-03-13 07:30:00+00:00,first_buy,force_exit,562.08,564.6,548.3590908984384,543.4360957356976,559.35,0,562.74,66984.35,0,False,553.4479999999897,549.852857142852,541.065599999994,9.43550087,0.16750021848431446,0,go_long,go_long,go_long,go_long,go_long,go_long,1,656.5131159834813,go_long,654.6839999999875,655.6314285714208,go_long,go_long,9619.73,654.8,False,go_long,go_long,654.4,go_long,1,654.46,0,653.5,657.4015999999918,655.9655222991971
78,BNB/USDT:USDT,2021-03-03 00:15:00+00:00,first_buy,roi,239.673,239.771,237.16108822248654,234.8522407407407,236.054,0,238.474,96897.14,0,False,239.2274,238.49257142857138,234.57211999999996,29.44744173,0.4934730153661869,0,go_long,go_long,go_long,go_long,go_long,go_long,1,386.6317751052236,go_long,388.00999999999397,387.6271428571408,go_long,go_long,0.0,387.78,False,go_long,go_long,387.78,go_long,0,387.78,1,387.78,386.8075999999981,387.168817223705
