,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,ema-12 (exit),sma-25 (exit),short-bid-rl (exit),sma-05 (exit),close (exit),long-bid-rl (exit),long_jcrosk (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),low (exit),sma-07 (exit),mean-grad-hist (exit),long-large-rl (exit),long-small-rl (exit),short-small-rl (exit),sma-compare (exit),high (exit),volume (exit),open (exit)
3613,SAGA/USDT:USDT,2024-08-15 10:15:00+00:00,second_buy,short-exit-profit,1.4902,1.4931,1.5553586874699636,1.5697753011667908,1.46,1,1.4652,1074258.7,0,False,1.5442800000000045,1.5596714285714188,1.5743919999999958,3.8922288,0.017482629325241167,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-15 23:00:00+00:00,1.4665182227397326,1.4586199999999945,go_short,1.447640000000005,1.4368,go_short,0,False,1.450558722371727,go_short,1.4271,1.449828571428562,1,go_short,go_short,go_short,1,1.4476,243135.7,1.4471
3614,SAGA/USDT:USDT,2024-08-15 23:15:00+00:00,second_buy,short-exit-profit,1.4368,1.4439,1.4493343035453075,1.4647465025367894,1.4307,1,1.4426,130175.3,0,False,1.444480000000005,1.4472142857142762,1.4565759999999945,4.73631169,0.02125785151980847,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-16 12:30:00+00:00,1.443178839310848,1.446003999999995,go_short,1.4270000000000043,1.4094,go_short,0,False,1.4353889973765352,go_short,1.3992,1.433857142857134,1,go_short,go_short,go_short,1,1.4202,316589.5,1.4202
3615,SAGA/USDT:USDT,2024-08-16 12:45:00+00:00,second_buy,short-exit-profit,1.4094,1.413,1.4294676131647606,1.439750777139674,1.3927,1,1.3969,405514.6,0,False,1.4170400000000043,1.425599999999991,1.443059999999995,6.05008758,0.027147256086387028,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-16 17:15:00+00:00,1.4003568919339056,1.4017439999999954,go_short,1.3768600000000042,1.3564,go_short,1,False,1.384160470649535,go_short,1.3531,1.3787285714285626,1,go_short,go_short,go_short,1,1.3772,198265.1,1.3753
3616,SAGA/USDT:USDT,2024-08-16 17:30:00+00:00,second_buy,short-exit-profit,1.3564,1.3638,1.380043475164991,1.3971748999388014,1.3492,1,1.3574,159454.2,0,False,1.3718200000000043,1.3736428571428483,1.3981479999999953,5.86551754,0.026310626624325668,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-19 06:00:00+00:00,1.361208971916764,1.359875999999996,go_short,1.3385400000000032,1.3197,go_short,0,False,1.3498606977046528,go_short,1.3165,1.3459142857142763,1,go_short,go_short,go_short,1,1.3362,257575.6,1.3362
3617,SAGA/USDT:USDT,2024-08-19 06:15:00+00:00,second_buy,short-exit-profit,1.3197,1.3254000000000001,1.3442667442116292,1.3576749739970035,1.3089,1,1.3135,145688.8,0,False,1.329960000000003,1.338028571428562,1.3575679999999961,4.15654184,0.018688174842115147,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-19 10:00:00+00:00,1.3201894616539227,1.3212759999999952,go_short,1.301840000000003,1.2865,go_short,0,False,1.304773722820714,go_short,1.2827,1.3021999999999916,1,go_short,go_short,go_short,1,1.2995,248728.0,1.2993000000000001
3618,SAGA/USDT:USDT,2024-08-19 10:15:00+00:00,second_buy,short-exit-profit,1.2865,1.2865,1.2997469962329118,1.3166272793091878,1.2605,1,1.2721,373019.8,0,False,1.2939400000000032,1.2976428571428487,1.317695999999995,4.48997445,0.02013167951380356,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-19 11:30:00+00:00,1.2981342176448554,1.2978159999999952,go_short,1.2597200000000028,1.244,go_short,0,False,1.2758702218741174,go_short,1.2415,1.2653142857142772,1,go_short,go_short,go_short,1,1.2602,195292.9,1.2591999999999999
3619,SAGA/USDT:USDT,2024-08-19 11:45:00+00:00,second_buy,short-exit-profit,1.244,1.2588,1.2728748031242532,1.2950427941156069,1.2433,0,1.2564,106398.6,0,False,1.2567400000000029,1.261014285714277,1.2945799999999952,5.27114331,0.023619986836037197,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-20 15:15:00+00:00,1.2831893260207303,1.2888999999999942,go_short,1.2544600000000035,1.2241,go_short,0,False,1.2676865926629493,go_short,1.2168,1.2661571428571334,1,go_short,go_short,go_short,1,1.2418,509216.5,1.2418
3620,SAGA/USDT:USDT,2024-08-20 15:30:00+00:00,second_buy,short-exit-profit,1.2241,1.2358,1.2617963476378802,1.2792049315006762,1.2219,1,1.2294,97106.3,0,False,1.2434600000000036,1.2578428571428475,1.2853679999999943,4.98313525,0.022305464861906623,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-21 13:45:00+00:00,1.2300007294465043,1.2331919999999938,go_short,1.2142600000000048,1.1998,go_short,1,False,1.2201284108763273,go_short,1.1924000000000001,1.216514285714277,0,go_short,go_short,go_short,1,1.2215,343843.2,1.2194
3602,SAGA/USDT:USDT,2024-08-05 09:00:00+00:00,second_buy,short-exit-profit,0.9308000000000001,0.9449000000000001,0.9666475745238462,1.0015536266566256,0.9293,1,0.9389000000000001,170111.5,0,False,0.9487200000000042,0.9612999999999874,0.9936999999999929,4.00308193,0.01795479577991027,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-05 09:15:00+00:00,0.9955274320894681,0.988903999999993,go_short,0.9369800000000043,0.9202,go_short,0,False,0.9595017938278698,go_short,0.9161,0.9518142857142732,1,go_short,go_short,go_short,1,0.9434,144104.5,0.9389000000000001
3601,SAGA/USDT:USDT,2024-08-05 06:45:00+00:00,second_buy,short-exit-profit,0.9528000000000001,0.9747,1.0035578991852607,1.0428709783627317,0.9343,1,0.9525,717752.8,0,False,0.9903000000000043,0.9965857142857015,1.0367639999999927,4.66202659,0.020928729263166954,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-05 08:45:00+00:00,1.0065659167891556,0.9976839999999929,go_short,0.9607200000000041,0.9308000000000001,go_short,0,False,0.9716925880736363,go_short,0.9292,0.9666571428571302,1,go_short,go_short,go_short,1,0.9510000000000001,121945.4,0.9414
3600,SAGA/USDT:USDT,2024-08-05 04:45:00+00:00,second_buy,short-exit-profit,1.0,1.0151,1.0401430252280424,1.0835806178085974,0.9963000000000001,0,1.0151,127285.5,0,False,1.0240600000000044,1.0201428571428448,1.095819999999993,13.273062,0.059494131112690855,0,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-05 06:30:00+00:00,1.0501006566317501,1.0455359999999927,go_short,1.0036400000000043,0.9528000000000001,go_short,1,False,1.0128411535825808,go_short,0.9154,1.0051999999999874,1,go_short,go_short,go_short,1,1.0154,1729362.4,1.0139
3599,SAGA/USDT:USDT,2024-08-05 03:30:00+00:00,second_buy,short-exit-profit,1.0019,1.0268,1.0641688338848907,1.1120210937587822,0.998,0,1.0188,226968.7,0,False,1.028340000000004,1.0339285714285589,1.130211999999993,3.67340468,0.016488023162542203,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-05 04:30:00+00:00,1.0890590672332852,1.1036279999999927,go_short,1.0248000000000042,1.0,go_short,1,False,1.0446963025422318,go_short,0.9988,1.0237142857142731,0,go_short,go_short,go_short,0,1.0435,233818.9,1.042
3583,SAGA/USDT:USDT,2024-07-23 06:00:00+00:00,second_buy,short-exit-profit,1.5112999999999999,1.5318,1.5330087499538758,1.542692652612227,1.5107,0,1.5301,34986.9,0,False,1.5212800000000004,1.524299999999992,1.5463719999999912,4.52071426,0.02001001066421627,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-23 21:00:00+00:00,1.5301581356703655,1.5325799999999905,go_short,1.5038600000000002,1.4968,go_short,1,False,1.5123996075935269,go_short,1.4968,1.5067857142857062,0,go_short,go_short,go_short,1,1.5095,24550.9,1.504
3584,SAGA/USDT:USDT,2024-07-23 21:15:00+00:00,second_buy,short-exit-profit,1.4968,1.504,1.5111073602714458,1.5282204959910792,1.4953,0,1.504,31468.6,0,False,1.50374,1.5048142857142774,1.5282999999999904,3.97377856,0.01758500521798394,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-23 22:00:00+00:00,1.519950823038186,1.517183999999991,go_short,1.4934000000000005,1.4746000000000001,go_short,0,False,1.501751978389301,go_short,1.4745,1.4971714285714202,1,go_short,go_short,go_short,1,1.4971,69599.8,1.4928
3585,SAGA/USDT:USDT,2024-07-23 22:15:00+00:00,second_buy,short-exit-profit,1.4746000000000001,1.4801,1.4965439817140238,1.516095206516839,1.4659,1,1.4679,143239.0,0,False,1.4876200000000004,1.4912714285714201,1.512999999999991,4.89260874,0.021650896771468572,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-24 21:30:00+00:00,1.5078032559556451,1.5131879999999904,go_short,1.4842400000000011,1.4337,go_short,0,False,1.4944411784076288,go_short,1.4324,1.4895857142857074,1,go_short,go_short,go_short,1,1.488,185679.7,1.4734
3586,SAGA/USDT:USDT,2024-07-24 21:45:00+00:00,second_buy,short-exit-profit,1.4337,1.4415,1.4850348432679936,1.5022844962552269,1.4229,1,1.4333,89536.6,0,False,1.4699800000000012,1.4797571428571357,1.5097999999999905,8.42130912,0.03724730799824715,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-25 01:15:00+00:00,1.4553356693084474,1.4597439999999906,go_short,1.4233400000000016,1.3773,go_short,0,False,1.4321278357992693,go_short,1.3559999999999999,1.4271999999999927,1,go_short,go_short,go_short,1,1.4297,892176.7,1.4276
3587,SAGA/USDT:USDT,2024-07-25 01:30:00+00:00,second_buy,short-exit-profit,1.3773,1.3888,1.4220158610609201,1.4487478419522661,1.3452,1,1.3664,280357.9,0,False,1.4093200000000017,1.4172714285714214,1.4536919999999907,4.87146401,0.021537418566107094,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-25 03:45:00+00:00,1.4004049209841145,1.4029359999999909,go_short,1.3459400000000015,1.3343,go_short,1,False,1.365767733750723,go_short,1.33,1.3488285714285642,0,go_short,go_short,go_short,1,1.3471,47583.1,1.3467
3588,SAGA/USDT:USDT,2024-07-25 04:00:00+00:00,second_buy,short-exit-profit,1.3343,1.3417,1.3608650054813811,1.3954786305408469,1.3288,0,1.3339,72192.5,0,False,1.3430000000000013,1.3459714285714213,1.3989599999999909,3.83024652,0.01692779067394856,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-25 07:45:00+00:00,1.3480149380199433,1.338631999999991,go_short,1.3181800000000012,1.3087,go_short,0,False,1.3255584375936678,go_short,1.3087,1.3203428571428495,1,go_short,go_short,go_short,1,1.3158,36090.1,1.3108
3589,SAGA/USDT:USDT,2024-07-25 08:00:00+00:00,second_buy,short-exit-profit,1.3087,1.3098,1.322349447194642,1.3448064240925401,1.3026,1,1.3047,55166.8,0,False,1.3130400000000013,1.317414285714278,1.3361239999999908,3.65334256,0.016145984261259804,1,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-25 11:45:00+00:00,1.3114015880639065,1.3069319999999909,go_short,1.2928800000000007,1.2812000000000001,go_short,1,False,1.2964675224139568,go_short,1.2799,1.292399999999992,1,go_short,go_short,go_short,0,1.2931,76408.2,1.2924
