,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,volume (exit),sma-07 (exit),short_kdj (exit),low (exit),mean-grad-hist (exit),short-large-rl (exit),sma-05 (exit),sma-compare (exit),long-small-rl (exit),long-bid-rl (exit),close (exit),short-small-rl (exit),open (exit),short-bid-rl (exit),ema-26 (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),long-large-rl (exit),high (exit)
2010,BAL/USDT:USDT,2021-09-07 15:45:00+00:00,first_buy,long-exit-profit,24.366,26.287,27.504420886070935,29.151711064709527,24.275,0,26.224,154154.2,0,False,25.26679999999981,26.537714285714433,29.657240000000144,2.38822794,0.03953964746566731,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-07 16:45:00+00:00,43192.4,25.583571428571577,False,26.417,0,go_long,26.39959999999981,0,go_long,do_nothing,27.175,go_long,26.442,do_nothing,27.027694205138634,28.444176182590653,29.003480000000135,0,go_long,27.191
2011,BAL/USDT:USDT,2021-09-07 17:00:00+00:00,first_buy,long-exit-profit,27.182,27.585,27.068048942809614,28.3586816505469,27.069,0,27.29,35761.4,0,False,26.61279999999981,26.233142857143005,28.851600000000136,0.89216485,0.01484515767386616,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 08:00:00+00:00,18500.7,27.23542857142868,False,27.429,0,go_long,27.436199999999786,0,go_long,do_nothing,27.679,go_long,27.488,do_nothing,27.144208848431745,26.95081195063792,26.886400000000137,0,go_long,27.728
2012,BAL/USDT:USDT,2021-09-15 08:15:00+00:00,first_buy,long-exit-profit,27.67,27.673000000000002,27.196176717903786,26.99015921355363,27.4,1,27.482,19175.2,0,False,27.510199999999788,27.34742857142868,26.919560000000132,0.9604056,0.015870156044828533,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 10:30:00+00:00,31289.7,27.53714285714296,False,27.51,0,go_long,27.52419999999979,0,go_long,do_nothing,27.954,go_long,27.578,do_nothing,27.490282772058134,27.272717328699898,27.18324000000014,0,go_long,28.019
2013,BAL/USDT:USDT,2021-09-15 10:45:00+00:00,first_buy,long-exit-profit,27.972,28.001,27.557777730203036,27.321330859907313,27.66,0,27.929,53551.0,0,False,27.648799999999788,27.593714285714388,27.23356000000014,1.03699176,0.01766181975984704,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-15 23:15:00+00:00,15651.3,28.182142857142953,False,28.11,0,go_long,28.19719999999979,0,go_long,do_nothing,28.485,go_long,28.132,do_nothing,28.018188236995844,27.844009057692727,27.756240000000144,0,go_long,28.498
2014,BAL/USDT:USDT,2021-09-15 23:30:00+00:00,first_buy,long-exit-profit,28.484,28.484,28.040774662073407,27.8677861645303,27.937,1,28.165,23755.8,0,False,28.217599999999788,28.159000000000095,27.778000000000144,0.87648107,0.014805588492014982,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 01:15:00+00:00,18517.0,28.331857142857245,False,28.323,0,go_long,28.387999999999785,0,go_long,do_nothing,28.643,go_long,28.379,do_nothing,28.27630654834905,28.070788566605106,27.974480000000145,0,go_long,28.687
2015,BAL/USDT:USDT,2021-09-16 01:30:00+00:00,first_buy,long-exit-profit,28.639,28.767,28.30995169475689,28.10221163574547,28.429,0,28.495,18131.4,1,False,28.445399999999786,28.38914285714296,28.010280000000144,0.8600151,0.01435464994638357,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 05:30:00+00:00,16862.7,28.6930000000001,False,28.82,0,go_long,28.85099999999977,0,go_long,do_nothing,28.964,go_long,28.847,do_nothing,28.600832991787755,28.414064275964904,28.432000000000127,0,go_long,29.041
2016,BAL/USDT:USDT,2021-09-16 05:45:00+00:00,first_buy,long-exit-profit,28.968,29.133,28.667320223820408,28.45991136663417,28.906,0,29.033,29787.8,0,False,28.89379999999977,28.83157142857153,28.466720000000127,1.1913342,0.01951836564042102,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-16 07:45:00+00:00,116323.8,29.225714285714385,False,29.202,0,go_long,29.33979999999977,0,go_long,do_nothing,29.661,go_long,29.318,do_nothing,29.113777822251237,28.811105457914092,28.731920000000127,0,go_long,29.726
2018,BAL/USDT:USDT,2021-12-03 20:30:00+00:00,first_buy,long-exit-profit,18.885,19.022,19.308753780256694,19.642865726987942,17.796,1,18.71,132101.1,0,False,19.04259999999969,19.201285714285834,19.71672000000011,1.0855264,0.01812429735202224,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-12-03 21:00:00+00:00,32591.8,18.995571428571544,False,18.656,0,go_long,18.884799999999693,1,go_long,do_nothing,19.064,go_long,18.692,do_nothing,19.190811878171953,19.534769656196797,19.587480000000106,0,go_long,19.105
2019,BAL/USDT:USDT,2021-12-03 21:15:00+00:00,first_buy,long-exit-profit,19.075,19.207,19.172840819991652,19.50063857055259,19.01,0,19.074,32367.0,0,False,18.886199999999693,18.95600000000012,19.54140000000011,1.42805405,0.02337200888888307,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-12-23 18:30:00+00:00,41635.5,19.05071428571441,False,19.151,0,go_long,19.097999999999683,0,go_long,do_nothing,19.347,go_long,19.151,do_nothing,18.997847685445787,18.85250092489736,18.8916400000001,0,go_long,19.39
2020,BAL/USDT:USDT,2021-12-23 18:45:00+00:00,first_buy,long-exit-profit,19.346,19.351,19.01664034922336,18.87231567120126,19.102,0,19.12,43404.3,1,False,19.141199999999685,19.07671428571441,18.9031600000001,0.92074873,0.015033814413881096,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-02 17:00:00+00:00,30357.5,19.27914285714303,False,19.287,0,go_long,19.31219999999968,0,go_long,do_nothing,19.465,go_long,19.316,do_nothing,19.275309261710195,19.18968554875321,19.191840000000106,0,go_long,19.5
2021,BAL/USDT:USDT,2022-01-02 17:15:00+00:00,first_buy,long-exit-profit,19.469,19.618,19.29203091375478,19.20407921180853,19.344,0,19.384,39332.9,0,False,19.34059999999968,19.301142857143027,19.199880000000107,0.9482435,0.015763704956379705,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-02 22:45:00+00:00,38861.7,19.509285714285877,False,19.612,0,go_long,19.571799999999676,0,go_long,do_nothing,19.729,go_long,19.612,do_nothing,19.500250223477096,19.425526100910897,19.455280000000098,0,go_long,19.782
2022,BAL/USDT:USDT,2022-01-02 23:00:00+00:00,first_buy,long-exit-profit,19.73,19.782,19.528980958326773,19.44489453788046,19.636,0,19.687,21697.5,0,False,19.618399999999674,19.551428571428737,19.4700800000001,0.89767466,0.014691883584558758,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-04 11:45:00+00:00,12464.7,19.88342857142874,False,19.91,0,go_long,19.954599999999708,0,go_long,do_nothing,20.031,go_long,19.926,do_nothing,19.844305553291655,19.68255121957571,19.6900400000001,0,go_long,20.051
2024,BAL/USDT:USDT,2022-01-22 05:45:00+00:00,first_buy,long-exit-profit,12.596,12.637,12.70785740862676,12.83909913230725,12.191,1,12.3,78924.9,0,False,12.632999999999754,12.68714285714305,12.81032000000007,0.91232371,0.015119696775740758,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-26 13:30:00+00:00,14880.5,12.2582857142859,False,12.202,0,go_long,12.257199999999747,0,go_long,do_nothing,12.409,go_long,12.236,do_nothing,12.241924103902381,12.195741650614181,12.185320000000065,0,go_long,12.41
2005,BAL/USDT:USDT,2021-08-21 09:30:00+00:00,first_buy,long-exit-profit,31.501,31.638,30.976310105614278,30.578936884318246,31.186,0,31.558,35628.7,0,False,31.1951999999998,31.107857142857284,30.496680000000094,1.96009617,0.03266350672520604,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-09-02 12:30:00+00:00,109151.5,32.26700000000013,False,32.2,0,go_long,32.3387999999998,0,go_long,do_nothing,32.882,go_long,32.239,do_nothing,32.1666010286409,31.899531664613313,31.81496000000012,0,go_long,33.0
2004,BAL/USDT:USDT,2021-08-17 12:30:00+00:00,first_buy,long-exit-profit,30.265,30.687,29.64094971540942,29.184012225364942,30.142,0,30.623,49069.2,0,False,30.008399999999806,29.745000000000136,28.959640000000103,1.57995443,0.02578624495909253,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-21 09:15:00+00:00,87930.4,31.016571428571574,False,31.001,0,go_long,31.0687999999998,0,go_long,do_nothing,31.502,go_long,31.07,do_nothing,30.870548306635055,30.500611835063705,30.425280000000093,1,go_long,32.075
2002,BAL/USDT:USDT,2021-08-16 06:00:00+00:00,first_buy,long-exit-profit,28.999,29.349,28.713261730992496,28.550203931412884,28.944,0,29.213,27645.5,0,False,28.830599999999805,28.736714285714417,28.639000000000113,1.29937717,0.021159514614483295,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-17 11:45:00+00:00,34688.0,29.416285714285852,False,29.604,0,go_long,29.438999999999805,0,go_long,do_nothing,29.916,go_long,29.605,do_nothing,29.258766735352733,28.92034743243892,28.763320000000103,0,go_long,30.048
2025,BAL/USDT:USDT,2022-01-26 13:45:00+00:00,first_buy,long-exit-profit,12.406,12.543,12.270551164840477,12.212945972790909,12.376,0,12.428,22957.3,0,False,12.298999999999747,12.2812857142859,12.201600000000065,0.8817305,0.014468026942876038,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2022-01-26 14:15:00+00:00,19387.7,12.381714285714475,False,12.528,0,go_long,12.450399999999748,0,go_long,do_nothing,12.623,go_long,12.554,do_nothing,12.361672727489335,12.266712253764497,12.243280000000063,0,go_long,12.649000000000001
1983,BAL/USDT:USDT,2021-07-26 06:15:00+00:00,first_buy,long-exit-profit,20.628,21.411,20.462007715658522,20.09856943592129,20.593,0,21.164,198285.0,1,False,20.628199999999797,20.539000000000158,20.130520000000125,0.86994514,0.014664287468042816,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-07-31 21:15:00+00:00,17223.3,21.26800000000014,False,21.32,0,go_long,21.300799999999796,0,go_long,do_nothing,21.517,go_long,21.347,do_nothing,21.267396573287943,21.18854097410027,21.175800000000113,0,go_long,21.527
1984,BAL/USDT:USDT,2021-07-31 21:30:00+00:00,first_buy,long-exit-profit,21.514,21.71,21.331797100474414,21.225389790833585,21.494,0,21.686,24490.5,0,False,21.428799999999796,21.342285714285854,21.197760000000113,0.85992629,0.014147824514453412,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-01 00:45:00+00:00,17342.0,21.79085714285728,False,21.802,0,go_long,21.819599999999788,0,go_long,do_nothing,22.039,go_long,21.863,do_nothing,21.737064222537292,21.561415483203202,21.52316000000011,0,go_long,22.143
1985,BAL/USDT:USDT,2021-08-01 01:00:00+00:00,first_buy,long-exit-profit,22.039,22.165,21.79874664983925,21.60412544741037,22.038,0,22.138,8949.8,0,False,21.901599999999792,21.84985714285728,21.558480000000113,1.06946055,0.017869436380093896,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-01 10:45:00+00:00,52962.4,22.387285714285845,False,22.3,0,go_long,22.393399999999794,0,go_long,do_nothing,22.582,go_long,22.345,do_nothing,22.27809951859545,22.147573766375107,22.079120000000092,0,go_long,22.722
1986,BAL/USDT:USDT,2021-08-01 11:00:00+00:00,first_buy,long-exit-profit,22.587,22.615,22.30069959265769,22.16812385775473,22.4,0,22.425,35726.1,1,False,22.409199999999792,22.392857142857277,22.087280000000092,0.8850735,0.014612356542658626,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-01 12:30:00+00:00,15464.8,22.660142857142993,False,22.711,1,go_long,22.700999999999794,0,go_long,do_nothing,22.784,go_long,22.725,do_nothing,22.559567369470855,22.366266067269486,22.263920000000102,0,go_long,22.808
1987,BAL/USDT:USDT,2021-08-01 12:45:00+00:00,first_buy,long-exit-profit,22.784,22.899,22.591018543398416,22.39572784006434,22.73,1,22.764,40731.7,1,False,22.717599999999795,22.708571428571563,22.3020400000001,0.85449096,0.014424763726707337,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-05 08:15:00+00:00,69429.0,22.832428571428675,False,23.04,0,go_long,22.95839999999983,0,go_long,do_nothing,23.162,go_long,23.047,do_nothing,22.77758980284064,22.61708301448832,22.5040400000001,0,go_long,23.227
1988,BAL/USDT:USDT,2021-08-05 08:30:00+00:00,first_buy,long-exit-profit,23.162,23.251,22.848883679326697,22.663299087489186,23.105,0,23.241,38036.2,0,False,23.07319999999983,22.942857142857253,22.5454000000001,1.3025376,0.02153694485220434,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-05 15:00:00+00:00,44568.9,23.059285714285824,False,23.245,0,go_long,23.252599999999827,0,go_long,do_nothing,23.794,go_long,23.355,do_nothing,23.034409067719555,22.88542455603258,22.839280000000098,0,go_long,23.927
1989,BAL/USDT:USDT,2021-08-05 15:15:00+00:00,first_buy,long-exit-profit,23.786,23.826,23.11357690345501,22.934578292622756,23.478,0,23.549,48114.7,1,False,23.37639999999983,23.213428571428683,22.8688400000001,1.261975,0.02059331138580268,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-05 15:30:00+00:00,58839.0,23.41600000000011,False,23.546,0,go_long,23.57559999999983,0,go_long,do_nothing,24.1,go_long,23.546,do_nothing,23.26533430292347,23.020905826502553,22.9158800000001,0,go_long,24.118
1990,BAL/USDT:USDT,2021-08-05 15:45:00+00:00,first_buy,long-exit-profit,24.079,24.298,23.35989825631986,23.084542431946808,23.846,0,23.88,73192.3,1,False,23.73379999999983,23.551714285714393,22.963600000000103,0.84123575,0.014079922172068767,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-05 21:15:00+00:00,11925.5,24.128857142857253,False,24.196,0,go_long,24.146799999999832,0,go_long,do_nothing,24.264,go_long,24.247,do_nothing,24.12928703294069,23.93655428528968,24.0707200000001,0,go_long,24.366
1991,BAL/USDT:USDT,2021-08-05 21:30:00+00:00,first_buy,long-exit-profit,24.262,24.281,24.142627489411353,23.957253967860815,24.134,0,24.216,9519.4,0,False,24.191399999999835,24.139000000000113,24.097400000000103,1.06669917,0.017599959312333893,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-06 03:45:00+00:00,65576.0,23.972428571428683,False,24.5,0,go_long,24.090799999999827,0,go_long,do_nothing,24.697,go_long,24.513,do_nothing,24.017635842878576,23.95272347904471,23.956120000000098,0,go_long,25.019
1992,BAL/USDT:USDT,2021-08-06 04:00:00+00:00,first_buy,long-exit-profit,24.697,24.798000000000002,24.129999559358794,24.011632850967324,24.51,0,24.748,46947.3,0,False,24.33939999999983,24.123714285714396,23.9804800000001,1.005684,0.016915160159058657,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-06 05:30:00+00:00,74924.3,24.9077142857144,False,24.913,1,go_long,24.94999999999983,0,go_long,do_nothing,25.22,go_long,24.948,do_nothing,24.657472432279214,24.357599439160524,24.1750400000001,0,go_long,25.401
1993,BAL/USDT:USDT,2021-08-06 05:45:00+00:00,first_buy,long-exit-profit,25.217,25.24,24.740938211928565,24.41999948070419,25.071,1,25.2,37113.1,0,False,25.00439999999983,24.972285714285825,24.2180800000001,0.88150257,0.014565171946979665,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-06 13:30:00+00:00,81807.6,25.18085714285726,False,25.177,0,go_long,25.23799999999983,0,go_long,do_nothing,25.573,go_long,25.206,do_nothing,25.183213298627386,25.083513855506602,25.1447200000001,1,go_long,26.071
1994,BAL/USDT:USDT,2021-08-06 13:45:00+00:00,first_buy,long-exit-profit,25.586,25.627,25.24241125268471,25.11940171806167,25.465,0,25.568,37785.2,0,False,25.310399999999827,25.26542857142869,25.165920000000096,0.84477644,0.014351031647788464,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-07 09:30:00+00:00,16362.4,25.769857142857255,False,25.922,0,go_long,25.81659999999983,0,go_long,do_nothing,25.97,go_long,25.926,do_nothing,25.688738169589346,25.57359677113579,25.554600000000097,1,go_long,26.05
1995,BAL/USDT:USDT,2021-08-07 09:45:00+00:00,first_buy,long-exit-profit,25.969,26.057,25.72339383580637,25.598811825125733,25.9,1,25.914,13544.9,0,False,25.86539999999983,25.811428571428685,25.575440000000093,1.378896,0.023111873077142814,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-07 12:30:00+00:00,26706.4,26.11285714285726,False,26.217,0,go_long,26.210799999999836,0,go_long,do_nothing,26.57,go_long,26.307,do_nothing,26.08047521845699,25.885317895645738,25.806200000000104,0,go_long,26.656
1996,BAL/USDT:USDT,2021-08-07 12:45:00+00:00,first_buy,long-exit-profit,26.566,26.65,26.09978672330976,25.909072125597906,25.911,1,26.206,37977.8,1,False,26.240799999999837,26.15557142857154,25.834960000000105,1.59112489,0.026395078031802157,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-11 13:30:00+00:00,116524.6,26.452571428571563,False,26.486,0,go_long,26.504999999999825,0,go_long,do_nothing,26.922,go_long,26.491,do_nothing,26.44446164024352,26.23131661918409,26.272720000000096,0,go_long,26.982
1997,BAL/USDT:USDT,2021-08-11 13:45:00+00:00,first_buy,long-exit-profit,26.915,26.922,26.496852157129133,26.27233020294823,26.766,0,26.785,24361.0,0,False,26.613999999999827,26.510857142857276,26.314240000000094,0.8425836,0.014280753042662976,0,go_long,go_long,go_long,go_long,do_nothing,do_nothing,2021-08-14 06:30:00+00:00,62550.2,26.842857142857277,False,27.06,0,go_long,26.927399999999817,0,go_long,do_nothing,27.25,go_long,27.06,do_nothing,26.906706705115194,26.896829696089966,26.9428400000001,0,go_long,27.37
