,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),close_date,close (exit),nlp-enter-long (exit),volume (exit),open (exit),low (exit),sma-07 (exit),ema-26 (exit),sma-05 (exit),mean-grad-hist (exit),imit-enter-short (exit),imit-exit-short (exit),short_kdj (exit),long_jcrosk (exit),ema-12 (exit),nlp-enter-short (exit),nlp-exit-short (exit),high (exit),sma-25 (exit)
117,STMX/USDT:USDT,2021-03-23 14:00:00+00:00,first_buy,trailing_stop_loss,0.049460000000000004,0.04957,0.04935939809715444,0.0493364965676505,0.048100000000000004,1,0.048510000000000005,15383084.0,1,False,0.04930800000000006,0.04941285714285715,0.049667600000000055,3.94308279,0.06423473353673828,go_long,go_long,go_long,go_long,go_long,2021-04-16 13:45:00+00:00,0.058050000000000004,go_long,7564414.0,0.058170000000000006,0.058,0.05902571428571395,0.05927114423229629,0.05873000000000006,1,go_long,go_long,False,0,0.06003673390271142,go_long,go_long,0.059050000000000005,0.06030199999999995
120,STMX/USDT:USDT,2021-04-25 05:00:00+00:00,first_buy,trailing_stop_loss,0.04077,0.041080000000000005,0.04100280703465213,0.04126459155374676,0.040560000000000006,0,0.04077,4200064.0,0,False,0.04081400000000003,0.04079285714285684,0.04122239999999988,-14.27410454,-0.23255530335106211,go_long,go_long,go_long,go_long,go_long,2021-05-17 04:00:00+00:00,0.03338,go_long,17089898.0,0.034080000000000006,0.03327,0.03457714285714258,0.03494395753385918,0.034218000000000054,1,go_long,go_long,False,0,0.03582252272522502,go_long,go_long,0.03434,0.036147199999999866
122,STMX/USDT:USDT,2021-05-19 13:00:00+00:00,first_buy,trailing_stop_loss,0.02341,0.02457,0.026948867020146768,0.02912239761643205,0.017130000000000003,1,0.01915,66779345.0,0,False,0.025076000000000053,0.025851428571428244,0.029863199999999864,14.13709635,0.23020631689774887,go_long,go_long,go_long,go_long,go_long,2021-06-11 15:00:00+00:00,0.02364,go_long,13560480.0,0.023680000000000003,0.02357,0.024072857142856778,0.024216329040027733,0.023882000000000087,1,go_long,go_long,False,0,0.02469011301688311,go_long,go_long,0.023790000000000002,0.024716399999999864
124,STMX/USDT:USDT,2021-06-22 18:30:00+00:00,first_buy,trailing_stop_loss,0.012580000000000001,0.01271,0.012416063621038788,0.01231293669284711,0.0125,1,0.012660000000000001,19801866.0,0,False,0.012608000000000091,0.01257428571428531,0.011897599999999873,15.38246593,0.2505239062561912,go_long,go_long,go_long,go_long,go_long,2021-07-16 10:15:00+00:00,0.015590000000000001,go_long,9826921.0,0.015790000000000002,0.015590000000000001,0.01579428571428523,0.015997766565190103,0.01573400000000002,0,go_long,go_long,False,1,0.016334711931740444,go_long,go_long,0.01583,0.016477999999999875
125,STMX/USDT:USDT,2021-07-22 06:30:00+00:00,first_buy,trailing_stop_loss,0.015450000000000002,0.015510000000000001,0.01533853331255558,0.015288477767812534,0.015390000000000001,0,0.015460000000000002,6977812.0,0,False,0.015323999999999987,0.015309999999999532,0.015340399999999867,52.5704124,0.8561032650840374,go_long,go_long,go_long,go_long,go_long,2021-08-17 00:15:00+00:00,0.030590000000000003,go_long,49389063.0,0.031020000000000002,0.030520000000000002,0.031159999999999594,0.031127323050791682,0.031086000000000114,1,go_long,go_long,False,0,0.031254593586905154,go_long,go_long,0.031670000000000004,0.03134719999999984
115,MTL/USDT:USDT,2024-11-06 04:00:00+00:00,second_buy,trailing_stop_loss,0.9076000000000001,0.908,0.8939436852103914,0.8829588145433244,0.9036000000000001,1,0.9078,48854.0,0,False,0.9033199999999528,0.9004857142857607,0.8782520000000129,-22.28898432,-0.3667045613625894,go_short,go_short,go_short,go_short,go_short,2024-11-16 22:30:00+00:00,1.2212,go_short,92393.0,1.2183,1.2163,1.2120714285714735,1.2074155135577809,1.213839999999951,0,go_short,go_short,False,0,1.197062352874044,go_short,go_short,1.2235,1.1962600000000123
72,MTL/USDT:USDT,2021-08-11 17:15:00+00:00,second_buy,trailing_stop_loss,2.9687,2.9993,2.9927344337327035,2.9128766444421768,2.9657999999999998,1,2.9924,391856.0,0,False,2.9821599999999715,2.9939285714285897,2.939111999999991,-6.24909317,-0.10452408713228148,go_short,go_short,go_short,go_short,go_short,2021-08-31 14:15:00+00:00,3.0346,go_short,1987597.0,2.7938,2.7768,2.8218000000000245,2.820896651481101,2.8376799999999704,0,go_short,go_short,False,0,2.7899315717885056,go_short,go_short,3.0412,2.7818599999999987
70,MTL/USDT:USDT,2021-07-24 07:00:00+00:00,second_buy,trailing_stop_loss,1.6476000000000002,1.651,1.634635106794823,1.6206167079464862,1.6354000000000002,0,1.6381999999999999,180825.0,0,False,1.6397199999999785,1.6360428571428682,1.6292199999999886,-19.05710409,-0.31460363664695773,go_short,go_short,go_short,go_short,go_short,2021-07-31 11:45:00+00:00,2.1097,go_short,432740.0,2.1001,2.0908,2.0850857142857278,2.0843333921990252,2.091759999999976,0,go_short,go_short,False,0,2.073339478941762,go_short,go_short,2.1274,2.080695999999991
69,MTL/USDT:USDT,2021-07-14 18:30:00+00:00,second_buy,trailing_stop_loss,1.6745,1.6804999999999999,1.670696141348178,1.662362917490551,1.6711,1,1.6743999999999999,72082.0,0,False,1.6733799999999797,1.6748857142857272,1.6586959999999886,0.07391673,0.001226677289046731,go_short,go_short,go_short,go_short,go_short,2021-07-24 01:45:00+00:00,1.6259000000000001,go_short,487816.0,1.5997,1.5981,1.583214285714297,1.5811940711464816,1.595899999999978,0,go_short,go_short,False,0,1.5627275704510295,go_short,go_short,1.6487,1.5559479999999883
31,LINK/USDT:USDT,2022-08-08 06:15:00+00:00,second_buy,trailing_stop_loss,8.47,8.525,8.433821629870755,8.37995237257844,8.457,0,8.481,598826.07,0,False,8.461000000000203,8.448857142856932,8.383680000000071,3.87915239,0.0633265738650601,go_short,go_short,go_short,go_short,go_short,2022-09-09 08:00:00+00:00,7.855,go_short,210645.36,7.856,7.846,7.848857142856937,7.832615672972594,7.84420000000019,0,go_short,go_short,False,0,7.762937237000364,go_short,go_short,7.876,7.768640000000067
