,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,close_date,regbot_short_1 (entry),regbot_long_-1 (entry),high (exit),volume (exit),mean-grad-hist (exit),open (exit),regbot_long_-1 (exit),sma-07 (exit),ema-12 (exit),long_jcrosk (exit),short_kdj (exit),sma-25 (exit),regbot_short_1 (exit),sma-05 (exit),ema-26 (exit),close (exit),low (exit)
853,SSV/USDT:USDT,2024-02-21 18:30:00+00:00,first_buy,force_exit,31.195,31.195,31.243765749137214,31.447610845041943,30.19,1,30.39,15400.95,0,False,31.071999999999957,31.248571428571463,31.45600000000013,25.49369444,0.1146438128937862,2024-02-28 00:00:00+00:00,-1,-1,34.075,499.78,0,34.03,-1,34.09571428571435,34.08298555413029,0,False,34.12760000000013,-1,34.05599999999996,34.09585775000011,34.055,33.89
654,LEVER/USDT:USDT,2024-02-14 09:30:00+00:00,second_buy,force_exit,0.001563,0.001692,0.0015428435380430991,0.0015194214557233325,0.001562,0,0.001681,962331100.0,0,False,0.0015559999999999988,0.001542714285714279,0.0015122400000000106,-52.5354752,-0.23138903329266208,2024-02-28 00:00:00+00:00,1,1,0.002088,18603500.0,1,0.0020859999999999997,1,0.0020959999999999937,0.002072431334107483,0,False,0.002074680000000011,1,0.0020856000000000043,0.0020852574508232182,0.0020829999999999998,0.0020759999999999997
204,AUCTION/USDT:USDT,2024-02-23 16:45:00+00:00,first_buy,force_exit,27.63,27.71,28.335062151775908,28.653873746622335,27.108,1,27.454,7692.3,0,False,27.999200000000194,28.17557142857135,28.784120000000026,19.72026,0.08859065462839048,2024-02-28 00:00:00+00:00,-1,-1,29.956,538.8,1,29.934,-1,29.928285714285607,29.744519320516158,0,False,29.748960000000025,-1,29.873000000000207,29.858984754122158,29.946,29.817
197,ASTR/USDT:USDT,2024-02-17 13:30:00+00:00,first_buy,force_exit,0.16641499999999998,0.16661499999999999,0.16638554226620558,0.16679896760662102,0.1643,1,0.16475,754197.0,0,False,0.1666670000000004,0.16646357142857007,0.16665080000000035,-8.09675423,-0.03570662133562396,2024-02-28 00:00:00+00:00,-1,-1,0.16217499999999999,149684.0,1,0.16214499999999998,-1,0.16220142857142705,0.1618226846525503,0,False,0.16170140000000047,-1,0.16213200000000044,0.1620274255909607,0.16200499999999998,0.16162
703,LINK/USDT:USDT,2024-02-02 01:15:00+00:00,second_buy,force_exit,17.802,18.027,17.421252682346626,17.18742617966494,17.737,0,17.872,701026.9,0,False,17.62459999999989,17.4924285714285,17.181159999999966,-12.4560942,-0.05536976685514436,2024-02-28 00:00:00+00:00,1,1,19.079,21009.2,1,19.076,1,19.13957142857136,19.115560419807156,0,False,19.125479999999953,1,19.107399999999835,19.12185490439666,19.053,19.033
175,ARPA/USDT:USDT,2024-02-20 15:30:00+00:00,first_buy,force_exit,0.06718,0.06729,0.06774954560662795,0.06884746539929633,0.06305000000000001,1,0.06411,5037380.0,0,False,0.06675199999999959,0.06726714285714282,0.06946440000000013,14.40968892,0.0645231419165229,2024-02-28 00:00:00+00:00,-1,-1,0.06911,56740.0,1,0.06905,-1,0.06920857142857142,0.0692935499728521,0,False,0.06934160000000016,-1,0.06916799999999962,0.06921511338115088,0.06895000000000001,0.06895000000000001
158,ARKM/USDT:USDT,2024-02-25 07:15:00+00:00,second_buy,force_exit,1.68035,1.7423000000000002,1.642091522301075,1.5883718907515283,1.6667,0,1.7076500000000001,1036916.0,0,False,1.6708899999999978,1.6665499999999938,1.585007999999998,33.67699871,0.15303096584938872,2024-02-28 00:00:00+00:00,1,1,1.45,222627.0,1,1.44215,1,1.4635642857142785,1.4937061705316328,0,False,1.491917999999998,1,1.4574099999999965,1.4665659727723042,1.44515,1.43735
732,MANA/USDT:USDT,2024-02-17 00:45:00+00:00,second_buy,force_exit,0.5147,0.5189,0.5017718248194005,0.49849465554683614,0.5115000000000001,0,0.5134000000000001,661347.8,1,False,0.505140000000007,0.5030142857142931,0.49603200000002784,-22.86723821,-0.10105477967593753,2024-02-28 00:00:00+00:00,1,1,0.5667,74169.6,1,0.5651,1,0.5676428571428662,0.562618447670327,0,False,0.564616000000028,1,0.5682000000000083,0.5660422023345112,0.5666,0.5650000000000001
139,ARB/USDT:USDT,2024-02-12 17:15:00+00:00,second_buy,force_exit,2.0264,2.0509,1.9970179905880807,1.973730517034719,2.0258,0,2.0405,2861273.5,0,False,2.014059999999991,2.012228571428539,1.9614960000000001,17.39879473,0.07620773506555177,2024-02-28 00:00:00+00:00,1,1,1.8995000000000002,133143.1,1,1.896,1,1.9019714285713967,1.899122114772304,0,False,1.8942880000000009,1,1.8994599999999888,1.8989891970081842,1.8995000000000002,1.8936000000000002
741,OG/USDT:USDT,2024-02-17 10:30:00+00:00,second_buy,force_exit,5.7058,6.27,5.570360132889339,5.4740940198811385,5.7012,0,6.1146,362113.4,0,False,5.62779999999997,5.567985714285709,5.443055999999995,35.64700573,0.15814779809707935,2024-02-28 00:00:00+00:00,1,1,5.2392,2.0,1,5.2333,1,5.232514285714292,5.216141893057442,0,False,5.209508000000016,1,5.235279999999967,5.224318550805579,5.2392,5.2333
