,pair,open_date,enter_reason,exit_reason,close_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short-small-rl (exit),short_kdj (exit),low (exit),sma-05 (exit),sma-25 (exit),ema-26 (exit),mean-grad-hist (exit),short-bid-rl (exit),open (exit),high (exit),short-large-rl (exit),close (exit),long-small-rl (exit),ema-12 (exit),sma-07 (exit),volume (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long_jcrosk (exit)
148,ASTR/USDT:USDT,2024-08-05 22:15:00+00:00,second_buy,roi,2024-08-07 20:00:00+00:00,0.052930000000000005,0.052930000000000005,0.05290285832683153,0.052765842704146124,0.052930000000000005,0,0.052930000000000005,2.0,0,False,0.05304199999999855,0.05292142857142849,0.053179200000000655,0.00586656,0.0006163730327720503,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.05229,0.052423999999998624,0.053127600000000635,0.052705129553460905,0,go_short,0.05229,0.05229,go_long,0.05229,go_short,0.05322031233861485,0.052501428571428484,0.0,1,go_long,go_short,0
149,ASTR/USDT:USDT,2024-08-07 20:15:00+00:00,second_buy,roi,2024-08-07 23:15:00+00:00,0.052750000000000005,0.05283,0.05272434039139,0.05319140031353227,0.052610000000000004,0,0.05283,12348.0,0,False,0.05247599999999862,0.05248999999999991,0.05303920000000064,0.0,0.0,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.052680000000000005,0.05258599999999862,0.052742400000000626,0.052673325520802776,0,go_short,0.052680000000000005,0.052680000000000005,go_long,0.052680000000000005,go_short,0.052888842561321474,0.052647142857142774,0.0,1,go_long,go_short,0
151,ASTR/USDT:USDT,2024-08-21 18:00:00+00:00,second_buy,roi,2024-08-28 23:00:00+00:00,0.06664,0.06713000000000001,0.06624090962504821,0.06556906429219732,0.06664,1,0.06693,16296.0,0,False,0.06664599999999882,0.06656285714285695,0.06547720000000064,0.20032299,0.02140972811376399,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06486,0.06509599999999874,0.06530240000000057,0.06526341007709266,1,go_short,0.06486,0.06486,go_long,0.06486,go_short,0.06550379921963514,0.06530857142857106,0.0,0,go_long,go_short,0
152,ASTR/USDT:USDT,2024-08-28 23:15:00+00:00,second_buy,roi,2024-08-29 20:45:00+00:00,0.06537000000000001,0.06546,0.06526750083446302,0.06548796224040292,0.06518,0,0.06529,2509.0,0,False,0.06496399999999873,0.06523285714285679,0.06530880000000057,0.13067038,0.013376405499941828,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06418,0.06434999999999873,0.06580560000000056,0.06474011643578594,0,go_short,0.06418,0.06418,go_long,0.06418,go_short,0.06530542732414202,0.06428714285714247,0.0,0,go_long,go_short,0
153,ASTR/USDT:USDT,2024-08-29 21:15:00+00:00,second_buy,roi,2024-08-30 02:45:00+00:00,0.06443,0.0645,0.06463026088005974,0.06516857623811902,0.06443,0,0.0645,2942.0,0,False,0.06428599999999873,0.06434714285714248,0.06560520000000056,8.627e-05,8.998265745165816e-06,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06394000000000001,0.06391199999999873,0.06406400000000058,0.0640317302903533,1,go_short,0.06394000000000001,0.06394000000000001,go_long,0.06394000000000001,go_short,0.06424163372316276,0.06399142857142819,0.0,1,go_long,go_short,0
154,ASTR/USDT:USDT,2024-08-30 03:00:00+00:00,second_buy,roi,2024-08-30 10:00:00+00:00,0.06381,0.06394000000000001,0.06401761793799127,0.06421929048440997,0.06349,1,0.06394000000000001,11048.0,0,False,0.06393999999999873,0.06394571428571391,0.06405440000000058,0.0009582,0.00010016281946106504,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06395,0.06392799999999874,0.06386400000000055,0.06395639473136934,1,go_short,0.06395,0.06395,go_long,0.06395,go_short,0.06395334413960962,0.06397428571428533,0.0,0,go_long,go_short,0
155,ASTR/USDT:USDT,2024-08-30 10:15:00+00:00,second_buy,roi,2024-08-30 13:30:00+00:00,0.06373000000000001,0.06403,0.06396771861885098,0.0639590223514904,0.06368,0,0.06403,23972.0,0,False,0.06396599999999875,0.0639714285714282,0.06387640000000055,0.124935,0.013020986002400965,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06291000000000001,0.06292399999999872,0.06361720000000055,0.06317219482845583,0,go_short,0.06291000000000001,0.06291000000000001,go_long,0.06291000000000001,go_short,0.06345147910614342,0.06292857142857104,0.0,1,go_long,go_short,0
156,ASTR/USDT:USDT,2024-08-30 13:45:00+00:00,second_buy,roi,2024-08-31 09:45:00+00:00,0.06307,0.06307,0.06311493408561647,0.06340322139457724,0.06280000000000001,0,0.06280000000000001,2537.0,1,False,0.06293999999999872,0.06287714285714248,0.06355520000000055,0.00783266,0.0008356515321609911,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06239000000000001,0.06260199999999874,0.06316720000000053,0.06286287699966667,1,go_short,0.06239000000000001,0.06239000000000001,go_long,0.06239000000000001,go_short,0.06309061861698072,0.06281571428571389,0.0,1,go_long,go_short,0
157,ASTR/USDT:USDT,2024-08-31 11:15:00+00:00,second_buy,roi,2024-08-31 13:45:00+00:00,0.06289,0.06289,0.06264048089750528,0.06286854560948714,0.06289,0,0.06289,2.0,0,False,0.062489999999998734,0.06246142857142817,0.06292400000000052,0.0667185,0.007079587140010101,0,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06257,0.06262999999999874,0.06270600000000053,0.06263710305122029,1,go_short,0.06257,0.06257,go_long,0.06257,go_short,0.06275257628376252,0.06262428571428533,0.0,0,go_long,go_short,0
158,ASTR/USDT:USDT,2024-08-31 14:00:00+00:00,second_buy,roi,2024-08-31 17:15:00+00:00,0.06232000000000001,0.06232000000000001,0.06257447181257102,0.06271386692940974,0.06223000000000001,1,0.06223000000000001,2073.0,0,False,0.06253199999999874,0.06257142857142818,0.06266680000000052,0.01680414,0.0018020205646752329,1,go_short,do_nothing,go_long,go_long,go_short,go_short,do_nothing,False,0.06208,0.06230799999999874,0.06250640000000052,0.062351057343332114,1,go_short,0.06208,0.06208,go_long,0.06208,go_short,0.062486085203956536,0.062348571428571045,0.0,1,go_long,go_short,0
