,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-05 (exit),sma-25 (exit),sma-07 (exit),sma-compare (exit)
1931,IOTX/USDT:USDT,2024-10-01 18:45:00+00:00,first_buy,force_exit,0.04104599999999921,0.040942857142857156,0.04232799999999966,-0.60858795,-0.00991311665986699,0,0.04047799999999921,0.040754799999999654,0.04044428571428571,0
1179,1000SHIB/USDT:USDT,2024-10-01 18:45:00+00:00,first_buy,force_exit,0.01644159999999997,0.016368857142857098,0.017173880000000103,0.02129013,0.0003467018952073051,0,0.016312999999999973,0.016299360000000106,0.016284142857142813,0
646,STMX/USDT:USDT,2024-10-01 16:45:00+00:00,first_buy,force_exit,0.006052000000001175,0.006049999999999472,0.0063191999999999944,-1.56051826,-0.025411398307242105,0,0.005806000000001174,0.005845599999999995,0.005801428571428044,0
1437,LEVER/USDT:USDT,2024-10-01 18:45:00+00:00,first_buy,force_exit,0.00196254000000003,0.0019566714285714623,0.002060088000000014,-1.02604421,-0.016707852149830168,0,0.0019271800000000305,0.0019384720000000144,0.0019262857142857473,0
1248,LEVER/USDT:USDT,2023-10-01 04:15:00+00:00,first_buy,long-exit-profit,0.0025271999999999985,0.0025140000000000175,0.002480960000000004,5.6286651,0.09165727863770656,0,0.0026781999999999995,0.0026100400000000027,0.0026564285714285895,0
575,STMX/USDT:USDT,2024-04-16 17:00:00+00:00,first_buy,long-exit-profit,0.006882000000001068,0.006881428571427919,0.007043599999999999,5.59373641,0.09108769748436832,0,0.007714000000001084,0.007607999999999996,0.007685714285713636,0
576,STMX/USDT:USDT,2024-04-19 14:45:00+00:00,first_buy,long-exit-profit,0.007706000000001084,0.007685714285713636,0.007616399999999995,5.55847505,0.09051926031494116,0,0.008308000000001073,0.008295199999999996,0.00831142857142793,0
1343,LEVER/USDT:USDT,2024-04-02 05:00:00+00:00,first_buy,long-exit-profit,0.0024782199999999954,0.002474528571428602,0.0025602520000000033,5.7164971,0.09308586175161564,0,0.002624539999999994,0.002572536000000003,0.002618000000000029,0
579,STMX/USDT:USDT,2024-04-30 15:15:00+00:00,first_buy,long-exit-profit,0.007056000000001106,0.0070528571428564975,0.007133600000000003,5.57207926,0.09073879199180436,0,0.0076780000000011145,0.007559200000000005,0.007659999999999354,0
1339,LEVER/USDT:USDT,2024-03-25 11:30:00+00:00,first_buy,long-exit-profit,0.002621599999999999,0.002589700000000034,0.0024953720000000013,6.00879066,0.09784782201776882,0,0.0028544599999999957,0.002824032000000004,0.0028382857142857476,0
582,STMX/USDT:USDT,2024-05-13 04:30:00+00:00,first_buy,long-exit-profit,0.00675200000000113,0.006748571428570792,0.006915600000000002,5.59270373,0.09107328635808046,0,0.007344000000001139,0.007238000000000006,0.007327142857142222,0
583,STMX/USDT:USDT,2024-05-15 21:00:00+00:00,first_buy,long-exit-profit,0.007356000000001138,0.007341428571427936,0.0072468000000000055,5.72870159,0.09328730856532633,0,0.008044000000001139,0.008012800000000004,0.008011428571427937,0
584,STMX/USDT:USDT,2024-05-21 13:45:00+00:00,first_buy,long-exit-profit,0.008056000000001139,0.008035714285713652,0.008018000000000004,7.19208096,0.11711971101798736,0,0.008626000000001141,0.008461600000000008,0.008577142857142228,0
1338,LEVER/USDT:USDT,2024-03-22 06:30:00+00:00,first_buy,long-exit-profit,0.002422380000000001,0.002414885714285748,0.0023763680000000024,5.82716469,0.09488957294365905,0,0.0025966399999999986,0.0024866760000000015,0.002567557142857177,0
1344,LEVER/USDT:USDT,2024-04-02 22:45:00+00:00,first_buy,long-exit-profit,0.0026543599999999936,0.002640600000000029,0.002582748000000003,5.53802401,0.09017975837902688,0,0.0029263399999999947,0.002803604000000004,0.0028971000000000296,0
1337,LEVER/USDT:USDT,2024-03-19 03:00:00+00:00,first_buy,long-exit-profit,0.0022471400000000008,0.002240628571428606,0.0023329160000000026,5.60810293,0.09132293201926564,0,0.0024164600000000005,0.0023748800000000024,0.0024098428571428907,0
1329,LEVER/USDT:USDT,2024-03-11 20:15:00+00:00,first_buy,long-exit-profit,0.0028564800000000037,0.002835900000000037,0.0027652360000000103,5.79115491,0.09430278819003753,0,0.003106760000000004,0.0030176920000000097,0.003086842857142893,0
1328,LEVER/USDT:USDT,2024-03-11 03:00:00+00:00,first_buy,long-exit-profit,0.0026083600000000053,0.0026003000000000376,0.0026618640000000094,6.67962986,0.1087725258727532,0,0.0028448000000000037,0.0027608320000000104,0.0028200714285714656,0
1325,LEVER/USDT:USDT,2024-03-08 13:15:00+00:00,first_buy,long-exit-profit,0.002587020000000005,0.002550342857142892,0.0024969080000000134,6.28603456,0.10236247847601912,0,0.002935920000000006,0.00282519200000001,0.002915642857142894,0
1324,LEVER/USDT:USDT,2024-03-06 20:45:00+00:00,first_buy,long-exit-profit,0.0024143000000000046,0.002409071428571462,0.0023867160000000135,6.86500052,0.11178950365920914,0,0.002525580000000005,0.0024866080000000134,0.0025070571428571775,0
1323,LEVER/USDT:USDT,2024-03-05 22:00:00+00:00,first_buy,long-exit-profit,0.0022206000000000044,0.0022152428571428884,0.002419972000000012,5.61694108,0.09146659737950263,0,0.0024075400000000045,0.0023835320000000133,0.0024033857142857482,0
1316,LEVER/USDT:USDT,2024-03-04 13:15:00+00:00,first_buy,long-exit-profit,0.002571820000000004,0.0025482285714286024,0.002498468000000011,7.51108039,0.122308695501226,0,0.0027473600000000047,0.002534904000000012,0.0026863142857143163,0
