,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),open (exit),close (exit),low (exit),short-small-rl (exit),long-large-rl (exit),short-bid-rl (exit),high (exit),long-bid-rl (exit),long_jcrosk (exit),sma-compare (exit),mean-grad-hist (exit),sma-25 (exit),short_kdj (exit),ema-26 (exit),short-large-rl (exit),long-small-rl (exit),volume (exit),sma-07 (exit),sma-05 (exit),ema-12 (exit)
5351,BCH/USDT:USDT,2025-01-08 07:00:00+00:00,first_buy,force_exit,431.68,432.56,433.4226290092099,435.85361930371346,425.99,1,426.51,138439.0,0,False,431.837999999999,433.15571428573963,436.48400000000254,1.45476232,0.06816166831550365,1,go_long,go_long,go_long,go_long,go_long,go_long,451.07,456.88,451.01,go_long,go_long,go_long,456.88,go_long,0,0,0,448.3504000000025,False,451.69572493971845,go_long,go_long,67491.0,452.1342857143113,452.34,449.0094833788522
5098,BAL/USDT:USDT,2025-01-06 16:15:00+00:00,first_buy,force_exit,2.89,2.912,2.856273366213061,2.8395958106529227,2.89,0,2.912,477.0,0,False,2.8761999999999732,2.8634285714286256,2.831800000000209,-3.2736164,-0.14766942049028528,0,go_long,go_long,go_long,go_long,go_long,go_long,2.493,2.493,2.493,go_long,go_long,go_long,2.493,go_long,1,0,1,2.4781200000002075,False,2.486472903493029,go_long,go_long,443.0,2.488714285714336,2.4925999999999755,2.4822989784736924
4902,BAKE/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,0.2649,0.266,0.2689413315409118,0.2710958263371971,0.2549,1,0.259,2127364.0,0,False,0.2677000000000386,0.26875714285715613,0.27214000000000144,-2.07816856,-0.0929193534216595,1,go_long,go_long,go_long,go_long,go_long,go_long,0.2359,0.2354,0.2354,go_long,go_long,go_long,0.23600000000000002,go_long,1,0,1,0.2335920000000014,False,0.23469523049827148,go_long,go_long,25393.0,0.234957142857156,0.23530000000003742,0.23411929950677524
1050,ACH/USDT:USDT,2025-01-09 00:15:00+00:00,second_buy,force_exit,0.023208,0.023261,0.02316670002593983,0.023106206797446058,0.023187,1,0.023257,393.0,0,False,0.023230599999999824,0.02324571428571371,0.023091360000001237,0.44970415,0.02067633471339467,0,go_long,go_long,do_nothing,do_nothing,go_long,go_long,0.022652,0.022706999999999998,0.022626999999999998,go_long,do_nothing,go_long,0.02273,go_long,0,0,0,0.022521080000001244,False,0.02257521584461011,do_nothing,go_long,6505.0,0.022573142857142275,0.022595199999999805,0.022575740025105047
4537,BAIDOGE/USDT:USDT,2025-01-08 04:45:00+00:00,first_buy,force_exit,0.25630000000000003,0.25730000000000003,0.25961982345173207,0.26271028360158766,0.255,1,0.2559,1519.0,0,False,0.2577799999999944,0.25779999999999614,0.26198799999999745,-0.514864,-0.024978129873234767,1,go_long,go_long,go_long,go_long,go_long,go_long,0.2529,0.2531,0.2529,go_long,go_long,go_long,0.2531,go_long,0,0,1,0.2497719999999974,False,0.25160758781443043,go_long,go_long,64.0,0.25204285714285307,0.2525599999999943,0.2505867653828896
4324,AXS/USDT:USDT,2025-01-08 17:00:00+00:00,first_buy,force_exit,6.142,6.145,6.16005649257472,6.179161499401466,6.034,1,6.076,181627.0,0,False,6.145400000000354,6.15971428571518,6.168400000000273,0.39962739,0.018260614461009652,1,go_long,go_long,go_long,go_long,go_long,go_long,6.219,6.195,6.194,go_long,go_long,go_long,6.241,go_long,1,0,1,6.164720000000272,False,6.186719219707367,go_long,go_long,62297.0,6.190571428572322,6.200000000000353,6.1779219188766445
3930,AURORA/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,0.2093,0.2093,0.21007785654301864,0.211621927280952,0.19970000000000002,1,0.2025,463.0,0,False,0.20892000000000208,0.20970000000000447,0.21210399999999935,-2.5482765,-0.11434291992592388,1,go_long,go_long,go_long,go_long,go_long,go_long,0.18080000000000002,0.1799,0.17930000000000001,go_long,go_long,go_long,0.18080000000000002,go_long,0,0,1,0.18057199999999937,False,0.1808026068968528,go_long,go_long,30.0,0.18121428571429052,0.18078000000000202,0.18073845509340053
3799,AUDIO/USDT:USDT,2025-01-07 15:15:00+00:00,first_buy,force_exit,0.16379000000000002,0.16379000000000002,0.1647729352685913,0.16591547382466448,0.15514,1,0.15906,38856.0,0,False,0.16406600000001506,0.1647999999999925,0.16633320000000304,-2.20685759,-0.09900365257777552,1,go_long,go_long,go_long,go_long,go_long,go_long,0.14511000000000002,0.14376,0.14376,go_long,go_long,go_long,0.14511000000000002,go_long,1,0,1,0.1447800000000029,False,0.14436099740731603,go_long,go_long,5074.0,0.14423999999999257,0.14443200000001505,0.14440023694649684
3581,AUCTION/USDT:USDT,2025-01-09 05:30:00+00:00,first_buy,force_exit,15.629,15.671,15.648089632496367,15.579040761278575,15.629,0,15.671,969.0,0,False,15.639399999999927,15.665142857142873,15.609720000000094,-0.42782796,-0.019472261378116716,0,go_long,go_long,go_long,go_long,go_long,go_long,15.526,15.419,15.419,go_long,go_long,go_long,15.526,go_long,1,0,1,15.33176000000009,False,15.39808785006756,go_long,go_long,2326.0,15.415571428571445,15.420999999999916,15.365658579929287
3322,ATOM/USDT:USDT,2025-01-07 15:00:00+00:00,first_buy,force_exit,7.527,7.527,7.51656841055801,7.525396928016955,7.365,1,7.413,16821.0,0,False,7.511200000000227,7.532428571428675,7.530400000000035,-2.7903109,-0.12542851766663862,0,go_long,go_long,go_long,go_long,go_long,go_long,6.553,6.51,6.51,go_long,go_long,go_long,6.557,go_long,1,0,1,6.516880000000032,False,6.520432239489998,go_long,go_long,1600.0,6.513714285714385,6.525000000000224,6.529577250757326
3014,ASTR/USDT:USDT,2025-01-04 14:00:00+00:00,first_buy,force_exit,0.06634000000000001,0.06634000000000001,0.06590294301163649,0.06570959299459996,0.06634000000000001,1,0.06634000000000001,395.0,0,False,0.06620799999999999,0.06607428571428697,0.06549040000000031,-1.90011756,-0.0869040613412875,0,go_long,go_long,go_long,go_long,go_long,go_long,0.061090000000000005,0.06099,0.06094000000000001,go_long,go_long,go_long,0.06117,go_long,0,0,0,0.06075160000000036,False,0.06079191203546674,go_long,go_long,2606.0,0.060662857142858406,0.06082600000000034,0.06082711014767742
