,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,short-small-rl (exit),short_kdj (exit),low (exit),close (exit),long_jcrosk (exit),long-large-rl (exit),ema-12 (exit),ema-26 (exit),long-bid-rl (exit),short-large-rl (exit),mean-grad-hist (exit),short-bid-rl (exit),sma-07 (exit),open (exit),sma-25 (exit),volume (exit),sma-compare (exit),sma-05 (exit),long-small-rl (exit),high (exit)
737,ASTR/USDT:USDT,2023-04-14 22:15:00+00:00,first_buy,roi,0.0722,0.07221000000000001,0.07197744905039316,0.07179770040569042,0.07219,1,0.0722,1809.0,0,False,0.07207600000000079,0.07207428571428688,0.07171000000000012,0.0279682,0.0029747415214543237,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-04-17 22:30:00+00:00,go_short,False,0.07268000000000001,0.07268000000000001,0,go_long,0.0722118406476838,0.07236635660686676,go_long,go_long,0,go_long,0.07238714285714408,0.07268000000000001,0.07221840000000011,0.0,0,0.0725160000000009,go_short,0.07268000000000001
755,ASTR/USDT:USDT,2023-07-30 01:00:00+00:00,first_buy,roi,0.05199,0.052430000000000004,0.05206599105318077,0.05202101536721449,0.05199,0,0.05231,16605.0,0,False,0.05206400000000121,0.05208857142857261,0.05195759999999999,-0.00063091,-6.343969565275843e-05,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-08-08 17:45:00+00:00,go_short,False,0.05269000000000001,0.05269000000000001,0,go_long,0.05222378034328891,0.05244191215531098,go_long,go_long,1,go_long,0.05253428571428683,0.05269000000000001,0.052179999999999976,0.0,0,0.0526280000000011,go_short,0.05269000000000001
754,ASTR/USDT:USDT,2023-06-25 12:00:00+00:00,first_buy,roi,0.04771,0.04771,0.047723485192819305,0.047636245717534526,0.04771,0,0.04771,725.0,0,False,0.04769800000000134,0.047725714285715495,0.04776479999999996,0.72736401,0.07588109572132126,1,go_short,go_short,go_long,go_long,go_long,go_long,2023-07-30 00:45:00+00:00,go_short,False,0.051960000000000006,0.051960000000000006,0,go_long,0.05199789659659165,0.052021625790122726,go_long,go_long,1,go_long,0.05207571428571546,0.051960000000000006,0.05193479999999998,0.0,0,0.052008000000001206,go_short,0.051960000000000006
753,ASTR/USDT:USDT,2023-06-25 04:45:00+00:00,first_buy,roi,0.04766,0.04769,0.04713213869804948,0.04678426702646958,0.04766,1,0.04769,2088.0,0,False,0.04743800000000135,0.047392857142858354,0.04652680000000001,0.0200116,0.0021052662585939754,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-25 11:30:00+00:00,go_short,False,0.04768000000000001,0.04768000000000001,0,go_long,0.04762637300493227,0.04773428923625176,go_long,go_long,1,go_long,0.04777285714285835,0.04768000000000001,0.04775359999999996,0.0,0,0.047738000000001335,go_short,0.04768000000000001
752,ASTR/USDT:USDT,2023-06-24 06:15:00+00:00,first_buy,roi,0.0476,0.0476,0.04741451087234792,0.04718379879418616,0.04748,1,0.04748,1467.0,1,False,0.04760000000000135,0.047582857142858356,0.046999999999999986,0.0141758,0.0014913267019416978,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-25 04:30:00+00:00,go_short,False,0.04739,0.04739,0,go_long,0.04671180838858715,0.047030709370422114,go_long,go_long,1,go_long,0.047310000000001205,0.04739,0.04646760000000001,0.0,0,0.047372000000001344,go_short,0.04739
751,ASTR/USDT:USDT,2023-06-23 18:15:00+00:00,first_buy,roi,0.047490000000000004,0.047490000000000004,0.04705732324960934,0.04661577653796579,0.047490000000000004,1,0.047490000000000004,10.0,0,False,0.04734800000000133,0.047308571428572685,0.046406399999999993,0.0160472,0.0016892696344751137,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-24 05:30:00+00:00,go_short,False,0.047630000000000006,0.047630000000000006,0,go_long,0.047081911786621834,0.047312396984634394,go_long,go_long,1,go_long,0.04749142857142978,0.047630000000000006,0.04688239999999998,0.0,0,0.04756200000000136,go_short,0.047630000000000006
750,ASTR/USDT:USDT,2023-06-22 11:15:00+00:00,first_buy,roi,0.046930000000000006,0.046930000000000006,0.046589388880441146,0.04637812487143205,0.044910000000000005,1,0.04608,17899.0,0,False,0.04667600000000133,0.046841428571429804,0.04627879999999998,0.22854384,0.02359411421911422,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-23 17:45:00+00:00,go_short,False,0.04728,0.04728,1,go_long,0.0464871057538833,0.04692386470399982,go_long,go_long,1,go_long,0.04729428571428696,0.04728,0.0462972,0.0,0,0.04727800000000133,go_short,0.04728
749,ASTR/USDT:USDT,2023-06-22 04:00:00+00:00,first_buy,roi,0.04624,0.04624,0.04604135659960155,0.045707005848393,0.04624,1,0.04624,223.0,1,False,0.04628000000000132,0.04622285714285836,0.04563720000000001,0.09708972,0.009988540870893813,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-22 10:45:00+00:00,go_short,False,0.0468,0.0468,0,go_long,0.04637013285003835,0.04666055141152524,go_long,go_long,1,go_long,0.04693857142857266,0.0468,0.04627919999999999,0.0,0,0.04700200000000133,go_short,0.0468
736,ASTR/USDT:USDT,2023-03-19 22:45:00+00:00,first_buy,roi,0.07042000000000001,0.07075000000000001,0.07062807613332113,0.07078068832475333,0.07042000000000001,0,0.07065,2389.0,0,False,0.07043400000000051,0.07046000000000104,0.0710332000000001,0.1774206,0.01791965995787652,1,go_short,go_short,go_long,go_long,go_long,go_long,2023-04-14 21:45:00+00:00,go_short,False,0.07206,0.07206,0,go_long,0.0717419577531973,0.0719146189216235,go_long,go_long,1,go_long,0.07208000000000116,0.07206,0.07157360000000013,0.0,0,0.07205200000000081,go_short,0.07206
748,ASTR/USDT:USDT,2023-06-21 22:45:00+00:00,first_buy,roi,0.045540000000000004,0.04556,0.0450151561573757,0.04485557815686897,0.045540000000000004,0,0.04556,1978.0,0,False,0.04501600000000135,0.04497714285714409,0.0449824,0.15618624,0.016347656743696346,0,go_short,go_short,go_long,go_long,go_long,go_long,2023-06-22 03:15:00+00:00,go_short,False,0.046290000000000005,0.046290000000000005,0,go_long,0.04556026087129084,0.04589227682143096,go_long,go_long,1,go_long,0.046051428571429805,0.046290000000000005,0.04547000000000002,0.0,0,0.04613400000000132,go_short,0.046290000000000005
