,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,open (exit),volume (exit),ema-12 (exit),sma-25 (exit),long_jcrosk (exit),sma-05 (exit),mean-grad-hist (exit),long-large-rl (exit),close (exit),short-small-rl (exit),high (exit),long-bid-rl (exit),short-bid-rl (exit),short-large-rl (exit),short_kdj (exit),low (exit),ema-26 (exit),long-small-rl (exit),sma-compare (exit),sma-07 (exit)
1720,COTI/USDT:USDT,2021-04-27 06:15:00+00:00,second_buy,short-exit-profit,0.34956000000000004,0.36062000000000005,0.3430924699564088,0.3337906247461193,0.34934000000000004,0,0.35678000000000004,3023558.0,0,False,0.3501679999999966,0.34823999999999994,0.3317188000000001,6.26210734,0.10276174009913118,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-10 20:00:00+00:00,0.33118000000000003,4477440.0,0.34434694808031613,0.3452000000000007,0,0.33566599999999724,1,do_nothing,0.32596,go_short,0.33533,go_short,go_short,do_nothing,False,0.31731000000000004,0.338921275765949,go_short,1,0.3366414285714278
1810,COTI/USDT:USDT,2022-05-11 13:15:00+00:00,second_buy,short-exit-profit,0.10897000000000001,0.11845000000000001,0.12786489277275298,0.13483979454184183,0.10635000000000001,1,0.10856,19071591.0,0,False,0.12153799999999496,0.12499571428571651,0.1359656000000022,7.3025404,0.11915443040652296,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-05-12 05:00:00+00:00,0.09806000000000001,9901493.0,0.10695837598511494,0.10959720000000216,0,0.09883799999999505,1,do_nothing,0.09517,go_short,0.0984,go_short,go_short,do_nothing,False,0.09336000000000001,0.10292709496349378,go_short,1,0.10033857142857368
2165,GAS/USDT:USDT,2024-11-24 06:30:00+00:00,second_buy,short-exit-profit,5.698,6.211,5.606044134783086,5.481239386962554,5.639,0,6.192,2717001.8,0,False,5.665999999999988,5.6115714285714295,5.454000000000067,6.13267141,0.10019095822043704,0,go_short,go_short,go_long,go_long,go_short,go_short,2024-11-24 15:30:00+00:00,5.573,228398.5,5.788233901689269,5.873240000000069,0,5.6101999999999865,0,go_long,5.557,go_short,5.574,go_short,go_short,go_long,False,5.5,5.696947478669079,go_short,1,5.635285714285714
1809,COTI/USDT:USDT,2022-05-11 07:30:00+00:00,second_buy,short-exit-profit,0.13552,0.13876000000000002,0.14202434449468196,0.1465670224155477,0.13422,1,0.13446000000000002,10240325.0,0,False,0.1377979999999949,0.13996857142857366,0.14793440000000224,11.5419584,0.18866434261337295,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-05-11 13:00:00+00:00,0.12251000000000001,30730954.0,0.1369421781051892,0.13709320000000222,0,0.12640999999999497,1,do_nothing,0.10862000000000001,go_short,0.12263000000000002,go_short,go_short,do_nothing,False,0.10036,0.13137487327688988,go_short,1,0.1291514285714308
1722,COTI/USDT:USDT,2021-05-15 07:30:00+00:00,second_buy,short-exit-profit,0.41307000000000005,0.43,0.4113523139871598,0.4051853388383901,0.41264,0,0.42995000000000005,6034446.0,0,False,0.4137179999999975,0.4124628571428565,0.40691240000000106,6.21423213,0.10196453634070628,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-16 21:00:00+00:00,0.39156,3602666.0,0.41859945883310656,0.42080280000000087,0,0.39561599999999764,1,do_nothing,0.38534,go_short,0.39306,go_short,go_short,do_nothing,False,0.38412,0.40406906110275626,go_short,1,0.398261428571428
1808,COTI/USDT:USDT,2022-05-09 19:00:00+00:00,second_buy,short-exit-profit,0.14789000000000002,0.15526,0.15520045057766016,0.1597776752477036,0.14779,0,0.15208000000000002,8233548.0,0,False,0.15207599999999483,0.1535500000000021,0.16062560000000214,6.52482868,0.10656791645575137,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2022-05-11 07:15:00+00:00,0.13679000000000002,9696182.0,0.1475355842087915,0.1486940000000022,0,0.13991199999999487,1,do_nothing,0.13554000000000002,go_short,0.13779000000000002,go_short,go_short,do_nothing,False,0.13405,0.1433996798573514,go_short,1,0.14178428571428794
1723,COTI/USDT:USDT,2021-05-16 21:15:00+00:00,second_buy,short-exit-profit,0.38526000000000005,0.39496000000000003,0.40258920554848604,0.4168106100306542,0.38520000000000004,0,0.39445,1574016.0,0,False,0.3946499999999976,0.3964442857142852,0.4184528000000009,6.71834987,0.10999792183847323,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-19 01:30:00+00:00,0.36098,2422972.0,0.36842122313443665,0.3690344000000011,0,0.36581199999999797,1,do_nothing,0.3508,go_short,0.3629,go_short,go_short,do_nothing,False,0.35035000000000005,0.3662387178316619,go_short,1,0.3672728571428568
1724,COTI/USDT:USDT,2021-05-19 01:45:00+00:00,second_buy,short-exit-profit,0.35062000000000004,0.35293,0.3636635304729447,0.3670196510504043,0.34561000000000003,1,0.34950000000000003,1874325.0,0,False,0.36050399999999794,0.364758571428571,0.36830600000000113,6.42746825,0.10519357698184592,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-19 07:15:00+00:00,0.32376000000000005,1326145.0,0.3347703159082159,0.3342996000000009,0,0.3227399999999979,1,do_nothing,0.31213,go_short,0.32779,go_short,go_short,do_nothing,False,0.31213,0.3251498347890767,go_short,0,0.32229428571428526
1725,COTI/USDT:USDT,2021-05-19 07:30:00+00:00,second_buy,short-exit-profit,0.31211,0.31952,0.32412216789844955,0.3335628851001999,0.30885,0,0.31847000000000003,1396624.0,0,False,0.32055599999999795,0.32188857142857097,0.3325832000000009,7.23341126,0.11841532548709308,1,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2021-05-19 11:30:00+00:00,0.30549000000000004,5939557.0,0.3211500914738384,0.320519600000001,0,0.305649999999998,1,do_nothing,0.28040000000000004,go_short,0.30615000000000003,go_short,go_short,do_nothing,False,0.27797000000000005,0.31256488650827463,go_short,1,0.31115285714285656
1870,COTI/USDT:USDT,2024-02-26 17:45:00+00:00,second_buy,short-exit-profit,0.26205,0.27646000000000004,0.2525286296903887,0.24518019288381498,0.26179,0,0.27063000000000004,169389217.0,0,False,0.2581379999999938,0.25493285714286024,0.2455964000000021,6.24270026,0.10218114464103384,0,go_short,go_short,do_nothing,do_nothing,go_short,go_short,2024-02-27 04:45:00+00:00,0.24457,20716204.0,0.2562580321889329,0.25919880000000206,0,0.2468039999999938,1,do_nothing,0.24196,go_short,0.24539000000000002,go_short,go_short,do_nothing,False,0.24035,0.2513753522632452,go_short,1,0.24844142857143164
