,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),mean-grad-hist (exit),sma-25 (exit),open (exit),ema-26 (exit),low (exit),long-large-rl (exit),sma-05 (exit),long_jcrosk (exit),short-small-rl (exit),short_kdj (exit),short-large-rl (exit),volume (exit),long-bid-rl (exit),ema-12 (exit),short-bid-rl (exit),sma-07 (exit),long-small-rl (exit),high (exit),sma-compare (exit),close (exit)
275,NEO/USDT:USDT,2024-09-30 09:15:00+00:00,second_buy,force_exit,11.557,11.678,11.303455246930174,11.101012780308208,11.487,0,11.675,277579.89,0,False,11.41420000000043,11.395857142856313,10.98756000000028,9.70332101,0.15845338494990202,0,go_long,go_long,do_nothing,do_nothing,go_short,go_short,0,9.792320000000275,9.842,9.787914439433921,9.803,do_nothing,9.776400000000441,0,go_long,False,do_nothing,22050.85,go_short,9.853081639452858,go_short,9.773142857142016,go_long,9.85,0,9.806000000000001
210,QTUM/USDT:USDT,2024-07-04 23:45:00+00:00,first_buy,force_exit,2.187,2.2,2.2212776906469336,2.2370131768287984,2.145,1,2.164,303704.5,0,False,2.207199999999602,2.21957142857156,2.239719999999914,5.80098399,0.0946289230321875,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,1,2.387359999999904,2.403,2.387888528565297,2.388,go_long,2.389999999999593,0,go_short,False,go_long,17529.3,do_nothing,2.4120671180632627,do_nothing,2.387142857142981,go_short,2.403,0,2.388
18,MTL/USDT:USDT,2024-07-05 03:00:00+00:00,first_buy,force_exit,0.918,0.922,0.9301900842893325,0.9655974847437907,0.835,1,0.8615,2894524.0,0,False,0.9100799999999543,0.9151428571428994,0.979884000000013,4.80720423,0.0785135953205076,1,do_nothing,go_long,go_long,go_long,do_nothing,do_nothing,0,0.9499800000000126,0.9472,0.946892198657433,0.9437000000000001,go_long,0.9446199999999504,0,go_long,False,go_long,34288.0,do_nothing,0.9551769907036276,do_nothing,0.9447571428571863,do_nothing,0.9477000000000001,1,0.9446
69,EGLD/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,25.472,25.545,26.18227634923704,26.572093911786855,22.588,1,23.994,146083.4,0,False,25.781200000003235,26.06400000000179,26.84468000000154,2.11578158,0.03522192821342963,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,1,25.348080000001588,25.328,25.277537458628505,25.219,go_long,25.23180000000324,1,go_long,False,go_long,1949.5,do_nothing,25.483424620428533,do_nothing,25.233142857144664,go_long,25.328,1,25.219
246,MINA/USDT:USDT,2024-08-23 16:00:00+00:00,second_buy,force_exit,0.5018,0.5037,0.4944218364390485,0.4895560744974856,0.4974,0,0.4989,816540.0,0,False,0.49689999999997275,0.4960000000000103,0.4892079999999857,-1.44953686,-0.023839132120958697,0,go_long,do_nothing,go_long,go_long,go_short,go_short,0,0.5194679999999862,0.5156000000000001,0.5159290325743778,0.5122,go_long,0.5140599999999718,1,do_nothing,False,go_long,256081.0,go_short,0.5219599311335928,go_short,0.5143857142857259,go_long,0.5156000000000001,1,0.5128
105,COMP/USDT:USDT,2024-08-23 07:45:00+00:00,second_buy,force_exit,51.53,52.04,51.300291355541056,51.027887417862715,51.49,0,52.0,7928.659,0,False,51.60399999999989,51.48571428571123,50.82479999999836,11.24651571,0.18362650035041891,0,go_long,do_nothing,go_long,go_long,go_short,go_short,1,42.75839999999831,42.68,42.65481876969892,42.56,go_long,42.582,0,do_nothing,False,go_long,1007.358,go_short,43.05456841987115,go_short,42.57857142856822,go_long,42.68,0,42.57
179,ETH/USDT:USDT,2024-02-20 23:15:00+00:00,second_buy,force_exit,2997.4,3028.63,2990.144503384394,2972.047080011835,2996.77,0,3022.3,114504.564,0,False,2999.7499999999695,2997.642857142811,2961.862799999986,16.75650544,0.27749287326362987,0,go_long,go_long,go_long,go_long,go_short,go_short,0,2472.161199999989,2452.28,2455.314044659892,2446.85,go_long,2448.529999999975,0,go_long,False,go_long,12964.279,go_short,2474.3326505453347,go_short,2449.512857142796,go_long,2453.83,1,2446.85
122,ETC/USDT:USDT,2024-04-13 20:15:00+00:00,first_buy,force_exit,25.923000000000002,26.183,27.092507302800446,27.833980860084505,22.254,1,24.47,2053076.45,0,False,26.656799999998725,27.024857142857588,28.077839999999828,-17.35036368,-0.2833467759099375,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,1,18.407079999999887,18.457,18.380172643313067,18.382,go_long,18.390799999998542,0,go_long,False,go_long,30166.82,do_nothing,18.47744631863798,do_nothing,18.380285714286,go_long,18.457,0,18.395
191,MKR/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,2059.8,2073.4,2110.752141024032,2150.463313913096,1668.0,1,1909.4,8385.83,0,False,2075.520000000012,2102.9285714285475,2166.031999999996,-14.31568444,-0.23411116842821925,1,go_long,go_long,go_long,go_long,do_nothing,do_nothing,0,1494.923999999995,1488.7,1487.1816944387715,1483.9,go_long,1480.580000000004,0,go_long,False,go_long,210.793,do_nothing,1497.6321752914246,do_nothing,1482.985714285687,go_long,1489.8,1,1483.9
51,UNI/USDT:USDT,2024-09-27 11:30:00+00:00,second_buy,force_exit,7.457,7.481,7.422456104715581,7.40214675333973,7.444,0,7.45,85521.0,0,False,7.433400000000075,7.433857142857515,7.401079999999988,4.65281973,0.07813510279169252,0,go_long,go_long,go_long,go_long,go_short,go_short,1,6.9547199999999885,6.902,6.903418993519771,6.859,go_long,6.879600000000066,0,go_long,False,go_long,45915.0,go_short,6.97547184771825,go_short,6.882285714286094,go_long,6.902,1,6.8629999999999995
