,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-05 (exit),sma-25 (exit),sma-07 (exit),sma-compare (exit)
4205,IOTX/USDT:USDT,2024-10-01 18:45:00+00:00,first_buy,force_exit,0.04104599999999921,0.040942857142857156,0.04232799999999966,-0.60858795,-0.00991311665986699,0,0.04047799999999921,0.040754799999999654,0.04044428571428571,0
2561,1000SHIB/USDT:USDT,2024-10-01 16:45:00+00:00,first_buy,force_exit,0.01692819999999997,0.016909999999999956,0.0178351600000001,-1.07403511,-0.01749089247993787,0,0.016312999999999973,0.016299360000000106,0.016284142857142813,0
3097,LEVER/USDT:USDT,2024-10-01 18:45:00+00:00,first_buy,force_exit,0.00196254000000003,0.0019566714285714623,0.002060088000000014,-1.02604421,-0.016707852149830168,0,0.0019271800000000305,0.0019384720000000144,0.0019262857142857473,0
1424,STMX/USDT:USDT,2024-10-01 16:45:00+00:00,first_buy,force_exit,0.006052000000001175,0.006049999999999472,0.0063191999999999944,-1.56051826,-0.025411398307242105,0,0.005806000000001174,0.005845599999999995,0.005801428571428044,0
541,STMX/USDT:USDT,2022-01-24 21:15:00+00:00,first_buy,long-exit-profit,0.012684000000000422,0.012614285714285025,0.012245199999999814,5.86138911,0.09545405543204838,0,0.013890000000000426,0.013755199999999803,0.013831428571427898,0
3376,IOTX/USDT:USDT,2022-01-17 18:30:00+00:00,first_buy,long-exit-profit,0.10699199999999864,0.10696571428571312,0.10944999999999988,6.18770246,0.10076916105798112,0,0.11624599999999856,0.11458799999999979,0.1160614285714274,0
1406,STMX/USDT:USDT,2024-09-03 20:00:00+00:00,first_buy,long-exit-profit,0.005988000000001124,0.005987142857142311,0.006059999999999997,6.50417096,0.10591154501570148,0,0.006480000000001128,0.006454800000000002,0.006474285714285173,0
3373,IOTX/USDT:USDT,2022-01-14 12:30:00+00:00,first_buy,long-exit-profit,0.09836599999999893,0.09833428571428447,0.09997839999999983,6.09093676,0.0992867158172386,0,0.10725599999999887,0.10438319999999983,0.10679571428571306,0
2177,1000SHIB/USDT:USDT,2022-12-28 07:00:00+00:00,first_buy,long-exit-profit,0.007960200000000086,0.007951000000000161,0.00807196000000004,7.0190562,0.11430289149356386,0,0.0087566000000001,0.008591160000000037,0.008728714285714442,0
2178,1000SHIB/USDT:USDT,2023-01-09 01:15:00+00:00,first_buy,long-exit-profit,0.0087932000000001,0.008752571428571585,0.008606960000000037,6.54645052,0.10660288047838892,0,0.009688800000000098,0.009534600000000039,0.00963942857142872,0
1403,STMX/USDT:USDT,2024-09-02 02:30:00+00:00,first_buy,long-exit-profit,0.005792000000001121,0.005771428571428027,0.005930400000000002,6.23655923,0.1015582069956528,0,0.006292000000001123,0.0061995999999999996,0.006281428571428027,0
2179,1000SHIB/USDT:USDT,2023-01-13 10:45:00+00:00,first_buy,long-exit-profit,0.009696000000000097,0.009670857142857292,0.009542480000000039,6.60353858,0.10754114346445788,0,0.010333000000000089,0.009966120000000037,0.010300857142857287,0
3366,IOTX/USDT:USDT,2022-01-08 20:15:00+00:00,first_buy,long-exit-profit,0.09663599999999914,0.09655714285714175,0.10019799999999984,5.86953591,0.09559944459490954,0,0.10501199999999904,0.10431319999999981,0.10479571428571315,0
2822,LEVER/USDT:USDT,2024-02-16 16:30:00+00:00,first_buy,long-exit-profit,0.0016730600000000064,0.0016687285714285943,0.0017311280000000123,6.45631587,0.10513415811293148,0,0.0018369000000000018,0.0018096520000000127,0.001834471428571451,0
1202,STMX/USDT:USDT,2024-03-12 18:30:00+00:00,first_buy,long-exit-profit,0.011428000000001035,0.01138428571428503,0.01153239999999999,7.26694522,0.11835003023217068,0,0.012602000000001029,0.01225679999999999,0.012474285714285025,0
2182,1000SHIB/USDT:USDT,2023-01-16 16:30:00+00:00,first_buy,long-exit-profit,0.010359600000000097,0.010320571428571563,0.010387360000000045,7.55246137,0.12299547680627589,0,0.01090320000000009,0.010679160000000052,0.010796000000000123,0
1397,STMX/USDT:USDT,2024-08-30 10:00:00+00:00,first_buy,long-exit-profit,0.00586200000000112,0.005842857142856597,0.005648000000000006,6.05081738,0.09853352486655267,0,0.006338000000001123,0.006254800000000008,0.006312857142856599,0
1396,STMX/USDT:USDT,2024-08-27 23:45:00+00:00,first_buy,long-exit-profit,0.005334000000001123,0.005317142857142306,0.005544800000000009,5.91112151,0.09625943966027764,0,0.00585000000000112,0.005629600000000005,0.00581571428571374,0
579,STMX/USDT:USDT,2022-02-24 08:30:00+00:00,first_buy,long-exit-profit,0.011576000000000444,0.011557142857142202,0.01171959999999983,6.38811015,0.10402462045092438,0,0.012652000000000444,0.012320399999999834,0.012564285714285061,0
580,STMX/USDT:USDT,2022-02-24 20:00:00+00:00,first_buy,long-exit-profit,0.012758000000000444,0.012654285714285063,0.012363999999999833,5.88774278,0.09587854204901491,0,0.014198000000000441,0.013945599999999834,0.014117142857142204,0
3351,IOTX/USDT:USDT,2021-12-25 17:30:00+00:00,first_buy,long-exit-profit,0.13384999999999905,0.13403142857142733,0.13402759999999997,5.89512118,0.09610671273077304,0,0.14435399999999915,0.14153959999999993,0.14396714285714163,0
3349,IOTX/USDT:USDT,2021-12-23 09:15:00+00:00,first_buy,long-exit-profit,0.11838799999999883,0.11826857142857028,0.11907320000000002,6.99373249,0.1139375413685746,0,0.12715799999999888,0.12645720000000002,0.12660142857142737,0
