,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-07 (exit),sma-05 (exit),sma-25 (exit)
1129,STORJ/USDT:USDT,2024-09-28 02:30:00+00:00,second_buy,force_exit,0.44833999999999613,0.4482142857143285,0.4459160000000019,9.82978119,0.16120800583927747,0.3752285714286145,0.3755599999999954,0.3793440000000022
639,INJ/USDT:USDT,2024-09-27 16:30:00+00:00,first_buy,force_exit,23.355200000000238,23.32557142857143,23.096960000000134,-7.63313098,-0.1245545810919156,20.712000000000014,20.725800000000238,20.825000000000138
553,FTM/USDT:USDT,2024-09-20 04:45:00+00:00,second_buy,force_exit,0.6419199999999792,0.6419142857142889,0.634952000000012,-2.05897664,-0.033599401346195934,0.673542857142858,0.6736799999999784,0.6783040000000115
761,1000SHIB/USDT:USDT,2024-09-26 06:30:00+00:00,second_buy,force_exit,0.015815999999999934,0.015738857142857103,0.01541096000000011,-1.03175438,-0.016838522936139584,0.016284142857142813,0.016312999999999973,0.016299360000000106
805,OP/USDT:USDT,2024-09-27 16:45:00+00:00,second_buy,force_exit,1.889160000000017,1.8851714285714694,1.8554560000000035,8.26259894,0.13523827245814446,1.6604000000000396,1.6596000000000182,1.6642000000000037
75,STMX/USDT:USDT,2024-09-01 18:00:00+00:00,second_buy,force_exit,0.006038000000001122,0.0060499999999994525,0.006132000000000007,1.89364231,0.03090009919211176,0.005801428571428044,0.005806000000001174,0.005845599999999995
692,DYDX/USDT:USDT,2024-09-25 11:30:00+00:00,second_buy,force_exit,1.0274000000000185,1.0258571428572683,1.027119999999959,7.28133761,0.11889703820815366,0.9035714285715539,0.902400000000019,0.9151599999999591
1045,COMP/USDT:USDT,2024-09-24 13:45:00+00:00,first_buy,force_exit,50.27399999999998,50.32142857142543,50.44759999999832,-9.49664918,-0.15471254515128724,42.57857142856822,42.582,42.75839999999831
252,UNI/USDT:USDT,2024-09-28 02:30:00+00:00,first_buy,force_exit,7.761000000000078,7.747142857143227,7.640279999999987,-6.72997139,-0.12308907090419696,6.882285714286094,6.879600000000066,6.9547199999999885
430,AAVE/USDT:USDT,2024-09-23 00:45:00+00:00,first_buy,force_exit,160.80400000000319,160.53142857143263,158.4908000000003,-4.95361054,-0.10271834855059214,145.60285714286172,145.44800000000282,147.39560000000034
1201,ETC/USDT:USDT,2024-08-21 17:45:00+00:00,second_buy,force_exit,19.327399999998498,19.309857142857442,19.152759999999883,3.34194389,0.05464208816950257,18.380285714286,18.390799999998542,18.407079999999887
2142,ATOM/USDT:USDT,2021-03-18 16:00:00+00:00,first_buy,long-ml-exit,24.100399999999958,23.930428571428443,23.107639999999996,-11.59526553,-0.18914122314496165,20.196571428571264,20.10919999999995,20.109560000000023
1885,MKR/USDT:USDT,2021-05-26 06:30:00+00:00,first_buy,long-ml-exit,3881.6199999999953,3874.7714285714296,3869.2920000000067,-6.15668418,-0.10427637872528774,3552.928571428572,3552.4199999999946,3556.700000000008
314,AAVE/USDT:USDT,2021-07-07 08:30:00+00:00,first_buy,long-ml-exit,321.4859999999995,321.9428571428578,322.98680000000115,-5.89563193,-0.18428479936834133,260.2928571428573,260.5259999999994,262.2084000000011
1383,BAL/USDT:USDT,2021-07-05 19:15:00+00:00,first_buy,long-ml-exit,24.537799999999798,24.36071428571441,24.138880000000075,-14.29754968,-0.24043960106904516,18.298857142857294,18.28699999999982,18.325560000000106
993,COMP/USDT:USDT,2022-05-21 16:00:00+00:00,first_buy,long-ml-exit,67.6820000000002,67.54142857142746,66.85759999999856,-4.93770236,-0.08040493494540166,64.82428571428467,64.48600000000036,66.46199999999861
308,AAVE/USDT:USDT,2021-05-31 22:15:00+00:00,first_buy,long-ml-exit,368.8739999999988,366.83857142857147,362.76440000000184,-8.86060649,-0.2361601498123028,285.6114285714281,284.53599999999926,291.40320000000156
2035,AVAX/USDT:USDT,2021-03-20 01:00:00+00:00,first_buy,long-ml-exit,38.07236000000015,37.97194285714287,37.76532000000002,-10.04664381,-0.2600662616518029,29.736271428571435,29.75386000000009,29.602408000000022
284,AAVE/USDT:USDT,2021-02-04 17:15:00+00:00,first_buy,long-ml-exit,477.8667999999995,467.75428571428637,444.13016000000084,-4.2743403,-0.08635126854944854,486.9837142857147,489.68179999999955,476.9418000000003
990,COMP/USDT:USDT,2022-04-20 15:15:00+00:00,first_buy,long-ml-exit,145.90600000000055,145.7742857142848,146.81119999999856,-17.11761162,-0.27903275304236325,102.76999999999892,102.94200000000065,102.70159999999859
609,INJ/USDT:USDT,2023-12-24 16:30:00+00:00,first_buy,long-ml-exit,42.02860000000011,41.9805714285715,41.891320000000036,-5.93210923,-0.1003196561365268,39.422142857142944,39.446800000000096,37.541960000000024
2031,AVAX/USDT:USDT,2021-02-22 14:30:00+00:00,first_buy,long-ml-exit,30.33818000000005,30.91382857142855,32.66738000000001,-7.74025753,-0.13006857918295506,25.33111428571421,25.34256000000006,24.785260000000026
989,COMP/USDT:USDT,2022-03-31 03:00:00+00:00,first_buy,long-ml-exit,161.9800000000008,161.58714285714237,158.76079999999845,-12.1124228,-0.19774221145273535,131.00571428571342,130.4820000000005,134.0251999999985
2139,ATOM/USDT:USDT,2021-02-23 17:00:00+00:00,first_buy,long-ml-exit,21.15299999999999,20.784428571428556,18.572839999999964,-9.87804679,-0.16107630274530904,18.5647142857142,18.59479999999998,18.588159999999977
