,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),long-small-rl (exit),short_kdj (exit),long-large-rl (exit),high (exit),short-small-rl (exit),open (exit),sma-compare (exit),volume (exit),long-bid-rl (exit),close (exit),long_jcrosk (exit),sma-07 (exit),sma-05 (exit),short-large-rl (exit),low (exit),ema-26 (exit),sma-25 (exit),short-bid-rl (exit),ema-12 (exit)
1168,CAKE/USDT:USDT,2025-01-12 15:00:00+00:00,second_buy,force_exit,2.301,2.301,2.303023149097982,2.303433982057167,2.298,1,2.298,696.0,0,False,2.3054000000000934,2.3058571428573953,2.2990399999997684,-0.0775148,-0.007660571083681423,0,go_short,go_short,go_short,go_short,go_short,go_short,2025-01-12 16:15:00+00:00,1,go_short,False,go_short,2.326,go_short,2.326,0,6334.0,go_short,2.316,0,2.3117142857145376,2.3160000000000935,go_short,2.316,2.3107760102813115,2.3030799999997686,go_short,2.3075601781394934
147,ADA/USDT:USDT,2024-12-19 20:30:00+00:00,second_buy,force_exit,0.854,0.8729,0.887390728677425,0.910979719920509,0.8466,0,0.8664000000000001,101635.0,0,False,0.8708399999999898,0.8777428571428533,0.9164120000000218,-1.25912245,-0.1455407428213433,1,go_short,go_short,go_long,go_long,go_short,go_short,2025-01-12 16:00:00+00:00,1,go_short,False,go_long,0.9944000000000001,go_short,0.9923000000000001,0,7245.0,go_short,0.9929,1,0.9938428571428541,0.9945399999999861,go_long,0.991,0.9939462062681687,0.9911080000000222,go_short,0.994294051152676
197,AMP/USDT:USDT,2024-12-08 22:45:00+00:00,first_buy,force_exit,0.011881,0.011963,0.011865157219545973,0.011766404443162388,0.011881,0,0.011963,42.0,0,False,0.01190520000000006,0.011860571428571439,0.011888960000000002,-3.91440817,-0.32660967780236133,0,do_nothing,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0,do_nothing,False,go_long,0.006947,go_long,0.006947,1,0.0,go_long,0.006947,0,0.006937714285714288,0.0069284000000000515,go_long,0.006947,0.006935276035673545,0.0069401199999999915,go_long,0.006933983486276666
232,ARKM/USDT:USDT,2025-01-05 13:45:00+00:00,first_buy,force_exit,1.6497000000000002,1.6498,1.6361123123930446,1.634731407523081,1.6398000000000001,1,1.6398000000000001,1937.0,0,False,1.639200000000025,1.6369000000000125,1.6333839999999915,-1.6763358,-0.1705635479162734,0,go_short,go_short,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,go_short,False,go_long,1.3767,go_short,1.3706,0,1167.0,go_long,1.3644,0,1.3622714285714408,1.3639600000000318,go_long,1.3644,1.3608047710573485,1.3537359999999907,go_long,1.3573279779769112
368,ARPA/USDT:USDT,2024-12-08 23:15:00+00:00,first_buy,force_exit,0.07403000000000001,0.07409,0.07369048888418381,0.07323346978483684,0.07398,0,0.07406,76.0,0,False,0.0739339999999984,0.07375428571428655,0.07357959999999852,-3.68475912,-0.38208048762837377,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,go_short,False,go_long,0.0468,go_long,0.04669,0,600.0,go_long,0.04648,1,0.0465385714285723,0.046545999999998436,go_long,0.04648,0.046507397410195064,0.046365999999998506,go_long,0.04640466515086107
533,ASTR/USDT:USDT,2024-12-04 23:15:00+00:00,first_buy,force_exit,0.09261000000000001,0.09268000000000001,0.09277238198336035,0.0926028947482707,0.0918,1,0.09222000000000001,432.0,0,False,0.09280399999999989,0.09291571428571552,0.09254280000000038,-3.46953222,-0.34508479145430193,0,go_short,go_short,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,0,go_short,False,go_long,0.06117,go_short,0.061090000000000005,0,2606.0,go_long,0.06099,0,0.060662857142858406,0.06082600000000034,go_long,0.06094000000000001,0.06079191203546674,0.06075160000000036,go_long,0.06082711014767742
619,ATOM/USDT:USDT,2024-11-24 02:45:00+00:00,first_buy,force_exit,9.142,9.332,8.813055390645516,8.587464036679485,9.13,0,9.281,33240.0,0,False,8.98740000000033,8.938714285714473,8.487720000000113,-2.92130819,-0.3141769620195715,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,do_nothing,False,go_long,6.557,do_nothing,6.553,0,1600.0,go_long,6.51,1,6.513714285714445,6.525000000000316,go_long,6.51,6.520432239489998,6.5168800000000875,go_long,6.529577250757326
773,AUCTION/USDT:USDT,2024-12-15 19:30:00+00:00,first_buy,force_exit,20.995,20.995,20.989895735778326,20.943477580519456,20.988,0,20.988,865.0,0,False,20.912800000000004,20.88957142857143,21.113080000000135,-2.29046887,-0.2721303326804968,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,do_nothing,False,go_long,15.526,do_nothing,15.526,0,2326.0,go_long,15.419,1,15.415571428571445,15.420999999999916,go_long,15.419,15.39808785006756,15.33176000000009,go_long,15.365658579929287
863,BBL/USDT:USDT,2025-01-11 21:45:00+00:00,first_buy,force_exit,0.004203999999999999,0.004216999999999999,0.004099799088783841,0.004065386109337892,0.004174,1,0.004175,7521.0,1,False,0.0041504000000003385,0.004116285714286518,0.004047200000000032,-0.58683968,-0.057300553852277995,0,go_short,go_long,go_long,go_long,go_long,go_long,2025-01-12 16:15:00+00:00,1,go_short,False,go_long,0.003977,go_long,0.003965,0,3460.0,go_long,0.003947,0,0.003946714285715089,0.003949400000000338,go_long,0.003947,0.003950952890056669,0.003962560000000031,go_long,0.003964981911772786
99,ACH/USDT:USDT,2024-12-07 05:45:00+00:00,first_buy,force_exit,0.037007,0.037007,0.03715013327804097,0.03729167304735752,0.036953,1,0.036978,3114.0,0,False,0.03707659999999988,0.037143714285713836,0.03726876000000124,-3.97880048,-0.3917792391604867,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2025-01-12 16:00:00+00:00,0,do_nothing,False,go_long,0.02273,do_nothing,0.022652,0,6505.0,go_long,0.022706999999999998,0,0.022573142857142275,0.022595199999999805,go_long,0.022626999999999998,0.02257521584461011,0.022521080000001244,go_long,0.022575740025105047
