,pair,open_date,enter_reason,exit_reason,sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),sma-25 (exit),sma-07 (exit),sma-compare (exit),sma-05 (exit)
714,MTL/USDT:USDT,2024-09-27 08:30:00+00:00,first_buy,force_exit,1.1049399999999499,1.1053285714286152,1.0991040000000125,-9.20295932,-0.15083863356541408,0,0.9499800000000126,0.9447571428571863,1,0.9446199999999504
1791,1000SHIB/USDT:USDT,2024-09-27 14:30:00+00:00,first_buy,force_exit,0.020788199999999944,0.020614428571428534,0.019829120000000113,-14.72952145,-0.239913523747718,0,0.016299360000000106,0.016284142857142813,0,0.016312999999999973
2401,OP/USDT:USDT,2024-09-20 03:15:00+00:00,second_buy,force_exit,1.601960000000019,1.5999428571428977,1.6029800000000032,-1.93280721,-0.03156821376361819,0,1.6642000000000037,1.6604000000000396,1,1.6596000000000182
1274,LDO/USDT:USDT,2024-09-28 15:30:00+00:00,first_buy,force_exit,1.3368200000000288,1.3361714285714537,1.3336520000000045,-9.45679485,-0.1540020393067718,0,1.1515400000000031,1.13331428571431,0,1.133680000000028
1530,DYDX/USDT:USDT,2024-09-27 06:00:00+00:00,first_buy,force_exit,1.0906000000000182,1.0897142857144109,1.0737199999999587,-11.21079867,-0.18280165100167584,0,0.9151599999999591,0.9035714285715539,1,0.902400000000019
1107,UNI/USDT:USDT,2024-09-06 21:00:00+00:00,second_buy,force_exit,6.034600000000057,6.040857142857492,6.105199999999991,-9.32811898,-0.15783394922982483,1,6.9547199999999885,6.882285714286094,1,6.879600000000066
339,LINK/USDT:USDT,2024-10-01 15:15:00+00:00,first_buy,force_exit,11.670600000000324,11.735142857142502,12.027239999999914,-2.036504,-0.03321768925948882,1,11.073199999999908,11.008999999999643,0,11.012200000000325
1529,DYDX/USDT:USDT,2024-09-26 17:00:00+00:00,first_buy,long-exit-profit,1.0606000000000184,1.0550000000001254,1.043239999999959,1.54583989,0.025205581941724793,0,1.0619999999999585,1.0677142857144113,0,1.0712000000000184
1528,DYDX/USDT:USDT,2024-09-26 15:45:00+00:00,first_buy,long-exit-profit,1.0338000000000185,1.0361428571429825,1.0391599999999592,1.27864449,0.02084381136105274,1,1.041559999999959,1.0432857142858398,0,1.0504000000000187
1527,DYDX/USDT:USDT,2024-09-25 14:15:00+00:00,first_buy,long-exit-profit,1.0158000000000182,1.0174285714286968,1.0219199999999586,1.23100931,0.020077312006254965,1,1.0322799999999592,1.040857142857268,0,1.0424000000000184
1526,DYDX/USDT:USDT,2024-09-24 19:30:00+00:00,first_buy,long-exit-profit,1.0100000000000182,1.0065714285715532,0.989119999999959,1.25223881,0.020406965876771103,0,1.0274399999999593,1.035285714285839,0,1.034400000000018
1518,DYDX/USDT:USDT,2024-08-06 06:45:00+00:00,first_buy,long-exit-profit,0.991600000000018,0.990000000000126,0.9929599999999558,1.55878975,0.025416693474785697,0,0.9954399999999558,1.0045714285715555,0,1.0090000000000177
1525,DYDX/USDT:USDT,2024-09-24 10:30:00+00:00,first_buy,long-exit-profit,0.9740000000000185,0.9747142857144105,0.9677199999999593,1.37217948,0.02236762216333207,0,0.9804799999999588,0.9922857142858389,0,0.9926000000000184
1524,DYDX/USDT:USDT,2024-09-23 03:15:00+00:00,first_buy,long-exit-profit,0.9418000000000191,0.9417142857144111,0.9268399999999589,1.52923258,0.0249307641927167,0,0.9536399999999594,0.9672857142858391,0,0.9708000000000186
3199,DOT/USDT:USDT,2021-06-23 05:45:00+00:00,first_buy,long-exit-profit,16.110399999999863,16.09771428571449,15.744960000000026,1.46146716,0.0243487922865931,0,16.10576000000003,16.15914285714306,0,16.228799999999865
1522,DYDX/USDT:USDT,2024-08-23 18:15:00+00:00,first_buy,long-exit-profit,1.1576000000000186,1.154285714285842,1.1383999999999568,2.59746323,0.04230883201544329,0,1.169519999999957,1.1815714285715557,0,1.1850000000000187
1521,DYDX/USDT:USDT,2024-08-18 20:30:00+00:00,first_buy,long-exit-profit,1.1296000000000173,1.1288571428572711,1.1283999999999563,1.70730824,0.02782376953684714,0,1.1367599999999567,1.150428571428699,0,1.1542000000000185
1520,DYDX/USDT:USDT,2024-08-12 18:30:00+00:00,first_buy,long-exit-profit,1.0724000000000167,1.0720000000001284,1.064239999999956,1.28833818,0.021009237965810806,0,1.0769199999999566,1.0848571428572704,0,1.0864000000000167
1519,DYDX/USDT:USDT,2024-08-10 19:45:00+00:00,first_buy,long-exit-profit,1.0428000000000177,1.0434285714286997,1.043719999999956,1.39276669,0.02268729193465531,1,1.0511199999999556,1.0608571428572715,0,1.062000000000018
1517,DYDX/USDT:USDT,2024-08-05 14:45:00+00:00,first_buy,long-exit-profit,0.9214000000000182,0.901857142857269,0.897079999999956,1.79542139,0.029239703861905216,0,0.9352799999999563,0.9482857142858404,0,0.9500000000000182
1516,DYDX/USDT:USDT,2024-08-05 10:15:00+00:00,first_buy,long-exit-profit,0.9190000000000182,0.9215714285715547,0.943999999999956,1.4306188,0.023309656165223968,1,0.897039999999956,0.8805714285715548,0,0.8856000000000183
1502,DYDX/USDT:USDT,2024-04-19 11:00:00+00:00,first_buy,long-exit-profit,2.3206000000000184,2.3207142857144163,2.272599999999961,1.27523865,0.020825331846553347,0,2.299199999999961,2.3465714285715604,0,2.352600000000018
3203,DOT/USDT:USDT,2021-06-28 07:00:00+00:00,first_buy,long-exit-profit,14.88959999999986,14.868285714285916,14.873280000000044,1.5408784,0.025223281924659148,0,14.879040000000042,14.988857142857345,0,15.019399999999859
