,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),imit-enter-short (exit),mean-grad-hist (exit),short_kdj (exit),nlp-enter-long (exit),imit-exit-short (exit),high (exit),short-large-rl (exit),sma-05 (exit),sma-25 (exit),sma-compare (exit),long-large-rl (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-07 (exit),close (exit),ema-12 (exit),volume (exit),nlp-enter-short (exit),short-small-rl (exit),ema-26 (exit),nlp-exit-short (exit),open (exit),long_jcrosk (exit),low (exit)
328,TRB/USDT:USDT,2020-10-09 03:00:00+00:00,second_buy,trailing_stop_loss,18.854,18.939,18.386069888083266,17.935931511288,18.742,1,18.844,8402.1,0,False,18.862999999999907,18.794999999999884,17.80220000000012,-12.285437,-0.2040156131339706,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_short,go_short,go_short,go_short,go_short,go_short,0,False,go_short,go_short,22.194,do_nothing,21.806799999999917,20.822720000000107,0,do_nothing,go_short,go_long,go_short,21.42728571428561,22.149,21.04484895632127,5787.0,go_short,go_long,21.30761981829973,go_short,21.85,0,21.804
330,TRB/USDT:USDT,2020-10-16 09:15:00+00:00,second_buy,trailing_stop_loss,19.53,19.56,19.580745247830627,19.84240720923487,19.3,1,19.32,7297.0,0,False,19.57819999999993,19.56714285714281,19.75484000000007,-16.07921458,-0.26858597322184974,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_short,go_short,go_short,go_short,go_short,go_short,1,False,go_short,go_short,23.704,do_nothing,23.690399999999908,22.931040000000067,0,do_nothing,go_short,go_long,go_short,23.492428571428515,23.602,23.12789897498231,7620.3,go_short,go_long,23.334846629936216,go_short,23.685,0,23.59
540,ETC/USDT:USDT,2020-11-21 16:00:00+00:00,second_buy,trailing_stop_loss,6.413,6.522,6.323778657985926,6.233827757091376,6.412,0,6.501,356507.57,0,False,6.3963999999999634,6.364428571428502,6.200759999999977,-1.1701086,-0.01911154165516136,0,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,6.58,go_long,6.519599999999964,6.42723999999998,0,go_long,go_long,go_long,go_long,6.486857142857078,6.557,6.429688639633895,202224.94,go_short,go_long,6.4722996621346,go_short,6.475,0,6.45
543,ETC/USDT:USDT,2020-12-09 21:15:00+00:00,second_buy,trailing_stop_loss,6.154,6.179,6.134566110594885,6.106641319795358,6.138,0,6.168,30425.41,0,False,6.143799999999968,6.1345714285713635,6.115999999999983,-2.06257532,-0.03366454741349165,0,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,6.3629999999999995,go_long,6.299399999999974,6.13911999999998,0,go_long,go_long,go_long,go_long,6.27285714285709,6.352,6.16783335496552,171049.07,go_short,go_long,6.239096873878527,go_short,6.3629999999999995,0,6.313
544,ETC/USDT:USDT,2020-12-23 22:15:00+00:00,second_buy,trailing_stop_loss,5.253,5.273,5.315878127321167,5.3760868882836705,5.147,1,5.147,261144.92,1,False,5.236599999999986,5.2775714285713775,5.386999999999977,-11.5062756,-0.18788986489718473,1,go_short,go_short,go_long,go_long,go_long,go_long,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,6.046,go_long,5.944799999999982,5.76539999999998,0,go_long,go_long,go_long,go_long,5.897285714285665,6.01,5.803350743018083,438191.57,go_short,go_long,5.843898904592225,go_short,5.933,0,5.929
545,SXP/USDT:USDT,2020-07-22 22:15:00+00:00,second_buy,trailing_stop_loss,1.5904,1.6216,1.5798449821836638,1.5923911476733477,1.5901,0,1.6005,467034.6,0,False,1.5908,1.5817857142857152,1.5830320000000002,-7.2122034,-0.11792097556901536,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.776,do_nothing,1.6942199999999978,1.6411919999999993,0,do_nothing,go_long,go_long,go_long,1.682914285714288,1.7654,1.6524920870864588,1129985.9,go_short,go_long,1.677916089816821,go_short,1.7464,0,1.7265000000000001
548,SXP/USDT:USDT,2020-07-27 15:00:00+00:00,second_buy,trailing_stop_loss,1.4904,1.51,1.5307045467550433,1.581471413866539,1.4002,1,1.4114,2606680.3,1,False,1.4871199999999973,1.502085714285715,1.5934879999999996,-10.38832018,-0.16976180951323452,1,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.593,do_nothing,1.5605600000000002,1.5564800000000012,0,do_nothing,go_long,go_long,go_long,1.5655714285714315,1.5723,1.5591632813648766,994397.4,go_short,go_long,1.5635672584064984,go_short,1.5350000000000001,0,1.53
551,SXP/USDT:USDT,2020-08-03 22:15:00+00:00,second_buy,trailing_stop_loss,1.8613,1.88,1.8629018241034927,1.8524840028116267,1.8335,1,1.8654000000000002,735486.0,0,False,1.881620000000001,1.8725000000000034,1.8408720000000005,-1.59067801,-0.026016842069940097,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,1.9332,do_nothing,1.9092399999999983,1.9103440000000014,0,do_nothing,go_long,go_long,go_long,1.9044857142857177,1.9312,1.9070521430634109,245999.3,go_short,go_long,1.9113507136019023,go_short,1.9140000000000001,0,1.912
552,SXP/USDT:USDT,2020-08-09 12:00:00+00:00,second_buy,trailing_stop_loss,2.38,2.4682,2.3635816481922554,2.310493941966833,2.3714,0,2.4354,1781611.3,0,False,2.3858999999999986,2.3779571428571464,2.3158560000000006,-5.57878654,-0.0912683664310786,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,0,False,go_short,go_short,2.6116,do_nothing,2.475419999999999,2.5094200000000013,0,do_nothing,go_long,go_long,go_long,2.463000000000005,2.5735,2.5108076967170074,1167366.0,go_short,go_long,2.4904311302232482,go_short,2.445,0,2.444
555,SXP/USDT:USDT,2020-08-15 12:00:00+00:00,second_buy,trailing_stop_loss,3.5935,3.6055,3.614308296092499,3.634195447431715,3.5463,1,3.5605,185368.1,0,False,3.6181799999999975,3.6119000000000034,3.653300000000003,5.02225921,0.08203314584157093,0,go_short,go_short,go_long,go_long,do_nothing,do_nothing,go_long,go_long,go_short,go_short,go_short,go_short,1,False,go_short,go_short,3.3622,do_nothing,3.3763199999999935,3.3693040000000036,0,do_nothing,go_long,go_long,go_long,3.3733571428571456,3.3425000000000002,3.3757811117692857,221774.9,go_short,go_long,3.3650762276189936,go_short,3.348,0,3.3212
