,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),sma-07 (exit),mean-grad-hist (exit),long-small-rl (exit),sma-05 (exit),sma-25 (exit),long-bid-rl (exit),long-large-rl (exit),ema-12 (exit),short-large-rl (exit),low (exit),short-small-rl (exit),volume (exit),high (exit),short_kdj (exit),long_jcrosk (exit),sma-compare (exit),ema-26 (exit),close (exit),short-bid-rl (exit),open (exit)
292,ATOM/USDT:USDT,2024-09-28 00:15:00+00:00,first_buy,long-exit-profit,5.14,5.143,5.135306618733381,5.131888279983722,5.14,1,5.142,462.0,0,False,5.137600000000075,5.139857142857252,5.128959999999957,1.75380473,0.3415973244926257,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,6.761857142857274,0,do_nothing,6.796800000000067,6.651199999999972,do_nothing,go_long,6.672920418467119,go_long,6.824,do_nothing,21078.0,6.95,False,0,0,6.743242919309569,6.94,do_nothing,6.829
60,AAVE/USDT:USDT,2024-12-04 18:15:00+00:00,first_buy,long-exit-profit,265.19,269.8,259.8227269634191,256.5218391787888,265.11,0,269.71,64783.0,0,False,261.73600000000016,259.50714285714173,255.4128000000016,2.75106534,0.33968841051788135,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,356.7314285714271,0,do_nothing,356.9680000000003,353.9232000000013,go_short,go_long,349.6528492508351,go_long,357.06,do_nothing,117230.0,365.0,False,0,0,356.018656548866,363.84,go_short,357.26
255,ATOM/USDT:USDT,2024-07-06 08:15:00+00:00,first_buy,roi,5.781,5.781,5.767127254168338,5.752125274245655,5.768,1,5.768,429.0,1,False,5.790400000000071,5.780857142857262,5.744119999999924,0.059397,0.01029095774153006,0,do_nothing,do_nothing,go_long,go_long,do_nothing,do_nothing,5.847428571428693,1,do_nothing,5.85300000000007,5.801119999999924,do_nothing,go_long,5.8060221018874545,go_long,5.844,do_nothing,0.0,5.844,False,0,0,5.832501601173222,5.844,do_nothing,5.844
347,BEAMX/USDT:USDT,2024-03-18 16:30:00+00:00,second_buy,roi,0.033236999999999996,0.033427,0.0331792665987934,0.03366046809460343,0.033236999999999996,0,0.033398,63.0,0,False,0.03299439999999991,0.03289114285714296,0.03373316000000009,0.01290099,0.0019482686476229411,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03295285714285723,0,go_long,0.03296139999999992,0.03307988000000007,go_short,do_nothing,0.03302736497658,do_nothing,0.033035999999999996,do_nothing,0.0,0.033035999999999996,False,0,0,0.03299684140946571,0.033035999999999996,go_short,0.033035999999999996
346,BEAMX/USDT:USDT,2024-03-15 18:00:00+00:00,second_buy,roi,0.036628999999999995,0.036897,0.036473204672956436,0.03647171991275059,0.03649,0,0.036897,296.0,0,False,0.03654739999999988,0.03654614285714301,0.036271280000000086,0.71541059,0.09664849880111162,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03280471428571439,0,go_long,0.03282599999999992,0.03376904000000008,go_short,do_nothing,0.033681465542171704,do_nothing,0.032913,do_nothing,0.0,0.032913,False,0,0,0.03313949688948312,0.032913,go_short,0.032913
345,BEAMX/USDT:USDT,2024-03-13 06:00:00+00:00,second_buy,roi,0.039511,0.039511,0.039851866535505834,0.03995433840428307,0.039384999999999996,1,0.039384999999999996,785.0,1,False,0.03976619999999985,0.03976871428571442,0.04004064000000003,0.52360214,0.06641235000839664,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03643114285714301,0,go_long,0.03650699999999989,0.03623432000000009,go_short,do_nothing,0.03643769750577064,do_nothing,0.036511,do_nothing,0.0,0.036511,False,0,0,0.03639615097713034,0.036511,go_short,0.036511
344,BEAMX/USDT:USDT,2024-03-11 23:00:00+00:00,second_buy,roi,0.040014,0.040276,0.04032597459777715,0.04038513027003012,0.040006,1,0.040276,522.0,0,False,0.04031539999999985,0.04038157142857159,0.040287760000000006,0.13607513,0.016938338308463655,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.03983214285714299,0,go_long,0.03985959999999984,0.04006884000000003,go_short,do_nothing,0.03999988547662572,do_nothing,0.039917,do_nothing,0.0,0.039917,False,0,0,0.03993675136014326,0.039917,go_short,0.039917
343,BEAMX/USDT:USDT,2024-03-11 04:15:00+00:00,second_buy,roi,0.040165,0.040331,0.03991449755170822,0.04009996898933037,0.040073,0,0.040109,1208.0,0,False,0.04001379999999985,0.039898285714285844,0.03991672000000001,0.0072612,0.000906179836487778,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.04039942857142874,1,go_long,0.04037479999999985,0.040276240000000005,go_short,do_nothing,0.04039386069163253,do_nothing,0.040158,do_nothing,0.0,0.040158,False,0,0,0.040335060888282086,0.040158,go_short,0.040158
342,BEAMX/USDT:USDT,2024-03-09 12:15:00+00:00,second_buy,roi,0.042391,0.043264,0.0412097163336858,0.040438201460257,0.042391,0,0.042917,9848.0,1,False,0.04191619999999987,0.041505857142857254,0.040125600000000004,0.51239702,0.05980341043419653,0,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.0398314285714287,0,go_long,0.03993419999999985,0.03994464000000001,go_short,do_nothing,0.040099246508476794,do_nothing,0.039952999999999995,do_nothing,0.0,0.039952999999999995,False,0,0,0.039879133470200626,0.039952999999999995,go_short,0.039952999999999995
337,BEAMX/USDT:USDT,2024-01-26 08:30:00+00:00,second_buy,roi,0.016811,0.016812,0.016777654597101017,0.01681596312968185,0.016746,0,0.016770999999999998,892.0,0,False,0.016703799999999987,0.016720142857142923,0.016894519999999986,0.01917342,0.002294669131111025,1,go_long,do_nothing,do_nothing,do_nothing,go_short,go_short,0.01681800000000008,1,go_long,0.016826200000000013,0.016959919999999993,go_short,do_nothing,0.01695420807838944,do_nothing,0.016801,do_nothing,0.0,0.016801,False,0,0,0.016872259783927774,0.016801,go_short,0.016801
