,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),ema-26 (exit),sma-25 (exit),open (exit),long-large-rl (exit),short-bid-rl (exit),long-small-rl (exit),high (exit),long-bid-rl (exit),short-small-rl (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),short_kdj (exit),long_jcrosk (exit),low (exit),short-large-rl (exit),ema-12 (exit),sma-07 (exit),close (exit),sma-compare (exit)
184,ACH/USDT:USDT,2025-01-09 22:45:00+00:00,second_buy,force_exit,0.022740999999999997,0.022851,0.02255635088538473,0.0226506235048605,0.022740999999999997,0,0.022850000000000002,5047.0,0,False,0.02251879999999981,0.02254457142857085,0.022675400000001244,-0.03704067,-0.004498483034392646,1,go_short,go_short,go_short,go_short,go_long,go_long,0.02257521584461011,0.022521080000001244,0.022652,go_short,go_long,go_short,0.02273,go_long,go_short,6505.0,0.022595199999999805,0,False,0,0.022626999999999998,go_short,0.022575740025105047,0.022573142857142275,0.022706999999999998,0
1196,BAKE/USDT:USDT,2025-01-09 23:15:00+00:00,second_buy,force_exit,0.22940000000000002,0.22970000000000002,0.2279821916689333,0.22816615478013727,0.2286,0,0.2295,43477.0,0,False,0.228720000000038,0.22797142857144184,0.2280600000000013,-0.21088861,-0.025189693774725515,0,do_nothing,go_short,go_short,go_short,go_long,go_long,0.23469523049827148,0.2335920000000014,0.2359,go_short,go_long,do_nothing,0.23600000000000002,go_long,go_short,25393.0,0.23530000000003742,1,False,1,0.2354,go_short,0.23411929950677524,0.234957142857156,0.2354,0
1598,BEER/USDT:USDT,2024-11-13 22:45:00+00:00,second_buy,liquidation,2.1084e-05,2.2709000000000002e-05,1.632110381977776e-05,1.3886439670742057e-05,1.9894e-05,0,2.023e-05,1275544.0,0,False,1.8852199999999216e-05,1.7894571428571865e-05,1.2815560000000178e-05,-6.88999584,-0.812848884920957,0,go_short,go_short,go_short,go_short,go_long,go_long,2.1831006681999963e-05,1.7679760000000183e-05,2.4023e-05,go_short,go_long,go_short,2.7003000000000002e-05,go_long,go_short,1970488.0,2.2969599999999215e-05,0,False,0,2.2466e-05,go_short,1.8748774604551675e-05,2.3275714285714726e-05,2.5646e-05,0
1577,BEER/USDT:USDT,2024-06-13 06:15:00+00:00,second_buy,liquidation,0.00024249999999999999,0.0002459,0.00028139633093612426,0.0003085741941211479,0.00016539999999999998,1,0.00016639999999999998,933884.0,0,False,0.00026331999999999907,0.0002795428571428572,0.00031310800000000026,-5.40086352,-0.8156713623702156,1,go_short,go_short,go_short,go_short,go_long,go_long,0.0002592243083310613,0.00028304000000000024,0.00028869999999999997,go_short,go_long,go_short,0.0002919,go_long,go_short,245596.0,0.0002689399999999991,0,False,0,0.00026839999999999996,go_short,0.0002799397966120676,0.0002309428571428572,0.000281,0
1597,BEER/USDT:USDT,2024-11-13 20:30:00+00:00,second_buy,liquidation,9.79e-06,1.2877e-05,1.0540565625698259e-05,1.0399469563541345e-05,9.701e-06,0,1.2301000000000001e-05,2374268.0,0,False,1.0359399999999217e-05,1.0437571428571865e-05,1.0439720000000179e-05,-6.9926913,-0.8128400714159126,1,go_short,go_short,go_short,go_short,go_long,go_long,1.561039542337372e-05,1.242708000000018e-05,1.9542e-05,go_short,go_long,go_short,2.1190000000000002e-05,go_long,go_short,1105087.0,1.8000199999999215e-05,0,False,0,1.9294000000000002e-05,go_short,1.337895484440142e-05,1.7002857142857577e-05,2.1085000000000002e-05,0
1585,BEER/USDT:USDT,2024-08-23 19:15:00+00:00,second_buy,liquidation,1.305e-05,1.328e-05,1.2741835158391764e-05,1.2509064043373135e-05,1.2990000000000001e-05,0,1.324e-05,384289.0,0,False,1.2975999999999169e-05,1.2870000000000371e-05,1.2419600000000177e-05,-6.9830579,-0.8128435313620499,0,go_short,go_short,go_short,go_short,go_long,go_long,2.0343954636627406e-05,2.0029600000000168e-05,2.0399999999999998e-05,go_short,go_long,go_short,2.206e-05,go_long,go_short,2187342.0,2.047799999999917e-05,0,False,0,2.021e-05,go_short,1.9745537579690918e-05,2.0380000000000374e-05,2.158e-05,0
223,AR/USDT:USDT,2021-05-13 23:45:00+00:00,second_buy,liquidation,22.833,22.833,23.00268335681558,23.762107681848963,22.81,0,22.81,13.0,0,False,22.861200000000043,22.864857142857193,23.436600000000016,-8.5195336,-0.935053469328282,1,go_short,go_short,go_short,go_short,go_long,go_long,40.99380497455787,38.431480000000036,41.082,go_short,go_long,go_short,43.0,go_long,go_short,900.0,41.64900000000006,0,False,0,41.082,go_short,38.06221519172236,41.57628571428576,43.0,0
1062,BAKE/USDT:USDT,2022-08-29 00:00:00+00:00,second_buy,roi,0.23870000000000002,0.2416,0.2477264004653005,0.24881378415929364,0.23870000000000002,1,0.2416,39065.0,0,False,0.24672000000003763,0.24714285714287318,0.24945599999999998,0.23731968,0.026026026026026022,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.2509789020040669,0.2530239999999997,0.2495,go_short,go_long,do_nothing,0.2495,go_long,go_short,0.0,0.2503000000000385,1,False,0,0.2495,go_short,0.25209488549454995,0.25064285714287343,0.2495,1
1040,BAKE/USDT:USDT,2022-04-27 00:45:00+00:00,second_buy,roi,0.679,0.679,0.6770858623989947,0.6842495248925687,0.674,0,0.674,16430.0,0,False,0.672400000000026,0.6725714285714429,0.6828800000000013,0.231686,0.026026026026026022,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.6608637030699615,0.6699200000000011,0.652,go_short,go_long,do_nothing,0.652,go_long,go_short,0.0,0.6552000000000261,1,False,1,0.652,go_short,0.6684905694074053,0.6572857142857282,0.652,1
1039,BAKE/USDT:USDT,2022-04-26 19:15:00+00:00,second_buy,roi,0.6990000000000001,0.6990000000000001,0.699294636687418,0.7082776890423005,0.6990000000000001,0,0.6990000000000001,11090.0,0,False,0.696000000000026,0.6970000000000143,0.7059600000000014,0.2322944,0.026026026026026022,1,do_nothing,go_short,go_short,go_short,go_long,go_long,0.6776469282897211,0.6838000000000012,0.674,go_short,go_long,do_nothing,0.674,go_long,go_short,0.0,0.6708000000000259,0,False,0,0.674,go_short,0.6850694868839742,0.6740000000000144,0.674,1
