,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,long-large-rl (exit),short-bid-rl (exit),volume (exit),open (exit),low (exit),short-large-rl (exit),sma-compare (exit),short-small-rl (exit),mean-grad-hist (exit),long-small-rl (exit),ema-12 (exit),sma-05 (exit),long-bid-rl (exit),high (exit),long_jcrosk (exit),ema-26 (exit),sma-07 (exit),close (exit),sma-25 (exit),short_kdj (exit)
65,ALGO/USDT:USDT,2022-05-28 17:30:00+00:00,second_buy,force_exit,0.3682,0.3684,0.3666399589897651,0.3656172483631906,0.36310000000000003,1,0.3649,3754837.1,0,False,0.3679599999999881,0.36742857142857005,0.36550000000001637,-1.00346634,-0.01637478348322079,0,go_long,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,24383003.0,0.4234,0.4166,go_long,0,do_nothing,0,go_long,0.39836445055204983,0.4138799999999844,go_short,0.42350000000000004,0,0.4089119278216176,0.41200000000000186,0.418,0.3998880000000199,False
83,BCH/USDT:USDT,2024-03-29 10:00:00+00:00,second_buy,force_exit,588.1,597.26,583.6891047545319,580.3307186564396,587.1,0,594.43,59857.502,0,False,587.4960000000061,583.6571428571315,579.8568000000017,5.76970235,0.09432368373538293,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2024-11-29 20:15:00+00:00,go_long,go_short,3117.811,516.37,515.46,go_long,0,do_nothing,0,do_nothing,514.2910803147898,515.0620000000021,go_short,519.24,0,515.3092827843346,515.1714285714128,519.2,515.1280000000011,False
58,ALGO/USDT:USDT,2021-02-12 16:15:00+00:00,second_buy,roi,1.5737999999999999,1.7735,1.5248009634667834,1.459640260496433,1.5729000000000002,0,1.7568000000000001,9526907.4,0,False,1.564619999999994,1.5273714285714293,1.452976000000003,26.39834413,0.4310108168578474,0,go_long,do_nothing,go_long,go_long,go_short,go_short,2021-03-02 01:30:00+00:00,go_long,go_short,0.0,1.0706,1.0706,go_long,0,do_nothing,1,go_long,1.0785435091414006,1.08279999999999,go_short,1.0706,0,1.0810718661820027,1.087171428571428,1.0706,1.0755200000000074,False
26,1000SHIB/USDT:USDT,2022-05-01 23:00:00+00:00,second_buy,roi,0.021148,0.021342999999999997,0.02119933746248298,0.021216335799506318,0.021100999999999998,0,0.02125,90083484.0,0,False,0.021209999999999903,0.021200142857143132,0.021297959999999984,29.84600578,0.48710725332999777,0,go_short,do_nothing,go_long,go_long,go_short,go_short,2022-05-28 17:00:00+00:00,go_long,go_short,0.0,0.010761,0.010761,go_long,0,do_nothing,0,go_short,0.010700075184699448,0.01074259999999989,go_short,0.010761,0,0.01072665246116297,0.01073742857142881,0.010761,0.010708559999999995,False
88,SOL/USDT:USDT,2021-03-02 02:15:00+00:00,first_buy,roi,15.0507,15.0507,14.998694468765361,14.967226779966282,14.6643,1,14.7693,121209.0,0,False,14.995939999999985,15.034928571428548,14.920008000000003,219.08293027,3.7067207191066536,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-01 22:45:00+00:00,go_long,go_long,0.0,88.66,88.66,go_long,0,do_nothing,1,do_nothing,88.76785536168691,88.89399999999766,go_long,88.66,1,88.71156155631,88.79142857142884,88.66,88.95760000000014,False
62,ALGO/USDT:USDT,2021-09-09 14:45:00+00:00,second_buy,roi,2.2598000000000003,2.2974,2.144457580875535,2.083646894316159,2.2416,0,2.2934,15195560.6,0,False,2.235119999999995,2.1912428571428646,2.053676000000007,49.48490317,0.8086576507311486,0,go_long,do_nothing,go_long,go_long,go_short,go_short,2022-05-01 22:45:00+00:00,go_long,go_short,0.0,0.5942000000000001,0.5942000000000001,go_long,0,do_nothing,1,go_long,0.5926337759094906,0.5943799999999886,go_short,0.5942000000000001,0,0.5933518117728092,0.5937714285714287,0.5942000000000001,0.5941160000000162,False
44,TRB/USDT:USDT,2022-05-12 07:30:00+00:00,first_buy,roi,6.99,8.17,8.22053829367166,8.71935009415474,6.67,0,8.08,172315.9,0,False,8.019999999999943,8.091428571428441,8.830800000000322,7.9584653,0.1311966136174057,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-05-28 17:00:00+00:00,go_long,go_long,0.0,8.94,8.94,go_long,0,do_nothing,0,do_nothing,8.903582081562273,8.933999999999951,go_long,8.94,0,8.925838784224277,8.935714285714159,8.94,8.916000000000336,False
87,SOL/USDT:USDT,2020-11-04 16:15:00+00:00,first_buy,roi,1.2974,1.3497,1.321769614831797,1.3367477203051144,1.2737,0,1.3281,623915.0,0,False,1.3103400000000014,1.3087285714285666,1.3451079999999942,601.58809381,9.832132075741708,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2021-03-02 01:30:00+00:00,go_long,go_long,0.0,15.0526,15.0526,go_long,0,do_nothing,1,do_nothing,14.971489619844887,15.122859999999985,go_long,15.0526,0,15.035563897729151,15.094214285714262,15.0526,14.901200000000003,False
64,ALGO/USDT:USDT,2022-05-07 17:45:00+00:00,second_buy,roi,0.7512000000000001,0.7671,0.7404160469502346,0.7314180767504883,0.7495,0,0.7618,46780656.9,0,False,0.744759999999989,0.7422857142857133,0.7332360000000167,31.55949472,0.5150076752222136,0,go_long,do_nothing,go_long,go_long,go_short,go_short,2022-05-28 17:00:00+00:00,go_long,go_short,0.0,0.3682,0.3682,go_long,0,do_nothing,1,go_long,0.3654725984908255,0.36777999999998806,go_short,0.3682,0,0.36673019065512646,0.36775714285714145,0.3682,0.36526800000001636,False
76,BCH/USDT:USDT,2021-05-05 20:15:00+00:00,second_buy,roi,1351.98,1371.85,1317.9134966198762,1283.0110232323866,1331.59,0,1366.36,34613.21,0,False,1334.6879999999996,1330.2057142857159,1284.3127999999997,50.92375427,0.8476247590388125,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-01 22:45:00+00:00,go_long,go_short,0.0,281.51,281.51,go_long,0,do_nothing,1,do_nothing,281.7394626482595,281.7380000000032,go_short,281.51,0,281.7866656288162,281.7071428571333,281.51,282.8980000000011,False
