,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),close_date,ema-12 (exit),high (exit),volume (exit),sma-05 (exit),mean-grad-hist (exit),close (exit),sma-25 (exit),short-small-rl (exit),ema-26 (exit),sma-compare (exit),low (exit),short_kdj (exit),long-small-rl (exit),open (exit),long_jcrosk (exit),sma-07 (exit)
1474,BNB/USDT:USDT,2024-11-10 12:00:00+00:00,first_buy,force_exit,640.6,645.0,636.446257161367,634.1036205899206,639.85,0,642.2,1241640.0,0,False,637.6000000000058,636.6428571428514,633.7380000000015,0.69257968,0.05672141270763996,0,go_long,go_long,2025-01-12 16:15:00+00:00,692.8842471039069,695.05,16788.0,693.9900000000068,1,694.05,692.1500000000024,go_long,693.2692679855601,0,693.8,False,go_long,694.8,1,693.4714285714228
1538,BSV/USDT:USDT,2025-01-08 17:30:00+00:00,first_buy,force_exit,51.41,51.7,52.12526658522038,52.29288236559069,50.74,1,50.78,223068.0,0,False,52.01400000000022,52.25428571428446,52.28479999999738,1.6797209,0.12724785072971193,1,go_long,go_long,2025-01-12 16:15:00+00:00,56.820094559040264,57.52,33132.0,56.86200000000017,0,57.4,56.7195999999974,go_long,56.91601583994368,0,56.77,False,go_long,56.9,0,56.80428571428448
119,AAVE/USDT:USDT,2024-12-12 04:15:00+00:00,second_buy,force_exit,344.97,352.97,325.98604220694983,314.4195810090005,341.0,0,343.39,275926.0,1,False,336.7819999999976,332.59714285714165,311.101199999998,2.11281555,0.1538355019261333,0,go_short,go_short,2025-01-12 16:00:00+00:00,291.28759828010607,293.15,6806.0,292.591999999997,1,293.02,290.8523999999985,go_short,292.26998095389496,0,291.57,False,go_short,291.93,0,292.5642857142853
1549,BTC/USDT:USDT,2024-11-11 20:00:00+00:00,first_buy,force_exit,86284.8,86464.0,85305.3882272958,84366.87652628728,86001.6,0,86110.3,2904638.0,0,False,86010.36000000028,85702.5428571434,84153.61999999982,0.71166322,0.08256297652339706,0,go_long,go_long,2025-01-12 16:15:00+00:00,94607.04341345772,95090.0,688395.0,94941.94000000044,1,94792.7,94491.34799999988,go_long,94787.46074320821,0,94788.1,False,go_long,95026.3,0,94898.01428571479
1629,CAKE/USDT:USDT,2025-01-08 07:00:00+00:00,first_buy,force_exit,2.4050000000000002,2.4050000000000002,2.4299169853956837,2.459162285289473,2.372,1,2.372,152251.0,0,False,2.413200000000092,2.4241428571431065,2.465519999999768,-0.35679056,-0.026844770581590488,1,go_long,do_nothing,2025-01-12 16:15:00+00:00,2.3075601781394934,2.326,6334.0,2.3160000000000935,1,2.316,2.3030799999997686,do_nothing,2.3107760102813115,0,2.316,False,go_long,2.326,0,2.3117142857145376
1407,BLAST/USDT:USDT,2025-01-08 02:00:00+00:00,first_buy,force_exit,0.00888,0.00888,0.00896022227966063,0.009033802078248632,0.008824,1,0.008870000000000001,791.0,0,False,0.008924200000000094,0.008943999999999916,0.008998120000000049,-0.05172967,-0.003881914892619118,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.008860871712221382,0.008867,0.0,0.008871800000000086,1,0.008867,0.00883272000000005,go_long,0.008859884634228442,0,0.008867,False,go_long,0.008867,0,0.008867571428571332
77,1INCH/USDT:USDT,2025-01-08 04:45:00+00:00,first_buy,force_exit,0.386,0.3866,0.38865046062232084,0.39144963750813166,0.3835,1,0.3839,7194.0,0,False,0.3867400000000088,0.38731428571423837,0.3912120000000276,-0.04653512,-0.003557930490014798,1,go_long,go_long,2025-01-12 16:00:00+00:00,0.383030644300275,0.38380000000000003,16.0,0.3825000000000081,0,0.38370000000000004,0.3822640000000269,go_long,0.38275739749287174,0,0.3831,False,go_long,0.3831,0,0.3824428571428102
1181,BCH/USDT:USDT,2024-12-04 00:30:00+00:00,first_buy,force_exit,593.56,602.25,570.0153554823193,556.8047556367269,584.97,1,585.97,203853.0,0,False,585.8300000000008,578.6842857143048,550.7012000000021,-2.74872067,-0.23452630504968103,0,go_long,go_long,2025-01-12 16:15:00+00:00,449.0094833788522,456.88,67491.0,452.3400000000007,0,456.88,448.3504000000019,go_long,451.69572493971845,0,451.01,False,go_long,451.07,0,452.1342857143077
1100,BAL/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,2.558,2.564,2.6001587256120566,2.614395039703674,2.537,1,2.564,14284.0,1,False,2.595999999999974,2.5980000000000523,2.6070000000002107,-0.44354596,-0.03315645444050113,1,go_long,go_long,2025-01-12 16:15:00+00:00,2.4822989784736924,2.493,443.0,2.4925999999999755,1,2.493,2.4781200000002075,go_long,2.486472903493029,0,2.493,False,go_long,2.493,1,2.488714285714336
574,ARPA/USDT:USDT,2025-01-08 03:15:00+00:00,first_buy,force_exit,0.047360000000000006,0.047360000000000006,0.047633388563615583,0.04798319420337124,0.04666000000000001,1,0.04698,4181.0,0,False,0.04753599999999841,0.047568571428572286,0.047843999999998506,-0.20255928,-0.015366857255013753,1,go_long,go_long,2025-01-12 16:15:00+00:00,0.04640466515086107,0.0468,600.0,0.046545999999998436,1,0.04648,0.046365999999998506,go_long,0.046507397410195064,0,0.04648,False,go_long,0.04669,1,0.0465385714285723
