,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),high (exit),long-large-rl (exit),long_jcrosk (exit),sma-07 (exit),short-large-rl (exit),volume (exit),long-small-rl (exit),sma-05 (exit),mean-grad-hist (exit),low (exit),sma-compare (exit),sma-25 (exit),close (exit),ema-12 (exit),ema-26 (exit),open (exit),short_kdj (exit),short-small-rl (exit)
572,IOTA/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,0.12140000000000001,0.12190000000000001,0.12497776702781488,0.127335581220359,0.1057,1,0.1145,34767922.0,0,False,0.12275999999999036,0.12417142857140503,0.12875600000000442,3.210385,0.05228067414657505,1,go_long,go_long,go_long,go_long,0.1228,go_long,0,0.12202857142854738,go_long,897156.0,go_long,0.12215999999999091,0,0.1223,0,0.12178400000000453,0.12250000000000001,0.12267408606475844,0.12200694046339604,0.12250000000000001,False,go_long
308,MKR/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,2059.8,2073.4,2110.752141024032,2150.463313913096,1668.0,1,1909.4,8385.83,0,False,2075.520000000012,2102.9285714285475,2166.031999999996,-14.31568444,-0.23411116842821925,1,go_long,go_long,go_long,go_long,1489.8,go_long,0,1482.985714285687,go_long,210.793,go_long,1480.580000000004,0,1483.9,1,1494.923999999995,1483.9,1497.6321752914246,1487.1816944387715,1488.7,False,go_long
215,EOS/USDT:USDT,2024-06-17 16:30:00+00:00,first_buy,force_exit,0.619,0.62,0.6203486340153538,0.623607586191451,0.595,1,0.614,14101780.1,0,False,0.6184000000000378,0.6198571428571263,0.6221599999999892,-14.89313442,-0.24271217233011688,1,go_long,go_long,go_long,go_long,0.47600000000000003,go_long,0,0.47414285714284266,go_long,1040952.7,go_long,0.4740000000000344,0,0.47300000000000003,1,0.4778399999999893,0.47400000000000003,0.4794806276923744,0.4755111781841403,0.47500000000000003,False,go_long
143,EGLD/USDT:USDT,2024-08-05 01:15:00+00:00,first_buy,force_exit,25.472,25.545,26.18227634923704,26.572093911786855,22.588,1,23.994,146083.4,0,False,25.781200000003235,26.06400000000179,26.84468000000154,2.11578158,0.03522192821342963,1,go_long,go_long,go_long,go_long,25.328,go_long,1,25.233142857144664,go_long,1949.5,go_long,25.23180000000324,1,25.219,1,25.348080000001588,25.219,25.483424620428533,25.277537458628505,25.328,False,go_long
280,XRP/USDT:USDT,2024-07-17 07:15:00+00:00,second_buy,force_exit,0.6107,0.615,0.6043052920219991,0.596998756505443,0.6084,1,0.6139,37845617.3,0,False,0.6085799999999846,0.6067571428571608,0.5946559999999952,2.28714386,0.03732451169888607,0,go_short,go_long,do_nothing,do_nothing,0.5986,do_nothing,0,0.5958428571428749,do_nothing,4953211.3,go_short,0.5965799999999875,0,0.5964,0,0.6020119999999958,0.5966,0.6016588995430545,0.598122235395875,0.5985,False,go_long
536,ATOM/USDT:USDT,2024-09-06 17:45:00+00:00,first_buy,force_exit,3.846,3.848,3.8525174673791205,3.8664342433188805,3.7800000000000002,1,3.825,791844.96,0,False,3.838599999999746,3.842999999999574,3.8802800000004747,9.50016143,0.15478609566606338,1,go_long,go_short,go_short,go_short,4.455,go_short,0,4.430428571428135,go_short,70627.96,go_long,4.435799999999752,1,4.436,0,4.440320000000474,4.437,4.465839091790837,4.43895846938707,4.455,False,go_short
232,LTC/USDT:USDT,2024-07-05 03:15:00+00:00,second_buy,force_exit,58.52,59.79,61.664449389563764,63.593125695846176,56.42,1,58.16,663986.539,0,False,60.545999999997676,61.09142857143198,64.22480000000185,-4.76270974,-0.07777206269326417,1,go_short,go_short,do_nothing,do_nothing,63.46,do_nothing,0,63.25571428571727,do_nothing,7561.502,go_short,63.295999999998074,0,63.34,0,63.44360000000177,63.36,63.69200232944438,63.310424793735464,63.46,False,go_short
466,CTSI/USDT:USDT,2024-08-23 17:45:00+00:00,first_buy,force_exit,0.1459,0.1464,0.14319926224099538,0.14225030673755854,0.1454,0,0.1461,928398.0,1,False,0.1439599999999983,0.14335714285713794,0.1419680000000031,-10.00151293,-0.16321774912386178,0,go_long,go_long,go_short,go_short,0.12350000000000001,go_short,0,0.12244285714285229,go_short,328815.0,go_long,0.12263999999999853,0,0.12290000000000001,0,0.12244000000000264,0.1233,0.12354025174023205,0.12245452569789517,0.1231,False,go_long
125,BAKE/USDT:USDT,2024-08-11 02:00:00+00:00,first_buy,force_exit,0.32680000000000003,0.34700000000000003,0.3172593421796221,0.31417324034666017,0.3206,1,0.322,15287428.0,1,False,0.32111999999998636,0.31942857142859077,0.31276400000000665,-17.55505147,-0.28656536799692733,0,go_long,go_long,go_short,go_short,0.2338,go_short,0,0.23290000000002017,go_short,209033.0,go_long,0.23269999999998564,1,0.2326,1,0.23424800000000678,0.2326,0.2359354423702712,0.23352370106823356,0.23370000000000002,False,go_long
54,STMX/USDT:USDT,2024-09-21 01:15:00+00:00,second_buy,force_exit,0.00674,0.007070000000000001,0.00662027116845227,0.006521233349006515,0.006730000000000001,0,0.00693,376600837.0,0,False,0.006708000000001128,0.006655714285713753,0.006475599999999995,9.56035383,0.1559996569244146,0,go_short,go_long,do_nothing,do_nothing,0.00587,do_nothing,0,0.005801428571428044,do_nothing,27020363.0,go_short,0.005806000000001174,0,0.00583,0,0.005845599999999995,0.005840000000000001,0.005881142028516887,0.005826286888335768,0.005840000000000001,False,go_long
