,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),short_kdj (exit),long-large-rl (exit),open (exit),ema-26 (exit),short-large-rl (exit),long_jcrosk (exit),sma-07 (exit),sma-25 (exit),short-small-rl (exit),close (exit),mean-grad-hist (exit),sma-05 (exit),long-bid-rl (exit),long-small-rl (exit),short-bid-rl (exit),sma-compare (exit),low (exit),volume (exit),ema-12 (exit),high (exit)
43,AAVE/USDT:USDT,2021-05-20 01:15:00+00:00,second_buy,short-exit-profit,369.494,391.331,410.35621744558745,434.4755767082462,366.0,0,376.944,25750.0,0,False,390.96539999999675,399.2610000000016,438.08191999999735,3.06921196,0.404531098643293,1,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,238.121,252.15049868110015,go_long,0,249.72742857142995,266.6833599999972,go_long,225.087,1,245.40399999999636,go_short,go_long,go_short,1,223.231,33063.0,265.37885450478495,238.121
48,AAVE/USDT:USDT,2021-06-14 13:45:00+00:00,second_buy,short-exit-profit,322.991,329.621,318.41126409725496,315.86474709318884,322.991,0,329.354,11004.0,0,False,320.9895999999966,318.5765714285732,314.69871999999674,2.58572684,0.3936768645896943,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,200.91,205.98781425276528,go_long,0,205.02242857142977,211.01603999999665,go_long,197.947,1,202.5679999999976,go_short,go_long,go_short,1,197.533,25237.0,209.44313799506727,201.257
322,ALGO/USDT:USDT,2024-03-27 01:30:00+00:00,second_buy,short-exit-profit,0.2866,0.2907,0.2832709465267225,0.2812538951441988,0.2866,0,0.2901,14195.0,0,False,0.28527999999999165,0.2835142857142878,0.2801439999999955,2.27768577,0.3937764655847557,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.17930000000000001,0.1841839675878703,go_long,0,0.18292857142857333,0.18793199999999552,do_nothing,0.1777,1,0.18153999999999143,go_short,go_long,go_short,1,0.1764,58393.0,0.1865600865733519,0.181
307,ALGO/USDT:USDT,2023-05-08 02:00:00+00:00,second_buy,short-exit-profit,0.1647,0.167,0.17117992538969598,0.1726055072581566,0.162,1,0.16640000000000002,71036.0,0,False,0.16979999999999185,0.17090000000000422,0.17330399999999466,3.58250794,0.4307620461302143,1,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.11610000000000001,0.11509629747169832,go_long,0,0.114271428571433,0.1201919999999948,do_nothing,0.096,1,0.11253999999999276,go_short,go_long,go_short,1,0.08990000000000001,166385.0,0.11860878105914444,0.11610000000000001
306,ALGO/USDT:USDT,2023-02-16 02:30:00+00:00,second_buy,short-exit-profit,0.275,0.2761,0.2735245835052604,0.2716440985180196,0.2746,0,0.2761,2665.0,0,False,0.27431999999998913,0.2739857142857177,0.272379999999994,3.319785,0.4016325970640691,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.1716,0.17204900273327706,go_long,0,0.17195714285714706,0.17359999999999462,do_nothing,0.1647,1,0.17125999999999184,go_short,go_long,go_short,1,0.1646,35669.0,0.1731019478388091,0.17250000000000001
125,BNB/USDT:USDT,2020-02-10 08:15:00+00:00,second_buy,short-exit-profit,25.032,25.5,24.725321669261845,24.457354226343018,24.954,0,25.385,5709.0,0,False,25.04900000000011,24.99342857142854,24.30724000000004,3.87477801,0.39565040490346626,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,15.557,15.706247218004668,go_long,1,15.582285714285744,16.070799999999963,go_long,15.286,1,15.534000000000074,go_short,go_long,go_short,1,15.286,3451.0,15.91595681041531,15.557
301,ALGO/USDT:USDT,2022-11-15 15:45:00+00:00,second_buy,short-exit-profit,0.28,0.2862,0.274425342156186,0.2712557770383907,0.279,0,0.2853,4757.0,0,False,0.2765199999999911,0.2751000000000035,0.27050799999999425,3.406242,0.39697888597644104,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.1739,0.17604476503672833,go_long,0,0.1760714285714323,0.17680799999999436,do_nothing,0.1724,1,0.17543999999999002,go_short,go_long,go_short,1,0.1681,38217.0,0.17747398247530907,0.1739
299,ALGO/USDT:USDT,2022-11-04 19:30:00+00:00,second_buy,short-exit-profit,0.4022,0.41150000000000003,0.39900696338781344,0.3952143496695412,0.4021,0,0.4113,12516.0,0,False,0.40135999999999117,0.39992857142857535,0.39467199999999486,3.236802,0.3939739837113378,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.2576,0.25848437441199384,go_long,0,0.25854285714286057,0.2596999999999944,do_nothing,0.2505,1,0.25807999999999076,go_short,go_long,go_short,1,0.2424,11968.0,0.2595861788384223,0.2576
56,AAVE/USDT:USDT,2021-10-26 16:45:00+00:00,second_buy,short-exit-profit,341.625,344.007,337.53717057152204,336.2956001234629,339.125,0,339.75,22721.0,0,False,338.51559999999665,337.32171428571394,337.3716799999965,2.74451032,0.4050508776376819,0,go_long,go_long,go_long,go_long,go_short,go_short,False,go_long,211.53,213.92780671625684,go_long,1,212.30128571428583,219.23767999999598,go_long,201.362,1,210.66479999999578,go_short,go_long,go_short,1,198.368,169858.0,218.35903201087865,213.285
289,ALGO/USDT:USDT,2022-05-03 02:30:00+00:00,second_buy,short-exit-profit,0.6424000000000001,0.6614,0.6308103999223346,0.620738142087857,0.6417,0,0.6614,7926.0,0,False,0.6386799999999939,0.6334285714285777,0.6198319999999943,2.683458,0.405884579048677,0,go_long,do_nothing,go_long,go_long,go_short,go_short,False,go_long,0.4066,0.4264168152232667,go_long,1,0.4172714285714358,0.4435079999999937,do_nothing,0.3912,1,0.4100199999999935,go_short,go_long,go_short,1,0.3909,11818.0,0.4378054895368489,0.4111
