,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),nlp-exit-short (entry),close_date,grads-ratio (entry),close (exit),long_jcrosk (exit),nlp-enter-short (exit),nlp-exit-short (exit),open (exit),imit-exit-short (exit),short_kdj (exit),ema-26 (exit),mean-grad-hist (exit),sma-25 (exit),low (exit),ema-12 (exit),grads-ratio (exit),volume (exit),sma-05 (exit),imit-enter-short (exit),sma-07 (exit),high (exit),nlp-enter-long (exit)
336,ENS/USDT:USDT,2024-06-01 23:00:00+00:00,second_buy,force_exit,28.838,29.621,28.324027402984374,27.896932708624547,28.824,0,28.847,87391.2,1,False,28.575199999999978,28.517285714285737,27.80364000000001,61.04142935,0.3025941389393395,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.3192982456140451,20.158,0,go_short,go_short,20.22,go_short,False,20.265259581184896,0,20.408720000000084,20.152,20.372583116087764,0.3192982456140451,2026.5,20.20159999999995,go_short,20.223571428571454,20.22,go_short
207,BNX/USDT:USDT,2024-06-09 13:00:00+00:00,second_buy,force_exit,1.2429000000000001,1.2563,1.2362493467574323,1.223353347494439,1.2341,0,1.2529,250022.9,0,False,1.2409800000000026,1.2402571428571478,1.2250679999999998,9.45988229,0.045750283756414614,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,2.3830523130133843,1.1938,0,go_short,go_short,1.1896,go_short,False,1.1929726488424648,0,1.19638,1.187,1.1974937041970672,2.3830523130133843,64582.0,1.1911600000000024,go_short,1.1911000000000058,1.1967,go_short
326,ENA/USDT:USDT,2024-05-21 00:45:00+00:00,second_buy,force_exit,0.8649,0.8811,0.8327072315221777,0.8096247822578307,0.8499,0,0.8532000000000001,7596094.0,1,False,0.8462999999999952,0.8387428571428543,0.8094359999999987,16.33346346,0.07665172655074201,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.1990376202974528,0.7703,1,go_short,go_short,0.7725000000000001,go_short,False,0.7746151818232764,0,0.7812319999999991,0.7688,0.781328380805467,0.1990376202974528,212237.0,0.7718999999999957,go_short,0.7726285714285686,0.7725000000000001,go_short
318,EGLD/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,force_exit,38.53,38.59,38.46084809016275,39.039110109182296,32.81,1,33.6,108187.59,0,False,37.93599999999937,38.382857142857176,39.38040000000018,7.63987668,0.03675568479139908,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-6.933333333333388,34.94,0,go_short,go_short,35.01,go_short,False,34.96389804146626,0,35.093200000000216,34.94,35.08118808118703,-6.933333333333388,120.06,34.971999999999355,go_short,34.944285714285705,35.01,go_short
221,BRETT/USDT:USDT,2024-06-07 07:45:00+00:00,second_buy,force_exit,0.17352,0.19,0.1640084467809784,0.15617234471221778,0.17237000000000002,0,0.17746,60190920.0,1,False,0.16964799999999985,0.1676799999999997,0.1533064,13.21575997,0.06482288211407818,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,17.049603174602964,0.16599000000000003,0,go_short,go_short,0.16640000000000002,go_short,False,0.16651277898513953,0,0.16878640000000003,0.16458,0.16870665279864366,17.049603174602964,3341920.0,0.16620199999999988,go_short,0.16664714285714258,0.16661,go_short
340,ETC/USDT:USDT,2024-05-29 16:15:00+00:00,first_buy,force_exit,30.344,30.346,30.444284516668777,30.60083081429591,30.115,1,30.204,39469.0,0,False,30.367599999999946,30.392285714285816,30.615200000000037,-25.79530512,-0.12546806998885804,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.17167577413480872,26.603,0,go_short,go_short,26.616,go_short,False,26.603275729595154,0,26.645480000000063,26.587,26.641792327826327,-0.17167577413480872,4217.6,26.60519999999995,go_short,26.59942857142871,26.622,go_short
437,PAXG/USDT:USDT,2024-04-13 21:00:00+00:00,second_buy,force_exit,2575.0,3440.0,2478.3826290527854,2430.4316691473887,2575.0,0,2786.0,2258.119,1,False,2515.0,2480.714285714286,2410.64,38.28856952,0.17866184548165884,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,,2317.0,0,go_short,go_short,2316.0,go_short,False,2316.167405119112,0,2316.16,2316.0,2316.061891324232,,0.87,2316.2,go_short,2316.285714285714,2317.0,go_short
274,CTC/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,force_exit,0.6588,0.6593500000000001,0.6561631615986177,0.6625025329736667,0.585,1,0.6075,874046.0,0,False,0.6498099999999887,0.6545714285714271,0.6660219999999992,7.442604,0.03578643578643578,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-1.2467836257308866,0.6305000000000001,0,go_short,go_short,0.6303000000000001,go_short,False,0.6303277509591745,0,0.6327339999999991,0.62955,0.632110253982718,-1.2467836257308866,1719.0,0.6300299999999888,go_short,0.6299357142857123,0.6306,go_short
11,AEVO/USDT:USDT,2024-06-07 18:15:00+00:00,first_buy,force_exit,0.9264,0.9313,0.9238720026719011,0.9499947198589952,0.7008,1,0.7494000000000001,15895667.6,0,False,0.9055400000000062,0.9212428571428453,0.9567960000000189,-5.89763858,-0.02835179230374001,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,-0.7709611451942439,0.7304,1,go_short,go_short,0.733,go_short,False,0.7339095096257189,1,0.7383040000000191,0.7304,0.7387314042628069,-0.7709611451942439,77559.1,0.7332000000000064,go_short,0.733071428571416,0.7336,go_short
458,PYTH/USDT:USDT,2024-05-20 09:30:00+00:00,second_buy,force_exit,0.4262,0.44110000000000005,0.405102527291209,0.3949576182574819,0.4232,0,0.429,28993009.0,0,False,0.41552000000000555,0.4090285714285703,0.39220799999999734,12.38529409,0.0582642105693181,go_short,go_short,go_short,go_short,go_short,2024-06-11 00:00:00+00:00,0.9042457091237512,0.4063,0,go_short,go_short,0.4055,go_short,False,0.40610069559769374,0,0.40739999999999715,0.405,0.40758329683326555,0.9042457091237512,163032.0,0.4057200000000047,go_short,0.405799999999999,0.4066,go_short
