,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,low (exit),short-bid-rl (exit),sma-05 (exit),sma-07 (exit),mean-grad-hist (exit),sma-compare (exit),open (exit),short_kdj (exit),short-small-rl (exit),ema-12 (exit),close (exit),long-small-rl (exit),short-large-rl (exit),high (exit),sma-25 (exit),long_jcrosk (exit),long-bid-rl (exit),long-large-rl (exit),ema-26 (exit),volume (exit)
638,AAVE/USDT:USDT,2022-04-03 02:45:00+00:00,second_buy,roi,235.624,236.578,236.46626321164493,238.3761466362822,235.0,0,235.326,5485.0,0,False,235.28019999999827,234.64614285714342,239.6906399999973,7.992e-05,8.50911751942206e-06,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-04 10:30:00+00:00,236.763,go_short,238.45519999999806,238.73000000000047,1,1,236.776,False,do_nothing,239.57322407017023,237.364,do_nothing,go_long,237.508,239.6914399999973,0,go_short,go_long,238.87018611339676,6497.0
639,AAVE/USDT:USDT,2022-04-04 10:45:00+00:00,second_buy,roi,236.531,236.531,238.39200363441265,239.29091117608354,234.002,1,235.762,11493.0,0,False,237.53579999999806,238.16771428571474,239.5380799999973,0.00636424,0.0006755340778635457,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-04 13:15:00+00:00,234.776,go_short,236.25259999999807,236.3741428571433,1,1,235.239,False,do_nothing,237.71717080246157,234.776,do_nothing,go_long,235.658,238.0581999999973,0,go_short,go_long,236.57886190945817,2124.0
640,AAVE/USDT:USDT,2022-04-04 13:30:00+00:00,second_buy,roi,234.48,235.132,236.35626776954152,237.5256766689459,234.26,0,235.132,3882.0,0,False,235.60819999999808,236.20228571428615,237.8804399999973,0.14417652,0.015463366952907384,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-04 16:00:00+00:00,227.293,go_short,229.27459999999806,230.6127142857147,1,1,229.697,False,do_nothing,234.24647144095823,227.92,do_nothing,go_long,229.697,234.6801999999973,1,go_short,go_long,231.81798258821718,10603.0
641,AAVE/USDT:USDT,2022-04-04 16:15:00+00:00,second_buy,roi,228.098,229.26,231.37106219002993,233.85139948236872,226.856,0,228.913,9173.0,0,False,229.00079999999807,229.756428571429,234.3567199999973,0.0,0.0,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-05 14:00:00+00:00,230.3,go_short,230.84779999999824,231.92242857142898,1,1,230.48,False,do_nothing,232.5717238801804,230.4,do_nothing,go_long,230.937,232.38815999999727,0,go_short,go_long,231.75408612041298,9385.0
642,AAVE/USDT:USDT,2022-04-05 14:15:00+00:00,second_buy,roi,230.4,230.4,231.13899594804175,232.21500359275964,226.658,1,227.756,19582.0,1,False,229.87939999999827,230.851428571429,232.12555999999728,7.992e-05,8.795384182381086e-06,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-05 16:45:00+00:00,226.539,go_short,227.7197999999982,227.77785714285753,0,1,227.751,False,do_nothing,229.76942138191552,226.729,do_nothing,go_long,227.751,230.1619199999973,0,go_short,go_long,228.3104280744747,2551.0
643,AAVE/USDT:USDT,2022-04-05 17:00:00+00:00,second_buy,roi,226.818,228.0,228.26266990917088,229.63835313140325,225.789,0,228.0,9887.0,0,False,227.8803999999982,227.71342857142895,230.0172799999973,0.08287004,0.00910023311915478,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-05 19:30:00+00:00,222.367,go_short,225.88499999999826,226.272428571429,1,1,223.841,False,do_nothing,228.0709639135103,225.473,do_nothing,go_long,225.473,227.76183999999728,0,go_short,go_long,226.73819851682657,14227.0
644,AAVE/USDT:USDT,2022-04-05 19:45:00+00:00,second_buy,roi,225.362,225.362,226.36262951423788,227.79141103102805,224.297,0,224.297,1997.0,0,False,225.29999999999828,225.84685714285757,227.50123999999727,0.0299284,0.0033214141350056273,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-05 22:15:00+00:00,223.848,go_short,224.39239999999822,224.27100000000044,0,0,223.848,False,do_nothing,226.15892886748833,224.727,do_nothing,go_long,224.739,226.20079999999726,0,go_short,go_long,224.96532615151887,2896.0
645,AAVE/USDT:USDT,2022-04-05 22:30:00+00:00,second_buy,roi,224.296,224.296,224.86235289743905,226.02093413656326,224.296,0,224.296,350.0,0,False,224.48659999999822,224.33557142857188,225.99483999999728,0.38563616,0.04302597707740912,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 00:15:00+00:00,214.375,go_short,221.0095999999982,221.88742857142896,1,1,220.581,False,do_nothing,224.13008892653409,214.387,do_nothing,go_long,220.908,224.2873599999973,0,go_short,go_long,222.18599587325295,30220.0
646,AAVE/USDT:USDT,2022-04-06 00:30:00+00:00,second_buy,roi,214.619,217.012,220.61261189275248,223.22852678382785,205.819,1,211.959,94127.0,0,False,218.59939999999818,220.1250000000004,223.6774799999973,-3.996e-05,-4.724134184307371e-06,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 04:00:00+00:00,211.357,go_short,212.5523999999983,213.20214285714323,0,1,213.39,False,do_nothing,216.43072470430772,211.357,do_nothing,go_long,213.39,216.79091999999736,0,go_short,go_long,213.56817895624846,411.0
647,AAVE/USDT:USDT,2022-04-06 04:15:00+00:00,second_buy,roi,212.164,212.475,213.3999975783641,216.1377080595442,209.452,0,212.475,6638.0,0,False,212.1911999999983,212.95157142857178,216.32131999999737,3.996e-05,4.694372855258401e-06,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 10:00:00+00:00,213.412,go_short,214.20179999999837,214.22171428571477,1,1,214.965,False,do_nothing,214.84259320028764,214.315,do_nothing,go_long,214.965,214.4141999999973,0,go_short,go_long,214.402258308372,1715.0
648,AAVE/USDT:USDT,2022-04-06 10:15:00+00:00,second_buy,roi,214.696,214.696,213.98344933785324,214.60832703730338,211.68,1,211.68,4672.0,0,False,213.4873999999984,213.8972857142862,214.4271199999973,0.0517112,0.006090677532965313,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 12:45:00+00:00,209.975,go_short,210.35579999999837,209.63042857142904,0,0,210.454,False,do_nothing,212.39279726417732,211.674,do_nothing,go_long,211.674,213.02039999999732,0,go_short,go_long,211.0924920071223,4628.0
649,AAVE/USDT:USDT,2022-04-06 13:00:00+00:00,second_buy,roi,210.752,210.752,210.9531855444881,212.22940487423827,210.047,0,210.187,1153.0,0,False,210.36599999999834,209.89400000000043,212.80915999999732,0.36028284,0.04303847498955595,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 15:00:00+00:00,202.097,go_short,202.1717999999983,204.020428571429,0,1,203.155,False,do_nothing,208.63039123488974,202.097,do_nothing,go_long,203.155,209.53343999999726,0,go_short,go_long,205.73107617673728,949.0
650,AAVE/USDT:USDT,2022-04-06 15:15:00+00:00,second_buy,roi,201.24,201.376,204.98875676493154,208.05821410637938,200.021,1,200.906,1614.0,1,False,201.9327999999983,202.61285714285756,208.95959999999724,0.13074704,0.016319349350098246,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 17:45:00+00:00,194.504,go_short,195.07319999999828,195.51814285714332,0,1,195.242,False,do_nothing,201.5957205529788,195.939,do_nothing,go_long,195.939,202.60283999999726,0,go_short,go_long,197.49485960740438,7327.0
651,AAVE/USDT:USDT,2022-04-06 18:00:00+00:00,second_buy,roi,195.424,196.829,197.3924196678037,201.24263014164706,195.424,0,196.829,496.0,0,False,195.3585999999983,195.35242857142902,202.07055999999724,0.00011988,1.5191950291938644e-05,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-06 22:00:00+00:00,197.086,go_short,198.65879999999828,198.3025714285719,1,0,198.026,False,do_nothing,198.77572388881882,197.086,do_nothing,go_long,198.026,196.94355999999732,1,go_short,go_long,197.96026158501908,696.0
652,AAVE/USDT:USDT,2022-04-06 22:15:00+00:00,second_buy,roi,197.028,198.247,197.90606749501615,198.68922582298038,196.809,1,197.608,2305.0,0,False,198.35479999999825,198.3305714285719,196.8992799999973,0.0851186,0.010824919045900156,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-07 00:45:00+00:00,193.445,go_short,192.98299999999827,193.46328571428623,0,1,193.445,False,do_nothing,196.05499309575504,194.036,do_nothing,go_long,194.036,196.31311999999733,0,go_short,go_long,194.42401150164682,1039.0
653,AAVE/USDT:USDT,2022-04-07 01:00:00+00:00,second_buy,roi,194.25,194.258,194.155702039855,195.8049936071806,189.732,0,192.68,11772.0,0,False,192.84819999999826,193.24057142857194,196.14031999999733,-0.00015984,-2.0608358750309123e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-07 15:00:00+00:00,196.538,go_short,199.67199999999826,200.1827142857148,1,1,198.758,False,do_nothing,201.02438704405847,196.72,do_nothing,go_long,198.951,201.1237599999973,0,go_short,go_long,200.4497527520144,8668.0
654,AAVE/USDT:USDT,2022-04-07 15:15:00+00:00,second_buy,roi,196.66,196.992,199.56209848247371,200.55443244820228,193.212,1,194.68,14258.0,0,False,198.14219999999827,199.37571428571482,200.84871999999734,0.0,0.0,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-08 10:00:00+00:00,194.48,go_short,195.7963999999983,196.21171428571486,1,1,194.998,False,do_nothing,197.31758759292887,194.855,do_nothing,go_long,194.998,197.39255999999747,0,go_short,go_long,196.31854437243905,1899.0
656,AAVE/USDT:USDT,2022-04-08 13:00:00+00:00,second_buy,roi,192.277,192.644,193.18104164235567,194.5986325371504,190.68,1,191.711,21721.0,0,False,192.5025999999983,192.6160000000006,194.68655999999748,-7.992e-05,-1.0443973305204233e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-08 17:15:00+00:00,192.119,go_short,194.6027999999983,194.68242857142923,1,0,193.367,False,do_nothing,194.11466768462114,192.12,do_nothing,go_long,193.641,193.14031999999747,0,go_short,go_long,194.19625774577864,5188.0
733,AAVE/USDT:USDT,2022-05-13 14:15:00+00:00,second_buy,roi,90.853,109.967,89.18882533964646,88.39546086515314,90.589,0,91.018,171386.0,1,False,89.35419999999779,89.26228571428608,88.38743999999726,0.3917148,0.04306406305264101,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-13 16:00:00+00:00,87.42,go_short,90.01299999999779,90.53728571428607,1,0,88.407,False,do_nothing,89.19182413015085,87.941,do_nothing,go_long,88.957,89.09467999999724,0,go_short,go_long,89.77103557983409,65425.0
681,AAVE/USDT:USDT,2022-04-26 23:30:00+00:00,second_buy,roi,157.93,158.173,158.93561510419084,160.76342068131328,154.496,1,156.267,44142.0,0,False,158.92419999999797,159.66500000000028,159.63411999999718,0.0,0.0,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-29 16:00:00+00:00,157.621,go_short,157.54439999999778,157.91642857142892,1,1,157.893,False,do_nothing,159.2381674808055,157.621,do_nothing,go_long,158.113,158.7579599999974,0,go_short,go_long,158.30249642493962,4486.0
683,AAVE/USDT:USDT,2022-04-29 19:00:00+00:00,second_buy,roi,154.828,156.005,156.18116594606266,157.21305713394395,154.156,1,156.005,9759.0,0,False,155.86659999999785,156.04014285714325,157.29295999999746,0.01485606,0.0015992518218640637,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-04-29 22:00:00+00:00,154.68,go_short,154.5539999999979,154.4277142857147,0,0,154.68,False,do_nothing,155.37896216270997,154.68,do_nothing,go_long,154.68,155.09095999999744,0,go_short,go_long,154.5460736527935,0.0
709,AAVE/USDT:USDT,2022-05-08 02:45:00+00:00,second_buy,roi,128.392,128.964,130.1986163313876,131.81278565647588,127.444,1,128.426,13179.0,0,False,129.13079999999786,129.6605714285719,131.7627999999973,0.00027972,3.119540803593711e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-08 17:00:00+00:00,129.817,go_short,130.17959999999783,130.15571428571474,1,0,131.035,False,do_nothing,130.18429137104857,129.914,do_nothing,go_long,131.125,130.29359999999733,0,go_short,go_long,130.07411814097654,2102.0
710,AAVE/USDT:USDT,2022-05-08 17:15:00+00:00,second_buy,roi,129.919,129.99,129.79671535005707,130.04256608430424,126.46,1,128.271,27151.0,1,False,130.06019999999785,129.86300000000045,130.1486799999973,0.00027972,3.1178387142033145e-05,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-08 20:30:00+00:00,128.189,go_short,129.5399999999979,129.72585714285762,1,0,129.328,False,do_nothing,129.51920048035373,128.537,do_nothing,go_long,129.34,129.38419999999726,0,go_short,go_long,129.37411032453576,1948.0
711,AAVE/USDT:USDT,2022-05-08 20:45:00+00:00,second_buy,roi,128.544,128.829,129.18901642845333,129.4193337781053,127.899,1,128.171,6005.0,0,False,129.0965999999979,129.44228571428621,129.33143999999726,0.04525416,0.0050475803593808075,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-08 23:15:00+00:00,127.102,go_short,127.38039999999782,127.97014285714333,1,1,127.364,False,do_nothing,128.67474993204718,127.238,do_nothing,go_long,128.386,128.63839999999726,0,go_short,go_long,128.10960559590822,37712.0
712,AAVE/USDT:USDT,2022-05-08 23:30:00+00:00,second_buy,roi,127.305,127.305,127.81858935038387,128.49276845559925,126.218,1,126.218,1622.0,0,False,127.01399999999782,127.50100000000047,128.55627999999723,0.00723345,0.0008208748388099234,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 02:00:00+00:00,125.493,go_short,127.13719999999785,127.2735714285719,1,1,126.264,False,do_nothing,127.65337908047475,125.616,do_nothing,go_long,126.31,127.71823999999728,0,go_short,go_long,127.06944339768094,20249.0
713,AAVE/USDT:USDT,2022-05-09 02:15:00+00:00,second_buy,roi,125.592,125.655,126.75199056726849,127.45727692636551,124.376,1,125.006,15080.0,0,False,126.43779999999785,127.00714285714332,127.52927999999727,0.09937452,0.01136700148026698,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 04:45:00+00:00,122.927,go_short,123.13199999999786,122.9958571428576,0,0,123.778,False,do_nothing,124.95136366495082,123.347,do_nothing,go_long,123.884,125.1401199999973,0,go_short,go_long,123.64839158817709,4035.0
714,AAVE/USDT:USDT,2022-05-09 05:00:00+00:00,second_buy,roi,123.348,123.348,123.51094672845754,124.78867006013965,122.712,0,122.755,7049.0,1,False,123.13879999999786,123.01871428571474,124.9800799999973,0.07200025,0.008381058084352373,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 07:30:00+00:00,120.954,go_short,121.31959999999785,121.13342857142901,0,0,122.361,False,do_nothing,122.95416997994019,121.111,do_nothing,go_long,122.399,122.7180799999973,0,go_short,go_long,121.76428381634989,7802.0
715,AAVE/USDT:USDT,2022-05-09 07:45:00+00:00,second_buy,roi,121.101,121.576,121.65377861383452,122.81282405550017,120.667,1,121.046,1740.0,1,False,121.34059999999786,121.12985714285757,122.45131999999728,0.04667544,0.005513551020663313,0,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 10:15:00+00:00,119.749,go_short,120.96739999999784,121.04328571428616,1,1,120.764,False,do_nothing,121.77330360728718,119.8,do_nothing,go_long,120.993,121.49963999999731,0,go_short,go_long,120.99021734350599,7320.0
716,AAVE/USDT:USDT,2022-05-09 10:30:00+00:00,second_buy,roi,119.747,120.15,120.62818390604353,121.5409848215622,117.628,1,118.637,39283.0,0,False,120.29139999999784,120.79228571428614,121.2982399999973,0.14862248,0.01567253776160195,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 13:00:00+00:00,116.081,go_short,117.07299999999786,116.829428571429,0,0,117.697,False,do_nothing,118.94407680311778,116.32,do_nothing,go_long,118.06,119.19663999999732,0,go_short,go_long,117.49134477957408,4193.0
717,AAVE/USDT:USDT,2022-05-09 13:15:00+00:00,second_buy,roi,116.428,116.563,117.24759942887037,118.71910815103499,115.522,1,115.907,9907.0,0,False,116.68679999999787,116.85071428571472,118.97359999999732,0.10844848,0.011698965108741816,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 15:45:00+00:00,112.218,go_short,114.93859999999788,115.3631428571433,1,1,113.697,False,do_nothing,117.04327825969476,113.998,do_nothing,go_long,114.419,116.82531999999736,0,go_short,go_long,115.69827160385566,31838.0
718,AAVE/USDT:USDT,2022-05-09 16:00:00+00:00,second_buy,roi,113.95,114.404,115.32869135710864,116.76570209230997,113.137,1,113.296,29947.0,0,False,114.4109999999979,114.81000000000044,116.51703999999734,0.38965992,0.043051492919485256,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 17:30:00+00:00,105.57,go_short,107.64979999999794,108.96500000000047,0,1,105.734,False,do_nothing,113.53826414313976,107.794,do_nothing,go_long,108.479,114.18259999999732,0,go_short,go_long,110.57974917161437,31720.0
719,AAVE/USDT:USDT,2022-05-09 17:45:00+00:00,second_buy,roi,107.953,108.175,110.17471083751985,113.12409642883311,106.709,0,107.947,15415.0,0,False,107.02879999999793,108.2008571428576,113.87015999999734,0.37137024,0.04306077891962687,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 19:15:00+00:00,103.698,go_short,104.09299999999791,104.86228571428616,0,1,104.644,False,do_nothing,109.86959394223877,105.292,do_nothing,go_long,105.83,110.83179999999732,0,go_short,go_long,106.4660133011328,44762.0
720,AAVE/USDT:USDT,2022-05-09 19:30:00+00:00,second_buy,roi,105.291,106.076,105.90185740865084,109.34584624281368,102.57,0,102.799,31542.0,0,False,103.67559999999791,104.12685714285759,110.3074799999973,-0.00035964,-3.890445066915655e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-09 23:30:00+00:00,102.711,go_short,104.8405999999979,104.99571428571474,1,1,104.277,False,do_nothing,106.6358568157958,103.018,do_nothing,go_long,104.524,105.4276399999973,0,go_short,go_long,105.27417129788319,25849.0
721,AAVE/USDT:USDT,2022-05-09 23:45:00+00:00,second_buy,roi,102.954,103.921,104.65583725205501,106.23727482944057,101.105,1,101.255,23688.0,0,False,103.92099999999792,104.55128571428618,105.16607999999731,-0.00026973,-2.9607113602494893e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-10 21:30:00+00:00,102.484,go_short,104.77599999999788,105.34442857142902,1,1,104.209,False,do_nothing,108.49544178451102,102.928,do_nothing,go_long,104.382,109.0391199999973,1,go_short,go_long,106.50629925183074,10511.0
722,AAVE/USDT:USDT,2022-05-10 21:45:00+00:00,second_buy,roi,102.917,103.083,105.75702244385678,107.98733498565835,101.051,1,101.636,19313.0,0,False,103.84979999999788,104.56757142857188,108.76671999999729,8.991e-05,9.840485726375453e-06,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-11 06:45:00+00:00,102.004,go_short,103.08679999999788,103.70642857142902,1,1,103.116,False,do_nothing,104.57164336989233,102.004,do_nothing,go_long,103.568,104.84235999999729,0,go_short,go_long,103.78373361887216,4243.0
723,AAVE/USDT:USDT,2022-05-11 07:00:00+00:00,second_buy,roi,102.039,102.167,103.10762075443029,104.18774386101141,98.365,1,99.389,36628.0,0,False,102.21819999999789,102.8868571428576,104.51543999999728,-0.00026973,-3.018503426001388e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-11 12:30:00+00:00,100.15,go_short,102.04639999999786,103.14528571428615,1,0,101.871,False,do_nothing,103.31361365096318,100.967,do_nothing,go_long,102.427,102.44151999999734,0,go_short,go_long,103.13231494521565,27430.0
724,AAVE/USDT:USDT,2022-05-11 12:45:00+00:00,second_buy,roi,100.676,100.676,101.4644203382594,102.49712375089183,90.262,1,92.291,274671.0,0,False,99.74579999999786,101.18785714285757,102.00747999999736,9.99e-05,1.0877723510023822e-05,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-11 15:15:00+00:00,90.985,go_short,93.07899999999788,93.41100000000041,0,1,94.03,False,do_nothing,96.77632181490158,91.312,do_nothing,go_long,94.141,98.61367999999733,0,go_short,go_long,94.0099394171627,53416.0
725,AAVE/USDT:USDT,2022-05-11 15:30:00+00:00,second_buy,roi,91.101,93.415,93.81133335298382,96.4757794582422,90.574,0,92.719,99550.0,1,False,93.14019999999788,93.1927142857147,98.31739999999732,0.39947,0.04304304304304304,1,do_nothing,do_nothing,go_long,go_long,go_short,go_short,2022-05-11 17:00:00+00:00,86.512,go_short,89.16639999999786,90.11828571428613,1,1,88.702,False,do_nothing,93.88069429668036,87.113,do_nothing,go_long,88.808,94.33827999999728,0,go_short,go_long,90.89412287416913,22333.0
