,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,long-bid-rl (exit),volume (exit),sma-compare (exit),long_jcrosk (exit),sma-07 (exit),close (exit),long-large-rl (exit),nlp-exit-short (exit),short-bid-rl (exit),sma-25 (exit),imit-exit-short (exit),open (exit),ema-12 (exit),nlp-enter-long (exit),low (exit),imit-enter-short (exit),short-large-rl (exit),high (exit),short_kdj (exit),nlp-enter-short (exit),sma-05 (exit),short-small-rl (exit),ema-26 (exit),long-small-rl (exit),mean-grad-hist (exit)
153,ADA/USDT:USDT,2024-06-18 10:30:00+00:00,second_buy,roi,0.3753,0.3755,0.37778118842348185,0.3795992324772535,0.373,1,0.3755,17909.0,0,False,0.3765999999999893,0.3776857142857076,0.3788720000000227,0.030998,0.004124007047983656,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-18 14:30:00+00:00,go_short,93089.0,1,0,0.37124285714285055,0.3734,go_short,go_short,go_short,0.3742880000000225,go_short,0.37210000000000004,0.3740417938553104,go_short,0.37210000000000004,go_short,go_short,0.3743,False,go_short,0.37089999999998946,go_short,0.37196571204636575,go_long,0
154,ADA/USDT:USDT,2024-06-18 14:45:00+00:00,second_buy,roi,0.3739,0.3759,0.3723709871161556,0.37408314245862073,0.373,0,0.37460000000000004,44955.0,0,False,0.3718399999999894,0.3715285714285648,0.3741040000000224,0.03495717,0.0046693571073074674,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-18 18:45:00+00:00,go_short,4156.0,1,0,0.37181428571427894,0.3724,go_short,go_short,go_short,0.3719480000000223,go_short,0.37210000000000004,0.37271333307878796,go_short,0.37070000000000003,go_short,go_short,0.373,False,go_short,0.3715999999999894,go_short,0.3720597704413871,go_long,0
155,ADA/USDT:USDT,2024-06-18 19:00:00+00:00,second_buy,roi,0.37220000000000003,0.37220000000000003,0.3717428826811737,0.3725123454433222,0.3699,1,0.37,4815.0,0,False,0.37121999999998934,0.3711714285714218,0.3719600000000223,0.03327928,0.004496840252779778,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-24 09:30:00+00:00,go_short,5516.0,0,1,0.37448571428570776,0.37320000000000003,go_short,go_short,go_short,0.37515600000002264,go_short,0.3749,0.375456847759147,go_short,0.373,go_short,go_short,0.37520000000000003,False,go_short,0.37509999999998983,go_short,0.3744923502540053,go_long,1
156,ADA/USDT:USDT,2024-06-24 09:45:00+00:00,second_buy,roi,0.3733,0.3733,0.37353968098415835,0.3749267108880991,0.3613,1,0.3683,378719.0,0,False,0.3737599999999898,0.3737571428571363,0.3746800000000226,0.02998343,0.004073485809370717,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-24 18:15:00+00:00,go_short,2258.0,1,0,0.36915714285713647,0.3675,go_short,go_short,go_short,0.3728480000000222,go_short,0.36970000000000003,0.37183421319345855,go_short,0.3675,go_short,go_short,0.3704,False,go_short,0.3690399999999897,go_short,0.3702382278615815,go_long,0
157,ADA/USDT:USDT,2024-06-24 18:30:00+00:00,second_buy,roi,0.36760000000000004,0.37070000000000003,0.37021696203672283,0.37170575295690605,0.3654,0,0.37010000000000004,20345.0,0,False,0.3689399999999897,0.3691857142857079,0.37265600000002225,0.04567589,0.006178596163731298,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-04 23:15:00+00:00,go_short,6596.0,1,0,0.3747285714285643,0.3709,go_short,go_short,go_short,0.3771400000000223,go_short,0.372,0.3772593442688267,go_short,0.36960000000000004,go_short,go_short,0.372,False,go_short,0.373379999999989,go_short,0.37513109722080684,go_long,1
158,ADA/USDT:USDT,2024-07-04 23:30:00+00:00,second_buy,roi,0.3708,0.3708,0.37386477457145195,0.3764919854340988,0.3669,1,0.3669,18262.0,0,False,0.37145999999998897,0.37312857142856437,0.3765760000000223,0.36561719,0.049875057668734415,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-05 02:00:00+00:00,go_short,24071.0,1,0,0.34799999999999304,0.3483,go_short,go_short,go_short,0.3659080000000223,go_short,0.3448,0.36248750054150475,go_short,0.3448,go_short,go_short,0.35000000000000003,False,go_short,0.3469799999999891,go_short,0.3538379193372493,go_long,0
322,BCH/USDT:USDT,2020-09-03 11:00:00+00:00,second_buy,roi,258.8,258.8,259.7907834129458,260.54902808078754,256.45,1,257.2,6338.0,0,False,258.8999999999971,259.5642857142881,260.19799999999947,0.275886,0.03585357509408143,1,go_short,go_short,go_short,go_short,go_short,go_short,do_nothing,do_nothing,go_short,go_short,go_short,2020-09-03 13:30:00+00:00,go_short,5262.0,1,0,247.57142857143089,247.05,do_nothing,go_short,go_short,256.5619999999994,go_short,246.55,254.60191366680445,go_short,246.4,go_short,do_nothing,247.6,False,go_short,246.07999999999703,go_short,250.71450539015612,go_short,0
160,ADA/USDT:USDT,2024-07-05 05:00:00+00:00,second_buy,roi,0.33190000000000003,0.33380000000000004,0.33308986621946557,0.3432804679078716,0.331,0,0.332,31319.0,0,False,0.327819999999989,0.3278142857142786,0.3442560000000225,0.2104481,0.03172571668053596,0,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-07-05 09:00:00+00:00,go_short,7377.0,1,0,0.326399999999993,0.3201,go_short,go_short,go_short,0.32856000000002245,go_short,0.3215,0.3324664157865229,go_short,0.3201,go_short,go_short,0.322,False,go_short,0.325579999999989,go_short,0.3271482359826773,go_long,1
161,ADA/USDT:USDT,2024-07-05 09:15:00+00:00,second_buy,roi,0.32080000000000003,0.3292,0.3274331227545731,0.33220964424678046,0.31980000000000003,0,0.329,215917.0,0,False,0.32537999999998896,0.3264142857142787,0.3286040000000225,0.06073417,0.009230939107950947,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-08-05 00:45:00+00:00,go_short,35473.0,1,0,0.34247142857142093,0.3335,go_short,go_short,go_short,0.34692400000002266,go_short,0.3402,0.3456433476255616,go_short,0.3335,go_short,go_short,0.342,False,go_short,0.34087999999998575,go_short,0.3434313516416221,go_long,1
146,ADA/USDT:USDT,2024-06-11 15:45:00+00:00,second_buy,roi,0.426,0.4262,0.42476631916579444,0.4271671391116579,0.41350000000000003,1,0.41500000000000004,238226.0,1,False,0.423659999999989,0.42422857142856546,0.42788000000002185,0.03675637,0.004432911224477489,1,go_short,go_short,go_short,go_short,go_long,go_short,go_short,go_short,go_short,go_short,go_short,2024-06-14 15:45:00+00:00,go_short,3086.0,1,1,0.4170142857142793,0.41440000000000005,go_short,go_short,go_short,0.4209120000000218,go_short,0.41750000000000004,0.4200771154001377,go_short,0.4143,go_short,go_short,0.418,False,go_short,0.41651999999998884,go_short,0.41839113235157377,go_long,1
