,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),close_date,mean-grad-hist (exit),high (exit),long_jcrosk (exit),sma-05 (exit),long-small-rl (exit),short_kdj (exit),close (exit),ema-26 (exit),long-large-rl (exit),sma-07 (exit),sma-25 (exit),short-large-rl (exit),long-bid-rl (exit),short-bid-rl (exit),volume (exit),ema-12 (exit),short-small-rl (exit),sma-compare (exit),low (exit),open (exit)
22,STMX/USDT:USDT,2023-05-08 17:45:00+00:00,first_buy,long-exit-profit,0.00481,0.0048200000000000005,0.004822991070626129,0.00485227243459681,0.00472,1,0.00476,468489582.0,0,False,0.004802000000000827,0.004815714285713582,0.004851599999999971,25.61266488,0.4170884941858136,1,go_short,go_long,go_short,go_short,go_long,go_long,2023-07-22 01:45:00+00:00,0,0.00721,0,0.006168000000000849,go_short,False,0.006620000000000001,0.006200113744433715,go_short,0.00616714285714217,0.006203199999999962,go_short,go_long,go_long,7439919191.0,0.006143514745986359,go_long,0,0.0061,0.006110000000000001
141,BAKE/USDT:USDT,2024-07-04 23:45:00+00:00,first_buy,long-exit-profit,0.234,0.23550000000000001,0.244783866953324,0.2490746129867997,0.22790000000000002,1,0.2311,15157452.0,0,False,0.24093999999998578,0.24418571428573294,0.2495320000000068,24.53965224,0.4001295472823839,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2024-08-11 01:45:00+00:00,0,0.3277,0,0.32025999999998633,do_nothing,False,0.32680000000000003,0.31639740439409886,go_long,0.31812857142859075,0.31232400000000665,go_long,go_long,go_long,4897042.0,0.313547099574393,do_nothing,0,0.3181,0.31820000000000004
143,SXP/USDT:USDT,2020-07-21 15:45:00+00:00,first_buy,long-exit-profit,1.5459,1.5463,1.5242404760053931,1.5372498575498572,1.5030000000000001,0,1.5122,238818.4,0,False,1.5177599999999998,1.513857142857143,1.5321879999999999,25.08987636,0.4092608357123633,0,do_nothing,go_short,do_nothing,do_nothing,go_long,go_long,2020-07-25 01:15:00+00:00,0,2.1785,0,2.0774399999999984,do_nothing,False,2.1448,2.0451014967709624,do_nothing,2.0578285714285736,1.9827559999999993,do_nothing,go_long,go_long,1042815.3,1.9918010153528471,go_short,0,2.0577,2.0884
40,OGN/USDT:USDT,2021-05-19 14:15:00+00:00,first_buy,long-exit-profit,0.6662,0.7369,0.6727434445654584,0.7822706863103397,0.52,0,0.6863,372715.0,0,False,0.5480400000000026,0.5548285714285791,0.8291800000000056,24.51319897,0.4007486860795952,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2021-05-25 22:45:00+00:00,0,0.964,0,0.910780000000002,go_short,False,0.9554,0.885977230642886,do_nothing,0.9043857142857202,0.8554600000000048,do_nothing,go_long,go_long,1581574.0,0.8504615083516894,go_long,0,0.9128000000000001,0.9146000000000001
116,BAKE/USDT:USDT,2022-03-30 14:00:00+00:00,first_buy,long-exit-profit,0.9199,0.936,0.8451803358084502,0.8125023906983039,0.8935000000000001,1,0.8998,10760112.0,0,False,0.8915599999999857,0.8617857142857398,0.798764000000006,24.51121252,0.40028780428892896,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-03-31 17:30:00+00:00,0,1.2690000000000001,0,1.2246799999999858,do_nothing,False,1.2617,1.1875900546689886,go_long,1.1991000000000256,1.173424000000006,go_long,go_long,go_long,13118447.0,1.1503687980779786,do_nothing,0,1.2096,1.234
115,BAKE/USDT:USDT,2022-03-27 08:30:00+00:00,first_buy,long-exit-profit,0.6605000000000001,0.6618,0.6534962091226708,0.6502526397565729,0.6574,0,0.6575000000000001,424985.0,0,False,0.6559999999999848,0.6547571428571677,0.6504200000000059,24.18777637,0.39510917440485366,0,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-03-30 13:45:00+00:00,0,0.9209,1,0.8704799999999857,do_nothing,False,0.9198000000000001,0.835249487773623,go_long,0.8443142857143112,0.7938400000000061,go_long,go_long,go_long,10028641.0,0.8055185819541681,do_nothing,0,0.8923000000000001,0.9053
114,BAKE/USDT:USDT,2022-02-24 07:45:00+00:00,first_buy,long-exit-profit,0.4626,0.4693,0.47454049419076,0.49008933348865197,0.4575,0,0.4686,1090464.0,0,False,0.46783999999998144,0.4692571428571681,0.4926720000000049,24.3366277,0.3990990410817063,1,do_nothing,do_nothing,go_long,go_long,go_long,go_long,2022-03-27 08:15:00+00:00,0,0.6608,0,0.6548999999999847,do_nothing,False,0.6608,0.6527682471449746,go_long,0.653885714285739,0.650272000000006,go_long,go_long,go_long,559197.0,0.6496728509370987,do_nothing,0,0.6553,0.6555000000000001
70,OGN/USDT:USDT,2024-08-05 06:30:00+00:00,first_buy,long-exit-profit,0.064,0.06430000000000001,0.06451061308799087,0.06647024519350571,0.0587,1,0.060500000000000005,12961330.0,0,False,0.06406000000001083,0.06429999999999954,0.06604800000000044,24.22419335,0.3944772092627733,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2024-08-21 22:15:00+00:00,0,0.0849,0,0.08422000000001112,go_short,False,0.0848,0.08399998951677944,do_nothing,0.08428571428571327,0.08332000000000027,do_nothing,go_long,go_long,353440.0,0.08334333240976816,go_long,0,0.08410000000000001,0.08410000000000001
74,LDO/USDT:USDT,2022-11-09 10:15:00+00:00,first_buy,long-exit-profit,1.104,1.11,1.1429041206820054,1.1870984312616661,1.043,1,1.05,822280.0,1,False,1.1061999999999919,1.124857142857144,1.195999999999999,24.53811023,0.40252211220634865,1,go_short,go_long,go_long,go_long,go_long,go_long,2023-01-06 17:15:00+00:00,0,1.474,0,1.4241199999999925,go_short,False,1.4569,1.3840369007933584,go_long,1.4065857142857219,1.3232400000000017,go_long,go_long,go_long,9137692.0,1.3454946566699264,go_long,0,1.4405000000000001,1.4405000000000001
68,OGN/USDT:USDT,2024-07-05 03:00:00+00:00,first_buy,long-exit-profit,0.0766,0.07730000000000001,0.07787669454003376,0.08096957504755022,0.0703,1,0.0724,15039130.0,0,False,0.07626000000001099,0.07664285714285646,0.0821960000000006,24.1766831,0.3938589002692403,1,go_short,go_long,do_nothing,do_nothing,go_long,go_long,2024-07-16 17:45:00+00:00,1,0.10160000000000001,0,0.100760000000011,go_short,False,0.1014,0.0998561399065233,do_nothing,0.10037142857142792,0.09825200000000077,do_nothing,go_long,go_long,508453.0,0.09875682278770846,go_long,0,0.1008,0.10110000000000001
