,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),imit-enter-short (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),nlp-exit-short (entry),close_date,sma-25 (exit),nlp-exit-short (exit),close (exit),short-large-rl (exit),nlp-enter-long (exit),low (exit),ema-12 (exit),mean-grad-hist (exit),imit-enter-short (exit),sma-05 (exit),imit-exit-short (exit),short_kdj (exit),short-bid-rl (exit),long_jcrosk (exit),open (exit),short-small-rl (exit),volume (exit),long-large-rl (exit),sma-07 (exit),nlp-enter-short (exit),long-small-rl (exit),high (exit),long-bid-rl (exit),sma-compare (exit),ema-26 (exit)
82,AMP/USDT:USDT,2024-11-16 14:30:00+00:00,first_buy,long-exit-profit,0.004657,0.004928,0.004474521258047521,0.004431355841994362,0.004385,0,0.004665,279.0,1,False,0.004507400000000047,0.004495857142857168,0.0044069600000000006,0.858102,0.1898659480054829,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-16 15:45:00+00:00,0.00448632,go_long,0.005382,go_long,go_long,0.004572,0.004552373736095452,0,go_long,0.004777800000000047,go_long,False,go_long,0,0.0046819999999999995,go_long,921.0,go_long,0.004717428571428595,go_long,go_long,0.005382,go_long,0,0.004686849752432207
72,AMP/USDT:USDT,2024-09-15 20:15:00+00:00,first_buy,long-exit-profit,0.003858,0.003858,0.0037907303701397114,0.0037942354480310016,0.003467,1,0.0037719999999999997,3088.0,0,False,0.0038052000000000684,0.003790857142857194,0.0037959600000000236,1.083268,0.1430705730018263,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-09-22 12:30:00+00:00,0.0040187600000000205,go_long,0.004340999999999999,go_long,go_long,0.004219,0.004035833485226616,0,go_long,0.004121000000000067,go_long,False,go_long,0,0.004267,go_long,6538.0,go_long,0.004080714285714336,go_long,go_long,0.004412,go_long,0,0.004083725060407813
84,AMP/USDT:USDT,2024-11-20 17:00:00+00:00,first_buy,long-exit-profit,0.004580000000000001,0.004602,0.004606733309438221,0.004617639726121709,0.004226,1,0.004436,3352.0,0,False,0.004587600000000045,0.004623000000000008,0.004615239999999996,0.5974752,0.13181941733178482,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-23 13:30:00+00:00,0.005028399999999997,go_long,0.005051,go_long,go_long,0.005051,0.005002680658418378,0,go_long,0.005049600000000056,go_long,False,go_long,0,0.005051,go_long,0.0,go_long,0.005040714285714299,go_long,go_long,0.005051,go_long,0,0.005043601357036103
69,AMP/USDT:USDT,2024-08-16 15:30:00+00:00,first_buy,long-exit-profit,0.004314999999999999,0.004349,0.0038921352588791457,0.003752650369684799,0.004143,0,0.00417,8126.0,1,False,0.00406920000000007,0.003934285714285758,0.0037099600000000312,1.2116425,0.14590550481341222,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-08-25 07:15:00+00:00,0.004156040000000029,go_long,0.004738,go_long,go_long,0.004336,0.00419334852923251,0,go_long,0.004305200000000074,go_long,False,go_long,0,0.004353,go_long,5067.0,go_long,0.004255857142857191,go_long,go_long,0.004776,go_long,0,0.004254430547388884
86,AMP/USDT:USDT,2024-11-26 13:15:00+00:00,first_buy,long-exit-profit,0.0048709999999999995,0.004893,0.004951083472758664,0.0050421108886434226,0.004791999999999999,0,0.004889,814.0,0,False,0.004908000000000051,0.004900571428571446,0.005060399999999996,0.66256462,0.13544152185036165,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-27 19:15:00+00:00,0.005298079999999996,go_long,0.0053679999999999995,go_long,go_long,0.0053679999999999995,0.005298620489391181,0,go_long,0.005368000000000048,go_long,False,go_long,0,0.0053679999999999995,go_long,0.0,go_long,0.005368000000000017,go_long,go_long,0.0053679999999999995,go_long,0,0.005348503125792649
87,AMP/USDT:USDT,2024-11-27 19:30:00+00:00,first_buy,long-exit-profit,0.005552,0.005801,0.005405502644901472,0.005329759712399241,0.005552,0,0.005719,251.0,1,False,0.005438200000000048,0.005418142857142874,0.005321159999999996,0.80907311,0.142576264800643,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-28 05:15:00+00:00,0.005931399999999993,go_long,0.006408,go_long,go_long,0.006268999999999999,0.005949847947126432,0,go_long,0.006150400000000051,go_long,False,go_long,0,0.006268999999999999,go_long,4496.0,go_long,0.006125428571428587,go_long,go_long,0.0068189999999999995,go_long,0,0.006072606869607507
60,AMP/USDT:USDT,2024-07-05 04:15:00+00:00,first_buy,long-exit-profit,0.0037549999999999997,0.003756,0.003970577688312689,0.004089087021633813,0.003722,1,0.003722,56.0,0,False,0.003829600000000067,0.003914285714285735,0.0041487600000000326,0.99011,0.13291062605762954,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-07-06 17:30:00+00:00,0.00410308000000003,go_long,0.004131,go_long,go_long,0.004131,0.0041005449733757995,0,go_long,0.004131000000000069,go_long,False,go_long,1,0.004131,go_long,0.0,go_long,0.004122714285714309,go_long,go_long,0.004131,go_long,0,0.004115455619968909
88,AMP/USDT:USDT,2024-11-28 05:30:00+00:00,first_buy,long-exit-profit,0.0064800000000000005,0.0064800000000000005,0.006125436581975583,0.005984377728820771,0.006388,0,0.006416,288.0,0,False,0.00622260000000005,0.006180571428571444,0.005954719999999993,1.94906087,0.2977238159394122,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-28 11:15:00+00:00,0.006739159999999991,go_long,0.008480000000000001,go_long,go_long,0.006965,0.006719087680770908,0,go_long,0.007107800000000051,go_long,False,go_long,0,0.006965,go_long,13324.0,go_long,0.0070051428571428756,go_long,go_long,0.008541,go_long,0,0.006993362835640769
68,AMP/USDT:USDT,2024-08-14 12:30:00+00:00,first_buy,long-exit-profit,0.003604,0.0037579999999999996,0.0035893449099324392,0.003594888653545459,0.003283,0,0.003603,6251.0,0,False,0.0035812000000000712,0.00358600000000004,0.0035980000000000304,1.428184,0.19854679136616235,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-08-16 15:15:00+00:00,0.0036864000000000306,go_long,0.004284,go_long,go_long,0.0039889999999999995,0.003719262399259583,0,go_long,0.003953000000000069,go_long,False,go_long,0,0.0040279999999999995,go_long,2912.0,go_long,0.003858142857142901,go_long,go_long,0.004297,go_long,0,0.0038416143968571723
91,AMP/USDT:USDT,2024-12-04 01:15:00+00:00,first_buy,long-exit-profit,0.009677,0.011415999999999999,0.009109181894149452,0.008672584218316287,0.009545999999999999,0,0.010697,31604.0,0,False,0.009351200000000054,0.009130571428571458,0.00865471999999999,2.740765,0.2550560757360944,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-12-04 03:15:00+00:00,0.00947619999999999,go_long,0.013515,go_long,go_long,0.011682999999999999,0.009732956294782444,0,go_long,0.011321600000000055,go_long,False,go_long,0,0.011682999999999999,go_long,14782.0,go_long,0.010932142857142887,go_long,go_long,0.013515,go_long,0,0.010657386864071946
92,AMP/USDT:USDT,2024-12-04 04:15:00+00:00,first_buy,long-exit-profit,0.011876,0.012346999999999999,0.011332859741496353,0.010368452969660586,0.010737,1,0.010806999999999999,28298.0,0,False,0.012467600000000054,0.012146285714285743,0.010047639999999991,1.989453,0.18458860726901968,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-12-04 08:15:00+00:00,0.011531279999999991,go_long,0.012768,go_long,go_long,0.011757,0.01121851776306259,0,go_long,0.011918800000000057,go_long,False,go_long,0,0.011915,go_long,9423.0,go_long,0.011767857142857174,go_long,go_long,0.013191999999999999,go_long,0,0.011708831155079164
66,AMP/USDT:USDT,2024-08-05 01:00:00+00:00,first_buy,long-exit-profit,0.0033900000000000002,0.0033900000000000002,0.003453536560999685,0.0034697542848460983,0.0033439999999999998,1,0.0033439999999999998,24.0,0,False,0.0034222000000000653,0.0034490000000000384,0.0035036400000000327,0.973632,0.14539003597299563,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-08-07 14:15:00+00:00,0.003602680000000032,go_long,0.003839,go_long,go_long,0.0036200000000000004,0.0035935892609415226,0,go_long,0.0036374000000000684,go_long,False,go_long,0,0.0036200000000000004,go_long,5689.0,go_long,0.0036155714285714645,go_long,go_long,0.003941,go_long,0,0.003626183575629033
94,AMP/USDT:USDT,2024-12-07 01:00:00+00:00,first_buy,long-exit-profit,0.010825999999999999,0.010825999999999999,0.010805552407028164,0.010874562878969077,0.010400000000000001,1,0.010546,936.0,0,False,0.010752000000000055,0.010771571428571452,0.010885520000000004,1.446441,0.13703138966296863,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-12-08 15:15:00+00:00,0.010732800000000011,go_long,0.012085,go_long,go_long,0.011090000000000001,0.010808369294286576,0,go_long,0.01105860000000006,go_long,False,go_long,0,0.011169,go_long,21536.0,go_long,0.010958285714285731,go_long,go_long,0.01267,go_long,0,0.010964897669517517
63,AMP/USDT:USDT,2024-07-24 23:15:00+00:00,first_buy,long-exit-profit,0.004118999999999999,0.004151,0.004231664595700282,0.004253530441797277,0.004105999999999999,1,0.004129,476.0,0,False,0.004220400000000078,0.004232000000000038,0.00425588000000004,1.2231665,0.14797100453433706,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-07-28 19:45:00+00:00,0.004273080000000037,go_long,0.004654999999999999,go_long,go_long,0.004454,0.00430271553094054,0,go_long,0.004391200000000077,go_long,False,go_long,0,0.004454,go_long,11673.0,go_long,0.004360285714285748,go_long,go_long,0.005051,go_long,0,0.004352629116017665
96,AMP/USDT:USDT,2024-12-10 18:15:00+00:00,first_buy,long-exit-profit,0.008690000000000002,0.008692,0.009089619074050691,0.00939939649238207,0.008485,1,0.008515,319.0,0,False,0.008881600000000066,0.008938285714285728,0.009508920000000002,1.160677,0.13526802175892236,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-12-11 13:30:00+00:00,0.00941084,go_long,0.009705,go_long,go_long,0.009682,0.009454560206820681,0,go_long,0.00961400000000007,go_long,False,go_long,0,0.009682,go_long,240.0,go_long,0.009590285714285735,go_long,go_long,0.009741999999999999,go_long,0,0.009550167899945297
133,BBL/USDT:USDT,2024-04-13 18:15:00+00:00,first_buy,long-exit-profit,0.09879,0.09879,0.10081745962977062,0.10248177855689414,0.09,1,0.0906,6568.0,0,False,0.09842999999999998,0.10104285714285792,0.10268279999999978,1.726212,0.19116367503464277,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-04-14 10:15:00+00:00,0.0964795999999998,go_long,0.10774,go_long,go_long,0.09873000000000001,0.09611597496044635,0,go_long,0.100428,go_long,False,go_long,0,0.09873000000000001,go_long,2912.0,go_long,0.09908285714285794,go_long,go_long,0.1085,go_long,0,0.09855425749516676
90,AMP/USDT:USDT,2024-12-03 20:00:00+00:00,first_buy,long-exit-profit,0.007684,0.008922,0.007623521354661731,0.007505009358601955,0.007684,0,0.008251999999999999,8791.0,1,False,0.007707600000000059,0.007659571428571456,0.0073919199999999885,1.360024,0.16371434325404685,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-12-04 01:00:00+00:00,0.00852687999999999,go_long,0.00953,go_long,go_long,0.009027,0.008510630955781591,0,go_long,0.008951200000000053,go_long,False,go_long,0,0.009231,go_long,6978.0,go_long,0.008823285714285744,go_long,go_long,0.009575,go_long,0,0.008820487693085716
115,BBL/USDT:USDT,2024-03-08 12:15:00+00:00,first_buy,long-exit-profit,0.25394,0.25476000000000004,0.2415484128673997,0.2363248851964785,0.24404,0,0.24404,9462.0,0,False,0.24220400000000059,0.24212714285714282,0.23662560000000007,1.12407689,0.15387567980267147,0,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-03-09 16:00:00+00:00,0.2662124000000001,go_long,0.28427,go_long,go_long,0.27297000000000005,0.26736855539177584,0,go_long,0.2722060000000009,go_long,False,go_long,0,0.27424000000000004,go_long,3450.0,go_long,0.2717457142857145,go_long,go_long,0.28600000000000003,go_long,0,0.270611988576547
79,AMP/USDT:USDT,2024-11-03 04:15:00+00:00,first_buy,long-exit-profit,0.003502,0.0035139999999999998,0.003549337708384426,0.003564591256048065,0.0034649999999999998,1,0.0035139999999999998,325.0,0,False,0.0035284000000000647,0.003537714285714318,0.0035745599999999927,1.196732,0.1701104814366055,1,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,go_long,2024-11-09 14:45:00+00:00,0.0038693999999999916,go_long,0.0038659999999999996,go_long,go_long,0.0038659999999999996,0.0038575981119593488,0,go_long,0.003866000000000058,go_long,False,go_long,0,0.0038659999999999996,go_long,0.0,go_long,0.0038622857142857447,go_long,go_long,0.0038659999999999996,go_long,0,0.0038629294637064432
