,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry),grads-ratio (entry)
428,CFX/USDT:USDT,2024-03-06 21:30:00+00:00,0.31902,0.32158,0.3131005585935084,0.3082034121324903,0.31818,0,0.31916,1683566.0,0.3076676,0,0,go_short,0.3168659999999997,0.315645714285714,go_short,go_short,go_short,-60.48690097,second_buy,trailing_stop_loss,do_nothing,go_short,3.031903190319098
429,CFX/USDT:USDT,2024-02-28 00:15:00+00:00,0.2465,0.2478,0.2462704669587822,0.2464629772079772,0.24572,0,0.24588,745287.0,0.2466044,0,0,go_short,0.246054,0.2462357142857143,go_short,go_short,go_short,-66.84745876,second_buy,trailing_stop_loss,do_nothing,go_short,3.031903190319098
430,CETUS/USDT:USDT,2024-05-20 15:30:00+00:00,0.10263,0.10641,0.1013588863182488,0.1000747940643954,0.10247,0,0.10584,716082.0,0.0999539999999997,0,0,go_short,0.1020960000000006,0.1016557142857141,go_short,go_short,go_short,-36.02032535,second_buy,trailing_stop_loss,do_nothing,go_short,0.1332052513608754
431,CETUS/USDT:USDT,2024-04-22 03:45:00+00:00,0.13264,0.13763,0.1304416226797682,0.1296327575246084,0.13234,0,0.13583,425520.0,0.1295735999999997,0,0,go_short,0.1310440000000002,0.1301871428571428,go_short,go_short,go_short,53.76153283,second_buy,trailing_stop_loss,go_short,go_short,0.1332052513608754
432,XMR/USDT:USDT,2024-04-29 15:30:00+00:00,123.21,124.22,124.62274465274535,124.83607706962955,121.75,1,122.77,2162.17,124.97640000000006,0,0,go_short,124.47400000000076,124.65857142857114,go_short,go_short,go_short,52.74525686,first_buy,trailing_stop_loss,go_short,go_short,-0.8002554278416398
433,CETUS/USDT:USDT,2024-03-26 11:45:00+00:00,0.17392,0.1791,0.1684398921600937,0.1650685028572742,0.17392,0,0.17743,2529609.0,0.1651404000000001,0,0,go_short,0.1710999999999999,0.1694671428571429,go_short,go_short,go_short,82.6890677,second_buy,trailing_stop_loss,go_short,go_short,0.1332052513608754
434,CETUS/USDT:USDT,2024-03-21 16:30:00+00:00,0.1472,0.18453,0.1483604391794147,0.142696408211076,0.1467,0,0.16629,22164813.0,0.1417088000000001,1,0,go_short,0.1509739999999998,0.1500628571428572,go_short,go_short,go_short,-12.1364014,second_buy,trailing_stop_loss,do_nothing,go_short,0.1332052513608754
435,CETUS/USDT:USDT,2024-03-21 06:15:00+00:00,0.1262,0.12997,0.123540061543458,0.1217345737821246,0.1259,0,0.12806,1198549.0,0.1225820000000001,0,0,go_short,0.1235459999999998,0.1230828571428573,go_short,go_short,go_short,-82.13875983,second_buy,trailing_stop_loss,do_nothing,go_short,0.1332052513608754
436,CETUS/USDT:USDT,2024-03-05 20:00:00+00:00,0.10578,0.10602,0.1059357413109585,0.1084563426137554,0.07705,1,0.08931,8239576.0,0.1089343999999999,0,0,go_short,0.104126,0.1058114285714284,go_short,go_short,go_short,-57.94381924,second_buy,trailing_stop_loss,do_nothing,go_short,0.1332052513608754
437,BNX/USDT:USDT,2024-05-19 10:15:00+00:00,1.0871,1.0993,1.0630079753019646,1.0424647525189903,1.0728,1,1.0882,758289.8,1.0329560000000024,0,0,go_short,1.0810599999999984,1.070957142857144,go_short,go_short,go_short,-64.81398445,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
438,BNX/USDT:USDT,2024-04-23 14:15:00+00:00,0.8936000000000001,0.9287,0.8655625910705027,0.8452110107135123,0.8879,0,0.9212,3176529.7,0.8350360000000014,0,0,go_short,0.8875999999999978,0.8772428571428595,go_short,go_short,go_short,-42.19204581,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
439,BNX/USDT:USDT,2024-04-15 03:15:00+00:00,0.7443000000000001,0.7883,0.7318694470112701,0.7214582428005868,0.7405,0,0.7714000000000001,1480198.3,0.720432000000001,0,0,go_short,0.7391799999999981,0.7297571428571444,go_short,go_short,go_short,-39.35388763,second_buy,trailing_stop_loss,do_nothing,go_short,2.3830523130133843
440,BEAM/USDT:USDT,2024-04-23 02:30:00+00:00,0.0328139999999999,0.032961,0.032511070995771,0.0322880590073625,0.032736,1,0.032813,1621800.0,0.0322532399999999,1,0,go_short,0.0327105999999998,0.0326538571428571,go_short,go_long,go_short,42.45610498,second_buy,trailing_stop_loss,go_short,go_short,0.4771593855974363
441,BEAM/USDT:USDT,2024-04-14 22:30:00+00:00,0.026497,0.027079,0.0256687719428845,0.0254377790597683,0.02641,0,0.026978,2755200.0,0.0253943599999999,0,0,go_short,0.0257491999999999,0.0256025714285714,go_short,go_long,go_short,-48.86699904,second_buy,trailing_stop_loss,do_nothing,go_short,0.4771593855974363
442,BEAM/USDT:USDT,2024-04-12 18:45:00+00:00,0.0273379999999999,0.0273379999999999,0.0278647547271894,0.0288498628839897,0.019034,1,0.024634,208451600.0,0.0290421999999999,0,0,go_short,0.0270973999999999,0.0274411428571428,go_short,go_long,go_short,-21.91487605,second_buy,trailing_stop_loss,do_nothing,go_short,0.4771593855974363
443,BEAM/USDT:USDT,2024-03-26 06:00:00+00:00,0.037315,0.0376769999999999,0.0371498675204548,0.036785325870658,0.037315,1,0.037605,3667100.0,0.0367012799999999,0,0,go_short,0.0373647999999999,0.0373178571428571,go_short,go_long,go_short,77.46339634,second_buy,trailing_stop_loss,go_short,go_short,0.4771593855974363
