,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
25,0.004834,0.0048649999999999,0.0048949773158462,0.0049226219697818,0.0047789999999999,1,0.0048579999999999,14845.0,0.00490484,0,0,0.0048694000000003,0.0048885714285722,-2.46077194,first_buy,go_long,go_long,force_exit,go_long
26,0.1988,0.1988,0.1996864921649192,0.2004061367808884,0.1963,1,0.1966,156.0,0.2004479999999993,0,0,0.1986800000000021,0.1996142857142902,-1.0392084,first_buy,go_long,go_long,force_exit,go_long
27,6.133,6.14,6.159604105565972,6.2030553744536645,6.085,1,6.088,16588.0,6.177400000000272,0,0,6.140600000000353,6.145000000000896,0.18750498,first_buy,go_long,go_long,force_exit,go_long
28,0.0074319999999999,0.0074319999999999,0.0074943524105924,0.0076245754563544,0.0073469999999999,1,0.0073469999999999,398.0,0.0076513599999999,0,0,0.0074166,0.0074541428571428,-0.48924865,first_buy,go_long,go_long,force_exit,go_long
29,0.2721,0.2728,0.2778720580070047,0.2843354726170847,0.2704,0,0.2728,338.0,0.2865599999999974,0,0,0.2737399999999945,0.2749142857142818,-0.8750844,first_buy,go_long,go_long,force_exit,go_long
30,0.11651,0.11651,0.1179468404717408,0.1202435227286299,0.11528,0,0.11596,46352.0,0.1206496000000007,0,0,0.1166480000000022,0.117095714285713,-1.58373066,first_buy,go_long,go_long,force_exit,go_long
31,0.373,0.3747,0.3759118020640448,0.3830109981002914,0.3706,0,0.3736,7488.0,0.380615999999991,0,0,0.3732199999999931,0.3736428571428568,-0.26015885,first_buy,go_long,go_long,force_exit,go_long
32,0.2444,0.2444,0.2457034489001187,0.2473137699325235,0.2404,1,0.2418,280470.0,0.2465280000000012,0,0,0.2453400000000384,0.2455000000000131,-0.41723472,first_buy,go_long,go_long,force_exit,go_long
33,11.79,11.876,11.374852411047955,11.189120355734444,11.565,0,11.736,384854.0,11.065519999999934,1,0,11.548399999999756,11.466428571428532,-3.05595454,first_buy,go_long,go_long,force_exit,go_long
34,0.39905,0.40696,0.3899881395762308,0.386814693718813,0.39848,0,0.40458,8636.0,0.3848623999999981,0,0,0.3930440000000041,0.3907957142857147,-3.02657849,first_buy,go_long,go_long,force_exit,go_long
