,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action
0,1.8126,1.85,1.7676055262853616,1.7310739710671097,1.8104,0,1.8468,2079003.0,1.7185479999999984,0,0,1.7988200000000032,1.7853285714285747,-37.26370347,first_buy,go_long,go_short,go_long,go_long,go_long,go_long,force_exit,go_long
1,7.583,7.632,7.51223421035693,7.412901729830261,7.578,1,7.596999999999999,34123.2,7.377640000000165,0,0,7.569799999999743,7.55971428571445,-43.05859958,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
2,712.87,718.24,708.996930819187,706.7003046333865,710.8,0,716.12,61779.15,707.1155999999916,0,0,710.3779999999897,708.6899999999935,-5.47265124,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,force_exit,go_long
3,0.14569,0.156,0.1349831522088983,0.1258367845864619,0.14442,0,0.15519,78109032.0,0.1224808000000014,0,0,0.1418619999999928,0.1386057142857196,2.61678741,second_buy,go_short,go_short,go_short,go_short,go_short,go_short,force_exit,go_short
4,27.237,27.392,26.737303233815133,25.902943634093823,27.057,1,27.17,141076.8,26.289319999999734,0,0,27.037599999999717,26.977285714285426,-28.10372245,first_buy,go_long,do_nothing,go_long,go_long,go_long,go_long,force_exit,go_long
5,0.0798,0.08497,0.0783147659081474,0.0761882437049143,0.0796,0,0.08406,91451163.0,0.0754496000000022,0,0,0.0798679999999934,0.0793742857142888,-56.78030419,second_buy,go_short,go_short,go_short,go_short,go_short,go_short,liquidation,go_short
6,0.06279,0.06443,0.0674421753108431,0.0704578174333095,0.06157,1,0.06256,10282614.0,0.0701096000000018,0,0,0.0656699999999934,0.0665542857142906,-56.1862817,second_buy,go_short,go_short,go_short,go_short,go_short,go_short,liquidation,go_short
7,0.05572,0.05592,0.0568020111570895,0.0573471463149725,0.05565,1,0.05592,1587563.0,0.0573784000000021,0,0,0.056399999999995,0.0567000000000029,-56.21454788,second_buy,go_short,go_short,go_short,go_short,go_short,go_short,liquidation,go_short
8,1.6489,1.6576,1.567151510624999,1.53336216748782,1.6004,0,1.6141,8835970.0,1.5287839999999997,0,0,1.58796,1.576942857142861,0.5355631,first_buy,go_long,go_short,go_long,go_long,go_long,go_long,long-exit-profit,go_long
9,486.59,489.87,478.2395936989501,474.56115501875104,485.55,0,487.86,58084.34,473.07399999999376,0,0,482.5139999999895,480.0885714285661,0.58787103,first_buy,go_long,go_long,go_long,go_long,go_long,go_long,long-exit-profit,go_long
