,pair,open_date,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,exit_reason,action,regbot_long_-1 (entry),regbot_short_1 (entry),long_signal,short_signal
94,EGLD/USDT:USDT,2023-06-08 01:45:00+00:00,35.15,35.2,35.17778045492533,35.21459245802614,35.15,0,35.2,0.52,35.23200000000069,0,0,35.140000000000484,35.14999999999772,27.62185259,second_buy,roi,,1,1,0.0,0.0
95,BSV/USDT:USDT,2023-08-16 20:30:00+00:00,32.8,32.8,32.61207398850319,32.784423800843115,30.8,1,31.5,21409.37,32.76200000000014,0,0,32.529999999999326,32.62142857142698,5.01993096,first_buy,roi,,-1,-1,0.0,0.0
96,EGLD/USDT:USDT,2023-04-27 01:15:00+00:00,43.2,48.7,42.97600073660615,42.296981141390376,43.1,0,47.2,120956.73,41.83200000000062,0,0,43.79000000000048,43.128571428569295,57.05210033,second_buy,roi,,1,1,0.0,0.0
97,BSW/USDT:USDT,2022-03-23 16:15:00+00:00,0.6827000000000001,0.6872,0.6955182938513971,0.7135014245014246,0.6683,0,0.674,68004.0,0.712804,1,0,0.6817800000000002,0.6877571428571427,169.64927617,first_buy,roi,,-1,-1,0.0,0.0
98,EGLD/USDT:USDT,2022-11-29 23:00:00+00:00,42.55,42.6,42.48469236013519,42.42670149588476,42.5,1,42.55,97.73,42.3500000000005,0,0,42.55000000000052,42.528571428568966,51.27966019,second_buy,roi,,1,1,0.0,0.0
99,EGLD/USDT:USDT,2022-10-09 23:45:00+00:00,56.7,57.1,56.29495669617657,55.99346598531655,56.6,0,56.95,4826.97,55.886000000000514,0,0,56.54000000000112,56.42857142856873,54.18748228,second_buy,roi,,1,1,0.0,0.0
100,EGLD/USDT:USDT,2022-03-28 08:45:00+00:00,207.6,210.05,206.00450512562853,203.17948118478023,207.6,0,209.5,1889.6,202.368,0,0,207.1100000000012,206.99285714285529,29.00230948,second_buy,roi,,1,1,0.0,0.0
101,BSW/USDT:USDT,2023-09-11 20:00:00+00:00,0.0585,0.0586,0.0590577696859902,0.0593242766501818,0.0583,1,0.0585,121059.0,0.0592760000000014,0,0,0.0589000000000043,0.0590428571428613,14.05400473,first_buy,roi,,-1,-1,0.0,0.0
102,BSW/USDT:USDT,2023-09-14 15:45:00+00:00,0.0625,0.0625,0.0624583555209746,0.062389176936761,0.0623,1,0.0624,9473.0,0.0623360000000014,0,0,0.0625000000000043,0.0624857142857185,3.23000568,first_buy,roi,,-1,-1,0.0,0.0
103,BSW/USDT:USDT,2023-09-22 06:15:00+00:00,0.0637,0.0638,0.0637770108668393,0.0637514822719252,0.0635,0,0.0637,116773.0,0.0637920000000015,0,0,0.0636800000000046,0.0637714285714329,11.22675779,first_buy,roi,,-1,-1,0.0,0.0
104,BSW/USDT:USDT,2023-11-07 09:15:00+00:00,0.07935,0.07935,0.0792711609568951,0.0796142245753247,0.07827,1,0.07861,142174.0,0.0795860000000016,0,0,0.0790660000000052,0.0790985714285756,14.09126503,first_buy,roi,,-1,-1,0.0,0.0
105,SSV/USDT:USDT,2023-09-11 10:30:00+00:00,13.96,13.98,14.232849321915474,14.41353335019987,13.66,1,13.75,13002.76,14.506200000000057,0,0,14.053000000000043,14.155714285714462,45.46810655,first_buy,roi,go_long,-1,-1,1.0,0.0
106,CVC/USDT:USDT,2022-07-25 04:00:00+00:00,0.136,0.136,0.1370431928182036,0.1392818982801776,0.134,0,0.1345,12505.0,0.1402800000000001,0,0,0.135699999999996,0.1357857142857181,13.24495515,first_buy,roi,go_long,-1,-1,1.0,0.0
107,CVC/USDT:USDT,2022-09-18 21:15:00+00:00,0.134,0.1345,0.1340553253243216,0.1354098493302652,0.126,1,0.1285,999799.0,0.1355599999999998,0,0,0.133399999999995,0.1338571428571436,0.82253059,first_buy,roi,go_long,-1,-1,1.0,0.0
108,CVC/USDT:USDT,2022-11-04 22:30:00+00:00,0.1315,0.1315,0.130797829858648,0.1301334799132382,0.131,1,0.131,758.0,0.1297599999999996,1,0,0.1312000000000023,0.1312142857142856,10.29877404,first_buy,roi,go_long,-1,-1,1.0,0.0
109,CVC/USDT:USDT,2022-12-16 23:30:00+00:00,0.09186,0.09248,0.0955606709792467,0.0964895031938653,0.09096,1,0.09147,114797.0,0.0970111999999996,0,0,0.0940980000000026,0.0954014285714287,10.36704704,first_buy,roi,go_long,-1,-1,1.0,0.0
110,CVC/USDT:USDT,2023-01-14 04:15:00+00:00,0.09375,0.09375,0.0933389623655934,0.092356725695942,0.09337,1,0.09337,6015.0,0.0923379999999996,0,0,0.0935760000000026,0.0936242857142862,26.83317237,first_buy,roi,go_long,-1,-1,1.0,0.0
111,CVC/USDT:USDT,2023-01-18 08:15:00+00:00,0.10472,0.10579,0.1054712566130122,0.1056750442260323,0.10451,0,0.1056,69677.0,0.1059747999999995,0,0,0.1049240000000027,0.1050357142857146,0.8257911,first_buy,roi,go_long,-1,-1,1.0,0.0
