,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
24,0.2597,0.2606,0.270206497697333,0.2781016039324921,0.2544,0,0.257,1617567.0,0.284208,0,0,go_short,0.2613600000000391,0.2654142857143008,go_short,go_short,go_short,-3.67115784,first_buy,go_short,go_short,stop_loss,go_long,go_short
25,0.332,0.333,0.340716362042228,0.3500579790423924,0.329,1,0.33,13471.0,0.3520400000000014,0,0,go_short,0.3368000000000273,0.3377142857142991,go_short,go_short,go_short,-3.4378132,first_buy,go_short,go_short,stop_loss,go_long,go_short
26,0.473,0.473,0.4797361811869839,0.4846228429103817,0.463,1,0.464,32257.0,0.4845600000000008,0,0,go_short,0.4766000000000262,0.4797142857142992,go_short,go_short,go_short,-3.63225654,first_buy,go_short,go_short,stop_loss,go_long,go_short
27,0.767,0.767,0.789381319072385,0.8003187327218358,0.762,1,0.766,27127.0,0.8021599999999998,0,0,go_short,0.7776000000000247,0.7854285714285872,go_short,go_short,go_short,-3.68231868,first_buy,go_short,go_short,stop_loss,go_long,go_short
28,1.852,1.852,1.8612356423456196,1.8671588039735036,1.816,1,1.835,52532.0,1.870559999999996,0,0,go_short,1.8590000000000315,1.860428571428582,go_short,go_short,go_short,-3.75252436,first_buy,go_short,go_short,stop_loss,go_long,go_short
29,1.30694,1.69584,1.5321889883254791,1.6350054076312412,0.99849,1,1.23214,96970.0,1.6698996000000066,0,0,go_short,1.4563259999999916,1.4806700000000104,go_short,go_short,go_short,-4.8802764,first_buy,go_short,go_short,stop_loss,go_long,go_short
30,2.964,2.964,2.9965829686037866,3.008451537201451,2.653,1,2.835,741695.0,3.025519999999996,0,0,go_short,2.9710000000000134,2.995857142857154,go_short,go_short,go_short,-3.80206462,first_buy,go_short,go_short,stop_loss,go_long,go_short
31,0.7319,0.7444000000000001,0.7539911741673482,0.763079797483471,0.7126,1,0.7173,4727925.0,0.7668640000000008,0,0,go_short,0.7461600000000395,0.7522571428571535,go_short,go_short,go_short,-3.27620161,first_buy,go_short,go_short,stop_loss,go_long,go_short
32,3.01,3.012,2.999229674429611,3.0292292823508333,2.915,1,2.915,24487.0,3.0393600000000003,0,0,go_short,2.967600000000013,2.9868571428571533,go_short,go_short,go_short,-3.9055052,first_buy,go_short,go_short,stop_loss,go_long,go_short
33,4.777,4.777,4.901669460141092,4.914987452128851,2.36,1,4.442,30142.0,4.949599999999997,0,0,go_short,4.8740000000000006,4.9048571428571455,go_short,go_short,go_short,-3.81422391,first_buy,go_short,go_short,stop_loss,go_long,go_short
34,4.586,4.623,5.009294025713271,5.305544766470498,3.4,1,4.02,306.0,5.407879999999998,0,0,go_short,4.801800000000002,4.867285714285714,go_short,go_short,go_short,-3.91498416,first_buy,go_short,go_short,stop_loss,go_long,go_short
35,6.276,6.298,6.366622230023796,6.608327635327634,6.276,0,6.298,187.0,6.606159999999999,0,0,go_short,6.209800000000003,6.212428571428574,go_short,go_short,go_short,-3.97812128,first_buy,go_short,go_short,stop_loss,go_long,go_short
36,0.85243,0.85304,0.8580575837926151,0.8633995147638882,0.84038,1,0.8427600000000001,50499.0,0.8649828000000229,0,0,go_short,0.8541559999999888,0.8562157142857136,go_short,go_short,go_short,-3.3210235,first_buy,go_short,go_short,stop_loss,go_long,go_short
37,0.4577,0.46,0.4619990242674596,0.4636399383637836,0.4425,1,0.4479,722504.0,0.4619360000000009,0,0,go_short,0.4627400000000387,0.4632857142857256,go_short,go_short,go_short,-4.00721631,first_buy,go_short,go_short,stop_loss,go_long,go_short
38,0.3883,0.3897,0.3936718129404429,0.3997785684245016,0.3838,1,0.3857,218983.0,0.4011600000000011,0,0,go_short,0.3915000000000391,0.391871428571441,go_short,go_short,go_short,-3.78651593,first_buy,go_short,go_short,stop_loss,go_long,go_short
39,7.124,7.124,7.300653072719855,7.413452808149403,7.017,1,7.038,62505.0,7.46900000000002,0,0,go_short,7.179399999999913,7.215428571428577,go_short,go_short,go_short,-3.3315732,first_buy,go_long,go_long,stop_loss,go_long,go_short
40,0.1161,0.1161,0.1150962974716983,0.1186087810591444,0.0899,1,0.096,166385.0,0.1201919999999948,0,0,go_short,0.1125399999999927,0.114271428571433,go_short,go_short,go_short,-3.39753687,second_buy,do_nothing,do_nothing,stop_loss,go_short,go_short
41,287.35,287.35,299.091803749341,307.5532980824806,267.7,1,275.95,174110.0,311.23399999999964,1,0,go_short,290.6600000000002,295.38571428571504,go_short,go_short,go_short,-3.2625867,first_buy,go_long,go_long,stop_loss,go_long,go_short
42,7.503,7.526,7.657659966402869,7.725379425228996,7.4,1,7.471,9929.0,7.74312000000001,0,0,go_short,7.583199999999939,7.617285714285613,go_short,go_short,go_short,-2.94801,first_buy,go_long,go_long,stop_loss,go_long,go_short
43,45491.4,45895.3,45412.81715613955,45337.93689745663,45469.8,0,45760.1,9986460.0,45347.92799999986,0,0,go_short,45470.95999999999,45418.50000000068,go_short,go_short,go_short,-3.55305116,second_buy,do_nothing,do_nothing,stop_loss,go_short,go_short
