,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),exit_reason,action
27,0.8678,0.8699,0.8801531731686854,0.8870930122448896,0.8289000000000001,1,0.8422000000000001,2854044.0,0.8928359999999926,0,0,0.8664399999999954,0.8747857142857117,-23.57066833,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
28,1.8775,1.946,2.1390965318413326,2.425972282629174,1.7546,1,1.9174,2898830.0,2.298903999999999,0,0,2.0289199999999994,2.09742857142857,-23.4540203,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
29,5.924,5.926,5.8975683924996405,5.9641739286567095,5.461,1,5.604,150323.2,5.9663599999998045,0,0,5.859999999999863,5.885857142856902,-26.66920561,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
30,35.841,36.628,35.903193473394154,35.52718746718752,35.821,0,36.621,355575.2,35.36572000000007,0,0,35.996999999999865,36.01728571428567,-34.0258649,first_buy,do_nothing,go_short,go_short,go_short,stop_loss,go_long
31,30.743,30.792,33.94168876041854,35.67558082142034,15.376,1,23.921,6806039.8,36.30504000000005,0,0,32.40779999999977,33.25571428571448,-23.70898091,first_buy,do_nothing,go_short,go_short,go_short,stop_loss,go_long
32,15.236,15.493,16.397087194357358,17.387837997785805,13.611,1,14.139,4547204.6,17.477280000000047,0,0,15.757399999999825,16.2035714285716,-32.69428601,first_buy,do_nothing,go_short,go_short,go_short,stop_loss,go_long
33,9.686,9.7,10.21312506851362,10.558930753444947,7.888,1,8.368,7723356.6,10.607759999999873,0,0,9.931800000000004,10.108000000000317,-18.70711144,first_buy,do_nothing,go_short,go_short,go_short,stop_loss,go_long
34,9.634,9.703,9.961924224986069,10.10884582545286,9.501,1,9.562,20927.0,10.164199999999854,1,0,9.804999999999898,9.885571428571206,-22.88133231,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
35,2.021,2.087,2.0170057050614414,1.9760959478559528,2.02,0,2.084,663173.8,1.9572800000000012,0,0,2.033599999999996,2.0334285714285727,-22.97167671,second_buy,go_long,do_nothing,do_nothing,do_nothing,stop_loss,go_short
36,2.835,2.98,2.809062694323843,2.764698931068424,2.832,0,2.962,2543539.7,2.7446799999999985,0,0,2.856799999999999,2.833142857142865,-18.96009485,second_buy,go_long,do_nothing,do_nothing,do_nothing,stop_loss,go_short
37,4.096,4.166,3.931438912846,3.845989953538648,4.017,0,4.031,2318650.9,3.875759999999993,0,0,3.9822000000000015,3.9577142857143,-21.39139145,second_buy,go_long,do_nothing,do_nothing,do_nothing,stop_loss,go_short
38,15.804,16.334,16.28374005251844,16.56878113689154,14.457,1,15.733,74630.6,16.593959999999846,0,0,16.05059999999984,16.099285714285482,-22.99808837,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
39,1.7479,1.7895,1.7387876968906997,1.7173977207977211,1.7304,0,1.7666,1409560.3,1.7195880000000003,0,0,1.7418600000000009,1.7442857142857142,-21.2836276,first_buy,do_nothing,go_long,go_short,go_short,stop_loss,go_long
40,1.1093,1.113,1.17087897313712,1.1889105940208455,1.0195,1,1.1013,2256378.8,1.1948680000000005,0,0,1.1533399999999936,1.1686857142857072,-24.56259808,first_buy,do_nothing,go_long,go_short,go_short,stop_loss,go_long
41,24.483,24.554,24.71321834762407,25.075694046094306,24.069,1,24.083,7001.6,24.95211999999984,0,0,24.48940000000016,24.600999999999697,-24.91426735,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
42,6923.0,6944.0,7028.463582177545,7061.722492784173,6831.0,1,6840.0,77.915,7076.719999999935,0,0,6997.200000000046,7027.714285714186,-21.43561389,first_buy,go_short,go_short,do_nothing,do_nothing,stop_loss,go_long
43,5.2537,5.3371,5.296467896980244,5.2206595441595445,5.22,0,5.274,103685.0,5.24438,0,0,5.285000000000002,5.289571428571428,-22.60587941,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
44,3.4461,3.473,3.7808209729681135,4.119343269013395,2.8894,1,2.9767,1578458.0,4.257811999999998,1,0,3.47726,3.60612857142857,-23.42259193,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
45,1.2546,1.61,1.6286983246270172,1.989815301580711,1.125,0,1.3999,5813848.0,1.965948,0,0,1.3792999999999995,1.4573571428571417,-22.41627574,first_buy,go_short,go_long,go_short,go_short,stop_loss,go_long
46,66.041,68.132,66.19484949523279,65.65808831908831,65.545,0,67.689,12454.2,65.4622,0,0,66.59960000000001,66.41857142857143,-24.5628379,first_buy,do_nothing,do_nothing,go_short,go_short,stop_loss,go_long
