,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
0,0.00584,0.00587,0.0058262868883357,0.0058811420285168,0.00583,0,0.00584,27020363.0,0.0058455999999999,0,0,0,1,go_short,1.59582733
1,6.902,6.902,6.903418993519771,6.97547184771825,6.859,1,6.863,45915.0,6.9547199999999885,0,0,1,0,go_short,-2.21321058
2,0.906,0.906,0.9070694693917652,0.9197467066311014,0.899,1,0.899,586780.5,0.9151599999999592,0,0,1,1,go_short,10.93330676
3,5.912,5.917,6.07605818768646,6.110308403432295,5.7,1,5.818,247571.9,6.154439999999999,0,0,1,0,go_short,-4.34866245
4,5.59,5.628,5.694763480067322,5.7962974532584415,5.413,1,5.501,169912.39,5.822000000000004,0,0,1,0,go_short,-4.58248807
5,4.878,4.883,4.913325042669906,4.937426415499151,4.839,1,4.853,39705.82,4.9426,0,0,1,0,go_short,-4.19094495
6,5.284,5.298,5.349427677137983,5.409291077204755,5.231,1,5.254,58353.25,5.408400000000009,0,0,1,0,go_short,-4.08977505
7,5.249,5.268,5.299493937393616,5.353014277785259,5.186,1,5.206,83278.27,5.3687199999999935,0,0,0,0,go_short,-4.33421111
8,4.978,4.978,5.030785142942828,5.064552353152793,4.875,1,4.939,182867.5,5.085600000000004,0,0,1,0,go_short,-4.50656018
9,6.001,6.058,6.157691564151545,6.248949554647998,5.862,1,5.883,217178.44,6.276320000000001,0,0,1,0,go_short,-4.56183712
10,4.6690000000000005,4.6690000000000005,4.7165000216767465,4.758793981027021,4.577,1,4.617,116477.5,4.782800000000002,0,0,1,0,go_short,-4.33862372
11,5.182,5.185,5.218346275495777,5.261315593432877,5.108,1,5.115,105183.75,5.284960000000009,0,0,1,0,go_short,-4.1153901
12,5.986,5.991,6.091567495552828,6.161366077907858,5.901,0,5.942,94326.03,6.235120000000007,0,0,1,0,go_short,-4.3020002
13,5.63,5.679,5.749884015558006,5.798004437310291,5.573,1,5.58,132806.42,5.802160000000004,0,0,1,0,go_short,-4.42309304
14,6.442,6.47,6.555353844599445,6.611510016216111,6.163,1,6.175,417748.02,6.663000000000007,0,0,1,0,go_short,-5.30211374
15,5.907,5.908,6.055965433247479,6.183065935117496,5.812,1,5.821,135392.59,6.207520000000005,0,0,1,0,go_short,-4.58149247
16,6.658,6.703,6.777329987761039,6.825304756960083,6.361,1,6.412,372205.29,6.9128400000000045,0,0,1,0,go_short,-4.98396664
17,4.725,4.725,4.746249727596012,4.768155151982657,4.672,1,4.672,86668.5,4.776000000000012,0,0,1,0,go_short,-4.11147962
18,4.313,4.319,4.409286148166377,4.495291216954588,4.244,1,4.28,109184.05,4.533760000000004,0,0,1,0,go_short,-4.14771872
19,14.473,14.49,14.57385065611345,14.649614040533065,14.32,1,14.349,6010.9,14.652279999999998,0,0,1,0,go_short,-4.08144947
20,8.924,8.956,8.93281542727177,8.85419740044618,8.58,1,8.634,291440.36,8.896920000000005,0,0,0,0,go_short,-5.17685392
21,20.192,20.458,20.61731503359636,20.83827964058399,20.031,1,20.068,73252.2,20.899039999999985,0,0,1,0,go_short,-3.99683107
22,12.84,12.985,12.871662788812928,12.94738180189094,12.2,1,12.211,242162.24,13.172639999999992,1,0,1,0,go_short,-5.77003114
23,11.74,11.761,11.896493960241004,11.973294681158222,11.55,1,11.599,115504.94,11.986559999999992,0,0,1,0,go_short,-4.02510334
24,8.787,8.822,8.913954340356876,8.989631940159608,8.645,1,8.722,136244.79,9.009999999999998,0,0,1,0,go_short,-4.01959305
25,8.337,8.402,8.496297475339532,8.527514929146623,8.2,1,8.212,109325.14,8.563119999999994,0,0,1,0,go_short,-4.14031243
26,7.071,7.092,7.151767030132612,7.248474448039129,6.955,1,6.961,115919.96,7.28708,0,0,1,0,go_short,-4.19166144
27,7.504,7.537,7.547164215642277,7.613229284610089,7.414,1,7.427,62812.22,7.642880000000002,1,0,1,0,go_short,-4.32251283
28,6.994,7.013,7.253603326357756,7.503000769816996,6.6,1,6.697,341305.02,7.607360000000001,0,0,1,0,go_short,-4.68095374
29,7.535,7.602,7.712584230796627,7.8245636032215,7.108,1,7.177,362345.61,7.831280000000001,0,0,1,0,go_short,-6.03632917
30,8.003,8.015,8.051459539554195,8.174807328997058,7.741,1,7.791,174631.84,8.204440000000005,0,0,1,0,go_short,-4.72930265
31,8.526,8.54,8.801650419101962,8.937958811537671,8.209,1,8.378,533794.02,8.958480000000009,0,0,1,0,go_short,-4.34802387
32,8.998,8.999,9.057433549400182,9.151601743910698,8.844,1,8.9,112620.85,9.168240000000006,0,0,1,0,go_short,-4.03589305
33,9.511,9.511,9.547728827015243,9.559698795314922,9.227,1,9.335,264263.21,9.615400000000006,0,0,1,0,go_short,-4.20727033
34,8.887,8.898,8.975595161284454,9.041605885431489,8.604,1,8.625,238608.69,9.138320000000007,0,0,1,0,go_short,-5.04194788
35,8.559,8.576,8.582271556130522,8.699215054206405,8.275,1,8.343,108432.35,8.765920000000005,0,0,1,0,go_short,-4.27613442
36,5.381,5.431,5.503343508850179,5.616082306151748,5.084,1,5.09,480224.41,5.645480000000004,0,0,1,0,go_short,-5.22889387
37,7.436,7.439,7.598903459735717,7.724632028484131,7.114,1,7.228,509589.72,7.830280000000009,0,0,1,0,go_short,-4.63756084
38,5.726,5.735,5.812670781098665,5.866501240918725,5.628,1,5.646,133773.58,5.89168,0,0,1,0,go_short,-4.63750048
39,4.789,4.803,4.871185742415429,4.958934413162163,4.709,1,4.711,89822.82,4.999320000000006,1,0,1,0,go_short,-4.67891321
40,24.63,24.63,24.66134702150517,25.157404251845925,22.05,1,22.05,22986.9,25.117600000000024,0,0,1,0,go_short,-7.87493327
41,19.991,20.35,20.57305289718467,21.237554972587223,19.704,0,19.704,6344.8,21.54496000000001,0,0,1,0,go_short,-4.22228279
42,18.192,18.251,18.803612336888257,19.348472038472156,17.778,1,17.859,6720.7,19.197880000000023,0,0,1,0,go_short,-4.58125283
43,19.809,19.83,20.201568795692037,20.38492501470464,19.505,1,19.62,4895.2,20.40660000000004,0,0,1,0,go_short,-4.1337814
44,20.837,20.927,21.00060156358044,21.13955720611529,20.764,0,20.776,2474.7,21.29544000000003,1,0,1,0,go_short,-3.9175056
45,19.561,19.697,19.797246737387862,20.137569587551123,19.386,0,19.429,4253.6,20.237000000000037,1,0,0,0,go_short,-3.94188388
46,20.935,20.945,21.04584959668941,21.270463298021745,20.833,1,20.865,1852.9,21.232240000000026,0,0,1,0,go_short,-3.95114638
47,21.949,21.952,22.211190995246504,22.681470952121103,21.365,0,21.555,9542.3,22.700800000000008,1,0,1,0,go_short,-4.32499185
48,22.786,22.786,23.039353504868043,23.2295999605812,22.076,1,22.24,10173.9,23.26392000000001,0,0,1,0,go_short,-4.58631588
