,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),exit_reason,action
23,0.4611,0.4722,0.4525208447473529,0.4479305349177507,0.4606,0,0.4666,3744860.5,0.4489639999999985,0,0,0.4538200000000008,0.4529285714285705,-23.56825615,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
24,0.3082,0.3378,0.2922139663756578,0.2854581072858243,0.3079,0,0.3352,23964537.5,0.2816000000000003,0,0,0.2971000000000015,0.2921428571428573,-22.17277973,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
25,0.07141,0.0753,0.0714126608745971,0.070818025889358,0.07136,0,0.0739,76896468.0,0.0706919999999999,1,0,0.0719879999999999,0.0717742857142858,-25.12239066,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
26,0.05286,0.0531,0.0531361663965124,0.0537451566951567,0.05255,0,0.05255,3258068.0,0.0537844,0,0,0.0530879999999999,0.0529257142857142,-18.27371649,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
27,1.1784,1.1847,1.171443096873085,1.1480933048433049,1.1631,0,1.1795,430100.0,1.145812,0,0,1.1919400000000004,1.1841142857142857,-23.04729789,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
28,4.4811,4.6092,4.274900116985354,4.195562678062679,4.45,0,4.4525,450070.0,4.192196,0,0,4.34764,4.277942857142857,-23.67207142,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
29,5.2537,5.3371,5.296467896980244,5.2206595441595445,5.22,0,5.274,103685.0,5.24438,0,0,5.285000000000002,5.289571428571428,-21.94488774,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
30,0.5902000000000001,0.5919,0.5913244262562972,0.5836857876146757,0.5862,1,0.5875,116861.7,0.5873480000000029,0,0,0.5901999999999975,0.5934999999999929,-21.53777453,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
31,0.3803,0.3803,0.3816751800296358,0.3847824690278253,0.3797,0,0.3797,15370.3,0.3864359999999998,0,0,0.3804999999999985,0.3805428571428521,-18.50188913,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
32,0.5313,0.5487000000000001,0.513887482446993,0.5047009443916164,0.5285000000000001,0,0.5312,3255733.1,0.5056880000000007,1,0,0.5225399999999988,0.517685714285714,-23.33320337,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
33,5.9472000000000005,5.9516,5.966264268848818,5.922155308257088,5.9186,1,5.9392,60049.0,5.958147999999994,0,0,5.953460000000015,5.970828571428567,-22.09179941,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
34,0.379,0.3876,0.3781132415596628,0.3734496221863574,0.3789,0,0.3876,554443.4,0.3722000000000004,0,0,0.3805999999999996,0.3792571428571428,-17.95226335,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
35,0.7467,0.7969,0.7400012084910654,0.7255774928774928,0.7464000000000001,0,0.7852,120541.0,0.7245919999999999,0,0,0.7505200000000001,0.7430857142857141,-25.32965995,second_buy,go_long,go_long,go_long,go_long,stop_loss,do_nothing
