,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,exit_reason,action,nlp-exit-short (entry)
26,717.35,722.0,710.0628588458358,701.3727259904623,713.55,0,720.3,15175.0,699.5459999999995,0,0,go_short,714.8799999999981,712.7357142857148,go_short,go_short,go_short,-2.795192,second_buy,trailing_stop_loss,go_short,go_short
27,563.15,566.8,557.206935610754,554.8773220841973,562.45,0,563.5,15229.0,555.664,0,0,go_short,559.109999999998,557.2214285714279,go_short,go_short,go_short,-1.586834,second_buy,trailing_stop_loss,go_short,go_short
28,517.3,517.3,513.4184037159346,513.409829059829,511.95,0,514.35,2015.0,512.9079999999999,1,0,go_short,515.7499999999999,514.0785714285714,go_short,go_short,go_short,-0.5131023,second_buy,trailing_stop_loss,go_short,go_short
29,118.0,131.8,116.1412530907865,113.40819395862664,117.75,0,130.9,645582.0,112.52399999999813,0,0,go_short,118.10000000000149,116.4857142857322,go_short,go_short,go_short,-2.72374559,second_buy,trailing_stop_loss,go_short,go_short
30,167.35,182.4,153.96914478608667,148.47272302361094,164.75,0,180.25,2520216.0,146.41799999999813,0,0,go_short,159.10000000000156,154.65714285716072,go_short,go_short,go_short,-2.42038958,second_buy,trailing_stop_loss,go_short,go_short
31,233.45,244.85,231.56789621270767,231.13012537508305,229.8,1,232.2,2291146.0,231.29799999999813,1,0,go_short,232.21000000000177,231.55000000001783,go_short,go_short,go_short,-2.25268916,second_buy,trailing_stop_loss,go_short,go_short
32,0.1542,0.1548,0.1529468206003856,0.1517636912858066,0.1541,0,0.1548,5874.0,0.1516319999999932,0,0,go_short,0.1536599999999942,0.1531857142857142,go_short,go_short,go_short,1.40629298,second_buy,trailing_stop_loss,go_short,go_short
33,0.1439,0.1445,0.1435909824856844,0.1432368845868864,0.1438,0,0.1445,8058.0,0.1431079999999931,0,0,go_short,0.143839999999994,0.1437142857142863,go_short,go_short,go_short,-0.40590172,second_buy,trailing_stop_loss,go_short,go_short
34,274.1,327.65,266.4388047157992,258.1230608765517,272.15,0,290.55,5472833.0,254.55399999999813,1,0,go_short,273.0300000000018,269.7000000000178,go_short,go_short,go_short,1.86765758,second_buy,trailing_stop_loss,go_short,go_short
35,0.195,0.1999,0.1943247071685375,0.1935366868166559,0.1947,0,0.1987,20992.0,0.1932239999999935,0,0,go_short,0.1950999999999927,0.1945142857142862,go_short,go_short,go_short,1.69344349,second_buy,trailing_stop_loss,go_short,go_short
36,0.2174,0.2175,0.218108856316403,0.2218435456254428,0.114,1,0.2046,98477.0,0.2232039999999938,0,0,go_short,0.2156799999999929,0.2170285714285723,go_short,go_short,go_short,0.12817559,second_buy,trailing_stop_loss,go_short,go_short
37,0.2866,0.2907,0.2832709465267225,0.2812538951441988,0.2866,0,0.2901,14195.0,0.2801439999999938,0,0,go_short,0.285279999999993,0.2835142857142868,go_short,go_short,go_short,2.85712857,second_buy,trailing_stop_loss,go_short,go_short
38,0.2669,0.2728,0.2580383663321764,0.2534810116703164,0.2665,0,0.2694,69321.0,0.2529679999999936,1,0,go_short,0.261459999999993,0.2592428571428589,go_short,go_short,go_short,-0.29306086,second_buy,trailing_stop_loss,go_short,go_short
39,0.11903,0.12022,0.1181394247322311,0.1174784258903025,0.11903,0,0.12018,2058.0,0.1178759999999932,0,0,go_short,0.118503999999994,0.1182085714285715,go_short,go_short,go_short,-0.93961819,second_buy,trailing_stop_loss,go_short,go_short
40,746.1,822.0,748.8662642897372,792.6176486471518,741.95,0,820.65,99853.0,799.2160000000013,0,0,go_short,750.1599999999992,734.4857142857193,go_short,go_short,go_short,-0.3450343,second_buy,trailing_stop_loss,go_short,go_short
41,839.25,861.55,822.8059800130961,804.4417328322139,839.25,0,857.4,56825.0,805.8800000000014,0,0,go_short,839.7599999999991,830.6142857142908,go_short,go_short,go_short,2.1332833,second_buy,trailing_stop_loss,go_short,go_short
42,135.75,137.05,134.88707856767488,133.7288603719539,135.6,0,136.95,53260.0,133.53399999999817,0,0,go_short,135.58000000000075,135.31428571430394,go_short,go_short,go_short,2.2949376,second_buy,trailing_stop_loss,go_short,go_short
43,322.2,327.6,317.12831770155225,313.9296800571782,322.2,0,325.6,15285.0,313.0259999999992,0,0,go_short,320.4700000000021,318.2785714285891,go_short,go_short,go_short,-0.7874036,second_buy,trailing_stop_loss,go_short,go_short
44,213.2,218.9,202.1534376426998,194.3561866284215,211.35,0,215.9,126516.0,191.5159999999983,1,0,go_short,208.88000000000088,204.63571428573263,go_short,go_short,go_short,4.240994,second_buy,trailing_stop_loss,go_short,go_short
45,106.9,109.6,106.56644423544044,105.99362139532806,106.7,0,108.55,368777.0,105.8399999999982,1,0,go_short,106.96000000000068,106.65000000001812,go_short,go_short,go_short,-3.3302536,second_buy,trailing_stop_loss,go_short,go_short
46,147.05,150.4,145.0855424073758,143.8159442917556,146.75,0,150.0,289578.0,144.35399999999814,0,0,go_short,146.13000000000056,145.04285714287536,go_short,go_short,go_short,0.9916086,second_buy,trailing_stop_loss,go_short,go_short
