,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),imit-enter-short (entry),sma-05 (entry),sma-07 (entry),imit-exit-short (entry),nlp-enter-long (entry),nlp-enter-short (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),long-large-rl (entry),short-large-rl (entry),long-bid-rl (entry),short-bid-rl (entry),exit_reason,action,nlp-exit-short (entry)
20,1.89e-05,1.91e-05,1.9099743281228268e-05,1.9443681313509296e-05,1.814e-05,1,1.826e-05,1394804.0,1.941760000000016e-05,0,0,go_long,1.8931999999999123e-05,1.900571428571466e-05,go_long,go_long,go_long,-3.33241661,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
21,1.175e-05,1.183e-05,1.2280652471050471e-05,1.2741674319479765e-05,9.49e-06,1,1.031e-05,8362355.0,1.2913200000000168e-05,0,0,go_long,1.187199999999915e-05,1.2155714285714684e-05,go_long,go_long,go_long,-3.49465162,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
22,0.22989,0.2327,0.2252609123936915,0.2194042312545458,0.2291,0,0.23152,972.0,0.2185391999999994,0,0,go_short,0.2279980000000014,0.2269171428571437,go_short,go_short,go_short,-2.7017973,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
23,0.14714,0.18358,0.1484356331766857,0.1427719958009659,0.14714,0,0.16514,99015.0,0.1417999999999994,1,0,go_short,0.151168000000001,0.1502171428571431,go_short,go_short,go_short,-2.89924318,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
24,0.11526,0.11694,0.1183293119079764,0.1199512535612535,0.11158,0,0.11639,22733.0,0.1199672,0,0,go_short,0.117008,0.1172385714285714,go_short,go_short,go_short,-2.78387232,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
25,17.001,18.618,17.54200704045113,17.20884204274267,16.5,1,16.5,1700.0,17.192840000000004,1,0,go_short,17.699999999999967,17.785714285714256,go_short,go_short,go_short,-3.261742,second_buy,go_long,go_short,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
26,0.01683,0.017,0.0173575265698869,0.0177903408311413,0.0165,0,0.01699,13540.0,0.017924,0,0,go_long,0.016992,0.0171185714285714,go_long,go_long,go_long,-3.37563122,first_buy,go_long,go_long,do_nothing,do_nothing,go_long,go_long,stop_loss,go_long,go_long
27,229.716,231.295,223.47585720435728,219.007349002849,223.617,0,223.617,1349.0,218.55840000000003,0,0,go_short,226.6462,225.47271428571423,go_short,go_short,go_short,-3.86848933,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
28,304.379,317.244,292.2011528821623,286.70952261908144,304.158,0,316.202,6586.0,283.2829200000003,0,0,go_short,297.6576000000002,293.2924285714281,go_short,go_short,go_short,-3.75010959,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
29,440.0,444.546,433.0624248172968,427.3126658315556,439.0,1,439.0,5119.0,425.6108400000002,1,0,go_short,437.30859999999984,435.4291428571413,go_short,go_short,go_short,-3.818111,second_buy,go_long,go_long,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
30,30.93,32.996,29.34253497845276,28.908103063301528,30.506,1,30.506,683.0,28.395719999999912,1,0,go_short,30.01819999999996,29.970142857142942,go_short,go_short,go_short,-3.7564416,second_buy,go_long,go_short,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
31,48949.1,49145.2,48279.55039979333,47616.36581196582,48176.9,0,48176.9,683043.0,47618.076,0,0,go_short,48541.0,48515.5142857143,go_short,go_short,go_short,-3.80935502,second_buy,do_nothing,do_nothing,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
32,66543.0,67596.0,66417.86025095034,66214.52970907123,66399.9,0,67371.6,4512981.0,66144.15999999999,0,0,go_short,66557.49999999937,66467.80000000041,go_short,go_short,go_short,-2.05958001,second_buy,do_nothing,do_nothing,go_long,go_long,go_long,go_long,stop_loss,go_short,go_short
