,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-05,sma-07,sma-compare,is_short,action,imit-action,nlpreds,reward
0,5.141,5.197,5.085011974532804,5.028747432007814,5.128,0,5.182,523887.0,5.017719999999968,0,0,5.110999999999836,5.100142857142897,0,0,go_long,go_short,go_long,18.26256474
1,1.2856,1.2926,1.2282761967799418,1.2018797100452667,1.2653,0,1.273,85117322.7,1.2039439999999972,0,0,1.248679999999991,1.2359714285714458,0,0,go_long,go_short,go_long,22.02457531
2,1641.8,1651.7,1569.39335231384,1520.2338935310836,1623.4,1,1631.9,3749.225,1501.1679999999956,0,0,1610.4800000000027,1595.328571428549,0,0,go_long,go_short,go_long,6.06608963
3,0.3091,0.3183,0.291753838238204,0.2815684180832256,0.3068,0,0.3109,46964756.4,0.2819720000000119,0,0,0.2977999999999948,0.2928285714285727,0,0,go_long,go_short,go_long,20.78039439
4,1.3441,1.3446,1.3234287157055884,1.3163111416869515,1.3376,0,1.343,546688.0,1.313832000000006,0,0,1.329960000000029,1.324542857142878,0,0,go_long,go_short,go_long,16.95574023
5,3.846,3.852,3.6404787837078847,3.5422669385610512,3.71,1,3.734,402569.1,3.5056799999999213,0,0,3.7561999999996942,3.6920000000001054,0,0,go_long,go_short,go_long,1.16835313
6,1.333,1.3379,1.3215767919981063,1.3104206232109157,1.3312,0,1.337,38594.5,1.3066480000000142,0,0,1.3280799999999666,1.326142857142867,0,0,go_long,go_short,go_long,8.13013853
7,22.236,22.364,21.98334606258509,21.72369831788847,22.144,1,22.238,55267.3,21.704360000000097,0,0,22.149000000000253,22.081999999999866,0,0,go_long,go_short,go_long,20.17198113
8,0.1177,0.118,0.1157612078042629,0.1147110420138476,0.1172,0,0.1173,960898.0,0.1145440000000003,1,0,0.1168400000000117,0.1164285714285715,0,0,go_long,go_short,go_long,7.06811713
9,3.023,3.0922,2.6640362213640763,2.509528640464527,2.9383,0,3.0718,9505003.0,2.417591999999989,0,0,2.887260000000171,2.7459571428572143,0,0,go_long,go_short,go_long,12.29035025
10,1.361,1.361,1.3803925361628742,1.4063528138567074,1.175,1,1.236,7846646.1,1.4169199999999558,1,0,1.358600000000018,1.3761428571429877,1,0,go_long,go_short,go_long,17.57492538
11,2950.4,2973.41,2943.7327456459657,2934.5477385754084,2950.08,0,2970.66,72786.402,2933.6931999999965,0,0,2948.8719999999685,2945.674285714233,0,1,go_short,go_short,go_long,-5.80594912
12,64.301,64.478,65.19992169354636,65.71075226538619,63.214,1,64.45,67786.2,65.81435999999957,0,0,64.78700000000316,64.91428571428663,1,0,go_long,go_short,go_long,8.4128423
13,427.13,429.21,421.06623701407176,418.0442444644559,426.64,0,427.42,10297.33,417.98520000000303,0,0,423.5700000000024,421.4557142856988,0,0,go_long,go_short,go_long,14.17934473
14,17.573,17.678,17.355847614525562,17.173727107554694,17.538,0,17.632,275565.66,17.102039999999796,0,0,17.465200000000173,17.431285714285522,0,0,go_long,go_short,go_long,1.62679704
15,0.3465,0.3544,0.3230905932952999,0.3082975296207662,0.3374,1,0.3419,25971631.5,0.3018519999999942,0,0,0.334959999999999,0.330199999999959,0,0,go_long,go_short,go_long,13.63504642
16,0.14569,0.156,0.1349831522088983,0.1258367845864619,0.14442,0,0.15519,78109032.0,0.1224808000000014,0,0,0.1418619999999928,0.1386057142857196,0,0,go_long,go_short,go_long,-2.85688421
17,70.67,71.22,68.54782969963321,67.00842073526644,70.32,0,71.18,11339.505,66.24999999999851,0,0,69.88600000000059,69.60428571428282,0,0,go_long,go_short,go_long,0.0587312
