,sma-05 (entry),sma-07 (entry),sma-25 (entry),sma-compare (entry),is_short,action,imit-action,nlpreds,reward
3471,169.47660000000005,169.41457142857126,170.2245200000005,0,1,do_nothing,go_short,do_nothing,0.200526
3472,27.45980000000008,27.57342857142848,27.92672000000003,1,1,do_nothing,go_short,do_nothing,0.2410232
3473,170.26379999999995,170.55542857142842,176.06096000000045,1,1,do_nothing,go_short,do_nothing,0.20704178
3474,182.55,182.1921428571428,186.5637200000006,0,1,do_nothing,go_short,do_nothing,2.4584796
3475,27.32120000000009,27.39928571428563,27.469600000000035,1,1,do_nothing,go_short,do_nothing,0.19514637
3476,28.99300000000006,29.16542857142852,29.711080000000024,1,1,do_nothing,go_short,do_nothing,0.2414328
3477,26.410200000000067,26.52842857142848,27.19452000000003,1,1,do_nothing,go_short,do_nothing,0.2500266
3478,38.87979999999997,39.07357142857144,39.638720000000056,1,1,do_nothing,go_short,do_nothing,0.231906
3479,39.23859999999997,39.2467142857143,40.02284,1,1,do_nothing,go_short,do_nothing,0.27740467
3480,30.43211999999993,30.461442857142863,30.85516800000005,1,1,do_nothing,go_short,do_nothing,0.29927997
3481,30.780799999999925,30.78384285714286,30.64190800000007,0,1,do_nothing,go_short,do_nothing,0.68743415
3482,30.32985999999993,30.448300000000007,31.029352000000088,1,1,do_nothing,go_short,do_nothing,0.29783637
3483,29.87611999999993,29.90344285714285,29.999992000000084,1,1,do_nothing,go_short,do_nothing,1.180978
3484,28.98549999999992,28.984385714285697,29.08415600000008,0,1,do_nothing,go_short,do_nothing,0.25488293
3485,29.40783999999992,29.39161428571425,29.217892000000084,0,1,do_nothing,go_short,do_nothing,0.36416447
3486,32.608139999999935,32.62409999999996,32.32552000000008,0,1,do_nothing,go_short,do_nothing,0.1300388
3487,32.32291999999991,32.35815714285708,32.24811200000008,0,1,do_nothing,go_short,do_nothing,0.15091412
3488,32.635959999999905,32.440542857142795,32.722868000000084,0,1,do_nothing,go_short,do_nothing,0.15824781
3489,33.200459999999914,33.25171428571422,34.18187200000007,1,1,do_nothing,go_short,do_nothing,0.14223229
3490,33.17495999999992,33.22205714285708,33.28231200000008,1,1,do_nothing,go_short,do_nothing,1.17113895
3491,262.23099999999977,262.85271428571434,267.14448000000067,1,1,do_nothing,go_short,do_nothing,0.296646
3492,32.06287999999993,32.26365714285708,33.28561600000006,1,1,do_nothing,go_short,do_nothing,1.1130665
3493,30.802439999999923,30.932142857142782,31.81038800000007,1,1,do_nothing,go_short,do_nothing,0.52345691
3494,443.4791999999994,443.0031428571435,431.2298400000008,0,1,do_nothing,go_short,do_nothing,0.62736569
3495,256.6117999999997,257.0350000000001,256.9696400000007,0,1,do_nothing,go_short,do_nothing,1.761851
